Pathway	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
UNMAPPED	2105503.0822997219	2041770.7970083230	2417686.0215322347	911347.7950331401	2365482.7730959579	2433168.7689947388	2788937.2641790528	2761110.5235748454	2717213.7380931801	2523810.6738772634	2410700.0277662477	2129798.5150742065	2092613.8337127543	1956980.7284941762	2060683.9646116360	1814382.2846668472	2232725.0045206700	1666403.8158204297	1271325.3436779354	1748360.8578293705	1559930.1967680019	1465272.9779777431	1456853.6681476331	1959732.6037374882	1708472.8692830440	1458910.7966849243	1217144.2200858535	1645842.3872595283	1506295.2512489236	1761094.5485726118	1813287.3766579072	2075331.4824079080	2276449.7955548121	1914640.7027825643	1832342.0691158397	2265007.4671352543	2410497.8648299468	1089969.1704901268	2685255.8915060288	1964396.9133302185	1750786.3601659257	2587231.8239290076	2624270.9365966227	2052803.2902395346	2370098.8665260188	1734076.9001186290	1871149.4225171425	1695650.3594813165	921480.3948813746	1908166.2319034133	1495443.5616590199	2029289.8575478646	1075050.4466010809	1751399.0506906137	1917811.6424918913	2239134.8486513188	2111227.7355725188	1687652.4171582824	1825618.0571264604	1459086.2974676117	1033030.7283051783	1597959.9499123613	1845012.6343707240	1325137.3266119035	1704206.7566077467	1676558.0239081818	1762132.8105902171	1517007.5258799575	1794581.0772870940	1595691.6860658769	1431023.8782702954	2028999.6309616209	1898708.4308669162	1726690.3922459369	2440637.8506932375	2507935.0720017627	2272452.4047463010	1831189.7647639629	2552986.7612260249	2486176.3157912553	2032599.3097802275	2043943.1975938629	2644131.9272828507	2394468.3862257600	1838540.4487189064	1807675.8311772915	1706121.3453320465	2337961.4717581472	3057154.0819841037	1039226.4640257076	1769838.4501309604	1722570.5773415503	1733590.6338294190	1672681.6956762283	1985924.5670919481	1813762.6562890168	1881038.1781866839	1937903.6090198590	1888525.9312175075	1857378.9677007433	2529127.7267937437	1692565.0852847241	1415305.5812284783	1623427.2859885939	1890424.9510254720	8881218.1851693895	1716219.1057144995	1522853.6554191350	2377490.2869066070	2264606.4022346772	1862102.8921708146	1936390.6626131691	1739693.9575506202	1808647.7737911216	1764415.7702320532	1777675.8502633478	1364747.9567680573	1576247.2559901313	1367726.7962382161	1497538.7960658486	1411604.6605951970	2189244.0189800793	1518135.6557634396	2039092.1818345976	1768636.1391986343	1670613.0021877347	1262796.2391505002	2052067.0170542111	1639439.8028526406	2269467.2443783521	1964894.3703790612	2012718.9107015720	1900532.0996290154	1523704.0319877306	1431618.3068669788	2206980.6883440008	1626944.7683382530	1856118.2598173143	1381568.6256732233	1719225.8467839020	1588182.5164254319
UNINTEGRATED	1924999.7410615766	1682842.6059168715	1781445.2405937100	538090.1117656184	1625106.3468818557	1548945.2883832012	2821689.9029163439	2728830.8892928269	2801850.5418734020	2189941.1129259123	2169965.9276752775	1992197.2441204246	1517137.1079815112	1313843.4930661588	2228127.0367491907	1333520.6513347700	1689864.2203451337	1454181.4906414920	713427.4970656842	1142522.4586032766	1309738.3697457169	1372105.6505946091	1412093.3124859529	1761099.5317086561	1270723.0775004034	1150240.3656348796	1446360.4158372271	1593408.6884605372	1174310.5564960584	1311763.9516625698	1063870.2188753984	1445024.3627423160	1781397.8405371814	1618840.5147082638	1375801.4474741458	1437277.7180103175	1518739.4050330699	653862.2639165103	1803747.9268978573	1403403.3841274919	1180042.0841591777	1723004.7243579172	2131082.1186908893	1657310.0683946540	2174990.3459984139	1580464.1859508615	1614626.3788591952	1304297.3513279320	1127108.4317872338	1366119.3126815795	906406.3907036056	1670229.9617790380	999794.8200838543	1811189.5151651949	1743688.4176881106	1657630.8509051409	1578273.1240332162	1824213.2696515741	1405762.2765655685	1519978.8553702836	644015.3883006077	1226435.1559314337	1283196.2973105821	1319997.9057382511	1245317.7498330029	944500.5098458889	1062211.6712646997	1059603.2831986272	1573704.6216256081	944085.9742519704	697677.4416852079	1222719.5271553244	1172918.0063864812	1194718.2746775309	2264142.7198945750	2050852.6269024862	1555663.5558676440	1282986.9427653190	2131443.8774978686	1602488.8489552205	1331304.8010798960	1750796.1896236057	1977435.5525647968	1759905.1458764563	1289752.2212004019	1108787.9984435320	1376542.9175122676	1439947.8705816846	2295516.4664815436	771340.7950063157	1434030.0116738020	1125979.1081735664	1208115.0517520986	1103974.1799848790	1232733.1313899064	1192584.5321427106	1176843.3138236224	1390785.0624355194	1153104.5368210347	1124834.0678107657	2291450.1940144319	1425482.0724792751	1051901.6441409006	1414207.5459977149	1275998.2816243076	7357229.3467686260	1314839.6695590871	1022594.9812677162	1824171.3513660568	2006198.0643696832	1383846.1941109980	1706212.5590196850	1910900.4469087829	1407970.4031689253	1179231.9462797444	1030913.5321502883	821301.3851683206	1112548.2630808461	1440802.9187908189	1617606.0029086741	1431937.0777000927	2545485.2047625007	1421846.8805162245	2534188.9471276072	1120659.6218263353	990710.8621557476	1116639.2856909535	1495601.2900301812	1172793.9493995053	1360225.3521800013	1486392.5982678900	1309230.4986626429	1690879.4292936416	1462002.4004521144	985656.9506537769	1652675.6420495762	1248300.8113423386	1641283.5628291841	1135275.9993234088	879510.1274442286	925675.2472126343
1CMET2-PWY: folate transformations III (E. coli)	1111.5338244210	827.3307434344	942.2166531612	261.0992045217	655.4233086906	749.2594779602	1749.2242314119	1645.6736698691	1753.9159001200	1188.5102409589	1254.4467142923	1235.3372422232	713.5095642456	499.9984408933	1382.9968842065	539.2704252103	787.1408449770	716.9041941923	214.1404003966	369.9513165617	771.0464274796	824.9704843781	748.3523266450	833.7065323489	478.8116235745	370.4524020852	540.7432612808	893.2410696516	462.5659108424	501.8023050215	196.1860349299	312.6610418862	662.8866716781	482.6447692299	486.5772563511	279.8898247571	342.3313683775	126.8623245551	393.5263902235	423.4342161654	390.9341194716	280.2549761540	473.6527974217	481.0375511988	505.4777688925	605.5069969013	621.0658531817	351.3942009963	412.4691190058	182.0499528860	170.0882280948	622.2601278458	340.0429349729	669.0297917685	532.4734516137	715.1586502429	545.2175096907	395.5568062510	483.0727779268	399.2782996817	39.2613555016	442.3268493863	289.2802394143	304.1521560260	207.6544350994	206.1258422074	323.7834448025	113.9628747142	504.7165425426	117.4142751615	40.3499451213	175.7135041940	250.2891194980	577.9145476715	534.6322684142	632.4555995704	399.9148994721	336.7110158234	411.2495263570	267.2361231411	195.7156400676	310.6605658233	260.3401052471	251.6311614697	389.8905570811	173.9953391095	427.2950957222	297.2586732124	383.2590885736	117.2180351035	172.1909519841	67.7019481573	0	0	149.3591919906	0	0	567.2145060391	374.5483013798	356.8742618343	1197.8685122250	203.5236671018	186.2302564676	190.1384918135	101.4203703664	788.5957412897	513.9024491703	296.7594689119	590.6263728485	895.6188067178	305.9018193059	761.9497001346	852.7589761014	645.8203036957	493.3913738074	335.3498481693	148.0124740564	401.1201559284	563.2311390990	508.3215610578	555.8658973869	992.2941108328	592.9024693116	1044.0963734808	233.0752297311	313.4913042708	611.3647667936	581.8463739555	479.9863575443	551.8752210637	791.2803084329	629.9115993814	932.9715435632	777.8843679681	438.6081209840	667.5503148883	355.0676104503	886.1129642884	214.2596227186	361.5856150314	396.3666188068
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4577137246	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7686113800	0	0	0	0	0	0	0	0	0	0	0	0	27.0576932919	19.1158625694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6013310247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.8712105786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	1244.6743439030	1012.9298505602	1106.8896111467	303.4273832220	924.0093650379	947.6927789493	1822.2507799658	1794.4279527135	1810.7489532982	1517.8444073459	1198.7891477690	1257.5426155755	769.1511782519	579.0215778857	1376.9763297020	532.9258484475	700.6431810585	722.9082892773	262.9320554388	425.3798549470	717.9269108363	662.6705409440	676.3202696060	848.7457126197	422.7734583271	435.9982981703	713.2720575535	789.0411913969	528.6133449875	501.4135444779	248.0423533027	395.4578045705	679.7964307423	657.3206981312	508.9606948940	262.5545323491	408.8128337001	163.3258249959	481.7235276374	376.4610655373	592.5439326991	607.2757379577	929.4035300070	827.3748814678	1036.0119512737	672.0854036836	724.9384147528	565.6631112342	448.9377220519	408.2730835051	185.7705452501	583.0800498032	394.4275254875	796.7527569887	680.8119962294	810.2946626645	776.3108389807	986.9721805874	810.9927246699	833.3559195612	0	547.2321900238	440.2049883508	419.9105357423	289.4621262252	247.0215915951	457.6960504617	148.4537760907	668.9248166109	287.9502969082	137.0652202847	409.6250434315	454.6455952510	553.5985158609	711.2687987119	862.8640916862	425.4245188565	366.0993130500	558.1592739516	549.7835887039	333.8797504818	563.1969828171	640.8616213782	560.0804083891	461.7699891254	374.6705503335	732.8931881348	448.0739863222	748.1590471671	171.3175648597	410.6093797443	133.6533543094	0	48.9868096797	448.1506200095	137.8256755709	68.8800855896	265.4144929801	320.5358255144	302.1563198515	770.0986085873	433.0088011225	287.9106865115	387.5345335857	70.4297517997	1663.5111221508	301.0662601727	84.0427880830	304.7445506440	556.1011537362	202.8372110065	565.1445578287	275.3040891368	638.5335549756	172.1995516602	238.3770109144	142.1915671490	486.5004296687	285.6947774116	241.8081009505	275.1931173382	439.6032640600	517.7794128688	831.6754532972	110.3697153415	204.7309738782	211.9615335817	339.7268292970	200.4879748514	625.5079011024	466.4520134588	488.6225872939	477.7689064876	562.0413741054	253.9095383706	274.7619421833	114.4298623473	614.4039577181	283.3546037636	130.0248244624	92.7411309179
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1449.4868964683	1439.3923481057	1418.5582583923	461.7693394333	1623.1214923793	1348.0292117923	2254.2497483608	2109.7706364099	2193.6698585454	1922.5409351970	1596.0937142035	1496.4478685272	1222.1565033122	1071.6110957727	1657.4570908036	999.2697626393	1176.7734817440	1166.4998886381	581.1450620841	911.0673713899	847.3151512243	943.7645580537	993.6841420617	1279.4390292820	1102.9953862205	1010.5876790934	1091.1488038969	1125.8736169155	910.1924096599	1047.8229729734	602.5698452399	1258.8493398468	1445.7079138023	1403.3951606837	1056.5776850942	1318.5458052935	1232.1587018853	540.7291589386	1514.7065893322	1132.3197898774	976.0739372569	1181.3999193340	1501.1419288024	1206.4652738120	1706.2452896181	1181.1732687712	1173.6415935623	1058.4507368080	849.4407996896	1190.6321689979	755.2923510157	1204.2582239441	749.2168395161	1253.2932307605	1486.8217834124	1417.9361952600	1394.2446579676	1541.4947377988	1233.0910191120	1264.5224244085	423.9738969862	1046.4121974213	1115.0520381559	1154.9868638408	1106.4170883622	458.1988242238	992.3429768809	544.5256592633	1357.3477538927	708.6265547150	457.8103196204	1053.4339724700	1034.4541316414	881.8878800907	1950.6521944435	1696.2603186905	1245.0726258008	1096.0320367381	1837.1307816091	1359.5540740734	1186.8642646563	1450.4437893138	1796.2066143382	1624.2254889470	1126.7219918982	1008.8076317991	1249.3195815561	1295.3985228870	2060.1069337957	574.8780184519	1184.7362305052	980.3934128797	746.7398060202	1006.3169687372	1032.9486200751	1069.9410549041	718.1919687176	1168.9250994563	1092.7477963646	1013.2266970718	1850.5524051393	1241.9979955396	883.4366870166	1295.8921071883	1030.1223984907	6062.5724553646	1075.5434292617	940.4449790763	1574.8025403568	1589.0612576066	1158.5263851993	1400.2006431754	1571.8378533607	1246.4449205423	902.8888417836	921.1357382252	656.8717119197	1015.3658789430	1192.8184803471	1177.9150841041	1127.0656534886	2008.9777886421	1144.9855171759	2052.7394877253	567.5387224632	913.6071455858	872.4515202338	1193.4889320002	944.5478536457	1169.9153743116	1082.7025067232	1069.7156839349	1290.1690457252	1049.0319609729	797.5495984096	1433.3980437287	927.3185120982	1181.1691523331	503.5467125046	758.8556770915	805.2477290924
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	0	0	0	0	0	56.8110958807	0	0	0	0	44.6180702929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.3269956673	75.3648303574	51.2203324150	45.4172947421	52.0233489330	0	66.7398517107	76.6847036749	0	57.7175418303	47.8811575352	0	0	0	0	76.6402704783	0	42.5167103990	35.9672579279	0	0	0	0	0	0	48.9972418334	0	0	0	0	0	68.4079068676	0	52.9708987112	0	0	0	0	0	0	0	0	0	70.2450453907	0	0	0	0	0	0	0	0	0	0	41.6553970469	0	0	0	0	0	0	0	0	0	0	181.9208239154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.0559825068	0	0	0	0	0	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.9164381271	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	442.6183968573	252.4901686877	375.4347474525	101.2260281472	207.5846947304	292.2369896069	657.9984776730	603.0559840304	537.1744892436	411.9262150023	496.3250760827	415.3079000803	250.9023429108	179.1923791445	523.5281083961	231.3962327236	356.8072543639	252.3040909050	90.2764827734	152.1119650486	409.8902837693	303.1120824937	349.3875062762	272.8360221908	168.9755853499	131.0588144585	203.1305798493	445.1119527803	218.1784898601	154.8490061452	74.4173877977	88.2377242153	232.9736519054	133.7478442303	188.5722436008	69.9939309514	108.0570128663	43.2757529686	66.2097845045	125.8224760831	227.0307765544	476.0800346618	420.0260478550	374.1278902846	396.1658735486	201.0393500695	184.3294786998	103.5687884612	76.3841903191	59.6342076226	78.6385002263	229.2833375707	121.2773621644	226.4794599714	168.4950078457	197.2907614959	112.6401633190	109.7148827511	150.1743604963	109.4449273841	24.7259720869	145.9221395651	86.6606983119	115.8991936077	72.4101962626	69.4757775408	120.5043796916	27.9542678911	173.0100551972	27.7471265208	0	63.1494927912	80.7524293068	191.5262750227	215.8712946504	242.3379776100	106.7901847405	135.3935319951	107.6357143893	59.9278511538	55.0364696465	81.1763828527	79.8374581007	64.5383616802	110.5564996781	58.8393263414	126.1831848287	86.8587221542	75.4603762395	64.5970182089	156.8075488226	28.5851545482	0	23.2481740416	105.3567745164	20.7614011149	25.8775318419	46.8931171876	25.6263503071	36.9756148667	73.8244157979	39.6768003278	32.0966059402	0	0	47.1751016240	37.2073957845	27.8501289150	40.4260089098	75.3123599445	32.6747093841	128.0980347414	25.0312774645	93.3327605101	25.7699433789	0	0	91.5466741457	0	0	0	42.1231649008	105.2640806657	42.0311705969	0	0	27.9612428043	31.6915021253	21.7590174846	124.0864157342	62.3513690528	73.6171695968	68.9779187468	59.6809494538	0	32.6339219496	0	110.5869190617	32.3824236642	42.7704337051	21.5727675623
