Feature.ID	c63_N_Feb1	c63_R_Feb1	c63_L_Feb1	c63_B_Feb1	c63_2R_Feb1	c63_N_Jan18	c63_R_Jan18	c63_L_Jan18	c63_B_Jan18	c63_2R_Jan18	c63_N_Jan4	c63_R_Jan4	c63_L_Jan4	c63_B_Jan4	c63_2R_Jan4	c64_N_Feb1	c64_R_Feb1	c64_L_Feb1	c64_B_Feb1	c64_2R_Feb2	c64_N_Jan18	c64_R_Jan18	c64_L_Jan18	c64_B_Jan18	c64_2R_Jan18	c64_N_Jan4	c64_R_Jan4	c64_L_Jan4	c64_B_Jan4	c64_2R_Jan4	c65_N_Feb1	c65_R_Feb1	c65_L_Feb1	c65_B_Feb1	c65_2R_Feb1	c65_N_Jan18	c65_R_Jan18	c65_L_Jan18	c65_B_Jan18	c65_2R_Jan18	c65_N_Jan4	c65_R_Jan4	c65_L_Jan4	c65_B_Jan4	c65_2R_Jan4	c66_R_Feb1	c66_L_Feb1	c66_B_Feb1	c66_N_Feb2	c66_2R_Feb2	c66_N_Jan18	c66_R_Jan18	c66_L_Jan18	c66_B_Jan18	c66_2R_Jan18	c66_N_Jan4	c66_R_Jan4	c66_L_Jan4	c66_B_Jan4	c66_2R_Jan4	c67_N_Feb1	c67_R_Feb1	c67_L_Feb1	c67_B_Feb1	c67_2R_Feb1	c67_N_Jan18	c67_R_Jan18	c67_L_Jan18	c67_B_Jan18	c67_2R_Jan18	c67_N_Jan4	c67_R_Jan4	c67_L_Jan4	c67_B_Jan4	c67_2R_Jan4	c68_N_Feb1	c68_R_Feb1	c68_L_Feb1	c68_B_Feb1	c68_2R_Feb2	c68_N_Jan18	c68_R_Jan18	c68_L_Jan18	c68_B_Jan18	c68_2R_Jan18	c68_N_Jan4	c68_R_Jan4	c68_L_Jan4	c68_B_Jan4	c68_2R_Jan4	c69_N_Feb1	c69_R_Feb1	c69_L_Feb1	c69_B_Feb1	c69_N_Jan18	c69_R_Jan18	c69_L_Jan18	c69_B_Jan18	c69_N_Jan4	c69_R_Jan4	c69_L_Jan4	c69_B_Jan4	c70_R_Feb1	c70_B_Feb1	c70_L_Feb2	c70_N_Feb2	c70_2R_Feb2	c70_N_Jan18	c70_R_Jan18	c70_L_Jan18	c70_B_Jan18	c70_2R_Jan18	c70_N_Jan4	c70_R_Jan4	c70_B_Jan4	c70_2R_Jan4	c71_N_Feb1	c71_R_Feb1	c71_L_Feb1	c71_B_Feb1	c71_2R_Feb2	c71_N_Jan18	c71_R_Jan18	c71_L_Jan18	c71_B_Jan18	c71_2R_Jan18	c71_N_Jan4	c71_R_Jan4	c71_L_Jan4	c71_B_Jan4	c71_2R_Jan4
000c19cd53e385be4238632abd7b9eb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
000cd8197e21b43da8293e3c450ad384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
000d731c9a9e954136d20ca885d821ed	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	1271	83	198	106	0	0	0	0	0	0	0	0	0	837	478	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
000e7961c9dec056554e5fb4fd4a1394	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001432efe0ec94f2da14f8dc11ba0535	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	21	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001b5179e0f43fc1cd2911ca04b15727	0	0	83	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	29	47	0	0	10	0	12	0	0	0	0	0	0	0	0	22	36	0	0	0	0	0	28	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	25	38	0	0	0	0	0	39	0	15	36	48	34	150	39	8	0	0	0	0	0	11	20	0	11	13
00362777b31c943769d3eda1e59e4c0e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
006cd65b99db04ab75f99c9b29c26ec6	0	0	0	0	0	441	440	423	591	37	0	0	0	0	0	0	0	0	0	0	679	985	468	1786	244	0	0	0	0	0	0	0	0	0	0	32	114	567	437	81	0	0	0	0	0	0	0	0	0	0	243	638	403	268	249	0	0	0	0	0	0	0	0	0	0	633	662	938	3335	2389	0	0	0	0	0	0	0	0	0	0	1186	537	698	754	695	0	0	0	0	0	0	0	0	0	487	502	1741	327	0	0	0	0	0	0	0	0	0	2272	1592	1389	384	198	0	0	0	0	0	0	0	0	0	11	0	0	0	4	0	0	0	0	0
007f1abcf60d25ba4cd4a2306ed0639c	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
008947415f1093e281ee8d44668510a3	12	0	0	5	6	0	0	0	0	0	0	42	18	0	4	15	41	0	0	0	0	0	0	0	0	0	28	27	10	0	7	0	9	17	19	0	0	0	0	0	0	0	24	3	0	12	0	0	0	10	0	0	0	0	0	0	0	0	6	0	9	0	0	0	10	0	0	0	0	0	31	0	0	7	10	0	0	25	16	0	0	0	0	0	0	40	0	6	0	9	0	0	0	0	0	0	0	0	22	0	26	17	0	0	0	0	31	0	0	0	0	0	34	0	36	38	15	25	22	7	0	0	0	0	0	0	9	0	0	0	0
