Feature.ID	kingdom	phylum	class	order	family	genus	species
000c19cd53e385be4238632abd7b9eb3	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella_cibaria
000cd8197e21b43da8293e3c450ad384	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales
000d731c9a9e954136d20ca885d821ed	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	Lachnospiraceae
000e7961c9dec056554e5fb4fd4a1394	d__Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014	uncultured_bacterium
001432efe0ec94f2da14f8dc11ba0535	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	unidentified
001b5179e0f43fc1cd2911ca04b15727	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	ASF356	uncultured_Clostridiales
00362777b31c943769d3eda1e59e4c0e	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	uncultured_bacterium
006cd65b99db04ab75f99c9b29c26ec6	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Bacteroidales
007f1abcf60d25ba4cd4a2306ed0639c	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_UCG-006	NA
008947415f1093e281ee8d44668510a3	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	uncultured_bacterium
008beda1e74be754be4d880247c2b83b	d__Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014	unidentified
009151a030f02c7673ce7bca6926a5b9	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	uncultured_Clostridiales
009e5640f8b16cc9f33d97c0ffd67483	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	unidentified
009fa577387df7109bd6a2fc6cd7f8bf	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	UCG-010	uncultured_bacterium
00a45d5c72faa3b135ca55583f340f49	d__Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014	unidentified
00baaeaa9b702f4e8203d42e74cf27c8	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured	Clostridium_sp.
00bd3c487d1c51d2871682ab024aa45a	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
00be7ee346df9daaa7645ce48f60f5d5	d__Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus_xylosus
00cb327e8ad78d1a101f6eaca88adfc8	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_Barnesiella
00ceaf12ec2b5d93256b080e69a362e1	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	uncultured_bacterium
012637a0c0826887eeb0e76e97d3ed98	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium
013294baca7f759a75a905c80cb15a91	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_FCS020_group	uncultured_bacterium
0132f95d5d5c94cc24bd1cbc924a832b	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium
013ca0083fecdca1c3bea56aa65c6e0c	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_Clostridiales
01414fd2df82f5f90000f53642e9bbb3	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured	uncultured_bacterium
0149115096dbc5d33b06b398277d1fb4	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured_bacterium
014ba684232703339b4d786aaa7d0e90	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae	uncultured_bacterium
0152960ea44ec4c77714b3cde3fe7ca8	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
01616541d6b1a9359120d7abd7826427	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	uncultured_bacterium
0177deae220d1bb48b50b84b0c24f7e9	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_Clostridiales
017d5ebc133c9e8a3d02d3a7d6cc49b3	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Clostridiales_bacterium
01c48c2cb2f773da0f5b9af7629fd2cd	d__Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
01c56b4f865ba49e4ea1a97e4cfc70a9	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
01cd9552e7bd1426d41140437b2eca19	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
01d29be32dffcae5632ab85093e523dc	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
01d6a857858944e958446a3a07b44d66	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
01e5bdf51e3d072d1de1bc09849c1955	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
01e633b78cc8530888df2cb926f9832e	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_FCS020_group	uncultured_bacterium
01ed289f578420a0c022c09fa7f693ea	d__Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014	Clostridia_UCG-014	Clostridia_UCG-014	NA
01fef4a7b4af04efb6c177988fd7b081	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
022e52b6cad2cebfd36055a86418cce0	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
026431730b8200429fb6feb4ee812188	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae_Sedis	uncultured_bacterium
026781add97cd043d06d47c39d044b4a	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	uncultured_bacterium
02894e78e0cd65d857a8b7e5fe3834a9	d__Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	uncultured_bacterium
0291a76fbb401d68761b51a08622f930	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured	NA
029623ed40243faca72f8ddea9b8e8d8	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Lachnospiraceae_bacterium
02a7969949495e881388fad2b990e244	d__Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Candidatus_Stoquefichus	uncultured_bacterium
02aa4f505b432e811558da9fe4eeb1ec	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured	NA
02b305867536b4c76bf6ff48029158de	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	uncultured_bacterium
02bc448b6594bf627bd57b602796425c	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	uncultured_bacterium
02cca1eff0949645e9aec8317dd1ddaf	d__Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium
02f8b7f99b15a28e12d315a8c0590de4	d__Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured_bacterium
