sample_id,sex,gen
DO-1D-3001,F,G22W1
DO-1D-3002,F,G22W1
DO-1D-3003,F,G22W1
DO-1D-3004,F,G22W1
DO-1D-3005,F,G22W1
DO-1D-3006,F,G22W1
DO-1D-3007,F,G22W1
DO-1D-3008,F,G22W1
DO-1D-3009,F,G22W1
DO-1D-3010,F,G22W1
DO-1D-3011,F,G22W1
DO-1D-3012,F,G22W1
DO-1D-3013,F,G22W1
DO-1D-3014,F,G22W1
DO-1D-3015,F,G22W1
DO-1D-3016,F,G22W1
DO-1D-3017,F,G22W2
DO-1D-3018,F,G22W2
DO-1D-3019,F,G22W2
DO-1D-3020,F,G22W2
DO-1D-3021,F,G22W2
DO-1D-3022,F,G22W2
DO-1D-3023,F,G22W2
DO-1D-3024,F,G22W2
DO-1D-3025,F,G22W2
DO-1D-3026,F,G22W2
DO-1D-3027,F,G22W2
DO-1D-3028,F,G22W2
DO-1D-3029,F,G22W2
DO-1D-3030,F,G22W2
DO-1D-3031,F,G22W2
DO-1D-3032,F,G22W2
DO-1D-3033,F,G23W1
DO-1D-3034,F,G23W1
DO-1D-3035,F,G23W1
DO-1D-3036,F,G23W1
DO-1D-3037,F,G23W1
DO-1D-3038,F,G23W1
DO-1D-3039,F,G23W1
DO-1D-3040,F,G23W1
DO-1D-3041,F,G23W1
DO-1D-3042,F,G23W1
DO-1D-3043,F,G23W1
DO-1D-3044,F,G23W1
DO-1D-3045,F,G23W1
DO-1D-3046,F,G23W1
DO-1D-3047,F,G23W1
DO-1D-3048,F,G23W1
DO-1D-3049,F,G23W2
DO-1D-3050,F,G23W2
DO-1D-3051,F,G23W2
DO-1D-3052,F,G23W2
DO-1D-3053,F,G23W2
DO-1D-3054,F,G23W2
DO-1D-3055,F,G23W2
DO-1D-3056,F,G23W2
DO-1D-3057,F,G23W2
DO-1D-3058,F,G23W2
DO-1D-3059,F,G23W2
DO-1D-3060,F,G23W2
DO-1D-3061,F,G23W2
DO-1D-3062,F,G23W2
DO-1D-3063,F,G23W2
DO-1D-3064,F,G23W2
DO-1D-3065,F,G24W1
DO-1D-3066,F,G24W1
DO-1D-3067,F,G24W1
DO-1D-3068,F,G24W1
DO-1D-3069,F,G24W1
DO-1D-3070,F,G24W1
DO-1D-3071,F,G24W1
DO-1D-3072,F,G24W1
DO-1D-3073,F,G24W1
DO-1D-3074,F,G24W1
DO-1D-3075,F,G24W1
DO-1D-3076,F,G24W1
DO-1D-3077,F,G24W1
DO-1D-3078,F,G24W1
DO-1D-3079,F,G24W1
DO-1D-3080,F,G24W1
DO-1D-3081,F,G24W2
DO-1D-3082,F,G24W2
DO-1D-3083,F,G24W2
DO-1D-3084,F,G24W2
DO-1D-3085,F,G24W2
