taxon.ID	phylum	class	order	family	genus	species
3	Firmicutes_A					
4	Firmicutes_A	Clostridia				
5	Firmicutes_A	Clostridia	Lachnospirales			
6	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
7	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
8	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	MGBC000001
9	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	MGBC000003
11	Bacteroidota	Bacteroidia				
12	Bacteroidota	Bacteroidia	Bacteroidales			
13	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae		
14	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
15	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	acidifaciens
17	Firmicutes	Bacilli				
18	Firmicutes	Bacilli	Lactobacillales			
19	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		
20	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
21	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	intestinalis
22	Proteobacteria					
23	Proteobacteria	Gammaproteobacteria				
24	Proteobacteria	Gammaproteobacteria	Enterobacterales			
25	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
27	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	mirabilis
28	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
29	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	pneumoniae
31	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter_A	rodentium
33	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	sp000508985
34	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	
35	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	coli
36	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
37	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	MGBC000041
38	Firmicutes_A	Clostridia	Peptostreptococcales			
39	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		
40	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	
41	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	MGBC000042
42	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae		
43	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
44	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	timonensis
45	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	
46	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC000078
47	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
48	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	MGBC000080
49	Firmicutes	Bacilli	Staphylococcales			
50	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae		
51	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
52	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	nepalensis
53	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	MGBC000083
54	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	MGBC000089
55	Firmicutes_A	Clostridia	Oscillospirales			
56	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae		
57	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	
58	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	MGBC000100
59	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	sp003612625
60	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	MGBC000111
61	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	
62	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	MGBC000112
63	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC000113
64	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	
65	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	MGBC000116
66	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	
67	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	MGBC000118
68	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
69	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
70	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	MGBC000120
71	Actinobacteriota					
73	Actinobacteriota	Coriobacteriia	Coriobacteriales			
74	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae		
75	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-34	
76	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-34	MGBC000134
77	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae		
78	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
79	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	MGBC000135
80	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	MGBC000137
