MouseID,Generation,Cohort,JobGroup,BWDay,HID,LHID,Diet,EN,Coat,Status,DOB,DOE,COE,SurvDays,Died,AnimalComments,CAST
DO-40-2162,G28,G28W1,G28W1D1,Tuesday,6473,9053,40,R,white,Dead,9/19/17,2/16/22,Found Dead (FD),1611,TRUE,NA,FALSE
DO-40-2179,G28,G28W2,G28W2D1,Tuesday,6535,6535,40,L,other,Dead,10/10/17,1/14/22,Found Dead (FD),1557,TRUE,106-B8-2020-Right Eye Damage-5/5/20-12/17/20(H),TRUE
DO-40-2181,G28,G28W2,G28W2D1,Tuesday,6535,6535,40,2R,other,Dead,10/10/17,12/21/21,Requested Euthanasia (RE),1533,TRUE,NA,FALSE
DO-40-2187,G28,G28W2,G28W2D2,Tuesday,6536,6536,40,L,other,Dead,10/10/17,12/8/21,Euthanized Sick (ES),1520,TRUE,NA,FALSE
DO-40-2099,G26,G26W1,G26W1D1,Thursday,5840,5840,40,L,other,Dead,3/21/17,9/14/21,Euthanized Sick (ES),1638,TRUE,RE by GAV. Agnes. Moribund.,FALSE
DO-40-2167,G28,G28W1,G28W1D1,Tuesday,6473,6473,40,3R,other,Dead,9/19/17,7/26/21,Found Dead (FD),1406,TRUE,122-B8-2020-Bite Wounds to Tail-5/26/20-12/17/20(H). Death Date not written on card but case 19779-B8-21 says FD by staff 7/26/2021.,FALSE
DO-40-2146,G27,G27W2,G27W2D1,Monday,6305,6305,40,R,other,Dead,7/18/17,7/20/21,Found Dead (FD),1463,TRUE,NA,FALSE
DO-40-2126,G26,G26W2,G26W2D2,Thursday,5883,5883,40,2L,other,Dead,4/11/17,6/30/21,Found Dead (FD),1541,TRUE,2L. cloudy right eye 9/24/20,FALSE
DO-40-2117,G26,G26W2,G26W2D1,Thursday,5882,5882,40,2R,other,Dead,4/11/17,6/22/21,Found Dead (FD),1533,TRUE,2R,FALSE
DO-20-1136,G27,G27W1,G27W1D1,Monday,6184,6184,20,3L,black,Dead,6/27/17,6/11/21,Euthanized Sick (ES),1445,TRUE,"very jumpy, jumps out of cup 6/11/21 could no longer right it's self, cold, labored breathing",TRUE
DO-40-2141,G27,G27W1,G27W1D2,Monday,6187,6187,40,2R,other,Dead,6/27/17,6/11/21,Euthanized Sick (ES),1445,TRUE,"ruffled fur, squinted eyes, piloerection across body and head, slight head tilt 4/19/21 could no longed right it self, cold, labored breathing
",FALSE
DO-40-2153,G27,G27W2,G27W2D2,Monday,6306,6306,40,N,white,Dead,7/18/17,5/24/21,Found Dead (FD),1406,TRUE,right eye damage 6/29/18. 125-B8-2018(observation)-Right Eye Damage-8/24/18-3/9/20(H),TRUE
DO-40-2107,G26,G26W1,G26W1D2,Thursday,5841,5841,40,L,other,Dead,3/21/17,5/3/21,Found Dead (FD),1504,TRUE,"L. Looks like B EN 6/5/20. derm on ears.254-B8-2020-Eye Damage to Right eye-11/18/20- Clam administered 0.5% ketrolac once daily for eye damage treatment 11/19/20-  Mouse given hydorgel, slightly dehydrated 12/23/20",FALSE
DO-40-2118,G26,G26W2,G26W2D1,Thursday,5882,5882,40,2L,other,Dead,4/11/17,4/27/21,Requested Euthanasia (RE),1477,TRUE,2L.,TRUE
DO-40-2115,G26,G26W2,G26W2D1,Thursday,5882,5882,40,L,white,Dead,4/11/17,4/15/21,Found Dead (FD),1465,TRUE,L,TRUE
DO-40-2164,G28,G28W1,G28W1D1,Tuesday,6473,6473,40,B,white,Dead,9/19/17,4/12/21,Found Dead (FD),1301,TRUE,NA,FALSE
DO-40-2192,G28,G28W2,G28W2D2,Tuesday,6536,6536,40,3L,black,Dead,10/10/17,4/12/21,Found Dead (FD),1280,TRUE,16355-B8-21-Ulcerated Tumor hip of right leg-4/7/21-4/12/21 (DIT),FALSE
DO-20-1152,G27,G27W2,G27W2D1,Monday,6303,6303,20,2R1L,other,Dead,7/18/17,4/2/21,Found Dead (FD),1354,TRUE,EN was originally 3L but closed up - EN changed to 2R1L. derm on ears 7/6/20. 285-B8-2020-Derm to dorsal neck and left shoulder-12/14/20-,FALSE
DO-20-1151,G27,G27W2,G27W2D1,Monday,6303,6303,20,3R,other,Dead,7/18/17,3/31/21,Found Dead (FD),1352,TRUE,176-B8-2020-Mild Derm to Upper Back-7/29/20-8/27/20(H) 226-B8-2020-Derm on Ears-10/7/20-10/26/20(H) 285-B8-2020-Derm to dorsal neck-12/14/20-12/23/20(H),FALSE
DO-20-1186,G28,G28W2,G28W2D1,Tuesday,6534,6534,20,R,other,Dead,10/10/17,3/29/21,Found Dead (FD),1266,TRUE,REN,FALSE
DO-40-2184,G28,G28W2,G28W2D1,Tuesday,6535,6535,40,3L,black,Dead,10/10/17,3/29/21,Found Dead (FD),1266,TRUE,NA,FALSE
DO-40-2159,G27,G27W2,G27W2D2,Monday,6306,6306,40,3R,other,Dead,7/18/17,3/23/21,Found Dead (FD),1344,TRUE,NA,TRUE
DO-40-2183,G28,G28W2,G28W2D1,Tuesday,6535,6535,40,3R,other,Dead,10/10/17,3/3/21,Found Dead (FD),1240,TRUE,13046-B8-2021-Tumor On Left Shoulder-1/12/21-2/11/21(H),FALSE
DO-2D-4171,G28,G28W1,G28W1D2,Tuesday,6478,6478,2D,L,other,Dead,9/19/17,3/1/21,Found Dead (FD),1259,TRUE,"Case 13A-B8-2019-  Slight white discharge, Blepharospasm, Conjuctivitis-1/25/19-2/10/20(no change in condition- case closed). Distended abdomen 5/12/20",FALSE
DO-20-1188,G28,G28W2,G28W2D1,Tuesday,6534,6534,20,B,other,Dead,10/10/17,2/15/21,Found Dead (FD),1224,TRUE,NA,FALSE
DO-40-2168,G28,G28W1,G28W1D1,Tuesday,6473,6473,40,3L,other,Dead,9/19/17,1/29/21,Found Dead (FD),1228,TRUE,NA,FALSE
DO-40-2156,G27,G27W2,G27W2D2,Monday,6306,6306,40,B,other,Dead,7/18/17,1/18/21,Requested Euthanasia (RE),1280,TRUE,"has tears in one ear that make it look like 3R1L 10/1/18 very scuffy looking. exposed tissue corner of right eye 4/20/20. 134-B8-2020-Eye Damage to Right Eye-6/21/20-1/18/21(DIT) Euthanized per CLAM for unresolved eye damage treatment causing possible pain and distress( large tumor like mass behind right eye, mouse is hunched, scruffy and sickly.) This mouse was incorrectly marked dead on 11/29/20",FALSE
DO-20-1156,G27,G27W2,G27W2D1,Monday,6304,6304,20,B,other,Dead,7/18/17,1/11/21,Found Dead (FD),1273,TRUE,"slow movements, tremor, hunched posture, breathing looks slightly labored. Added daily feeding to pen floor 12/16/20. hydrogel added to pen floor on 12/26/20
",FALSE
DO-2D-4167,G28,G28W1,G28W1D2,Tuesday,6477,6477,2D,3R,other,Dead,9/19/17,12/31/20,Found Dead (FD),1199,TRUE,NA,FALSE
DO-2D-4172,G28,G28W1,G28W1D2,Tuesday,6478,6478,2D,B,other,Dead,9/19/17,12/26/20,Found Dead (FD),1194,TRUE,NA,FALSE
DO-20-1170,G28,G28W1,G28W1D1,Tuesday,6472,6472,20,R,white,Dead,9/19/17,12/14/20,Euthanized Sick (ES),1182,TRUE,"256-B8-2020-Other-Increase in Respiratory Rate-11/19/20-12/14/20(DIT) Mouse put on weekly observation by clam on 11/18/20(shock staff will check on Mondays and clam staff on Fridays). Given hydrogel on 12/11/20. Euthanized on 12/14/20- severely dehydrated(gel cup has not been touched) and has only consumed a small amount of food given from weekend feeding, eyes are held closed, hunched posture, tremor, limited movements, cold to touch",FALSE
DO-20-1157,G27,G27W2,G27W2D1,Monday,6304,6304,20,2R,other,Dead,7/18/17,12/11/20,Found Dead (FD),1242,TRUE,"pilorection across body and head, slow and labored movements 12/9/20",FALSE
DO-40-2070,G24,G24W1,G24W1D1,Wednesday,4974,4974,40,2L,other,Dead,9/20/16,12/8/20,Euthanized Sick (ES),1540,TRUE,"2LEN. cloudy left eye. 219-B8-2020-Trauma to Tail Tip/Bloody and Raw-9/27/20-11/2/20(H) 253-B8-2020-Trauma to Tail-11/15/20-12/8/20(DIT) Mouse given hydrogel 11/17/20 per clam. Found on 12/8/20 unable to stand or move and stuck in gel cup, cold to touch Euthanized MLL",TRUE
DO-2D-4186,G28,G28W2,G28W2D2,Tuesday,6540,6540,2D,R,white,Dead,10/10/17,12/4/20,Requested Euthanasia (RE),1151,TRUE,"254A-B8-2020-Derm on Ears-11/15/20-12/4/20(DIT) labored breathing, ruffled fur, tremor 11/30/20. 12/3/20-Left rear foot is swollen and raw along with tail lesions(possible self-trauma). Mouse given Buprenorphine SR at 0.5mg/kg SC on 12/3/20. Requested Euthanasia from CLAM for being unresponsive to treatment and in apparent pain and distress. Mouse has open wounds on heels with possible bone exposure, fresh ulcer on lateral side, dehydrated, lethargic, and starting to feel cold to touch. Euthanized on 12/4/20 by MLL",TRUE
DO-40-2186,G28,G28W2,G28W2D2,Tuesday,6536,6536,40,R,other,Dead,10/10/17,12/2/20,Found Dead (FD),1149,TRUE,"piloerection across body and head, hunched posture, BCS 1 11/23/20",FALSE
