id	animal	collection	age.months	cage
02-01	1	2	1	A
02-02	2	2	1	A
02-03	3	2	1	A
02-04	4	2	1	A
02-05	5	2	1	A
02-06	6	2	1	B
02-07	7	2	1	B
02-08	8	2	1	B
02-09	9	2	1	B
02-10	10	2	1	B
02-11	11	2	1	C
02-12	12	2	1	C
02-13	13	2	1	C
02-14	14	2	1	C
02-15	15	2	1	C
08-01	1	8	3	A
08-02	2	8	3	A
08-03	3	8	3	A
08-04	4	8	3	A
08-05	5	8	3	A
08-06	6	8	3	B
08-07	7	8	3	B
08-08	8	8	3	B
08-09	9	8	3	B
08-10	10	8	3	B
08-11	11	8	3	C
08-12	12	8	3	C
08-13	13	8	3	C
08-14	14	8	3	C
08-15	15	8	3	C
12-01	1	12	6	A
12-02	2	12	6	A
12-03	3	12	6	A
12-04	4	12	6	A
12-05	5	12	6	A
12-06	6	12	6	B
12-07	7	12	6	B
12-08	8	12	6	B
12-09	9	12	6	B
12-10	10	12	6	B
12-11	11	12	6	C
12-12	12	12	6	C
12-13	13	12	6	C
12-14	14	12	6	C
12-15	15	12	6	C
14-01	1	14	10	A
14-02	2	14	10	A
14-03	3	14	10	A
14-04	4	14	10	A
14-05	5	14	10	A
14-06	6	14	10	B
14-07	7	14	10	B
14-08	8	14	10	B
14-09	9	14	10	B
14-10	10	14	10	B
14-11	11	14	10	C
14-12	12	14	10	C
14-13	13	14	10	C
14-14	14	14	10	C
14-15	15	14	10	C
16-01	1	16	13	A
16-02	2	16	13	A
16-03	3	16	13	A
16-04	4	16	13	A
16-05	5	16	13	A
16-06	6	16	13	B
16-07	7	16	13	B
16-08	8	16	13	B
16-09	9	16	13	B
16-10	10	16	13	B
16-11	11	16	13	C
16-12	12	16	13	C
16-13	13	16	13	C
16-15	15	16	13	C
18-01	1	18	15	A
18-02	2	18	15	A
18-03	3	18	15	A
18-04	4	18	15	A
18-05	5	18	15	A
18-06	6	18	15	B
18-07	7	18	15	B
18-08	8	18	15	B
18-09	9	18	15	B
18-10	10	18	15	B
18-11	11	18	15	C
18-12	12	18	15	C
18-13	13	18	15	C
18-14	14	18	15	C
18-15	15	18	15	C
20-01	1	20	18	A
20-02	2	20	18	A
20-03	3	20	18	A
20-04	4	20	18	A
20-05	5	20	18	A
20-06	6	20	18	B
20-07	7	20	18	B
20-10	10	20	18	C
20-11	11	20	18	C
20-12	12	20	18	C
20-13	13	20	18	C
20-15	15	20	18	C
23-01	1	23	23	A
23-02	2	23	23	A
23-03	3	23	23	A
23-04	4	23	23	A
23-05	5	23	23	A
23-06	6	23	23	B
23-07	7	23	23	B
23-08	8	23	23	B
23-09	9	23	23	B
23-10	10	23	23	B
23-11	11	23	23	C
23-15	15	23	23	C
24-01	1	24	26	A
24-02	2	24	26	A
24-03	3	24	26	A
24-04	4	24	26	A
24-05	5	24	26	A
24-07	7	24	26	B
24-08	8	24	26	B
24-09	9	24	26	B
24-10	10	24	26	B
24-13	13	24	26	C
24-15	15	24	26	C
26-02	2	26	28	A
26-03	3	26	28	A
26-07	7	26	28	B
26-08	8	26	28	B
26-10	10	26	28	B
26-11	11	26	28	C
26-12	12	26	28	C
26-13	13	26	28	C
26-15	15	26	28	C
28-04	4	28	31	A
28-09	9	28	31	B
28-10	10	28	31	B
28-11	11	28	31	C
28-12	12	28	31	C
30-11	11	30	34	C
30-12	12	30	34	C
30-15	15	30	34	C
