accession	seq_ID
SRR27304009	MXSHSYTF|QMAJEQCD
SRR27303767	GXTYZQDU|LHRSEPWL
SRR27304240	AVORZQNN|HYHLYXHU
SRR27304367	DWDZVZYH|VHTCYRBU
SRR27303772	CEYVOTAD|LUPOYYMQ
SRR27304171	GQQOSBVK|WQQDBHCA
SRR27303998	FYTRQJCB|UBLLWDTC
SRR27304527	HUPHZSJN|ITZEGKPG
SRR27304419	DNITZUXE|PXHNQJFB
SRR27304406	IUTGMAID|YQFLFGHD
SRR27304007	WCEORKBG|YRHEDHUT
SRR27304262	TMTGGWXK
SRR27303765	FNSAZHLN
SRR27304078	GWWLXUZU
SRR27304387	RCKQDCBG
SRR27304062	ULTYRUUU
SRR27304049	INSJIYGF
SRR27304371	ZNNEYTQM
SRR27304046	JFTQKPQQ
SRR27304250	TLAZPXJE
SRR27304239	NMNBUAJI
SRR27303910	GBYMEVJR
SRR27303905	CBOHUHMP
SRR27303875	EWTXAUSJ
SRR27303881	NFOZBPOW
SRR27303842	JNXMFAMH
SRR27303855	FKFJTPHJ
SRR27303843	RSJZPPNL
SRR27304220	VUHWVDJZ
SRR27304210	UYAZYJNX
SRR27304366	KWHYYKGE
SRR27303826	LGFDIIWV
SRR27303838	LBIJUGXD
SRR27303800	BUFDRVTM
SRR27303813	QUUBZBFR
SRR27303803	IOUYBSPK
SRR27303792	TWVJWXNP
SRR27304025	ZFCEYICR
SRR27304014	WUBWZBVP
SRR27303783	IQFUMAZJ
SRR27303771	LJNFVHUL
SRR27304198	ADVTEMGI
SRR27304187	XJSLYDAI
SRR27304341	YKDXFZSF
SRR27304330	MGHPPDVF
SRR27304319	SKAYPPSZ
SRR27304308	YAMUXWFV
SRR27304012	KOTSRYGM
SRR27304510	YZXAXVGM
SRR27304499	OSYAWYXF
SRR27304170	TGXJLJDK
SRR27304159	JMBXZUBY
SRR27304291	KXZEOBKQ
SRR27304280	ZNHUAWJJ
SRR27304489	FWKMREFN
SRR27304477	UKFGHZKZ
SRR27304466	WYGZYMBY
SRR27304452	ELWIRXMP
SRR27304457	OYCNXQLW
SRR27304138	BGMQXRDD
