sample.id	timepoint	timepoint.short	group	cage	ear	mouse	run
S2_337_N	2 weeks post separation	S2	Y	c337	N	337_N	2
S2_337_R	2 weeks post separation	S2	Y	c337	R	337_R	2
S2_337_L	2 weeks post separation	S2	Y	c337	L	337_L	2
S2_337_B	2 weeks post separation	S2	Y	c337	B	337_B	2
S2_337_2R	2 weeks post separation	S2	Y	c337	2R	337_2R	2
S2_338_N	2 weeks post separation	S2	Y	c338	N	338_N	2
S2_338_R	2 weeks post separation	S2	Y	c338	R	338_R	2
S2_338_L	2 weeks post separation	S2	Y	c338	L	338_L	2
S2_338_B	2 weeks post separation	S2	Y	c338	B	338_B	2
S2_338_2R	2 weeks post separation	S2	Y	c338	2R	338_2R	2
S2_169_N	2 weeks post separation	S2	O	c169	N	169_N	2
S2_169_R	2 weeks post separation	S2	O	c169	R	169_R	2
S2_169_L	2 weeks post separation	S2	O	c169	L	169_L	2
S2_169_B	2 weeks post separation	S2	O	c169	B	169_B	2
S2_169_2R	2 weeks post separation	S2	O	c169	2R	169_2R	2
S2_767_N	2 weeks post separation	S2	O	c767	N	767_N	2
S2_767_R	2 weeks post separation	S2	O	c767	R	767_R	2
S2_767_L	2 weeks post separation	S2	O	c767	L	767_L	2
S2_767_B	2 weeks post separation	S2	O	c767	B	767_B	2
S2_767_2R	2 weeks post separation	S2	O	c767	2R	767_2R	2
S2_166_N	2 weeks post separation	S2	CY	c166	N	166_N	2
S2_166_R	2 weeks post separation	S2	CY	c166	R	166_R	2
S2_166_L	2 weeks post separation	S2	CY	c166	L	166_L	2
S2_166_B	2 weeks post separation	S2	CO	c166	B	166_B	2
S2_166_2R	2 weeks post separation	S2	CO	c166	2R	166_2R	2
S2_766_N	2 weeks post separation	S2	CY	c766	N	766_N	2
S2_766_R	2 weeks post separation	S2	CY	c766	R	766_R	2
S2_766_L	2 weeks post separation	S2	CY	c766	L	766_L	2
S2_766_B	2 weeks post separation	S2	CO	c766	B	766_B	2
S2_766_2R	2 weeks post separation	S2	CO	c766	2R	766_2R	2
S2_334_N	2 weeks post separation	S2	exCY	c334	N	334_N	2
S2_334_R	2 weeks post separation	S2	exCY	c334	R	334_R	2
S2_334_L	2 weeks post separation	S2	exCY	c334	L	334_L	2
S2_334_B	2 weeks post separation	S2	exCO	c334	B	334_B	2
