original	short	short.clean
AEROBACTINSYN-PWY: aerobactin biosynthesis	AEROBACTINSYN-PWY	AEROBACTINSYNPWY
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	ALLANTOINDEG-PWY	ALLANTOINDEGPWY
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	ALL-CHORISMATE-PWY	ALLCHORISMATEPWY
ANAEROFRUCAT-PWY: homolactic fermentation	ANAEROFRUCAT-PWY	ANAEROFRUCATPWY
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY	ANAGLYCOLYSISPWY
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	ARGDEG-PWY	ARGDEGPWY
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	ARGININE-SYN4-PWY	ARGININESYN4PWY
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	ARGININE-SYN4-PWY	ARGININESYN4PWY
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	ARGORNPROST-PWY	ARGORNPROSTPWY
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN	ARGPOLYAMINESYN
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY	ARGSYNBSUBPWY
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY	ARGSYNPWY
ARO-PWY: chorismate biosynthesis I	ARO-PWY	AROPWY
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	ASPASN-PWY	ASPASNPWY
AST-PWY: L-arginine degradation II (AST pathway)	AST-PWY	ASTPWY
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY	BIOTINBIOSYNTHESISPWY
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	BRANCHEDCHAINAASYNPWY
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	BRANCHEDCHAINAASYNPWY
CALVIN-PWY: Calvin-Benson-Bassham cycle	CALVIN-PWY	CALVINPWY
CARNMET-PWY: L-carnitine degradation I	CARNMET-PWY	CARNMETPWY
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	CATECHOL-ORTHO-CLEAVAGE-PWY	CATECHOLORTHOCLEAVAGEPWY
CENTFERM-PWY: pyruvate fermentation to butanoate	CENTFERM-PWY	CENTFERMPWY
CITRULBIO-PWY: L-citrulline biosynthesis	CITRULBIO-PWY	CITRULBIOPWY
