seq.ID	lib.ID	date.seq.run	machine	lane
AAFJPMKZ	LB132_G09	220915	A01147	4
AANRMCHE	LB15_G06	210430	A01059	1
AAZWCHIN	LB47_D10	210921	A01059	4
ABNGXNOE	LB83_B06	211013	A01059	4
ABPUIWML	LB118_G01	220915	A01147	4
ABSBIHCS	LB10_F02	210505	A01059	2
ABSQNHKU	LB31_D06	211109	A01059	1
ABVHWLHB	LB42_G04	211013	A01059	2
ABVLBKYM	LB60_G06	211013	A01059	1
ABWWCACL	LB85_F01	220815	A01147	2
ABXJGSZN	LB118_B09	220915	A01147	4
ACGIZVJC	LB131_B06	220915	A01147	3
ACQJAQJI	LB129_D07	220815	A01147	2
ACYJTEAH	LB96_E05	220815	A01147	4
ADJOXIWE	LB56_A08	210921	A01059	1
ADRDSHHP	LB68_G03	211001	A01059	4
ADVTEMGI	LB11_H04	210430	A01059	3
ADWGFNUA	LB121_A05	220915	A01147	2
ADYPRNYH	LB47_A02	210921	A01059	4
ADZWFBIK	LB75_D12	210921	A01059	2
AEJRBMCB	LB87_F06	220815	A01147	3
AEOCOOAL	LB17_E01	210921	A01059	1
AERSXFMH	LB122_A11	220815	A01147	1
AERVXSPN	LB80_B09	211013	A01059	3
AEXAJGVE	LB29_F08	210921	A01059	3
AFGZRYPZ	LB92_G04	220815	A01147	1
AFMZKXBQ	LB85_H06	220815	A01147	2
AFSOAWYZ	LB17_D03	210921	A01059	1
AFSYQRQU	LB101_B06	220815	A01147	3
AFTDPMYF	LB54_H08	211013	A01059	4
AFXSXEUB	LB73_C12	211013	A01059	2
AGCGZCGN	LB6_A12	210430	A01059	3
AGEDUDKA	LB31_G07	211001	A01059	3
AGHDRWRY	LB8_B02	210505	A01059	1
AGICORNV	LB129_D06	220815	A01147	2
AGQPQORD	LB63_F10	211001	A01059	1
AGRSYSWM	LB129_B10	220815	A01147	2
AGUERGLQ	LB108_H05	220815	A01147	4
AGXUWDWU	LB52_D08	211001	A01059	1
AHCIADOU	LB122_A06	220815	A01147	1
AHEVRLZX	LB85_C06	220815	A01147	2
AHKEOUZW	LB25_G06	210921	A01059	2
AHMIMDCD	LB92_E05	220815	A01147	1
AHUBKAZW	LB122_G05	220815	A01147	1
AHYITYOZ	LB77_F09	211001	A01059	3
AIDYDICA	LB52_D09	211001	A01059	1
AIGFMAHS	LB130_E12	220915	A01147	2
AILKHNQG	LB122_A10	220815	A01147	1
AIMYBZOP	LB77_E05	211001	A01059	3
AISIBVBH	LB129_E12	220815	A01147	2
AIYZWYDO	LB63_C08	211001	A01059	1
AIZCWDVK	LB68_D03	211001	A01059	4
AJINFKJJ	LB47_A12	210921	A01059	4
AJPNNDMI	LB50_B05	211001	A01059	2
AKAYSECA	LB131_A03	220915	A01147	3
AKBSJBFX	LB68_A10	211001	A01059	4
AKLMQOHO	LB75_D05	210921	A01059	2
AKNVOWCP	LB68_B06	220915	A01147	4
AKWNEEFX	LB77_D05	211001	A01059	3
ALBZETMA	LB13_G04	210430	A01059	2
ALEXMDKB	LB37_A09	211001	A01059	4
ALHIZJGD	LB17_E02	210921	A01059	1
ALTFIQGC	LB5_C09	210430	A01059	2
ALZINFJX	LB3_A06	210430	A01059	1
AMHEZIMY	LB51_H07	211001	A01059	2
AMMXJNHU	LB75_F07	210921	A01059	2
AMNBPMBS	LB73_E01	211013	A01059	2
AMNEQIHC	LB130_G06	220915	A01147	2
AMQOKHBS	LB15_D10	210430	A01059	1
AMUGLYFS	LB87_H02	220815	A01147	3
AMXJYGTT	LB8_A09	210430	A01059	4
AMXTJNIG	LB60_G07	211013	A01059	1
ANCPUZGW	LB129_B11	220815	A01147	2
ANFESDNO	LB118_D12	220915	A01147	4
ANMWUMYN	LB13_C04	210430	A01059	2
ANMXCNJX	LB82_B01	211013	A01059	4
ANNOYVPE	LB20_B04	210505	A01059	2
ANPTNQPR	LB50_E09	211001	A01059	2
ANUEKTRQ	LB87_D01	220815	A01147	3
ANZKFSOK	LB39_C08	211013	A01059	2
AOABRZTM	LB31_F05	211109	A01059	2
