seq.ID	orig.seq.ID	lib.ID	date.seq.run	machine	lane
KPCWUDPC	DO_1D_3001_038w_S29	LB3_H04	210430	A01059	1
KLPQHZOK	DO_1D_3001_044w_S4_Run78	LB2_B01	210505	A01059	1
KQHOAZCU	DO_1D_3001_069w_S69	LB5_G09	210430	A01059	2
EVDBXQOI	DO_1D_3001_097w_S11	LB6_D02	210430	A01059	3
VVOQVLCF	DO_1D_3001_121w_S84	LB20_E12	210430	A01059	1
NPOWVUAL	DO_1D_3002_038w_S36	LB3_H05	210430	A01059	1
CUTMJHQG	DO_1D_3002_044w_S2	LB2_B02	210430	A01059	1
DBTQDWEP	DO_1D_3002_069w_S70	LB5_H09	210430	A01059	2
BTLVZUSY	DO_1D_3002_097w_S19	LB6_D03	210430	A01059	3
OMWWKIAI	DO_1D_3003_038w_S44	LB3_H06	210430	A01059	1
JLSESMCG	DO_1D_3003_044w_S3	LB2_B03	210430	A01059	1
IQNLCFDZ	DO_1D_3003_069w_S71	LB5_A10	210430	A01059	2
QMPFASNE	DO_1D_3003_097w_S26	LB6_D04	210430	A01059	3
SNMXLYGY	DO_1D_3003_121w_S81	LB6_G12	210430	A01059	3
YMQDMOPF	DO_1D_3004_038w_S1	LB4_A01	210430	A01059	2
SHCVRAHY	DO_1D_3004_044w_S1	LB2_B04	210430	A01059	3
EVWCWYWU	DO_1D_3004_069w_S72	LB5_B10	210430	A01059	2
MLDCCLKI	DO_1D_3007_038w_S2	LB4_B01	210430	A01059	2
IBVHLLMZ	DO_1D_3007_044w_S3	LB2_B05	210430	A01059	3
VRIGVDNT	DO_1D_3007_069w_S73	LB5_C10	210430	A01059	2
SXAVRHLV	DO_1D_3008_038w_S3	LB4_C01	210430	A01059	2
GFVKCLNO	DO_1D_3008_044w_S4	LB2_C01	210430	A01059	3
CFJFXMKB	DO_1D_3008_069w_S74	LB5_D10	210430	A01059	2
VURBYHNU	DO_1D_3009_038w_S4	LB4_D01	210430	A01059	2
EBXLDOWW	DO_1D_3009_044w_S6	LB2_C02	210430	A01059	3
HDJFKXPA	DO_1D_3010_038w_S5	LB4_E01	210430	A01059	2
BKRSFUGD	DO_1D_3010_044w_S9	LB2_C03	210430	A01059	3
YUAVPGXN	DO_1D_3010_069w_S75	LB5_E10	210430	A01059	2
BGGGJABV	DO_1D_3010_097w_S34	LB6_D05	210430	A01059	3
EOFDKZDO	DO_1D_3010_121w_S8	LB6_H01	210430	A01059	3
VVWACVRM	DO_1D_3010_148w_S106	LB8_C09	210430	A01059	4
IGOZAJBM	DO_1D_3010_148w_S89	LB8_C09	210505	A01059	1
XFOBPUOQ	DO_1D_3011_038w_S6	LB4_F01	210430	A01059	2
