stool.ID	mouse.ID	sample.type	ext.batch	age.wks.chr	age.wks	age.approx.wks	age.approx.months	date.stool.collection.str	date.stool.collection.approx
DO_1D_3001_038w	DO-1D-3001	DO	3	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3001_044w	DO-1D-3001	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3001_069w	DO-1D-3001	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3001_097w	DO-1D-3001	DO	6	097w	97	96	22	2017-12-18/2017-12-20	2017-12-18
DO_1D_3002_038w	DO-1D-3002	DO	3	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3002_044w	DO-1D-3002	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3002_069w	DO-1D-3002	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3002_097w	DO-1D-3002	DO	6	097w	97	96	22	2017-12-18/2017-12-20	2017-12-18
DO_1D_3003_038w	DO-1D-3003	DO	3	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3003_044w	DO-1D-3003	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3003_069w	DO-1D-3003	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3003_097w	DO-1D-3003	DO	6	097w	97	96	22	2017-12-18/2017-12-20	2017-12-18
DO_1D_3003_121w	DO-1D-3003	DO	6	121w	121	121	28	2018-06-04/2018-06-06	2018-06-04
DO_1D_3004_038w	DO-1D-3004	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3004_044w	DO-1D-3004	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3004_069w	DO-1D-3004	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3007_038w	DO-1D-3007	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3007_044w	DO-1D-3007	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3007_069w	DO-1D-3007	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3008_038w	DO-1D-3008	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3008_044w	DO-1D-3008	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3008_069w	DO-1D-3008	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3009_038w	DO-1D-3009	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3009_044w	DO-1D-3009	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3010_038w	DO-1D-3010	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3010_044w	DO-1D-3010	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3010_069w	DO-1D-3010	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3010_097w	DO-1D-3010	DO	6	097w	97	96	22	2017-12-18/2017-12-20	2017-12-18
DO_1D_3010_121w	DO-1D-3010	DO	6	121w	121	121	28	2018-06-04/2018-06-06	2018-06-04
DO_1D_3010_148w	DO-1D-3010	DO	7	148w	148	148	34	2018-12-10/2018-12-12	2018-12-10
DO_1D_3011_038w	DO-1D-3011	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3011_044w	DO-1D-3011	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3011_069w	DO-1D-3011	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3011_121w	DO-1D-3011	DO	6	121w	121	121	28	2018-06-04/2018-06-06	2018-06-04
DO_1D_3011_148w	DO-1D-3011	DO	7	148w	148	148	34	2018-12-10/2018-12-12	2018-12-10
DO_1D_3012_038w	DO-1D-3012	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3012_044w	DO-1D-3012	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3012_069w	DO-1D-3012	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3013_038w	DO-1D-3013	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3013_044w	DO-1D-3013	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3013_069w	DO-1D-3013	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3013_097w	DO-1D-3013	DO	6	097w	97	96	22	2017-12-18/2017-12-20	2017-12-18
DO_1D_3014_038w	DO-1D-3014	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3014_044w	DO-1D-3014	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3014_069w	DO-1D-3014	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3014_097w	DO-1D-3014	DO	6	097w	97	96	22	2017-12-18/2017-12-20	2017-12-18
DO_1D_3014_121w	DO-1D-3014	DO	6	121w	121	121	28	2018-06-04/2018-06-06	2018-06-04
DO_1D_3015_038w	DO-1D-3015	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3016_038w	DO-1D-3016	DO	4	038w	38	35	8	2016-10-31	2016-10-31
DO_1D_3016_044w	DO-1D-3016	DO	2	044w	44	44	10	2016-12-14/2016-12-16	2016-12-14
DO_1D_3016_069w	DO-1D-3016	DO	5	069w	69	69	16	2017-06-05/2017-06-07	2017-06-05
DO_1D_3017_035w	DO-1D-3017	DO	9	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3017_043w	DO-1D-3017	DO	11	043w	43	44	10	2016-12-28/2016-12-30	2016-12-28
DO_1D_3017_069w	DO-1D-3017	DO	12	069w	69	69	16	2017-06-26/2017-06-28	2017-06-26
DO_1D_3017_097w	DO-1D-3017	DO	14	097w	97	96	22	2018-01-08/2018-01-10	2018-01-08
DO_1D_3018_035w	DO-1D-3018	DO	9	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3018_069w	DO-1D-3018	DO	12	069w	69	69	16	2017-06-26/2017-06-28	2017-06-26
DO_1D_3018_097w	DO-1D-3018	DO	14	097w	97	96	22	2018-01-08/2018-01-10	2018-01-08
DO_1D_3019_035w	DO-1D-3019	DO	9	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3019_069w	DO-1D-3019	DO	13	069w	69	69	16	2017-06-26/2017-06-28	2017-06-26
DO_1D_3019_097w	DO-1D-3019	DO	14	097w	97	96	22	2018-01-08/2018-01-10	2018-01-08
DO_1D_3019_121w	DO-1D-3019	DO	15	121w	121	121	28	2018-06-25/2018-06-27	2018-06-25
DO_1D_3020_035w	DO-1D-3020	DO	9	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3020_043w	DO-1D-3020	DO	11	043w	43	44	10	2016-12-28/2016-12-30	2016-12-28
DO_1D_3020_069w	DO-1D-3020	DO	13	069w	69	69	16	2017-06-26/2017-06-28	2017-06-26
DO_1D_3022_035w	DO-1D-3022	DO	9	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3022_069w	DO-1D-3022	DO	13	069w	69	69	16	2017-06-26/2017-06-28	2017-06-26
DO_1D_3022_097w	DO-1D-3022	DO	14	097w	97	96	22	2018-01-08/2018-01-10	2018-01-08
DO_1D_3022_121w	DO-1D-3022	DO	15	121w	121	121	28	2018-06-25/2018-06-27	2018-06-25
DO_1D_3022_148w	DO-1D-3022	DO	16	148w	148	148	34	2018-12-31/2019-01-02	2018-12-31
DO_1D_3023_035w	DO-1D-3023	DO	9	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3024_035w	DO-1D-3024	DO	10	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3024_043w	DO-1D-3024	DO	11	043w	43	44	10	2016-12-28/2016-12-30	2016-12-28
DO_1D_3024_121w	DO-1D-3024	DO	15	121w	121	121	28	2018-06-25/2018-06-27	2018-06-25
DO_1D_3024_148w	DO-1D-3024	DO	16	148w	148	148	34	2018-12-31/2019-01-02	2018-12-31
DO_1D_3026_035w	DO-1D-3026	DO	10	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3026_043w	DO-1D-3026	DO	11	043w	43	44	10	2016-12-28/2016-12-30	2016-12-28
DO_1D_3026_069w	DO-1D-3026	DO	13	069w	69	69	16	2017-06-26/2017-06-28	2017-06-26
DO_1D_3026_097w	DO-1D-3026	DO	14	097w	97	96	22	2018-01-08/2018-01-10	2018-01-08
DO_1D_3026_121w	DO-1D-3026	DO	15	121w	121	121	28	2018-06-25/2018-06-27	2018-06-25
DO_1D_3026_148w	DO-1D-3026	DO	16	148w	148	148	34	2018-12-31/2019-01-02	2018-12-31
DO_1D_3027_035w	DO-1D-3027	DO	10	035w	35	35	8	2016-11-02	2016-11-02
DO_1D_3027_043w	DO-1D-3027	DO	11	043w	43	44	10	2016-12-28/2016-12-30	2016-12-28
