seq.ID	perc.unclass.kraken
KPCWUDPC	4.9
KLPQHZOK	10.3
KQHOAZCU	6.4
EVDBXQOI	6.6
VVOQVLCF	5.1
NPOWVUAL	5
CUTMJHQG	5.7
DBTQDWEP	4.9
BTLVZUSY	4
OMWWKIAI	6.3
JLSESMCG	6.5
IQNLCFDZ	4.7
QMPFASNE	5.4
SNMXLYGY	5.7
YMQDMOPF	3.8
SHCVRAHY	6.6
EVWCWYWU	4.2
MLDCCLKI	5.4
IBVHLLMZ	5.9
VRIGVDNT	4.4
SXAVRHLV	4.9
GFVKCLNO	11.8
CFJFXMKB	5.2
VURBYHNU	4.3
EBXLDOWW	5.1
HDJFKXPA	4
BKRSFUGD	5.1
YUAVPGXN	5
BGGGJABV	4.5
EOFDKZDO	4.2
VVWACVRM	4.9
IGOZAJBM	4.5
XFOBPUOQ	4.3
WGPIICLS	6.8
QFIKFSST	3.5
CPEQETWC	2.6
MSXPMIVC	4.7
SJHRWWOM	4.4
FIVGVEXP	4.6
OVUSVFLA	11.6
LDYWXBHE	5.9
NXNFERIN	3.9
DXWCYAVL	3.9
GXLPHDJT	5.2
PVPMNWLK	4.3
CYRMDWOK	3.9
GCRYUCTA	17.5
IQRJAXMH	5.2
RAKQIJUF	4.5
LTLYEDRG	3.5
QYERFKNP	3.3
BHYDRHRR	4.5
VAUYOCGH	7.9
QUGMYNKR	2.6
NYDCGVBB	8
CUOYUCWI	7.5
PPAIASTB	4.9
DFPNGNRL	4.4
KDTXQQOX	4.3
IZMLAKGD	4
UKDKFPIO	7.6
WSAOYSYG	7
ETWSUPNC	2.5
BQNTQRLR	6.5
GJMIPTKZ	6.1
TRRKBJUJ	3.7
DXOYBIAB	7
HBVNYCZX	5
UYDEQQVX	4.9
FQAHPFRD	4.3
EPUYOWML	4.1
JLTOIFJX	3.8
ATBKNXAQ	5.4
UNEJGNEW	5.3
EUKGXBMU	3.3
OQOAXFRQ	6.7
WPEWQUQO	6.4
MRCQLXCU	7.7
RUHOUTFT	4.2
GQEPUIXQ	4.1
OEXMYFTA	4.7
FUUQGUGK	5.5
IWWBJZAL	4.7
ESJLBXQC	4.2
RHGZDBUY	4.9
MNURGLQA	4.5
NEKKXWSJ	7.8
FPNIOULP	5.3
GSQLFXAM	5.9
CEEMZYVK	5.6
XHKOWMWL	5.9
NJFYTWYT	3
SCRBFXAA	4.3
FWUDRWUJ	4.6
FNALOCVL	5.4
FORYBSKF	6.6
XXIMQGMZ	5.8
NXZNDLKA	4.8
GKCMBCKH	4.5
QQFWIIBD	4.1
GOYCBIWB	6.5
YLJUASNR	2.9
WWRGRGXU	4.2
TADZLCDD	3.5
HMEWRZMZ	4.5
SMLNSWMT	3.9
XNTRHQJN	4
BNIEPCAC	3.7
VOAUNXXZ	4
WZOWTWAC	4.8
VKFZRBWO	4.1
JQLUJLNC	3.3
QIBGVZXK	8.5
WMRVXNXV	8
LXLQYGUT	4.8
BCMASHZF	4.5
UOMJYNMH	4.2
YNMNYNTG	5.2
JFESGTIJ	4.6
YJRIGQWZ	4.6
KJPOVQPC	4.2
