seq.ID	input	both_kept	fwd_only	rev_only	dropped	mm10	host	nonhost
KPCWUDPC	22959426	21045637	684759	291226	937804	654270	654270	19988215
KLPQHZOK	42296016	40178290	558587	319298	1239841	1587793	1587793	37605335
KQHOAZCU	9255880	8976338	152321	69785	57436	389841	389841	8266139
EVDBXQOI	5530481	5336944	113127	51818	28592	36579	36579	5160950
VVOQVLCF	707264	667734	19004	13004	7522	23032	23032	621629
NPOWVUAL	25293351	22983091	683781	363788	1262691	3364284	3364284	18799949
CUTMJHQG	6092022	5473268	173424	96951	348379	80018	80018	5323496
DBTQDWEP	12024911	11670507	163630	109934	80840	1907847	1907847	8989099
BTLVZUSY	5362193	5187365	75039	71161	28628	254972	254972	4703098
OMWWKIAI	19479624	17676110	629607	273669	900238	1716847	1716847	15430245
JLSESMCG	4198532	3764256	143845	61533	228898	27732	27732	3674760
IQNLCFDZ	9126773	8895666	115767	78944	36396	27438	27438	8577513
QMPFASNE	14439168	13875924	330569	143503	89172	408719	408719	12993023
SNMXLYGY	10701923	10304374	229128	98782	69639	871395	871395	8889296
YMQDMOPF	9416605	9104005	190754	73599	48247	989423	989423	7705986
SHCVRAHY	54425714	51104360	913979	574250	1833125	3677308	3677308	45802856
EVWCWYWU	10104239	9775387	198011	79188	51653	88497	88497	9426600
MLDCCLKI	8625071	8333013	191857	59629	40572	553797	553797	7270650
IBVHLLMZ	52908621	49914798	820240	546112	1627471	1140510	1140510	47704991
VRIGVDNT	10831397	10504042	175768	91933	59654	746570	746570	9358168
SXAVRHLV	8703267	8435902	152706	68077	46582	336691	336691	7653346
GFVKCLNO	26893213	25047267	379381	306677	1159888	1829485	1829485	22563935
CFJFXMKB	8933865	8693651	93623	100700	45891	144200	144200	8225517
VURBYHNU	12401887	11968735	269841	98213	65098	551070	551070	10935284
EBXLDOWW	29791758	28073509	396062	321670	1000517	3682259	3682259	23610137
HDJFKXPA	6393761	6190144	116998	49663	36956	355487	355487	5430122
BKRSFUGD	27450885	25665778	308550	326440	1150117	200086	200086	25177745
YUAVPGXN	8447447	8231205	77469	99453	39320	271566	271566	7617801
BGGGJABV	13200006	12723942	270956	117273	87835	163739	163739	12171884
EOFDKZDO	5835399	5616832	128918	54140	35509	302746	302746	5068052
VVWACVRM	3752560	3598295	43001	75500	35764	750059	750059	2661449
IGOZAJBM	12352238	12101621	105202	84560	60855	2329414	2329414	9066801
XFOBPUOQ	6208711	6016902	98870	56097	36842	316065	316065	5479281
WGPIICLS	20123658	18811315	401560	206311	704472	1297218	1297218	17095772
QFIKFSST	8832002	8577838	146718	64593	42853	30962	30962	8274077
CPEQETWC	7340826	7071499	173224	55939	40164	74913	74913	6836239
MSXPMIVC	4128462	3952075	75831	68973	31583	240882	240882	3555696
SJHRWWOM	12938675	12619328	198034	68892	52421	722467	722467	11337040
FIVGVEXP	1187190	1109872	47317	17141	12860	44364	44364	1025692
OVUSVFLA	4042083	3648429	156702	65090	171862	631554	631554	2826139
LDYWXBHE	7514500	7266412	149750	55995	42343	237156	237156	6719379
NXNFERIN	18041972	17423411	118019	331072	169470	408632	408632	16700943
DXWCYAVL	8954424	8672014	158946	74389	49075	1265412	1265412	6815134
GXLPHDJT	7279576	7021630	154368	57077	46501	238138	238138	6505671
PVPMNWLK	6836060	6560936	175995	57305	41824	665932	665932	5564353
CYRMDWOK	11372590	10961184	266646	86240	58520	319644	319644	10270629
GCRYUCTA	12729913	11514651	466252	183662	565348	4515910	4515910	6227521
IQRJAXMH	11558415	11185521	236246	82709	53939	529506	529506	10239240
RAKQIJUF	780846	731820	29599	11905	7522	3474	3474	708510
LTLYEDRG	5846609	5633552	130277	48416	34364	275290	275290	5162680
QYERFKNP	12254570	11885324	207316	90707	71223	329406	329406	11115066
BHYDRHRR	13576887	13214058	168540	121913	72376	821398	821398	11787435
VAUYOCGH	16651339	15021470	452285	256097	921487	1942468	1942468	12521580
QUGMYNKR	9734113	9458960	160617	74188	40348	117649	117649	8969578
NYDCGVBB	4801396	4583266	94386	73723	50021	1022836	1022836	3287382
CUOYUCWI	7854125	7623104	154194	34609	42218	1531404	1531404	5578789
PPAIASTB	8325502	8051924	131645	76381	65552	199515	199515	7589896
DFPNGNRL	7766306	7552652	72371	103547	37736	341100	341100	6797578
KDTXQQOX	4528533	4302510	100880	82390	42753	1176167	1176167	2831080
IZMLAKGD	7804855	7581118	150611	39742	33384	1938196	1938196	5057624
UKDKFPIO	8689130	8346060	210285	73264	59521	1076964	1076964	6852632
WSAOYSYG	6404931	6170743	130275	56348	47565	487396	487396	5375089
ETWSUPNC	8997019	8794326	93052	75726	33915	17383	17383	8395457
BQNTQRLR	3854117	3669655	78990	67352	38120	403418	403418	3101729
GJMIPTKZ	6290095	6121463	107642	30791	30199	605115	605115	5204228
TRRKBJUJ	4925911	4732021	116548	42681	34661	1154015	1154015	3212684
DXOYBIAB	9460578	9197109	130252	71888	61329	485750	485750	8320161
HBVNYCZX	7830841	7605798	123813	58445	42785	509898	509898	6774600
UYDEQQVX	2120350	1970258	84218	32119	33755	113004	113004	1790252
FQAHPFRD	6704874	6524023	111913	34471	34467	237199	237199	6027987
EPUYOWML	3675698	3513858	43407	80814	37619	375211	375211	2983989
JLTOIFJX	5804494	5683431	47766	45896	27401	524569	524569	4872262
ATBKNXAQ	8689385	8391015	136894	89678	71798	1698162	1698162	6220686
UNEJGNEW	10039097	9712013	175350	84760	66974	748282	748282	8386707
EUKGXBMU	8476022	8203686	171464	62179	38693	181317	181317	7766846
OQOAXFRQ	4205217	4052003	28757	101360	23097	102040	102040	3831767
WPEWQUQO	7396253	7266870	46257	65118	18008	153169	153169	6875107
MRCQLXCU	5642124	5472032	73723	61473	34896	215630	215630	5073011
RUHOUTFT	9109548	8810787	164233	72669	61859	252330	252330	8216352
GQEPUIXQ	10419553	10122268	164283	85055	47947	133716	133716	9513642
OEXMYFTA	8349370	8067111	172085	42527	67647	377515	377515	7506756
FUUQGUGK	3672970	3420092	124125	54796	73957	249638	249638	3108000
IWWBJZAL	2373409	2214037	90712	35892	32768	82084	82084	2067888
ESJLBXQC	7739650	7498367	166094	42188	33001	262225	262225	6971923
RHGZDBUY	3739343	3555641	76704	66833	40165	1031317	1031317	2275302
MNURGLQA	6078774	5908997	108718	31416	29643	1527627	1527627	3923972
NEKKXWSJ	7933058	7634114	122563	87872	88509	3750429	3750429	3183379
FPNIOULP	9195548	8918746	155875	69312	51615	963152	963152	7435379
GSQLFXAM	6852064	6577598	87354	111645	75467	852493	852493	5529869
CEEMZYVK	8254409	8072908	83022	40827	57652	985910	985910	6803528
XHKOWMWL	7344730	7050749	190231	61063	42687	605632	605632	6011411
