feature	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
GGB27878	4.05738032591594	4.11328112790522	3.26476876660911	3.16913941831258	3.68826745227632	3.03724475492946	3.7778076543938	4.09220778924144	3.81198176039496	4.22290633406626	3.99907450408578	4.1163487295995	3.13951383342174	3.36732268135711	4.41905708542487	3.17818833286906	3.55556306579216	4.09450222379438	2.308022971147	3.2494774612887	3.77706291925475	4.50423967322527	4.40074465492416	4.46584156695009	3.40890398383112	3.77876809231224	4.06558848196685	4.2998580826253	3.81318591598789	3.72869229295796	1.77463041432327	2.98827535745299	3.77437586230091	3.38935444406466	4.15092315568705	1.70122222555999	2.18597249658164	2.79623137013873	1.65162796207011	2.34523881047998	2.77237801823603	1.30939957637358	3.02732317236412	2.86592858440667	3.23636435278243	3.00495134262444	3.170447119679	2.61308654140905	1.3856069150939	2.02405242448547	2.15573793549227	3.13970735949002	3.21500688239416	3.08099725900189	3.02813487661316	3.15594339071198	2.74320706377241	3.23799319148686	2.93073564679728	3.65960352588106	1.3518442315201	3.84319118101606	2.99368656988012	3.26327916507068	2.53468389900563	2.06656739109817	3.14231577125341	0.704650705428104	3.7567342782825	1.32285372650193	1.69903206184793	2.21368460935999	2.78127154856187	3.84026957559167	3.6441651799539	3.80876619406272	2.53978826240683	1.14669102103739	2.76553288392377	1.25777437638224	1.56277046031256	2.03264412094005	1.36702910133413	2.19894666607402	3.47493234105415	2.30539289748397	3.67804780265443	2.07090546137592	2.75099629127353	2.01262748543656	2.95622615375199	1.84822475169422	-0.464238693508518	1.35440476829855	0.379724691106229	0.355880920525392	-1.08464577202457	1.4818582605616	0.703194443076598	0.68557486051041	2.12078266572352	2.46103025372566	3.06435706797053	2.48416997639196	1.42758231228676	1.22932222592936	2.48697742940958	1.81174920751691	2.64422652199411	2.67428059731884	1.71674315501645	2.05656932683704	2.36157839112251	2.3457515321671	1.08859918755245	1.84857872022899	0.932188988156469	2.59966738367138	1.84566256496022	1.92041793497106	2.18238509676245	2.42786497516591	1.68352431686	1.38243588535609	-2.08464577202457	-2.08464577202457	2.03790310465331	0.916399243986229	1.80264202109505	2.37248450002492	2.18121719196322	1.79460447507436	2.68125184294794	-2.08464577202457	2.25104498626903	1.15971580951567	0.884561058331539	2.31446630323143	-2.08464577202457	1.29480787889298	1.9487750580907
Lactobacillus	3.85569633554672	3.93004926690617	3.38367093356167	3.92191537283613	4.09066751852849	3.04064152452866	4.06324484303971	4.0889606840606	4.02370432514165	4.15583170374981	3.59558545172106	3.95762389031496	3.24147950212569	3.11500223490093	3.98999675786676	2.29659275783944	0.664390323166861	3.43756030745695	2.52371702078609	1.40212483125668	2.6562541491828	2.84785042762104	3.35341670080471	2.54191864186463	3.04168258954367	2.80225682772072	3.22729370403872	1.38062620292577	2.7778227546491	1.68887065003646	0.458450710301706	2.57991375732174	2.78609771876841	3.34406246447149	2.02182067974059	0.499724942958948	0.118645457094888	-0.796745512524951	-1.00411210525331	0.511832298149928	2.32205370375106	-2.53910673577382	0.294490497999137	1.78416904420196	1.49527454274783	2.83852412829051	2.53052452380426	3.08051738373682	4.53520390008977	2.11479384072876	0.766662246622619	3.1368587567517	2.09771971064655	3.75857051390813	3.19282132864638	1.38867806786743	2.44224547407574	3.12650395300488	1.91218179513365	2.24666587532658	0.696897951814833	1.65619612319392	2.14407112375614	4.03391554630385	2.58166626701778	-1.89368582995639	2.26168413739958	-0.0855238229926299	3.19535666886209	0.749413582078406	0.357738371345095	1.63697533346664	1.20200034231161	1.2924565315023	2.81992160046227	2.28863749625702	1.92083595031829	3.1681818760415	3.11121044986219	1.32508311951099	1.4353542444171	2.82333274256087	1.72805325577866	2.41033218687779	2.52642234314978	1.81603612217961	2.35997995303037	1.92799988285141	2.26360815755125	1.5648781487935	2.28565167099879	1.4944626854556	1.6501558572333	2.39790153414416	-0.533804231958125	0.309639239492126	-1.14491502548622	1.53821962953042	1.28689055191858	1.26084319761683	1.14312926196238	2.74356413976472	1.03718405072597	1.99778795682795	1.50851462815537	0.905356305732683	-0.215034770412926	1.20897727320836	1.55947231963428	1.40122268175554	1.18423197146327	2.06858275912947	1.01215518686547	2.60498746895136	-0.745050296746732	0.520322672531415	1.97753450590266	2.35723068985243	3.11158722180393	2.11827866764346	2.01204519199183	2.25625150483944	2.34003577760964	2.11537783841912	-1.35553297017729	2.30273738662702	2.46448849751466	1.7902701492114	0.811844380075627	1.9323102504357	1.25978407455896	1.77014297113507	1.817664611909	3.61362176888469	2.38011765768957	2.21134990471583	0.806223833160921	1.17198594126845	-3.53910673577382	-1.37020903136752	-2.07687880953741
Barnesiella	3.7386010844459	4.13682599983794	3.19941901537565	2.25530294852144	2.64379278167805	2.62975927337446	3.68312460155833	3.77590877497536	3.96714179873385	3.75822548344141	3.9317813320809	3.9122936030344	3.29254665710692	3.32722985250845	4.09150284110758	3.04252193421968	3.48308477364498	3.90765280462699	2.01341804280661	2.9889975100901	2.10994543322506	2.9815903676121	2.8668563982391	2.90044420248236	2.25658673499474	3.13556037946816	3.54393144329571	3.67936862043532	3.15692525976307	3.14475549620851	2.62558935785703	3.13935722376389	3.56053345744694	4.13005939496812	4.17648951434473	2.57613519684055	2.43425180817129	3.58403835037686	2.86926121900816	2.73463061883848	3.3611815173852	3.18569092707483	3.95454692051839	3.92406000149647	4.10502910171749	4.14297465569342	4.05666827198358	3.74335078803996	4.60617687754927	2.95019427697617	2.95920606728132	3.0421868987338	3.9355364685294	3.44424381427123	3.45435240525025	1.88824071610682	1.43208392740449	2.78844737387421	2.37569874364452	2.68862563600854	2.26807900969748	3.47028973350154	2.77856491228603	3.59671631974379	1.7921038272453	2.04521135513097	2.32574306806176	1.96322658926672	2.63893234224296	1.90249649365996	1.55475181574528	1.87194185707161	2.72780781431133	3.43684152167627	3.71399043977861	3.78019263940992	3.19403162851091	0.659157404531433	3.26765249461557	1.87005223100978	2.45812788516727	3.00891052793273	2.02021661658506	2.46797909436534	3.10766296572818	2.15886410279397	3.27944997036498	2.06108833494889	2.5964823799756	1.93156190390404	1.97677193507986	1.21190935051131	0.0728181204991304	1.19847374874757	-1.45554069765466	-1.87335889206507	-2.27936209917997	-0.0729855383890426	-0.342981418028434	-0.389902376553672	0.158089588086825	-1.80546416935519	-1.65510389246892	-2.22784379831339	-2.58225782483005	-1.00937687701886	-0.439145249007533	-0.448065226259837	-0.38914490354949	-0.150271763736943	-0.426174843894317	-0.879257959828169	-0.558537653787282	-2.66212724072446	-4.18034617837998	-2.28061747294706	-3.73899393802219	-2.09495145204459	-2.12190236574072	-2.17555308384022	-1.83821147093483	-2.30116119313322	-1.2883741894582	-1.07687948177419	-3.74578980110412	-2.02527280449856	-3.26636466421181	-3.91833390700958	-3.86117780829648	-3.13836302670908	-5.12757051208785	-4.13629507264392	-3.90596715993855	-8.03756399912804	-3.04956412388632	-3.08987536504458	-4.25122230897175	-7.03756399912804	-2.63771172824464	-8.03756399912804	-8.03756399912804
Bacteroides	3.26008429777479	2.26031792218973	2.87061750880028	2.80012445066152	1.84831216447849	2.58620039866018	3.14358633595437	3.17956446444318	2.88491921067761	2.62873361336311	3.08496088842348	2.89163001027248	2.46799810105234	2.1222327642934	3.26699438051662	2.54217931170814	2.68996735328764	2.34134301080773	1.53742168790012	1.84190341482719	3.59446688375608	2.68113974469956	2.73067629654036	2.09778924310188	1.85704248330817	1.47812666842221	2.03570384515821	3.44327086507754	2.42382220133836	1.84485984265501	1.07946339256203	1.21242209080415	1.891768582346	1.25432340884224	1.69448971803086	0.121957356515911	0.68619927697998	0.732405111242404	0.177183721821189	1.10834271045941	1.48230681787225	0.486019422678811	1.22338584168086	1.75021572520215	0.574609022581191	2.18765251749397	1.97275428830035	1.24750318492437	1.0752654621067	0.342692940840394	0.857077541844837	1.82766612617356	1.8627010873502	1.74370000335931	1.34035921623151	1.63163325732495	1.08278726953011	0.583323873862693	1.50120404035856	0.811018052560842	-0.211883650342314	1.89094118911688	1.09093698287029	1.03806055018974	0.774181085358587	0.744221679454171	1.49350537882125	-0.0949596244833111	1.59100970952853	-0.341019698762047	-0.354305469639854	0.0780232323273941	0.928862546538345	1.960248005265	1.20763220866738	1.75172134754059	1.20761289094412	1.84745903179776	0.357649720334702	-0.104119427580468	6.5088048691745e-06	0.237458296748918	-0.113575745299855	0.288716533584601	1.06423917631823	0.473830363658673	1.02221777138762	0.325441570087491	-0.172466203766486	0.475769320747827	-0.222466494861557	-0.801278318314171	-3.56691612016059	-1.72950865435438	-0.821828067757139	-2.35322073069414	-3.10891412902417	0.543882684578956	0.198033095363436	0.195684135484858	-0.0175086447370392	-0.763966048465827	-1.21500645993133	-1.51997480227365	-2.30409302648098	-2.80346280763257	-0.706828093361669	-1.56921678721384	-2.00529023638721	-0.0698080717565378	-0.918268981020626	1.74016902311649	-1.45054127207074	-0.932100606194231	-1.63477620947211	-2.19255199784037	-3.25262086228625	-1.49265100083375	-2.12391818308503	-2.24143613608182	-1.83398295901279	-2.0881716600196	1.49600005455903	-0.309826836207586	-2.65172865974128	-1.7382896546672	-1.18598782605126	-1.65242469959823	-1.40359892110854	1.42328961409862	0.303168590856611	1.42662648354315	-0.401895876103269	-0.342236234203894	-1.44671862918427	-1.14107622380966	-1.89730434112156	1.11485146367787	-1.02131439138426	-0.0123048520423463	-0.301903192007091
GGB27918	3.08773415867259	3.23868300068517	2.33324439638575	1.96862796376241	2.64082501112474	2.39348897465932	2.82699994827144	2.8699915762847	2.88836778400933	3.21481140920285	3.26395268715787	3.14864384247834	2.48812113516376	2.48580598418313	3.06038465079178	2.4473342305413	2.65348474380046	3.31806251230181	1.77656454515755	2.74644063699543	2.30383843700804	2.85025155712501	2.98938105120379	3.19766621457674	2.41310104149848	2.85234798963853	3.20776577833547	3.14792542584877	2.78767654203719	2.70482115171195	0.946466329329728	2.14597992172891	2.86159148854728	2.31427578927829	3.08860957692919	1.35788503742055	1.64131092649539	2.23563702437029	1.36729199541685	1.79456323901042	1.97193848583637	0.921410604825001	2.59673709518585	2.4648092826296	2.62286217972585	2.34999010367144	2.4297295506201	2.21820230653003	2.33624297231108	1.6509279293799	1.73610402544688	2.19396095384589	2.86811013617885	2.26103756468593	2.28095308498286	2.62770556808845	2.15075299148048	2.78326184178833	2.91368391241027	2.9738062782353	1.09149052899794	3.00558887621891	2.3048649132187	2.92988124817118	1.81084415577323	1.30294868002133	2.19277469964498	-0.0276173074135114	2.77436479521592	0.765547879861391	1.11465714624129	1.42253494313723	1.86959256201409	2.7562310324614	2.61812917824673	2.78500295154744	1.97697953163657	1.68515614776529	2.06866251782194	1.01454393208845	1.48657347333548	2.06464144683364	1.15141851854059	1.92061383374651	2.9781074958136	1.63844342550215	3.13305132049352	1.52351051117137	2.06337849219695	2.78660345729815	2.72984369140687	1.69306202073079	-0.520974179256824	1.54972415274974	1.96274530089177	2.14902522895962	0.991301900606742	-0.435888896513302	-0.799376057534218	-0.968221574384615	0.0270313196285055	2.04466161250159	2.12000079479976	1.64453239118173	0.981466141630716	1.16350735379371	1.99095209750428	1.15744947533316	1.84664238652697	2.11281541868156	1.01016455887386	-0.425820175736943	-0.0225382889191526	1.60485906389223	1.41434744758352	1.42284694066469	0.534783715769177	2.08010429107352	1.48345803476374	1.76219985781704	1.76876709879515	1.78506500498224	0.222256735356429	0.0642011130215334	1.05478923311647	1.84080411047986	1.42848066381146	1.45790840307987	1.51084047790957	-1.96822157438461	-1.96822157438461	-1.96822157438461	-1.96822157438461	2.2533488118982	1.53503425576898	1.74220910192207	-0.00242644316755985	-1.96822157438461	1.52232643356978	-1.96822157438461	-1.96822157438461
GGB30087	1.86468086919118	1.56918268193327	1.33914511532245	1.95539269955357	-2.13265345509164	1.01498840929389	2.33112799547405	2.10381695733071	1.72022569624083	-1.77825551460014	-0.0698347792792664	1.35518751122163	-0.586058832823401	-1.84965376344741	-0.296708672118714	0.497140893975749	1.57999901530288	-1.04735214157962	-0.267752716854435	-0.237729988236239	0.353784101969961	-1.70110629894282	-0.996487875650034	-2.693932230345	-5.06364346432263	-1.10749575624183	-5.29143343836713	0.391148786440998	-1.97880917113381	0.434296251400136	-6.17123322988476	-1.54018616415015	-5.77793928959719	-10.6940262701369	-1.42039355976267	-9.69402627013694	-10.6940262701369	-2.3439579292017	-1.83027068584555	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-2.51873043905453	-6.82056076364646	-4.47758605333944	-10.6940262701369	-6.32010961798477	-3.11991086236031	-6.21001247735516	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-4.96180129221519	-10.6940262701369	-3.11602145257271	-5.16127158258847	-1.45854717243371	-10.6940262701369	-10.6940262701369	-3.38890959412508	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-2.56652280564463	-2.19884133621842	-5.93305157605523	-10.6940262701369	-2.40509711237715	-1.05966817271043	-0.110018461766602	-1.79407985317003	-2.35468911560236	-2.00257328315509	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-2.60450919563782	-1.58613145040382	-1.39160329521587	-10.6940262701369	-3.85346999976614	-10.6940262701369	-4.01164704819602	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-0.127092207803825	-0.484075057590009	-2.48852371102853	-3.09932830664566	-4.04254102756822	-4.65770144195398	-4.23467342763988	-1.12184599587274	-2.62021963136727	-5.17551679353727	-10.6940262701369	-10.6940262701369	-5.76181989104948	-0.0989058996728765	-10.6940262701369	-10.6940262701369	-1.26511643753057	-3.61510559074166	-8.20992347524644	-5.24665378139839	-8.01829456186585	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-2.77390024545609	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-6.35282129738877	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369	-10.6940262701369
GGB3171	1.34373945520393	1.51824896465984	0.673766999937309	1.17927232001231	0.828067367790591	0.62274151311472	0.885865391651783	0.707871746926439	1.11251583112884	1.26447373015865	0.829046060422754	1.26163239250299	0.874126905388362	0.820309104324845	0.290883251405345	-2.44143123105545	-2.81134652932295	0.225238093406746	-1.41753783680421	-3.23745744737572	-1.56895195645927	-2.5888926358324	-2.15745254466108	-1.63038808294782	-2.46695232414157	-2.21033632928991	-1.27181656830975	-1.93600615048333	-3.07744257347367	-1.71496537965003	-3.61406646962596	-3.70101135067114	-4.57281527237311	-3.06864612109583	-2.80306460426854	-4.07466217191673	-5.39194027781865	-5.00525369563387	-4.58849228708023	-2.43714586172611	-2.36911830685777	-3.82690358333328	-2.7338857590597	-3.51332851145361	-2.79807133017239	-1.8825180128993	-3.72105250759364	-2.79244349392752	0.0579382040393891	-2.56308985015185	-1.33089208288677	-1.6310513243585	-0.324728907654417	-2.14423605816038	-1.11993194762847	-2.71270791365017	-2.30627069067605	-3.03414170636353	-2.79584042002478	-2.156704159504	-3.28681411491262	0.209282155184154	-0.260596900846871	-1.11950128997944	-4.93506632217089	-1.21421804534132	0.385837716042408	-3.29038938335281	-0.678037531713335	-2.0789753616215	-1.95693164375721	-1.81920589345202	-3.16239213401595	-1.71797625357508	-2.08639721317599	-2.93323828062787	-2.86001580544016	-0.727193787866346	-5.14673719564189	-1.58638020588735	-2.41564825224011	-2.08850070500975	-1.86566305615555	-0.262605923044244	-2.6116377212209	-4.0738492051776	-0.00157607134253973	-2.31460662120864	-2.33448332131224	-0.307065721585859	-3.57697751109028	-4.21408521128039	-4.82154952879414	-4.92345751870329	-4.44881667843826	-2.99794569653722	-2.74655217368098	-5.24153902623734	-2.66274717486973	-2.44346565296908	-3.27499158276842	-2.47914568793399	-2.90147653505831	-4.81932144435876	-3.44063185942875	-4.75316465865039	-1.83809734465504	-3.06662555585181	-2.71716084846171	-1.86810828202043	-2.04305733041514	-1.53211972847321	-2.09898037150217	-0.931990202900442	-2.10624408528545	-0.713431134045177	-3.33550040857715	-1.69366497244792	-1.5700081589797	-2.54667684565748	-1.00491561906905	-2.32211281972335	-1.37322568972656	-1.89905353391473	-4.07881655348737	-1.21933236003981	0.342512898670876	-2.47438339058183	-0.569742200704858	-0.889203996491616	-3.01015444873588	-1.81878860658738	-1.88427854739052	-4.52871499576665	-2.06587477741914	-1.60530145698097	-3.35868773983654	-1.57022765578	-4.08783307172223	-3.8631397765408	-3.07626622618105
Lachnospiraceae_unclassified	1.15533675360716	-1.01212107403046	0.654634654167754	0.274897881019368	0.770729112212459	1.65838451932593	0.644896590325425	1.46229133067269	-0.320337450142701	-0.704587905025359	0.602457983946045	0.617373088844872	1.28046913408174	1.50486012591212	1.06816463846626	1.11733270712004	1.74646313795775	0.690756025028958	0.873449329369528	1.46709034649915	1.33002378591771	0.809516435596965	0.440878877228577	0.698875439651227	1.35437036269414	0.737979922579074	-0.0524447786688245	0.792869665403383	1.00267382945394	0.596600649068307	1.7921822549311	1.69889041117907	0.692347737846022	1.87653669207413	0.500812411673695	2.40262849630916	1.91464786201168	1.9761932431259	2.32012931877196	2.0529181266245	1.3718640949792	2.28049804573615	1.26741242856365	1.0950605066752	1.09996506882201	0.949625165116382	0.658652612513963	1.34463041685573	0.1544088078701	1.88346873778621	2.18739060686954	1.21435520935196	0.880387927679866	0.534475764922779	1.40641531726229	1.54313017516439	1.52418298986568	0.105820408572293	1.17038318499093	-0.624366594550169	1.90737233120242	1.03572735987622	1.27666330972627	1.50627668038249	1.76314177634716	3.15243585769951	2.56073771089352	3.00366718366724	0.598011286410471	3.26304674136707	0.858187395553701	1.76319908560281	1.15220734329048	0.421147948231663	-0.220177405321081	0.327510490946835	1.5354964847568	2.72987068329556	1.23891907735962	2.62881552457945	2.33485080096739	1.93902095586412	2.40750628684381	2.08584965932676	0.415068574501629	1.05866421577207	-0.719633341126385	0.553896970158739	0.840524561321415	0.121542892518882	-0.0825588308643406	1.34975160700923	2.15238503996807	1.47471571216466	2.29645419958595	2.19154638101825	2.8667674248259	0.839620227015451	1.5748648264558	1.57575411804948	0.103536183220092	-0.380378796589115	-0.494662014727394	-0.148505462422615	1.56673141383628	1.91274477613072	0.817261046935003	1.9639055606288	1.05191070032198	0.521700476861542	2.51608581989109	-0.38792457302249	-0.54883006377488	-2.03529224251271	-0.392224335510295	1.0118902299933	1.27239797386848	-2.04152007462298	-1.27192737857893	-0.855664282041529	-1.10773647039319	-1.17254385552367	-0.725571992274764	-0.523289850730477	1.12030829913132	1.36669183452682	-1.24533324922701	1.48907837446249	0.744449138544158	-0.869931801798314	-0.984945716689719	-1.9964522328954	-2.01613977482176	0.453249478678386	1.25730571213728	2.13878415215776	2.58586471978328	-1.38349083695771	-0.50444983117098	0.354887274860909	1.27016509155711
Turicibacter	0.974487551718006	1.56635288805323	1.28965410352319	0.847678360961231	0.211161151168857	0.672611100369663	1.06053771799149	1.09236441997507	1.25990228358605	1.68099991411419	0.632604269901837	1.11407632094616	0.619777769422525	0.182289320187553	1.34581590319486	-0.705039340279833	-0.140289172019019	-0.364575183114583	-0.954977053094163	-0.355230158945087	-0.0511672316070385	-0.350925417889096	0.271057585011362	0.313141248778361	-0.152998973986987	0.22972502755661	0.970219395814455	1.34883369010181	0.864243235424467	0.805007839957951	-0.605146091369717	1.40948922477436	1.4651742891337	0.6731761202902	1.79111739532335	-0.491677935685621	-1.08198279720272	0.393287643983478	-0.405873087184893	-0.467025934764919	0.982758973951866	0.590683417203129	0.991789368394104	0.857034690582308	0.404938783724239	0.567159435910461	1.09442940966107	0.836245552116868	-4.45113546909768	0.12192809968821	-0.20903436363442	0.556399434085104	0.956067482451552	0.923125048772621	0.321591089870598	0.749869489611757	0.900182580747704	-0.0158527727580248	1.08318017175406	0.00386903036641832	-2.63111168228978	1.96111738627354	1.22096641497968	1.04145432647976	0.289434614268339	-1.34298445123013	0.534672858297272	-1.5943309503089	0.820072432139162	-1.82701848274291	-0.532879565867137	0.624007924894484	1.66069840531921	2.03356361170078	0.918274599141983	2.25083779807922	0.77657238387053	-1.59968669051879	0.742405451260129	0.0398533981807346	-0.294737528168639	0.00267104245887348	0.0672026682688578	0.419125144900141	0.297106841283439	1.23191262721879	1.83379378342017	1.24034872189925	0.131373025968901	0.55788996234069	1.23233452040656	-0.391450532081368	-1.16672746437563	-0.0137278445505755	0.82511049402285	-0.117254836377831	-0.112962321226539	0.573579506141087	0.925174811709146	0.844035918593721	1.11517236938788	0.681739526027289	1.69031516039807	1.32197420631303	0.274180515937432	-0.853089402654576	0.791778105998456	-0.00676272071030755	0.558751417145774	1.57583998629978	0.709303281302138	0.637387911019571	-0.949274203801965	2.06131167850409	0.15787607562075	0.734243255311878	0.926210453313554	2.34777635362092	0.210137796520525	0.00215972492423595	0.844167790643235	-0.211608948584275	1.43573640064084	-0.0603662761837298	0.958394668889761	1.26621430984469	1.28523873181048	0.717289836451741	1.10148717087965	2.04683579924617	0.585569620979984	1.46299508709242	0.230456613583557	-5.45113546909768	2.05013662085703	0.782592553697561	0.574600173870994	0.582696993136108	1.98058191069128	-0.528029538545239	-0.415701447268719
Parasutterella	0.958367554650407	1.33366431985263	0.679584381424777	-0.963061978679161	0.49581467411794	0.732077685741373	1.56133140499874	1.39060856004877	1.36339160407849	1.12054584859786	1.35453196357419	1.0416447161561	0.554697847085023	0.635784285870901	1.4745087000778	-0.396163539425609	-0.293369334580002	0.668693564141463	-1.88866661542447	0.210570292778409	-0.385504529710763	0.281289830092184	0.641087108460621	0.246794233393007	-0.460984126121372	0.182019365830142	0.781406888620688	0.482307232331065	0.186739177488074	0.246870497559922	-2.11472509516063	-0.843121591526108	-0.0349782566812055	-0.250348961359414	0.073389771632252	-1.56887113881452	-0.778223785924246	-1.01968852548555	-0.790775812928359	-0.460516516063994	-0.718347571298626	-1.60715475247674	0.403193524299973	0.161657391726546	0.622219038411949	0.0201104286700607	0.0402254058199021	-0.16397567551662	-0.207589796920102	-0.8166758634287	-0.638307414311397	-0.175419058284238	0.0879698748268998	-0.0295763796078337	0.344517904997908	-0.274439927455593	-0.0322421344243268	1.00932240066589	0.368384280376568	0.890401481758748	-2.7619967101984	-0.837751549456414	-1.51205789911903	-0.675081597522059	-2.04125115507244	-5.26973946293205	-1.7233891127957	-4.77270725732663	-0.804053761166242	-2.08626899016735	-2.930792126436	-1.8153844524472	-2.0626836567468	-1.0829334320638	-1.05421070566305	-0.643050510815531	-1.91261748572626	-1.51842944569043	-1.18611550127987	-2.321663390494	-1.19323378129239	-0.880295162765524	-1.81817202202015	-1.17219435365695	-0.390634182161623	-1.01727975067193	0.417694898813005	-0.930837155449693	-0.83728920493492	-0.424833683708218	-0.171915653874758	-0.919843090886518	-3.43863977927813	-1.240993507055	-0.552212006732945	0.0050702459428087	-1.27214317721162	-0.540171638370606	-0.779365607426292	-0.734200001071832	-0.18053404179325	-0.32289212559371	-0.14529574458862	0.00102003353454235	-1.3745615740657	-1.12432914930098	0.321904821510174	-0.7169483156089	-0.0847914790759492	0.357930004159751	-0.93423238448503	-0.629475159131406	0.0622508662374476	0.617610332100644	0.185253439668202	0.292233594579802	-1.14574043593289	0.873336935949206	0.458520578619607	0.728530558555831	0.524269665220705	0.763261017854399	-0.0583453863131468	0.275940505346459	-1.5639029873729	-0.743422983640647	-0.103216378014941	-0.27881164985483	0.0136396247550599	-1.45592448770134	0.745197988991034	0.0601667239171072	0.811209644853795	-0.857689416235517	-0.627310578525797	-0.990380713858596	-1.51465560842241	0.0646214859629092	-0.440978996400982	-0.706018654162159	-0.702487671287044
