feature	02-01	02-02	02-03	02-04	02-05	02-06	02-07	02-08	02-09	02-10	02-11	02-12	02-13	02-14	02-15	08-01	08-02	08-03	08-04	08-05	08-06	08-07	08-08	08-09	08-10	08-11	08-12	08-13	08-14	08-15	12-01	12-02	12-03	12-04	12-05	12-06	12-07	12-08	12-09	12-10	12-11	12-12	12-13	12-14	12-15	14-01	14-02	14-03	14-04	14-05	14-06	14-07	14-08	14-09	14-10	14-11	14-12	14-13	14-14	14-15	16-01	16-02	16-03	16-04	16-05	16-06	16-07	16-08	16-09	16-10	16-11	16-12	16-13	16-15	18-01	18-02	18-03	18-04	18-05	18-06	18-07	18-08	18-09	18-10	18-11	18-12	18-13	18-14	18-15	20-01	20-02	20-03	20-04	20-05	20-06	20-07	20-10	20-11	20-12	20-13	20-15	23-01	23-02	23-03	23-04	23-05	23-06	23-07	23-08	23-09	23-10	23-11	23-15	24-01	24-02	24-03	24-04	24-05	24-07	24-08	24-09	24-10	24-13	24-15	26-02	26-03	26-07	26-08	26-10	26-11	26-12	26-13	26-15	28-04	28-09	28-10	28-11	28-12	30-11	30-12	30-15
X1CMET2PWY	13.2019892790225	12.9626692373285	13.0988450490644	13.1510746446738	12.7532132893941	12.9745278613092	13.2421757676171	13.1955518820665	13.2426946295485	13.0558494607734	13.2046291101035	13.2614737188541	13.0038721140525	12.7641373688891	13.2865735797151	12.8744896364355	12.9726413262821	12.9740678217138	12.5701647452391	12.5368892119456	13.285611837934	13.2142716014245	13.0128148915342	12.8134494180943	12.6565170292996	12.382104982957	12.498622956938	13.2053904480412	12.7363426588818	12.6614821838171	11.8857181481938	11.9135505991906	12.4901887284645	12.2750402255924	12.5287848187329	11.7476558158782	11.9052510265201	11.772404819735	11.8608692781558	12.3551139700613	12.3126538488905	11.443323211633	11.7231781380252	12.1017509660873	11.7244432860997	12.5988296015719	12.5993955651893	12.1530883592017	12.5431964851198	11.210554164013	11.712845657125	12.5420820066098	12.3803699250356	12.4621957508102	12.1914972585435	12.605545835947	12.3042581204605	11.5006252427375	12.2625150334675	11.7901506112334	10.3901387493809	12.4768127113566	11.9030236392146	11.7872893975023	11.5791716681499	12.0343087051907	12.3796988315303	11.0902945383447	12.2390654371075	11.2040083088795	10.1063707136228	11.2609281477565	11.832889935318	12.8755806427552	11.9306619425966	12.2968765984114	12.2225365975563	12.2883481466528	11.6731243379529	11.560047245577	11.3518181456146	11.4722547392341	11.1885689280923	11.2378249015721	12.2520135583468	11.4290053819093	12.2172563020575	11.7721789515429	11.4148899652029	11.7746741804602	11.1703178635658	10.2968222372479	9.10637071362279	9.10637071362279	11.1023188080539	9.10637071362279	9.10637071362279	12.8099192038896	12.4784969910272	12.4837282313065	13.1555427851635	11.6468447412401	11.9179409707444	11.3567775899044	10.7744171772239	10.9506723302853	12.8020732226491	12.4268343956398	12.4608125101568	12.9048403618677	12.0399732333688	13.0237051481635	13.0708224867959	12.8897702491566	13.0575243306832	12.6414449240658	11.8705979475786	12.5808547751315	12.8065963695992	12.6049177643709	12.8603778011776	12.8316196165779	12.8883754854084	12.9395669603764	12.1331913471885	12.632121551578	13.1009440752651	12.7447023815229	12.8670071706578	12.8463101462614	13.2123201657742	13.0474675664268	13.2413535181087	13.0684525134799	13.0608708307392	12.8488215497699	12.5339342099457	13.2614245838845	12.063355481087	12.9936417298623	13.0607865039106
ANAEROFRUCATPWY	13.3652057537116	13.2546674040286	13.3312256638222	13.3678278718661	13.2486937830669	13.3134818777665	13.3011820467107	13.320397597577	13.2887015983688	13.4087190354252	13.139155848868	13.2871760640614	13.1122065363497	12.9758308854979	13.2802794331921	12.8574155307067	12.804699427647	12.9861001224661	12.866297779754	12.7383054910341	13.1826310820397	12.898220883336	12.8668038286794	12.8392421605294	12.4769436612202	12.6171392982565	12.8981316325046	13.0264414799659	12.9288965562003	12.6603640536825	12.2240822802819	12.2524748981108	12.526529269895	12.7206758963881	12.5936701782258	11.6554138768229	12.161298018576	12.1368940642014	12.1526142784402	12.1854767829107	12.9126504680082	12.5589349535585	12.6956533572959	12.8841426057087	12.759764383576	12.7493305423334	12.8225077559813	12.8399410673556	12.6654256982962	12.3757542537652	11.8400841365403	12.4482581615625	12.5944132426373	12.7142574017217	12.5460441203985	12.7857291498986	12.814060656187	12.8197497670469	13.0099634492623	12.8516887365254	8.87259021649053	12.7838529912524	12.5087313561156	12.2525781529942	12.0583615784677	12.2954204668349	12.8790594523972	11.4717444095013	12.6454361332231	12.4982202973277	11.8705946370088	12.4820069967506	12.694036735013	12.8135645311171	12.3425099047884	12.7450457376682	12.3117467492618	12.4090722921321	12.113787182792	12.6007960533656	12.1223876939542	12.3305552219946	12.4881842281161	12.3921482716954	12.4961187584335	12.5355793055632	12.9956264987505	12.3641970178487	12.3799149585753	12.32215269709	12.4240751112689	11.2780490289422	8.87259021649053	9.87259021649053	12.6875164727024	11.1266054935703	10.1685330343483	11.7142719264547	12.2538308242084	12.2436074924501	12.5181883253595	12.7360445194592	12.5464748260086	12.3840518439204	10.2483266329422	12.0275460178344	12.0306597323458	10.6067362606577	11.5061671557507	12.2173028691078	11.4472268889573	12.5926293267786	11.439710489815	12.8733998867869	11.5388732246682	12.1490230841562	11.8127150871393	12.8592613921947	11.8273439354131	11.5330389166196	11.8460853145994	11.6570539236048	12.6929182843585	12.6114046338514	11.0547400194642	12.0174255110817	11.5727131344637	11.9684392526096	11.6075294766628	13.0269961435094	12.4498599811449	12.6810387445745	12.2758334051178	12.5995731349462	12.2722528987862	11.5681271569111	10.9003040435312	12.7331214636617	12.4666041243326	11.5180915359884	10.9652322617842
ANAGLYCOLYSISPWY	13.5849797195254	13.7615930328605	13.6891397143675	13.9736489666131	14.0614853954017	13.8218422876409	13.6081078893487	13.5539597632247	13.5654614773432	13.7497094429816	13.5521232815627	13.5381107940012	13.7802964818622	13.8639232919811	13.5477471950198	13.7643549212477	13.5527842588447	13.6764017535972	14.0105060662971	13.8371115210137	13.4216927720941	13.4083560913947	13.4218845777164	13.4313492721686	13.860413705	13.8299393854866	13.5114551309325	13.539313846822	13.7128552648658	13.7236861787481	13.5046242751409	13.9229848563735	13.6151306819678	13.814927869713	13.6474428720078	13.9836725615158	13.7529737134601	13.8640472932275	13.8053753449779	13.7741856738053	13.6327187805575	13.5190087356098	13.3873367139816	13.4283159320514	13.4795488009803	13.5628346776682	13.5175693166984	13.7438801950529	13.5854237790788	13.9198756708265	13.8635975389514	13.4946370711349	13.5200363337956	13.3677773893809	13.6729474874481	13.5930032222762	13.6588380635487	13.4629984059053	13.6144818663627	13.453276662103	13.8229323058294	13.7190792519902	13.8495949978144	13.712300704741	13.9928104216262	13.1867570733957	13.9955084455301	13.3467306526715	13.6663105470136	13.7974260170142	13.6104820805911	13.8447310621122	13.8800921308651	13.4853197044684	13.7979996867641	13.7201980836701	13.8610015583502	13.9910552889768	13.8324927482025	13.9069938392533	13.9521421420612	13.6953380979826	13.9750527579334	13.9281943366395	13.783004027223	13.9645359113687	13.76509421038	13.895784145989	13.8412172810535	14.0687354889762	13.9528025156371	14.1529137744487	13.6621366797837	14.2331378641007	13.8922293698485	14.0832202334404	13.5507437137768	13.8531353600901	14.0232337754901	13.9891974654251	13.7830292216561	14.2562391107864	14.1639802322504	14.1256006706672	14.1188135918619	13.8932445901058	13.867572570119	14.090883873011	13.8756657722893	13.7320583747202	13.9611235427775	13.9015710556769	13.9530649466878	13.8383846786815	13.9293402208843	14.0991917421929	14.0204908179453	13.9207480925851	13.8891718812882	13.8173399725991	13.8801405786225	13.8492415337872	13.8378381249514	13.9148626241562	13.4171144872765	14.1752700604451	13.6139856306577	13.7811773780439	13.843637659123	13.9303003068996	13.6646962947392	13.8114736822317	13.7090086433252	13.499883526281	13.9235125471745	13.9513123549999	13.9189054031594	13.6760776336012	13.2961211006053	14.0631299786202	14.0833837241407
ARGPOLYAMINESYN	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	8.33919014119846	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	9.00463936987646	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	8.52597784914456	9.54854656182344	8.51413675390514	8.69691512702511	8.4440268217938	7.28284222865714	9.38126970214424	9.95700871287596	7.28284222865714	9.55330155897429	9.88409229764728	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	9.383457069942	7.28284222865714	8.28284222865714	8.51503055760875	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	9.96155576085232	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	9.89993806851303	7.28284222865714	9.42799634675866	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	9.39698268410223	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	9.26010811450369	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	8.83469710419996	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	10.6254766295367	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714	7.28284222865714
ARGININESYN4PWY	11.8735727494382	11.2504322580943	11.7713483994805	11.7840568788684	11.094486386684	11.6162012300862	11.8316166800781	11.7472374427153	11.5355777540204	11.5271529736787	11.8669351716729	11.6888219935915	11.4960652882112	11.283723055101	11.8851145766311	11.6538460976755	11.8311644700651	11.467451087744	11.324029856948	11.2546874181498	12.3740318973801	11.7697804588009	11.9139252560312	11.201943912945	11.1538736658549	10.8830311809691	11.0860866187984	12.2005091053911	11.6521925834131	10.9652252095663	10.4872074529682	10.088418618289	10.9815932857219	10.4235941202325	11.1612332694036	9.7480985154963	10.2416502373253	10.2207719638962	9.28952523065379	10.6043657757149	11.5286162291692	12.2077873501088	11.5498270320669	11.7391329658508	11.3729002520571	11.0081638828953	10.846936126953	10.390587273497	10.1102563455798	9.60043183458162	10.599870074768	11.1016957155521	10.8929632873241	10.8995055099076	10.5314935101886	10.7476059129819	10.0291475562206	9.65049958613445	10.5769129973199	9.922961035171	9.72305600734698	10.8768986825009	10.1640056293499	10.3953666950403	10.059251749124	10.4653652974286	10.9537551913492	9.06287108620194	10.6944479525642	9.12281076721688	5.88748394168523	9.78454612764374	10.2008719261127	11.2822667813929	10.6222864413325	10.9129329090708	10.3176226181574	10.9739960458555	9.73926717574197	9.40323075990425	9.52151893152768	9.53604757824085	9.48330904624299	9.27474316828266	10.4337281889008	9.86480935564017	10.4575432130571	9.99720268043701	9.0703611594076	10.9150190982709	11.0353035407311	9.05289097893433	5.88748394168523	8.79731428742156	10.5988158635729	8.39573653513686	8.75614612085488	9.21347286463112	8.60904514223017	9.21295841810766	9.13531507527609	9.28801576239484	9.38134613949707	5.88748394168523	5.88748394168523	6.88748394168523	9.01424001702915	9.01329624271924	8.59192241706583	9.33291409724109	8.81315085578153	10.4512577286161	7.98048827670665	10.0990929231954	8.79855311059693	5.88748394168523	5.88748394168523	10.4493996925743	5.88748394168523	5.88748394168523	5.88748394168523	8.27353756689435	10.3945939086736	8.30491552421223	5.88748394168523	5.88748394168523	8.65041105504329	8.54623204356079	8.403699088513	10.6933132217748	9.54662445344243	9.9504323764838	9.48372694430129	9.36423919053112	5.88748394168523	8.49438925570959	5.88748394168523	10.2591146987052	9.33727835509264	9.91399018750063	8.8612342134147
ARGSYNPWY	12.3143955650117	12.470319781925	13.0281139801021	12.7365142371536	13.3170287440735	13.2129888523855	12.3479052893585	12.3965251490314	12.5093009416935	12.4509496926671	12.6956012805169	12.3248485406956	13.3018350111496	13.5868032246801	12.244565003878	13.6951468879676	13.459408942705	13.239243579693	14.0228800274406	13.8332982633949	13.0481878867734	13.3437243891974	13.311554642941	13.5759843154076	13.7329415021595	13.8368195314279	13.6192018543341	13.1069258468398	13.5595033346028	13.7809673738407	14.1332906330684	13.8098529461541	13.4555657973011	13.524166089776	13.378366438502	14.1192735638699	14.0095044067762	13.9451677742852	14.0842476219376	13.9770431818601	13.2754366684471	13.7687965335587	13.3978239324935	13.1304869592362	13.4760626388843	13.2274284144815	13.3424509505962	13.5671444594607	12.9171981775148	13.9397177986565	13.9174097695783	13.4498507168717	13.5168515316194	13.3534839871801	13.5197599344954	13.5314808958075	13.6677116098608	13.6122433020253	13.5317909006529	13.7323366462109	14.3705754797358	13.5571849961321	13.8224062132072	13.2970101782167	14.0138296157413	14.1532666052465	13.5944715668108	14.3021432399039	13.4741533260632	14.2532400472131	14.3310226336189	14.0192742322613	13.8464346990978	13.2166095243459	13.5751332735647	13.4352463765659	13.8648079202745	13.7616397024116	13.7311600420738	14.0583996449106	13.9861726473329	13.8919031978329	14.0532216644062	13.85567845868	13.5447434841398	13.8371664648066	13.4259976615088	13.8796227642385	13.8476973786124	13.4854721015485	13.3534979621943	14.0630792651203	14.2912644537905	14.0464035239049	13.937451428686	14.1183588512558	14.3684343719806	13.7634086195668	13.9741934448218	13.9165241755997	13.5396151087477	13.3643696762925	13.5414950688625	13.6843788424751	14.1190057945767	14.1057623557289	13.8612264651363	14.1358030981436	13.8516184599311	13.5315730649997	14.0675441667443	13.1253225776469	13.6522925934274	13.0842663452791	13.8275927865848	13.9097017301562	14.1586479955146	13.2050330427911	13.6475099971932	13.7467223161909	13.6615118340095	13.609626790808	12.9432126749319	13.4500923643838	14.2109602759335	13.7275485246454	13.4798921084731	13.7168961625548	13.6936555364315	12.9358014721982	13.3647568647486	13.3538861868306	13.2856984344624	12.4463028208748	13.1067070526237	13.5821791215195	14.0694007407534	13.2556017869353	12.0250581133508	13.967356708615	13.9579782051943
ARGSYNBSUBPWY	12.2862404515471	12.621248246584	12.9540618448535	12.4335089143109	13.2657770683624	13.224747791257	12.4899573683823	12.4444855477439	12.6900831588341	12.5547050047597	12.7767335764641	12.5453346933609	13.2303448564485	13.460980431826	12.3840424205221	13.6500093354262	13.4393237097174	13.2783910981962	13.9876539085839	13.8163806071498	13.0699875374888	13.4466749089758	13.3585526178691	13.6177291739296	13.6684143264453	13.8516986813332	13.6667925145218	13.0844011000656	13.5405179517053	13.767111208525	14.0994480467863	13.7768213016991	13.4226215985517	13.4920568557209	13.3459011791713	14.0879995717497	14.0263816505901	13.9640443805701	14.04485447714	13.9471507509934	13.3288444210165	13.7249820999918	13.3992048101215	13.150600490114	13.4851772038	13.2567141692967	13.3535656524066	13.5543901676613	12.980579699718	13.8821419550568	13.8540335448455	13.4674974270221	13.5184741735337	13.3611106458981	13.5269867794789	13.5914750046173	13.7033011641139	13.647335765095	13.5931484151366	13.7893971528706	14.3055394441289	13.5186648182874	13.7539082789096	13.3217398818125	14.0009709811131	14.1246312039295	13.5018894224801	14.2588053941974	13.4952118958065	14.1845375159588	14.1834292959413	13.9663704340422	13.8199799373198	13.217844915106	13.5764878253977	13.4603393603354	13.875542049564	13.670035547969	13.7280467291225	13.9930758971984	13.9468990967003	13.9171369981809	14.021928485146	13.8163844232859	13.5516948824787	13.8283914046357	13.4504377898725	13.8772537404451	13.8424650634089	13.4594624696304	13.3780212220533	14.0787006352784	14.252841566912	14.0348107531384	13.9710280648544	14.1656850839812	14.3552604496372	13.7067712735013	13.9513547512585	13.8620010274334	13.4968161899106	13.3857550214419	13.5567648353924	13.8055571122484	14.1031607354013	14.1183444997797	13.8262949963381	14.1111157314189	13.8652232877622	13.535394855979	14.036225397146	12.9789867825001	13.691710993853	13.1278584373692	13.8386653391489	13.897473897901	14.166756549145	13.259648653187	13.6847263364063	13.7782326914447	13.6943971766358	13.6548671623307	12.7924252254023	13.4404520617629	14.1840368925848	13.5905550460172	13.4736093079122	13.6705276415046	13.6603428382843	12.6537540516555	13.3029235353778	13.2360731271019	13.257209331576	12.1616327777159	13.019989356139	13.5158248774786	14.0112903706885	13.2210593747507	11.7931099846904	13.9728385709299	13.9268395424603
AROPWY	13.1808430205622	13.3351647686673	13.0487587829495	12.6667285658015	12.849862086691	12.9509964484107	13.154128429498	13.1350815278992	13.2703296690491	13.1481278426515	13.3149086203304	13.2700417497202	13.0445583749622	13.1218553675102	13.290574188317	13.203444968952	13.3695175985107	13.46516121129	13.2989765589976	13.3925295452601	13.2032215256903	13.5329360608266	13.5677534664163	13.6424258097083	13.371249778332	13.6105128759142	13.885677340998	13.5855426113236	13.4862249339857	13.6821797712685	13.4202224170238	13.3657465387594	13.3945301042935	13.521163718688	13.6869243069556	13.5722294280994	13.5637411394587	13.7464733270229	13.5580741764364	13.6831100790872	12.9190102456474	13.3172597828108	13.3810844743273	13.2333590073263	13.5281048591046	13.3491102093489	13.4253541564708	13.3773576782707	13.5686569317657	13.4447041860812	13.4815574246799	13.3610343525453	13.7272204140238	13.4008287386338	13.49251846756	13.3080351490435	13.2251857307264	13.4254311661531	13.32123365066	13.6512451925762	13.9018711613577	13.5476036021599	13.4029181844186	13.4491168676649	13.4118624792897	13.4847363832627	13.2808694678411	13.8611747582513	13.4114042810477	13.6039798663797	13.3438179137483	13.1517426000364	13.3076723806971	13.348073189581	13.5292869346774	13.4617415514519	13.3480133788768	13.0936657181338	13.4655302938579	13.4998880228233	13.5329479704764	13.6219133088336	13.5129588256343	13.4975284022289	13.2936201534993	13.1965432226915	13.4044812724155	13.090326671452	13.3003153659442	13.1742269643374	13.1364637094122	13.355995420521	13.772602521741	13.264913121407	13.3599073061931	13.5044550738026	13.6099171784904	13.2648694255313	13.2064844663643	13.1569701001969	13.3454653055951	13.1011471822991	13.3181920032171	13.3644562481012	13.2960606200269	13.4013818329406	13.6117486574991	13.5697567595625	13.5414554940081	13.4666429289267	13.65685621486	13.1009584962086	13.5678975584474	13.2522209563951	13.535299384925	13.2509792602634	13.3096365500307	13.1810989079448	13.5133155597551	13.6545406620037	13.6352411211419	13.5690634896673	12.9019875881211	13.347535188075	13.5718255824248	13.1591056011702	13.4873126193042	13.3339084784936	13.5015937676482	12.7814707193452	13.2727725736002	12.8787772717276	13.3184964650608	12.7610926850884	13.1540985023547	13.3404115187405	13.881177959306	13.1622224071569	12.6773906516242	13.2330961385117	13.4592820212441
ASPASNPWY	12.703281889577	12.7071784596242	12.4383347716584	12.9127503459767	12.4990294290449	12.1789489434327	12.8078981037234	12.7477680065828	12.6793676160616	12.7210079670655	12.5223673964467	12.6364402666242	12.1817383916048	12.2134554107532	12.6377051796416	11.8498450061341	12.1497366857839	12.4187820649561	11.626745709168	11.8205782462162	11.9567394123047	11.8827281816486	12.5045775294855	11.7763506906445	11.8399278090304	11.91014635784	12.3156734074352	12.2093507480314	12.0845023333916	11.8860200255363	11.5469949688935	11.8153150874378	12.3971050399452	12.2437648454833	12.5680310810516	11.3985750385836	11.4239352354549	12.1557113046922	11.1497249756656	11.6905513303496	11.9742495193235	11.4450084006877	12.0530915217006	12.1240049804032	11.9311342935802	12.3996877028247	12.4418415651068	12.043007597725	12.7756252422768	11.3710594892566	11.8010525257593	12.1128117649959	12.487402562231	12.289243072739	12.1614389955285	11.6822583916493	11.5788610685422	12.2125869981597	11.90916455152	11.9143645634226	10.4201418122591	12.3860424350968	11.6915028359227	12.5094703249433	11.3595444834224	11.6752322238307	11.7751721105143	10.8411271598527	12.1712166019802	10.8287698755404	10.634749589078	10.8304107719231	11.4985455254766	12.1235464806735	12.1504376134447	12.2658613179654	11.906673493725	11.7624818999201	11.8395857042375	10.9986468932963	11.2761313219662	11.8018043707609	10.9756341658691	11.3761551411741	11.9972214543608	11.2554833808243	12.0347573069522	11.0269646851135	11.4426153937744	12.083663938289	11.9593662746278	11.5462563911327	10.2227496759287	11.4580008195986	11.0712054961646	11.0217000205035	10.3967380827814	11.2005287720287	10.7084607401442	10.6665581524	11.4261406574732	12.4166325819544	11.9556681994595	11.996982323865	11.0309477196422	10.8252602522152	11.3846016644621	10.1078748586658	11.5887317544991	11.6102498994226	10.5817746757674	11.8456106750911	11.5622006904809	11.6655785535557	10.980364843861	11.116935710069	9.37113435896357	11.902719416103	11.850429174911	11.8124020723138	11.6880548351597	11.9171277760342	12.0140944741045	11.7999126427743	10.5497056859909	10.9675930446948	12.0795049108955	11.3509401944443	11.4313185709224	11.6252582259244	11.8115986066267	11.6420944459021	11.591656490131	12.3320510739651	11.893341328271	11.5923708923935	10.1530570180153	11.4195303294099	11.2596787048488	10.5775273058927	11.0156119790942
BRANCHEDCHAINAASYNPWY	12.8625358260341	12.7614117710807	13.19164538756	13.1650387720673	12.8106712762407	13.3402130688861	12.9036946093013	12.8992816012923	12.9486040550867	12.6862388419845	13.0055249326094	12.9214270857648	13.4155468362632	13.2730952594142	12.8537717339438	13.4647068325236	13.3945828908852	12.826078960764	13.3306151895617	13.4703803523238	13.3551095575068	13.033588305842	12.8593989709937	12.9226075675318	13.1366733663247	12.9298479031473	12.3455252739617	13.1050272231381	12.7190202141555	13.1218021034932	13.8022049186136	13.476607655092	13.2716956920936	13.2136130736546	12.9116995826903	13.3362044051581	13.4201340509625	13.1003888786469	13.6260106960302	13.3671508246095	13.1781071369144	13.6444390886576	13.0618062662254	12.9509120394102	12.9101787743929	13.1479588873162	13.1572355838059	13.3415051017062	12.7234665710828	13.5681862057796	13.3463748055743	13.2424981903054	13.1221116493192	13.0818151403876	13.0665119622385	13.459396103683	13.3745648229287	12.8676119307505	13.2080129515259	13.0209452517475	13.5004686437091	13.1733335118482	13.4581565720795	13.1653722148295	13.5548958576531	13.9068892249921	13.312349047426	13.5740314230557	13.0344101278792	13.7128267639066	14.0146994582526	13.6977593107438	13.7039283800341	13.3195869227419	12.9206122541769	12.875814722603	13.5091425952784	13.6212155021109	13.0379467621874	13.4682695827551	13.2402179682661	12.9373537014657	13.3597404485169	13.2402981375041	12.8436704072661	13.6222574400822	12.5233734250293	13.3624271251947	13.3431612783326	13.2180349466478	13.0793923673122	13.6235618308943	13.689629649153	13.4566916755122	13.111089040079	13.1874730820507	13.7123005061041	12.9969352555581	13.3044919854723	13.2127123651723	12.714482178053	12.8334873595737	13.1895376462045	13.0437581941556	13.5646285594036	13.5458267170174	12.7670698190958	13.2195943849673	12.7330933624752	12.5175168996104	13.0793171960362	12.6966443958708	12.5687087182004	12.7208911929045	13.0878716178779	13.2210462909423	13.2885164308107	12.7071123894285	12.9620221696893	12.9455355002664	13.0338000446283	12.7995211472357	12.459329208696	12.5304787996647	13.3999865431271	12.9982112335464	13.3672657886547	13.1279544443139	13.3788609086442	12.9775096482792	13.1582028736467	12.9676154880211	13.0968429284429	12.8176839101322	12.852012229368	13.0481843401088	13.1043403948294	12.6812723421987	11.905064416402	13.2386269732379	13.0939093172841
