feature	age.months	founder	mean	SEM
CAG-475	M5	A/J	0.0140244450119636	0.0738750117551245
CAG-475	M5	BL6	-0.00715388113775906	0.0740628030497317
CAG-475	M5	129S1	0.0375051824297795	0.0712471866962398
CAG-475	M5	NOD	-0.0332903380623348	0.0775586353012542
CAG-475	M5	NZO	0.0402944989349576	0.0714402172434517
CAG-475	M5	CAST	-0.03934678101867	0.0718208131032605
CAG-475	M5	PWK	0.0080699662276098	0.0760222695595212
CAG-475	M5	WSB	-0.0201030923855569	0.0749511710053637
CAG-475	M10	A/J	-0.031392877912819	0.221145482468628
CAG-475	M10	BL6	0.177075624446199	0.224406060314023
CAG-475	M10	129S1	0.463961292965121	0.203547561755669
CAG-475	M10	NOD	-0.140383592752886	0.40835192718261
CAG-475	M10	NZO	-0.107076028882831	0.201150459761701
CAG-475	M10	CAST	-0.734518282025656	0.210030837434873
CAG-475	M10	PWK	0.525021022515105	0.27898964241526
CAG-475	M10	WSB	-0.15268715835196	0.231043895787551
CAG-475	M16	A/J	-0.0206005181162662	0.102881603698881
CAG-475	M16	BL6	-0.0591165704347126	0.102375238161576
CAG-475	M16	129S1	0.14668218535015	0.096119674554202
CAG-475	M16	NOD	-0.0154396125907033	0.114100695935732
CAG-475	M16	NZO	-0.00364231971287591	0.0958649398412985
CAG-475	M16	CAST	-0.0291207937828141	0.0958701397928529
CAG-475	M16	PWK	0.0206115081580554	0.109415483077441
CAG-475	M16	WSB	-0.0393738788708297	0.103909843723861
CAG-475	M22	A/J	0	0
CAG-475	M22	BL6	0	0
CAG-475	M22	129S1	0	0
CAG-475	M22	NOD	0	0
CAG-475	M22	NZO	0	0
CAG-475	M22	CAST	0	0
CAG-475	M22	PWK	0	0
CAG-475	M22	WSB	0	0
CAG-475	M28	A/J	-7.1516847382023e-13	8.69507927124772e-07
CAG-475	M28	BL6	-2.01228777084726e-12	8.69507927124958e-07
CAG-475	M28	129S1	6.46853623638508e-13	8.69507927122278e-07
CAG-475	M28	NOD	3.60879027408533e-12	8.6950792712794e-07
CAG-475	M28	NZO	3.09079708018055e-12	8.69507927122515e-07
CAG-475	M28	CAST	-4.56529471098758e-12	8.69507927121632e-07
CAG-475	M28	PWK	1.80353928657309e-12	8.69507927127019e-07
CAG-475	M28	WSB	-1.85722930882178e-12	8.69507927124608e-07
Acutalibacter	M5	A/J	0	0
Acutalibacter	M5	BL6	0	0
Acutalibacter	M5	129S1	0	0
Acutalibacter	M5	NOD	0	0
Acutalibacter	M5	NZO	0	0
Acutalibacter	M5	CAST	0	0
Acutalibacter	M5	PWK	0	0
Acutalibacter	M5	WSB	0	0
Acutalibacter	M10	A/J	0	0
Acutalibacter	M10	BL6	0	0
Acutalibacter	M10	129S1	0	0
Acutalibacter	M10	NOD	0	0
Acutalibacter	M10	NZO	0	0
Acutalibacter	M10	CAST	0	0
Acutalibacter	M10	PWK	0	0
Acutalibacter	M10	WSB	0	0
Acutalibacter	M16	A/J	-0.40052231005989	0.251780560324923
Acutalibacter	M16	BL6	0.285524811420366	0.208704957713438
Acutalibacter	M16	129S1	0.312467648796526	0.198104456281588
Acutalibacter	M16	NOD	0.374464439546204	0.176913538177078
Acutalibacter	M16	NZO	0.055554012778026	0.16498193880156
Acutalibacter	M16	CAST	-0.281497154634991	0.362217940309113
Acutalibacter	M16	PWK	0.121471312858017	0.165249983769769
Acutalibacter	M16	WSB	-0.467462760704443	0.180220026302426
Acutalibacter	M22	A/J	0	0
Acutalibacter	M22	BL6	0	0
Acutalibacter	M22	129S1	0	0
Acutalibacter	M22	NOD	0	0
Acutalibacter	M22	NZO	0	0
Acutalibacter	M22	CAST	0	0
Acutalibacter	M22	PWK	0	0
Acutalibacter	M22	WSB	0	0
Acutalibacter	M28	A/J	0.00132982487905094	0.0182875624693988
Acutalibacter	M28	BL6	0.000640449734177693	0.0182672521633854
Acutalibacter	M28	129S1	0.0021563234863541	0.0182707995203602
Acutalibacter	M28	NOD	0.000239709272053547	0.018254692013673
Acutalibacter	M28	NZO	-0.000126779178400006	0.018240457945405
Acutalibacter	M28	CAST	-0.00245141650789493	0.018296529715421
Acutalibacter	M28	PWK	-0.00168363597824411	0.018244686166241
Acutalibacter	M28	WSB	-0.000104475707097846	0.0182532855184067
COE1	M5	A/J	-0.0514272124949197	0.0874396804125639
COE1	M5	BL6	0.0491900731233666	0.0884140352117195
COE1	M5	129S1	0.0114394817928555	0.0885595528134254
COE1	M5	NOD	0.0165514646593684	0.0857109134675551
COE1	M5	NZO	0.0680803580346867	0.0855919154508474
COE1	M5	CAST	-0.000329343832410809	0.0848385992903363
COE1	M5	PWK	-0.0674311063621161	0.0833718267235508
COE1	M5	WSB	-0.0260737149208328	0.0875930029414497
COE1	M10	A/J	0	0
COE1	M10	BL6	0	0
COE1	M10	129S1	0	0
COE1	M10	NOD	0	0
COE1	M10	NZO	0	0
COE1	M10	CAST	0	0
COE1	M10	PWK	0	0
COE1	M10	WSB	0	0
COE1	M16	A/J	0.271889845100917	0.172918803513232
COE1	M16	BL6	0.254827139585887	0.271594229819799
COE1	M16	129S1	0.0257560485639519	0.187870053868181
COE1	M16	NOD	-0.00738919137748993	0.161401520120537
COE1	M16	NZO	0.146160715730025	0.199565147331167
COE1	M16	CAST	0.212014024095056	0.15813098945668
COE1	M16	PWK	-0.369975242831789	0.160871906598073
COE1	M16	WSB	-0.533283338866716	0.19268759130565
COE1	M22	A/J	0.124922147372943	0.0928382966908026
COE1	M22	BL6	0.00143530551414833	0.0946630783942214
COE1	M22	129S1	0.00430801731967719	0.0949466871760066
COE1	M22	NOD	-0.0453436689220417	0.0911917889983778
COE1	M22	NZO	-0.0317391989316362	0.099364648038334
COE1	M22	CAST	-0.0266676689997018	0.0902174161259284
COE1	M22	PWK	0.00533101827129785	0.0903529360541985
COE1	M22	WSB	-0.0322459516247007	0.0875275788779331
COE1	M28	A/J	0	0
COE1	M28	BL6	0	0
COE1	M28	129S1	0	0
COE1	M28	NOD	0	0
COE1	M28	NZO	0	0
COE1	M28	CAST	0	0
COE1	M28	PWK	0	0
COE1	M28	WSB	0	0
Mailhella	M5	A/J	0.0110330860420365	0.0338571309646006
Mailhella	M5	BL6	-0.00237350203695605	0.0338370794331481
Mailhella	M5	129S1	-0.00105845323768181	0.0339635971447151
Mailhella	M5	NOD	-0.00283262229558543	0.0338121540703559
Mailhella	M5	NZO	0.000187547810243943	0.0339468949415806
Mailhella	M5	CAST	0.0016748958926488	0.0337625640799914
Mailhella	M5	PWK	0.00494978927133038	0.0339678598915565
Mailhella	M5	WSB	-0.0115807414460377	0.0334136271352135
Mailhella	M10	A/J	0	0
Mailhella	M10	BL6	0	0
Mailhella	M10	129S1	0	0
Mailhella	M10	NOD	0	0
Mailhella	M10	NZO	0	0
Mailhella	M10	CAST	0	0
Mailhella	M10	PWK	0	0
Mailhella	M10	WSB	0	0
Mailhella	M16	A/J	0.358266961538836	0.167380373140178
Mailhella	M16	BL6	0.0375835370983656	0.189932498653137
Mailhella	M16	129S1	-0.141026740811725	0.175120322186479
Mailhella	M16	NOD	-0.0608745740390855	0.156292760245976
Mailhella	M16	NZO	-0.177135370036824	0.172545508580061
Mailhella	M16	CAST	0.198314202639142	0.148631909106312
Mailhella	M16	PWK	0.00678387448718399	0.20667550115417
Mailhella	M16	WSB	-0.221911890875867	0.132581391433557
Mailhella	M22	A/J	0	0
Mailhella	M22	BL6	0	0
Mailhella	M22	129S1	0	0
Mailhella	M22	NOD	0	0
Mailhella	M22	NZO	0	0
Mailhella	M22	CAST	0	0
Mailhella	M22	PWK	0	0
Mailhella	M22	WSB	0	0
Mailhella	M28	A/J	0.629794204332102	0.237614293303467
Mailhella	M28	BL6	0.315892882488977	0.302497025805195
Mailhella	M28	129S1	-0.211346005837057	0.266902394077031
Mailhella	M28	NOD	-0.529874954407184	0.227045641532177
Mailhella	M28	NZO	-0.225446973997541	0.281070235522495
Mailhella	M28	CAST	0.142230940076755	0.225289945937939
Mailhella	M28	PWK	0.275964871471698	0.365756492908239
