fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	ALLANTOINDEGPWY	NA	0.256683855444823	0.11133396451438	2.30553054105666	1	0.02946	0.86372122191114	0.02222	0.881503333708787	 
(Intercept)	ANAEROFRUCATPWY	NA	-0.217520731051263	0.115059851608838	-1.89050070906361	1	3.409e-05	0.995341446422898	0.002331	0.961492750308522	 
(Intercept)	ANAGLYCOLYSISPWY	NA	-0.228033577379358	0.150370279842128	-1.51648036845291	1	0.0008897	0.97620435605411	0.002732	0.958314722567524	 
(Intercept)	ARGININESYN4PWY	NA	-0.0444172424852149	0.106990868214722	-0.415149846209986	1	0.02482	0.874816413795015	0.006682	0.934850685076519	 
(Intercept)	ARGPOLYAMINESYN	NA	0.119100463112649	0.115983105423	1.02687768773115	1	0.001272	0.971549391826105	0.002733	0.958307101134675	 
(Intercept)	ARGSYNBSUBPWY	NA	0.374910644052848	0.127331898761564	2.94435760166342	1	0.04797	0.826634042146158	0.01728	0.895416637101496	 
(Intercept)	ARGSYNPWY	NA	0.395021486886218	0.152562821601077	2.58923820850092	1	0.04405	0.833760615281069	0.01651	0.897760226400462	 
(Intercept)	AROPWY	NA	0.379877362821764	0.133530038249016	2.84488320233491	1	0.06716	0.795517606035166	0.03663	0.848220324458549	 
(Intercept)	ASPASNPWY	NA	-0.201916183521772	0.146620431045426	-1.37713538339834	1	0.03615	0.849206060661227	0.0262	0.871412842059647	 
(Intercept)	BIOTINBIOSYNTHESISPWY	NA	-0.129687472118017	0.12846687999756	-1.00950122024042	1	0.002625	0.959138458648588	0.000881	0.97632095131073	 
(Intercept)	BRANCHEDCHAINAASYNPWY	NA	0.0935126273427199	0.134158327198607	0.697031852553471	1	2.846e-08	0.999865396142144	5.579e-06	0.998115405851366	 
(Intercept)	CALVINPWY	NA	0.234711427091889	0.147079763392801	1.59581047506211	1	0.05022	0.822680898689808	0.02355	0.878035459028169	 
(Intercept)	CENTFERMPWY	NA	-0.107918460836982	0.0901718758545175	-1.1968084262891	1	0.02187	0.882433454858049	0.001584	0.968252976864873	 
(Intercept)	CITRULBIOPWY	NA	0.383543175978899	0.1163082379008	3.2976441127586	1	0.01651	0.897760226400462	0.01202	0.912698248749165	 
(Intercept)	COAPWY	NA	-0.382911900299465	0.125743864323592	-3.04517363419078	1	0.04487	0.832243251968421	0.01635	0.898254133010998	 
(Intercept)	COAPWY1	NA	-0.312796795427666	0.112143588338789	-2.78925260071667	1	0.08014	0.7771077767696	0.02611	0.871631969058409	 
(Intercept)	COLANSYNPWY	NA	0.0104457289267614	0.155351283387883	0.0672394118604117	1	0.01154	0.91445230444156	0.01691	0.896536001619276	 
(Intercept)	COMPLETEAROPWY	NA	0.368902112792064	0.109715270854879	3.36235885777479	1	0.03235	0.857261648184007	0.014	0.905812846727744	 
(Intercept)	DAPLYSINESYNPWY	NA	-0.167060528346122	0.170038292374305	-0.982487685646546	1	0.1454	0.7029706231631	0.05963	0.807081699028054	 
(Intercept)	DTDPRHAMSYNPWY	NA	0.0908377052777336	0.168158418196895	0.540191244968615	1	0.002988	0.956407264492439	9.409e-05	0.992260641126449	 
(Intercept)	FASYNELONGPWY	NA	-0.127351847725547	0.123892358387894	-1.02792334719162	1	0.00513	0.942901125307827	0.0003525	0.985020610695592	 
(Intercept)	FERMENTATIONPWY	NA	0.224310298008918	0.164751802867665	1.36150436052644	1	0.0359	0.849722151345605	0.02216	0.881662248480561	 
(Intercept)	FUCCATPWY	NA	-0.11551932331163	0.127350336660094	-0.907098688085596	1	0.005128	0.942912237761561	0.01244	0.911192312608659	 
(Intercept)	FUCRHAMCATPWY	NA	-0.098082168341484	0.138379159042253	-0.708792920988454	1	0.05015	0.822802467911035	0.03086	0.860553091003896	 
(Intercept)	GALACTARDEGPWY	NA	-0.00571895497610378	0.118002717841706	-0.0484646038727298	1	0.01963	0.888575369446624	0.009673	0.921653256135538	 
(Intercept)	GALACTGLUCUROCATPWY	NA	0.305624531782471	0.127173409485152	2.40321096225822	1	0.03577	0.849991254274923	0.01645	0.897945155096708	 
(Intercept)	GALACTITOLCATPWY	NA	0.242260583504592	0.122016430914784	1.98547508469402	1	0.02758	0.868100073736482	0.02297	0.879535112546833	 
(Intercept)	GALACTUROCATPWY	NA	0.221641019178232	0.11846788929783	1.8708953159537	1	0.03547	0.850614200508296	0.009008	0.924385928973587	 
(Intercept)	GLCMANNANAUTPWY	NA	-0.130374372028202	0.124731377773318	-1.04524117632324	1	0.0003155	0.985828464563083	0.005107	0.943029050286973	 
(Intercept)	GLUCARDEGPWY	NA	-0.0117982286413606	0.126744063671348	-0.0930870314522487	1	0.02164	0.88304882420475	0.01205	0.91258980738027	 
(Intercept)	GLUCARGALACTSUPERPWY	NA	-0.00571895497610378	0.118002717841706	-0.0484646038727298	1	0.01963	0.888575369446624	0.009673	0.921653256135538	 
(Intercept)	GLUCONEOPWY	NA	-0.14724266472449	0.154366962113816	-0.953848302177034	1	0.003333	0.953961992288423	0.001648	0.96761831885641	 
(Intercept)	GLUCOSE1PMETABPWY	NA	-0.101117684430662	0.146265289114429	-0.691330698095799	1	0.04391	0.834021146934078	0.02482	0.874816413795015	 
(Intercept)	GLUCUROCATPWY	NA	0.241819079448983	0.117938746395536	2.0503785807421	1	0.0403	0.840895156663951	0.01274	0.910132345612098	 
(Intercept)	GLUDEGIPWY	NA	-0.35414633065727	0.175155763811901	-2.02189367309424	1	0.004902	0.944182290345566	0.001876	0.965452175394379	 
(Intercept)	GLUTORNPWY	NA	0.462146886390307	0.130355402507046	3.54528372052189	1	0.04843	0.825818062815008	0.01832	0.892334051946888	 
(Intercept)	GLYCOCATPWY	NA	-0.157821001462802	0.15428680878289	-1.02290664190796	1	0.03543	0.850697465814866	0.04268	0.836328989574426	 
(Intercept)	GLYCOGENSYNTHPWY	NA	0.341155562143147	0.181189040238765	1.88287084965837	1	0.04857	0.825570528331667	0.01922	0.889737624516046	 
(Intercept)	GLYCOLYSIS	NA	-0.198352648370165	0.152088105375144	-1.30419566922018	1	0.00676	0.934472390504046	0.003337	0.953934405701521	 
(Intercept)	GLYCOLYSISED	NA	-0.36461662545027	0.184001875801349	-1.9815918933561	1	0.001547	0.968625757118358	2.467e-06	0.998746788251362	 
(Intercept)	GLYOXYLATEBYPASS	NA	-0.133374312198808	0.141019126406294	-0.945788813175169	1	0.07363	0.786123019537805	0.03964	0.842186112404701	 
(Intercept)	GOLPDLCATPWY	NA	-0.198242604220101	0.150318279696328	-1.31881900604896	1	0.0004816	0.982491520082785	5.33e-05	0.994174947981425	 
(Intercept)	HEMESYN2PWY	NA	-0.0509133516668621	0.0930907237977293	-0.546921858481715	1	0.009466	0.922493420367832	0.0001079	0.991712129169411	 
(Intercept)	HEXITOLDEGSUPERPWY	NA	0.0301773969724622	0.0911208569980866	0.331179907286165	1	0.06861	0.793371473204195	0.06917	0.792549113793897	 
(Intercept)	HISDEGPWY	NA	-0.0826034708151973	0.184206294261261	-0.448429143783981	1	0.01537	0.901334432782536	0.01568	0.900349537148702	 
(Intercept)	HISTSYNPWY	NA	0.246808999643728	0.123225033588689	2.00291282100639	1	0.002765	0.958063949284307	1.166e-05	0.997275489457681	 
(Intercept)	HSERMETANAPWY	NA	-0.153434883777396	0.158236010494956	-0.96965844435447	1	0.0003148	0.985844192837691	6.06e-05	0.993788850435105	 
(Intercept)	ILEUSYNPWY	NA	0.134705504885861	0.14255874689192	0.944912240200791	1	0.001461	0.969509859259474	0.000538	0.98149486494729	 
(Intercept)	KETOGLUCONMETPWY	NA	0.225266161615996	0.129461757726703	1.74002088007749	1	0.0243	0.87612400586173	0.02279	0.880004452023705	 
(Intercept)	LACTOSECATPWY	NA	-0.335552099820845	0.213537846851782	-1.57139403982917	1	0.000375	0.98454999755026	0.003878	0.950344959846664	 
(Intercept)	METHACETATEPWY	NA	0.153061664481435	0.136687822946932	1.11979005284808	1	0.0179	0.89356793779557	0.005046	0.943369738669099	 
(Intercept)	METSAMPWY	NA	-0.0305815378415904	0.155727994259252	-0.196377908718705	1	0.02003	0.887453329635633	0.01373	0.90672131202295	 
(Intercept)	METSYNPWY	NA	-0.0297642614016822	0.155102272519291	-0.191900872361366	1	0.01995	0.887676817066321	0.01373	0.90672131202295	 
