feature	herit	herit.se	LRT.pval
ALLANTOINDEGPWY	0.0229438870876884	0.0202386680053478	0.209852699379025
ANAEROFRUCATPWY	0.0379332791718488	0.0260258489834143	0.107522215352877
ANAGLYCOLYSISPWY	0.0720750530363977	0.0255310255540872	0.00166201770105767
ARGININESYN4PWY	0.0337991907959244	0.0222007995720775	0.0987812044504828
ARGPOLYAMINESYN	0.0319956932640798	0.0193146127604692	0.0411078534899492
ARGSYNBSUBPWY	0.0564337059506764	0.0246389875125567	0.00727630374652455
ARGSYNPWY	0.0868685337497012	0.0272991570665735	0.000119243866491869
AROPWY	0.0599569462893627	0.025761745290659	0.0078065164980583
ASPASNPWY	0.0686972580631916	0.0247130690911564	0.00107322272482635
BIOTINBIOSYNTHESISPWY	0.0514113324647594	0.0265428101674981	0.0430076895218383
BRANCHEDCHAINAASYNPWY	0.053233219064393	0.0241216083313265	0.0108152622040327
CALVINPWY	0.0708959231955849	0.0243373011503621	0.000502289550012081
CENTFERMPWY	0.00949041930108319	0.0202915486405527	0.635611223692476
CITRULBIOPWY	0.0360640300460188	0.0215301565295105	0.0694699668457491
COAPWY	0.0549259681606915	0.0240245071162127	0.0103824309826485
COAPWY1	0.0378235710402349	0.0221764781920077	0.0678293300068263
COLANSYNPWY	0.057903119575837	0.0228404906172508	0.00301984527299726
COMPLETEAROPWY	0.034218416949121	0.0224840793805167	0.081846661053543
DAPLYSINESYNPWY	0.106347989250435	0.0276139710863683	2.59418683667967e-06
DTDPRHAMSYNPWY	0.086232798111026	0.0261499189812507	0.00012111407385107
FASYNELONGPWY	0.0487217499578362	0.0258919140579768	0.0454901136564195
FERMENTATIONPWY	0.0868771437866234	0.0266261850733753	5.26073122149029e-05
FUCCATPWY	0.043809966284408	0.0238232963942	0.0443955872045622
FUCRHAMCATPWY	0.0618865512706414	0.0245440243527083	0.00367441627431142
GALACTARDEGPWY	0.0403503092024601	0.0241538486702466	0.0828192202672084
GALACTGLUCUROCATPWY	0.0495227534613121	0.0204905368958533	0.00245450689540272
GALACTITOLCATPWY	0.0405994706144769	0.0162644941979638	0.022803490258263
GALACTUROCATPWY	0.0381416084486934	0.0211851786194352	0.0295858348531491
GLCMANNANAUTPWY	0.0335023449513154	0.0210991282285846	0.071547720805341
GLUCARDEGPWY	0.047191898300462	0.024406558441964	0.0433225207053839
GLUCARGALACTSUPERPWY	0.0403503092024601	0.0241538486702466	0.0828192202672084
GLUCONEOPWY	0.0760564292822864	0.0259811607096474	0.000237369892375328
GLUCOSE1PMETABPWY	0.0698535898835524	0.025158463035322	0.00105381919532921
GLUCUROCATPWY	0.0426691469635685	0.0206209895955334	0.00954379459069354
GLUDEGIPWY	0.099215776337899	0.0286407944973964	2.42038912101616e-05
GLUTORNPWY	0.0641702015845969	0.0250524154538215	0.00221783015510713
GLYCOCATPWY	0.067280285365244	0.0270566231433521	0.00366321977769057
GLYCOGENSYNTHPWY	0.120269731756199	0.0298590318110231	5.06420282708753e-07
GLYCOLYSIS	0.0738258858051442	0.0258923880602059	0.00119911084580626
GLYCOLYSISED	0.114238407836704	0.029288978559944	1.70631914164776e-06
GLYOXYLATEBYPASS	0.0640359801460483	0.0245527332602539	0.00135567049159269
GOLPDLCATPWY	0.06334820384464	0.0247730656595589	0.00382365956825725
HEMESYN2PWY	0.0236234967873057	0.0226914682820531	0.257852759544874
HEXITOLDEGSUPERPWY	0.0144737160770456	0.0171956013587561	0.211505774877557
