term.clean	term	component	std.error	z.ratio	bound	X.ch	PVE	feature	LRT.pval
Age	Age	0.000870929369585344	0.00229098021747076	0.38015577914804	P	0.3	0.000886500226808915	ALLANTOINDEGPWY	0.621019956505484
Batch	Batch	0.0286934096075962	0.00908973276125353	3.15668351988372	P	0	0.0292064029683207	ALLANTOINDEGPWY	1.37416979606453e-06
Cage	Cage	0.00844677070239233	0.00738432199211207	1.14387897919608	P	0	0.00859778577341905	ALLANTOINDEGPWY	0.209704137903111
Cohort	Cohort	0.0526279637886742	0.0261044336394033	2.01605461032623	P	0	0.053568869605768	ALLANTOINDEGPWY	4.83354262170721e-08
Diet	Diet.5mo.as.AL	0.0266857388089499	0.020345729689158	1.31161374974771	P	0	0.0271628381506536	ALLANTOINDEGPWY	7.53526496755086e-09
Genetics	vm(Mouse, kinship.mat.x2)	0.0207646754769515	0.0192722548107079	1.07743881973865	P	0	0.0211359154516688	ALLANTOINDEGPWY	0.232800551763397
Mouse	ide(Mouse)	0.0377643634318016	0.0214004903157489	1.76464944842924	P	0	0.0384395312831459	ALLANTOINDEGPWY	0.0651059634547734
Residual	units!R	0.80658173455595	0.0250106906473271	32.2494786701202	P	0	0.821002156540215	ALLANTOINDEGPWY	NA
Age	Age	7.84762908312844e-08	NA	NA	B	0	7.73698323591044e-08	ANAEROFRUCATPWY	1
Batch	Batch	0.0271239921797868	0.00864200291139111	3.13862335593921	P	0	0.0267415636701215	ANAEROFRUCATPWY	1.55164174397981e-07
Cage	Cage	0.0116428424201093	0.0090410560113485	1.28777461454668	P	0	0.011478686832485	ANAEROFRUCATPWY	0.144543848970369
Cohort	Cohort	0.0101664124200373	0.00847098625168179	1.20014507378274	P	0	0.0100230734187329	ANAEROFRUCATPWY	0.0745556998373345
Diet	Diet.5mo.as.AL	0.0535774760627766	0.039632145090211	1.35186919458493	P	0	0.0528220727214651	ANAEROFRUCATPWY	6.92779167366098e-14
Genetics	vm(Mouse, kinship.mat.x2)	0.0357533588460589	0.025168134372363	1.42058041796374	P	0	0.0352492625593325	ANAEROFRUCATPWY	0.113252121656291
Mouse	ide(Mouse)	0.100524870854601	0.0256215999723668	3.92344236749531	P	0	0.0991075434829362	ANAEROFRUCATPWY	1.2115777302979e-05
