term.clean	term	component	std.error	z.ratio	bound	X.ch	PVE	feature	LRT.pval
Age	Age	0.000248167502363642	0.00216062800172773	0.1148589679321	P	0.1	0.000251064889053511	ALLANTOINDEGPWY	0.897353190142855
Batch	Batch	0.0270574972779022	0.00909379029535176	2.97538170544052	P	0	0.0273733969494042	ALLANTOINDEGPWY	1.10779594221233e-05
Cage	Cage	0.00875707893308075	0.00742636547116659	1.1791877153206	P	0	0.0088593189270412	ALLANTOINDEGPWY	0.195346697303608
Cohort	Cohort	0.0553060362355695	0.0275225365683707	2.00948179678787	P	0	0.0559517411394434	ALLANTOINDEGPWY	9.93602551346839e-08
Diet	Diet.5mo.as.AL	0.0279818531244075	0.0212941340368866	1.31406391431256	P	0	0.0283085447662556	ALLANTOINDEGPWY	6.23224671869593e-09
Genetics	vm(Mouse, kinship.mat.x2)	0.0215111517414872	0.0193267059649328	1.11302731984012	P	0	0.0217622971337965	ALLANTOINDEGPWY	0.216777881285816
Mouse	ide(Mouse)	0.0376965037035857	0.021359739711188	1.76483909510567	P	0	0.0381366151083631	ALLANTOINDEGPWY	0.064909095444601
Residual	units!R	0.80299405153992	0.0249341486041684	32.2045907517243	P	0	0.812369107720993	ALLANTOINDEGPWY	NA
Time	Time	0.00690727012137958	0.0055966641757744	1.23417627080042	P	0	0.00698791336564969	ALLANTOINDEGPWY	0.034427804377816
Age	Age	7.84763498359547e-08	NA	NA	B	NA	7.73698139733061e-08	ANAEROFRUCATPWY	1
Batch	Batch	0.0271240588074602	0.00864121454435692	3.13891741354499	P	0	0.0267416028971919	ANAEROFRUCATPWY	1.55682228630827e-06
Cage	Cage	0.0116428597086868	0.0090410768708583	1.28777355562751	P	0	0.0114786925189745	ANAEROFRUCATPWY	0.144543418816224
Cohort	Cohort	0.0101665297351283	0.00847099411157166	1.20015780925175	P	0	0.0100231791616865	ANAEROFRUCATPWY	0.0745543884483882
Diet	Diet.5mo.as.AL	0.053577545759245	0.0396386115860582	1.35165041396378	P	0	0.0528220891670458	ANAEROFRUCATPWY	6.92779167366098e-14
Genetics	vm(Mouse, kinship.mat.x2)	0.0357537410534007	0.0251677882828481	1.42061513914462	P	0	0.0352496044978379	ANAEROFRUCATPWY	0.113252070623125
Mouse	ide(Mouse)	0.100524605122815	0.0256217893388396	3.92340299865129	P	0	0.0991071834297887	ANAEROFRUCATPWY	1.21158230774743e-05
Residual	units!R	0.775512454889367	0.0240397188518216	32.2596308080617	P	0	0.764577538254489	ANAEROFRUCATPWY	NA
Time	Time	3.31708897614857e-08	NA	NA	B	NA	3.27031720453359e-08	ANAEROFRUCATPWY	1
Age	Age	0.000422327442267703	0.00264658012337321	0.159574780501799	P	9.7	0.00041687934316272	ANAGLYCOLYSISPWY	0.878769413775043
Batch	Batch	0.0175435799329317	0.00820667855558511	2.137719884373	P	0	0.0173172646321368	ANAGLYCOLYSISPWY	0.00521065158613288
Cage	Cage	0.00562390494903254	0.00712656833712711	0.789146287945324	P	0.1	0.00555135557512776	ANAGLYCOLYSISPWY	0.393444351886771
Cohort	Cohort	0.00781378326934785	0.00677882841627319	1.15267459058119	P	0.1	0.00771298407569925	ANAGLYCOLYSISPWY	0.0988294046930812
Diet	Diet.5mo.as.AL	0.0287351402503478	0.0217063747270567	1.32381112054284	P	0.9	0.0283644518313361	ANAGLYCOLYSISPWY	2.3465028231584e-07
Genetics	vm(Mouse, kinship.mat.x2)	0.0725972788233664	0.0256496594525934	2.8303408455595	P	0.1	0.0716607610170454	ANAGLYCOLYSISPWY	0.00127936323585953
Mouse	ide(Mouse)	0.00568676629143172	0.0230231964106493	0.247001597432463	P	0.9	0.00561340599503177	ANAGLYCOLYSISPWY	0.808183325356353
Residual	units!R	0.862098089897116	0.0267173583547278	32.2673401483408	P	0	0.850976871236174	ANAGLYCOLYSISPWY	NA
Time	Time	0.0125478963890148	0.00724212958736595	1.73262522268379	P	0	0.0123860262942861	ANAGLYCOLYSISPWY	8.02980445675505e-05
Age	Age	0.111322148009291	0.0686887690460603	1.62067466858581	P	0.4	0.10279411753721	ARGININESYN4PWY	0.000179569444990979
Batch	Batch	0.0367225214709432	0.0105311676138624	3.48703228525245	P	0	0.0339093276212367	ARGININESYN4PWY	3.12728105633653e-08
Cage	Cage	0.0270369595711496	0.00975820295385249	2.77069043337283	P	0	0.0249657453588983	ARGININESYN4PWY	0.000409885379287322
Cohort	Cohort	8.34531653947044e-08	NA	NA	B	NA	7.70600877349178e-08	ARGININESYN4PWY	1
Diet	Diet.5mo.as.AL	0.0287418617747788	0.0226112387599147	1.27113167394139	P	0	0.0265400405071979	ARGININESYN4PWY	8.42258659483619e-07
Genetics	vm(Mouse, kinship.mat.x2)	0.0309088544424894	0.0210478495055611	1.46850415451341	P	0	0.0285410268605004	ARGININESYN4PWY	0.109911995095233
Mouse	ide(Mouse)	0.0198192091346298	0.0214774058254047	0.922793436774684	P	0	0.0183009234883758	ARGININESYN4PWY	0.350262365750382
Residual	units!R	0.82469392751858	0.025554866060787	32.2715026389453	P	0	0.761516787391607	ARGININESYN4PWY	NA
Time	Time	0.003716676788236	0.00541897389049556	0.685863571838711	P	0.8	0.00343195417488589	ARGININESYN4PWY	0.458776068331835
Age	Age	0.0065126011261013	0.00834227024485492	0.780674916413542	P	1.8	0.00641940577337744	ARGPOLYAMINESYN	0.35231929212315
Batch	Batch	0.0535173721712756	0.0134085289074172	3.99129334327434	P	0	0.0527515383239721	ARGPOLYAMINESYN	1.74404934938366e-12
Cage	Cage	0.00903553147208078	0.00703880385630509	1.28367427996833	P	0	0.00890623297424815	ARGPOLYAMINESYN	0.151122006722485
Cohort	Cohort	0.0320214092524197	0.019071161733564	1.67904869665408	P	0.1	0.0315631827355164	ARGPOLYAMINESYN	0.00118504130432817
Diet	Diet.5mo.as.AL	0.0131035447229759	0.0109629249503845	1.19525991305051	P	0	0.0129160329364032	ARGPOLYAMINESYN	0.000287953684474207
Genetics	vm(Mouse, kinship.mat.x2)	0.0333316865538598	0.0147484496970147	2.26001289888839	P	0	0.0328547099626145	ARGPOLYAMINESYN	0.035269179930719
Mouse	ide(Mouse)	2.44176991685678e-07	NA	NA	B	NA	2.4068281778702e-07	ARGPOLYAMINESYN	0.989085056696564
Residual	units!R	0.849523334428649	0.0245787706604684	34.5632963570058	P	0	0.8373666515202	ARGPOLYAMINESYN	NA
Time	Time	0.0174720299211409	0.0117909107595856	1.4818219115887	P	0.6	0.0172220050908505	ARGPOLYAMINESYN	0.0149087113379746
Age	Age	0.037387529626131	0.0259621981645918	1.44007565881388	P	0.4	0.0378221675873135	ARGSYNBSUBPWY	2.82853331615707e-05
Batch	Batch	0.0320079298847677	0.00980810777435296	3.26341539276971	P	0	0.0323800288580324	ARGSYNBSUBPWY	5.53125467983584e-07
Cage	Cage	0.0134254987170158	0.00777132617293323	1.72756855371422	P	0	0.013581572986928	ARGSYNBSUBPWY	0.046039562502163
Cohort	Cohort	0.00117439480579171	0.00457917954125421	0.256464022694784	P	0.2	0.00118804739447882	ARGSYNBSUBPWY	0.77741435858361
Diet	Diet.5mo.as.AL	0.0959370068035194	0.0696581672706669	1.37725424831725	P	0	0.0970522948542679	ARGSYNBSUBPWY	0
Genetics	vm(Mouse, kinship.mat.x2)	0.0480339416898877	0.0214363912309761	2.24076623589877	P	0	0.0485923464492398	ARGSYNBSUBPWY	0.00735520387466126
Mouse	ide(Mouse)	0.0282857261367756	0.0202060187016342	1.39986637419513	P	0	0.0286145537020518	ARGSYNBSUBPWY	0.148789985797665
Residual	units!R	0.719825718630486	0.0223662911809918	32.1835083342845	P	0	0.728193845272734	ARGSYNBSUBPWY	NA
Time	Time	0.0124306341367811	0.00823487307829398	1.50951132076906	P	0.2	0.0125751428949538	ARGSYNBSUBPWY	0.00400832456872635
Age	Age	0.0423968026893739	0.029853341578105	1.42016941649402	P	1	0.0426680259546013	ARGSYNPWY	0.00012215814084815
Batch	Batch	0.0287543292458308	0.00923513599954137	3.11357940448941	P	0.1	0.0289382780951018	ARGSYNPWY	5.05969208774992e-06
Cage	Cage	0.00825790772065711	0.00710370376187913	1.16247917951926	P	0.1	0.00831073568300025	ARGSYNPWY	0.204259743715193
Cohort	Cohort	0.000565859492165878	0.00409182548707096	0.138290231084839	P	0.7	0.000569479441062723	ARGSYNPWY	0.884945841541135
Diet	Diet.5mo.as.AL	0.108021597889345	0.0780436270331063	1.38411811439161	P	0	0.108712639869781	ARGSYNPWY	0
Genetics	vm(Mouse, kinship.mat.x2)	0.0723515642139043	0.0235758815257178	3.06888054790145	P	0	0.0728144158028362	ARGSYNPWY	0.000125125390879721
Mouse	ide(Mouse)	0.0241182350089762	0.0204498484964626	1.17938453251369	P	0.1	0.0242725255694835	ARGSYNPWY	0.228528698693726
Residual	units!R	0.693813614876817	0.0216162378549232	32.0968717837641	P	0	0.698252119248594	ARGSYNPWY	NA
Time	Time	0.0153634960944699	0.00928620817410674	1.65444235218728	P	0.5	0.0154617803355383	ARGSYNPWY	0.00062998883262233
Age	Age	0.0540945553270943	0.0335737190693331	1.6112172504745	P	0	0.0533720121626143	AROPWY	1.3839940304905e-10
Batch	Batch	0.0259241315367829	0.00870308751608205	2.97872812250582	P	0	0.0255778618628071	AROPWY	3.76381412547921e-06
Cage	Cage	0.00665501630089779	0.00744271797208148	0.894164783061987	P	0.1	0.00656612497886658	AROPWY	0.342377549768419
Cohort	Cohort	0.00289080240250433	0.00507942100669402	0.569120456582478	P	0	0.00285218983783564	AROPWY	0.492739860234116
Diet	Diet.5mo.as.AL	0.0848937263110646	0.0618047661104502	1.37357895925619	P	0	0.0837597973734407	AROPWY	0
Genetics	vm(Mouse, kinship.mat.x2)	0.0491018366273849	0.0228029743364788	2.15330841945626	P	0	0.048445981408611	AROPWY	0.0119762810461326
Mouse	ide(Mouse)	0.0594434665842825	0.0223481782272445	2.65987974410439	P	0	0.0586494777956927	AROPWY	0.00507634288396197
Residual	units!R	0.705472724626414	0.022003480638401	32.0618694932841	P	0	0.696049696896107	AROPWY	NA
Time	Time	0.025061606577213	0.0129424023190521	1.93639526568577	P	0	0.0247268576840248	AROPWY	3.96055526974415e-06
Age	Age	0.000864333170531007	0.00304594795740785	0.283764917397528	P	1.6	0.000850277494172466	ASPASNPWY	0.749641488194505
