fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	ALLANTOINDEGPWY	NA	0.248458754665948	0.0981269042900977	2.53201460357311	1	0.03881	0.843825551624913	0.005049	0.943352935271224	 
(Intercept)	ANAEROFRUCATPWY	NA	-0.220606068167924	0.115601029368043	-1.90833999812902	1	3.762e-05	0.995106194169088	0.00178	0.966347197462732	 
(Intercept)	ANAGLYCOLYSISPWY	NA	-0.229558716526145	0.151460516588691	-1.51563405233549	1	0.0009464	0.975458057802446	0.002721	0.958398650817843	 
(Intercept)	ARGININESYN4PWY	NA	-0.0464052318868311	0.107774457814297	-0.430577270607017	1	0.02503	0.874292330445985	0.007809	0.92958375977465	 
(Intercept)	ARGPOLYAMINESYN	NA	0.112917018678056	0.11139033959951	1.01370566858881	1	0.002081	0.963614738990034	1.495e-05	0.996914968692483	 
(Intercept)	ARGSYNBSUBPWY	NA	0.381452218455468	0.12566604623956	3.0354437803215	1	0.05051	0.822178200305681	0.02157	0.883236773044436	 
(Intercept)	ARGSYNPWY	NA	0.401551623694046	0.150145424905152	2.67441797808831	1	0.04651	0.829251401320581	0.01941	0.88919746324577	 
(Intercept)	AROPWY	NA	0.37416602039062	0.135151629569765	2.76849063220118	1	0.06636	0.796712273888145	0.02959	0.863423817462117	 
(Intercept)	ASPASNPWY	NA	-0.204333403403829	0.146425677380887	-1.39547521349217	1	0.03605	0.849412274380931	0.02693	0.869649567536898	 
(Intercept)	BIOTINBIOSYNTHESISPWY	NA	-0.134626194552727	0.124962053812674	-1.07733660295421	1	0.003254	0.954510270484212	7.577e-05	0.993054824561174	 
(Intercept)	BRANCHEDCHAINAASYNPWY	NA	0.0940733076405142	0.134603943516857	0.698889684675049	1	2.47e-07	0.999603458613978	1.139e-05	0.997307218598302	 
(Intercept)	CALVINPWY	NA	0.236254873993557	0.147065515992079	1.60646003517427	1	0.04958	0.823795722994442	0.02409	0.876656130917789	 
(Intercept)	CENTFERMPWY	NA	-0.111435756414941	0.0909903935019086	-1.22469803817921	1	0.02156	0.883263648297186	0.0001693	0.98961859136086	 
(Intercept)	CITRULBIOPWY	NA	0.377981774131384	0.112537062716171	3.35873147040179	1	0.01864	0.891403586393544	0.003899	0.950210870483329	 
(Intercept)	COAPWY	NA	-0.386581564614541	0.124733305439751	-3.09926497379058	1	0.04566	0.830795043820703	0.01797	0.893361274624587	 
(Intercept)	COAPWY1	NA	-0.323740122261722	0.106558901061883	-3.03813307978573	1	0.09194	0.761725184349113	0.04881	0.825147052273583	 
(Intercept)	COLANSYNPWY	NA	0.00147378604835274	0.146283286019515	0.0100748765525825	1	0.01184	0.913351792846959	0.005693	0.939855109758497	 
(Intercept)	COMPLETEAROPWY	NA	0.360283212451561	0.108048157508435	3.33446882167737	1	0.03205	0.857917963361085	0.00486	0.944421537105467	 
(Intercept)	DAPLYSINESYNPWY	NA	-0.176303236617548	0.164086592696657	-1.0744524200309	1	0.1593	0.68980180892392	0.08438	0.771447245905776	 
(Intercept)	DTDPRHAMSYNPWY	NA	0.0948746877967307	0.168507819989823	0.56302839715368	1	0.003019	0.956181940629332	0.0004865	0.982402690562919	 
(Intercept)	FASYNELONGPWY	NA	-0.133073405496394	0.122155055901871	-1.08938106993537	1	0.005457	0.941112625563268	1.377e-06	0.999063717444262	 
(Intercept)	FERMENTATIONPWY	NA	0.229606173571052	0.16272208628427	1.41103263124305	1	0.03726	0.846936651712952	0.02551	0.873102825226898	 
(Intercept)	FUCCATPWY	NA	-0.120875182330416	0.12486147778374	-0.968074256975978	1	0.005981	0.938355516791362	0.005961	0.938458465307821	 
(Intercept)	FUCRHAMCATPWY	NA	-0.0997586395078497	0.13910901442763	-0.717125629265013	1	0.05045	0.822282082250153	0.03134	0.85948398410863	 
(Intercept)	GALACTARDEGPWY	NA	-0.00855330970576219	0.119871580505165	-0.0713539411903694	1	0.0206	0.885873988332165	0.01159	0.914267889460038	 
(Intercept)	GALACTGLUCUROCATPWY	NA	0.301650004397414	0.126895009483869	2.37716207772347	1	0.0359	0.849722151345605	0.01012	0.919869417140965	 
(Intercept)	GALACTITOLCATPWY	NA	0.239358307607716	0.122918618445116	1.94729090381529	1	0.02673	0.870130190406925	0.01724	0.895537057975185	 
(Intercept)	GALACTUROCATPWY	NA	0.223338923156572	0.119683432362892	1.86608053217748	1	0.0343	0.853070136317111	0.009603	0.921936344813519	 
(Intercept)	GLCMANNANAUTPWY	NA	-0.137420591522798	0.11107238249389	-1.23721656488603	1	0.002355	0.961295177208821	0.0002711	0.986863332800615	 
(Intercept)	GLUCARDEGPWY	NA	-0.0159637653285031	0.128635708399442	-0.12410057461597	1	0.02279	0.880004452023705	0.01553	0.900824852808473	 
(Intercept)	GLUCARGALACTSUPERPWY	NA	-0.00855330970576219	0.119871580505165	-0.0713539411903694	1	0.0206	0.885873988332165	0.01159	0.914267889460038	 
(Intercept)	GLUCONEOPWY	NA	-0.145218575307986	0.15389297586131	-0.943633551143091	1	0.00331	0.954120938496328	0.001557	0.968524569410348	 
(Intercept)	GLUCOSE1PMETABPWY	NA	-0.105807277471652	0.144846380682223	-0.730479263432766	1	0.04342	0.834936438455189	0.02553	0.87305351260009	 
(Intercept)	GLUCUROCATPWY	NA	0.240783441707286	0.11882892723636	2.02630325213952	1	0.03863	0.844183489171063	0.01024	0.919397344574889	 
(Intercept)	GLUDEGIPWY	NA	-0.356396723735103	0.175889696299227	-2.02625128835742	1	0.004944	0.94394407133662	0.001879	0.965424580185329	 
(Intercept)	GLUTORNPWY	NA	0.464528295052173	0.130096965653507	3.57063128043565	1	0.04847	0.825747300441399	0.01823	0.892597233745021	 
(Intercept)	GLYCOCATPWY	NA	-0.163370506134907	0.152052601301794	-1.07443414144984	1	0.03592	0.849680795718968	0.03431	0.853048963330686	 
(Intercept)	GLYCOGENSYNTHPWY	NA	0.346825026409164	0.177525940344166	1.95365829769317	1	0.05401	0.816226947912749	0.02295	0.879587168263441	 
(Intercept)	GLYCOLYSIS	NA	-0.200190644891484	0.153165442398477	-1.30702227445448	1	0.006713	0.934700072462234	0.003406	0.953461122423757	 
(Intercept)	GLYCOLYSISED	NA	-0.366408923966553	0.184639381725645	-1.98445705646371	1	0.001594	0.96815297603402	4.885e-06	0.998236514098699	 
(Intercept)	GLYOXYLATEBYPASS	NA	-0.133569471356994	0.141458138755724	-0.944233202358523	1	0.07374	0.785967203289122	0.03935	0.842756882913913	 
(Intercept)	GOLPDLCATPWY	NA	-0.199824313736217	0.151473212331764	-1.31920562494279	1	0.0004489	0.98309627679215	5.049e-05	0.994330573984285	 
(Intercept)	HEMESYN2PWY	NA	-0.0555574363625938	0.0942290292183739	-0.58960000780482	1	0.009594	0.921972817404379	8.999e-05	0.992431136488216	 
(Intercept)	HEXITOLDEGSUPERPWY	NA	0.0265303601015713	0.0925520991290752	0.286653250992951	1	0.06593	0.797357582419009	0.05351	0.817064434425396	 
(Intercept)	HISDEGPWY	NA	-0.0966581812192621	0.179932494961205	-0.537191357459377	1	0.009369	0.92289031063634	0.00646	0.935939705420358	 
(Intercept)	HISTSYNPWY	NA	0.245529122797815	0.123823741812988	1.98289212717088	1	0.002738	0.958269014925372	1.134e-05	0.997313135483526	 
(Intercept)	HSERMETANAPWY	NA	-0.163689172661192	0.156257468175387	-1.04756063548568	1	0.000903	0.976027210096937	0.0007979	0.977465052887102	 
(Intercept)	ILEUSYNPWY	NA	0.136683468542506	0.14290191390562	0.956484520093823	1	0.00148	0.969312337882125	0.0006634	0.979451516371856	 
(Intercept)	KETOGLUCONMETPWY	NA	0.221995877496324	0.130053930227929	1.7069524704656	1	0.02401	0.876859469726063	0.01679	0.896901708493921	 
(Intercept)	LACTOSECATPWY	NA	-0.337041794249015	0.211217326073254	-1.59571092256003	1	0.000195	0.988858510565315	0.003989	0.949640266525694	 
(Intercept)	METHACETATEPWY	NA	0.147886721950491	0.135244154253791	1.09347958709532	1	0.01847	0.891896874329437	0.001513	0.968972268689273	 
(Intercept)	METSAMPWY	NA	-0.0333231939415561	0.156486145630058	-0.212946608195808	1	0.02021	0.886952141615879	0.01438	0.904549184594925	 
(Intercept)	METSYNPWY	NA	-0.0324861307782313	0.155854477821811	-0.208438867026797	1	0.02012	0.887202449749501	0.01437	0.904582220381687	 
(Intercept)	NAGLIPASYNPWY	NA	0.0372467984531611	0.143164840986397	0.260167218407348	1	0.00581	0.93924140133936	0.002542	0.959789092954878	 
(Intercept)	NONMEVIPPPWY	NA	0.368152364686374	0.174166367865964	2.11379710788766	1	0.0294	0.863858713331786	0.01371	0.906788964511237	 
(Intercept)	NONOXIPENTPWY	NA	0.219260193348427	0.146803696946848	1.49356043416136	1	0.02036	0.886536221678227	0.00998	0.920423756087656	 
(Intercept)	OANTIGENPWY	NA	-0.422946374154739	0.140131279404755	-3.01821531888753	1	0.0639	0.800434751259669	0.01965	0.888518992109077	 
(Intercept)	P105PWY	NA	-0.00890701827742346	0.123510782538829	-0.072115309241307	1	0.02723	0.868932056907221	0.02129	0.883991701675718	 
(Intercept)	P108PWY	NA	0.182877900967657	0.0829182265649063	2.20552113261256	1	0.0413	0.838959943736367	0.0239	0.877139627831616	 
(Intercept)	P122PWY	NA	-0.110537358691155	0.142955516682264	-0.773229052341065	1	0.02494	0.874516660599544	0.02508	0.87416788119203	 
(Intercept)	P124PWY	NA	-0.311181040087607	0.168190085404463	-1.85017469572763	1	3.916e-06	0.99842107638741	0.002047	0.963912995294469	 
(Intercept)	P161PWY	NA	0.11555717158063	0.0959671832269816	1.20413215950409	1	0.01736	0.895176219969693	0.00958	0.922029586892244	 
(Intercept)	P164PWY	NA	0.240366127418195	0.0994650462622793	2.41658890686456	1	0.0513	0.820816421914765	0.01823	0.892597233745021	 
(Intercept)	P185PWY	NA	0.0996509209363736	0.107570791705284	0.926375267455416	1	0.001357	0.970614588871557	1.857e-05	0.99656169285915	 
(Intercept)	P41PWY	NA	0.063620791317988	0.165316646330978	0.384842015187108	1	3.538e-05	0.995254123693126	0.0001147	0.991454972430924	 
(Intercept)	P42PWY	NA	0.116791451618618	0.123187627202883	0.948077775913887	1	5.31e-06	0.99816140134671	0.001073	0.97386862503989	 
(Intercept)	P441PWY	NA	-0.150024529558769	0.145956677171513	-1.02787027264587	1	0.002753	0.958154965046344	0.003793	0.950891461918286	 
(Intercept)	P461PWY	NA	0.151932305087183	0.123907979004507	1.22617047189235	1	0.0006958	0.978955824627871	0.0001574	0.989990070180247	 
(Intercept)	PANTOPWY	NA	0.010928240112399	0.1899723762326	0.0575254167427934	1	0.03923	0.842993703096898	0.03691	0.847648401428695	 
(Intercept)	PANTOSYNPWY	NA	-0.166045240915291	0.185746373229813	-0.893935305589264	1	0.0005586	0.981143977147571	0.001722	0.966899694140953	 
