feature	herit	herit.se	LRT.pval
ALLANTOINDEGPWY	0.0234496406280266	0.0208802877456692	0.215817638703197
ANAEROFRUCATPWY	0.0379959502958964	0.0259970716924059	0.106848591013594
ANAGLYCOLYSISPWY	0.0729776628190083	0.0254636127538101	0.00147983928885265
ARGININESYN4PWY	0.0343016317503041	0.0222451018287256	0.0950330540471884
ARGPOLYAMINESYN	0.0314647086256594	0.0194132356259441	0.051086851290246
ARGSYNBSUBPWY	0.0556433043728197	0.0244595263732946	0.00761176404054731
ARGSYNPWY	0.0851561351225526	0.0270071223052269	0.000140019654220169
AROPWY	0.0625451701113643	0.025942010612819	0.0058150302090364
ASPASNPWY	0.0684656027310665	0.0246287672067852	0.001150803272713
BIOTINBIOSYNTHESISPWY	0.050404561457079	0.0266096790153312	0.0505280028043906
BRANCHEDCHAINAASYNPWY	0.0534891140908371	0.0240747145511587	0.0104994883208999
CALVINPWY	0.0704348981768243	0.0241739031422259	0.000525692410803358
CENTFERMPWY	0.00892353314696177	0.020183026080219	0.654841326114691
CITRULBIOPWY	0.0358563451112281	0.0216727467233235	0.0822614368409696
COAPWY	0.0540359126070952	0.0238834594478497	0.0112962936950602
COAPWY1	0.0365208600630543	0.0221928563153246	0.0782266969758431
COLANSYNPWY	0.0613425208083968	0.0236802684989644	0.00267666959722601
COMPLETEAROPWY	0.0360551768572144	0.0227016987351166	0.0681990560285359
DAPLYSINESYNPWY	0.106993724841239	0.0279065480302747	3.50568267393214e-06
DTDPRHAMSYNPWY	0.0865233272353431	0.0260311817202435	0.000111973465967696
FASYNELONGPWY	0.0486973160396046	0.0259871382235174	0.0483459475518305
FERMENTATIONPWY	0.085772043040707	0.0264743130625593	6.89928643642368e-05
FUCCATPWY	0.0458945344017476	0.0242135167398029	0.0385015460139999
FUCRHAMCATPWY	0.0625220003848953	0.0245013614583141	0.00342291086667978
GALACTARDEGPWY	0.0414639007542504	0.0241870382326008	0.0748627633107417
GALACTGLUCUROCATPWY	0.0496084727046529	0.0204110379977138	0.00248549637674644
GALACTITOLCATPWY	0.0407492894502273	0.0211641970102723	0.0215139835248884
GALACTUROCATPWY	0.0384026316527424	0.0211398205215782	0.0282127278118156
GLCMANNANAUTPWY	0.0334562840334501	0.0216302066274603	0.0800171053035718
GLUCARDEGPWY	0.0487111019067032	0.0244763596843374	0.0376206761241501
GLUCARGALACTSUPERPWY	0.0414639007542504	0.0241870382326008	0.0748627633107417
GLUCONEOPWY	0.075586086473888	0.0257742749176652	0.000249927982066578
GLUCOSE1PMETABPWY	0.068535790890987	0.0250185529764231	0.00136643058276764
GLUCUROCATPWY	0.0427323243234364	0.0205615319601059	0.00938604274498644
GLUDEGIPWY	0.0991707575150446	0.0284704480781844	2.3488486231793e-05
GLUTORNPWY	0.0638700108167952	0.0249608871432401	0.00230913353362228
GLYCOCATPWY	0.0672527597712614	0.0270788300142783	0.00381419216258327
GLYCOGENSYNTHPWY	0.118500574831509	0.0296077604485789	6.95480820933625e-07
GLYCOLYSIS	0.0747876368819391	0.0258210539284879	0.00105209482614776
GLYCOLYSISED	0.114195939907426	0.0290715535296354	1.65572383103996e-06
GLYOXYLATEBYPASS	0.0643465982209	0.0245155113410892	0.0012992029388057
GOLPDLCATPWY	0.0632525867581199	0.0246135616808767	0.00376136826378481
HEMESYN2PWY	0.0243701187728775	0.0228373197244344	0.247714994102087
HEXITOLDEGSUPERPWY	0.014749812383414	0.0172131972300344	0.203138050962063
HISDEGPWY	0.102595641642288	0.0309157666280227	0.000298162259180668
HISTSYNPWY	0.0474069580520516	0.0251520794321991	0.0396135984577566
HSERMETANAPWY	0.0782382928815602	0.0249482245514646	0.000305778564950066
ILEUSYNPWY	0.0620893976455675	0.0250900878697276	0.00409269179676397
KETOGLUCONMETPWY	0.0462003741650267	0.0212656737047291	0.0116203126179725
LACTOSECATPWY	0.162463014319297	0.0331959117913441	9.44255562629337e-10
METHACETATEPWY	0.0512527140781948	0.0217025634634905	0.00363819394485565
METSAMPWY	0.0775586955608692	0.018352455541093	0.000276123991423849
METSYNPWY	0.0769126144983256	0.0183144429562788	0.000276009848486747
NAGLIPASYNPWY	0.0608550136592589	0.0231195589043442	0.000613021385176271
NONMEVIPPPWY	0.110446900210409	0.0299452514011871	1.02648146897977e-05
