term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0194191030345892	0.0125097303860326	1.55231986904139	P	0	0.0210274316261837	ALLANTOINDEGPWY
Cage	0.00905751817994893	0.0075140275258259	1.20541455947799	P	0	0.00980767978276609	ALLANTOINDEGPWY
Batch	0.0300892075900326	0.00920015200250615	3.27051200695773	P	0	0.0325812553833459	ALLANTOINDEGPWY
vm(Mouse, kinship.mat.x2)	0.0216560441415347	0.0193991580635255	1.11633938290614	P	0	0.0234496406280266	ALLANTOINDEGPWY
ide(Mouse)	0.0374687043055406	0.0213951591588133	1.75127018347541	P	0	0.0405719366390456	ALLANTOINDEGPWY
units!R	0.805822259685044	0.0249883720446909	32.2478894681037	P	0	0.872562055940632	ALLANTOINDEGPWY
Cohort	0.0104318954520029	0.0090300625750186	1.1552406603319	P	0	0.0108446359381122	ANAEROFRUCATPWY
Cage	0.0120340326180807	0.00912707138188987	1.31849879491015	P	0	0.0125101620516524	ANAEROFRUCATPWY
Batch	0.0287564497078162	0.00892198035165344	3.22310166290458	P	0	0.0298942056492738	ANAEROFRUCATPWY
vm(Mouse, kinship.mat.x2)	0.0365498467028566	0.0252854383187433	1.44548993939185	P	0	0.0379959502958964	ANAEROFRUCATPWY
ide(Mouse)	0.100222742349067	0.025642567679639	3.90845189924748	P	0	0.104188079577252	ANAEROFRUCATPWY
units!R	0.773945619422707	0.024000131308859	32.2475577096958	P	0	0.804566966487813	ANAEROFRUCATPWY
Cohort	0.00510907346344273	0.00660971611279136	0.77296412981421	P	0.2	0.00517161486889083	ANAGLYCOLYSISPWY
Cage	0.00641003812694844	0.00736963917854752	0.869789954657155	P	0	0.00648850495587619	ANAGLYCOLYSISPWY
Batch	0.0351287565715789	0.0105883261251075	3.3176874377037	P	0.1	0.0355587761873372	ANAGLYCOLYSISPWY
vm(Mouse, kinship.mat.x2)	0.0720951288881712	0.0258348604787918	2.79061421474891	P	0	0.0729776628190083	ANAGLYCOLYSISPWY
ide(Mouse)	0.00837944097880556	0.023242561412475	0.36052140855302	P	0.1	0.00848201574494148	ANAGLYCOLYSISPWY
units!R	0.860784355683728	0.0267068875505942	32.2308001654269	P	0	0.871321425423946	ANAGLYCOLYSISPWY
Cohort	8.35291088187292e-08	NA	NA	B	NA	8.80019840991392e-08	ARGININESYN4PWY
Cage	0.0251027016034674	0.00958293305723747	2.61952175325994	P	0	0.0264469186681714	ARGININESYN4PWY
Batch	0.0455004868342329	0.0112100042339371	4.05891789911059	P	0	0.0479369788031479	ARGININESYN4PWY
vm(Mouse, kinship.mat.x2)	0.0325581833234957	0.0213249585210888	1.5267642040803	P	0	0.0343016317503041	ARGININESYN4PWY
ide(Mouse)	0.0205671531931305	0.0216477266148119	0.950083745932839	P	0	0.0216684975317323	ARGININESYN4PWY
units!R	0.825444409304766	0.0255176499960923	32.3479791215559	P	0	0.86964588524466	ARGININESYN4PWY
Cohort	0.016871653632899	0.0127785025980068	1.3203153893423	P	0	0.0172580124711942	ARGPOLYAMINESYN
Cage	0.00942606848264906	0.00722826593476177	1.30405668077564	P	0	0.00964192431681257	ARGPOLYAMINESYN
Batch	0.0660253485951336	0.0146717231987541	4.50017681636337	P	0	0.0675373211341803	ARGPOLYAMINESYN
vm(Mouse, kinship.mat.x2)	0.0307603014239496	0.0191614931650019	1.60531860221273	P	0	0.0314647086256594	ARGPOLYAMINESYN
ide(Mouse)	2.6585422872548e-07	NA	NA	B	NA	2.71942258577276e-07	ARGPOLYAMINESYN
units!R	0.854529146858754	0.026323061168186	32.463137224007	P	0	0.874097761509895	ARGPOLYAMINESYN
Cohort	7.34672733581989e-08	NA	NA	B	NA	8.50308790636902e-08	ARGSYNBSUBPWY
Cage	0.0134487647322238	0.00773761179025947	1.73810280184305	P	0	0.0155655741016299	ARGSYNBSUBPWY
Batch	0.0488567477113469	0.0111887461353718	4.36659721475782	P	0	0.0565467046236192	ARGSYNBSUBPWY
vm(Mouse, kinship.mat.x2)	0.048076203585399	0.0215301429361367	2.2329718724118	P	0	0.0556433043728197	ARGSYNBSUBPWY
ide(Mouse)	0.0276130183133712	0.0203059646552681	1.35984764979916	P	0	0.0319592536031651	ARGSYNBSUBPWY
units!R	0.726012176090554	0.0225176828914543	32.2418687389048	P	0	0.840285078267887	ARGSYNBSUBPWY
Cohort	7.0598543183797e-08	NA	NA	B	NA	8.31575565285933e-08	ARGSYNPWY
Cage	0.00757526544376931	0.00698630420252734	1.08430226113385	P	0	0.00892285500451973	ARGSYNPWY
Batch	0.046850872250551	0.0107468513232261	4.35949757202807	P	0	0.0551853321880339	ARGSYNPWY
vm(Mouse, kinship.mat.x2)	0.0722952829998993	0.0236893951902796	3.05179944102432	P	0	0.0851561351225526	ARGSYNPWY
ide(Mouse)	0.0245887351820828	0.0205957942704874	1.19387166424152	P	0	0.0289629083499268	ARGSYNPWY
units!R	0.697663049447734	0.021699602873636	32.1509593290928	P	0	0.82177268617741	ARGSYNPWY
Cohort	0.000835587513556257	0.0057195958785845	0.146092054630099	P	0.1	0.000932922348273853	AROPWY
Cage	0.0086164139897371	0.00781140307804221	1.10305586636001	P	0	0.0096201116491002	AROPWY
Batch	0.0616632762478043	0.0129938010174359	4.74559185299672	P	0	0.0688462280085135	AROPWY
vm(Mouse, kinship.mat.x2)	0.0560196282949016	0.0237439750515958	2.35931970839637	P	0	0.0625451701113643	AROPWY
