feature	herit	herit.se	LRT.pval
ALLANTOINDEGPWY	0.023084979866983	0.0201092799915231	0.204150936468592
ANAEROFRUCATPWY	0.0379333598336869	0.0259924633103781	0.107522248751509
ANAGLYCOLYSISPWY	0.0744669443270687	0.0253951380807059	0.00113175637587715
ARGININESYN4PWY	0.0332722763794239	0.0220091600833011	0.101615762834482
ARGPOLYAMINESYN	0.0327964819500889	0.0191874424293373	0.0365256354832401
ARGSYNBSUBPWY	0.0549635373865327	0.0242247152027689	0.00770346723871562
ARGSYNPWY	0.0846819793998911	0.0267693608035686	0.000127291458002055
AROPWY	0.0583384352309374	0.0255410307231633	0.0091442017881811
ASPASNPWY	0.0722862917496475	0.0249414345672435	0.000663753575492199
BIOTINBIOSYNTHESISPWY	0.051411087601569	0.0264898189011982	0.0430077409921256
BRANCHEDCHAINAASYNPWY	0.0530808689943204	0.0240897599925686	0.0112995147876723
CALVINPWY	0.0705557387774583	0.0240975792637211	0.000496170572975796
CENTFERMPWY	0.0101570450819186	0.0203143730784051	0.612018443845941
CITRULBIOPWY	0.0367507441413938	0.0214394010703885	0.0662416737373043
COAPWY	0.0526644257892343	0.0234968232769719	0.0121781082842282
COAPWY1	0.0352089615622185	0.0213400715720359	0.0763936183102734
COLANSYNPWY	0.0571825595018061	0.02266946849636	0.00333447681457766
COMPLETEAROPWY	0.0343552304624568	0.0224454011801157	0.0800257751076023
DAPLYSINESYNPWY	0.105861084994924	0.0273460111452558	2.43923017639869e-06
DTDPRHAMSYNPWY	0.0859329965493532	0.0257956169334756	0.000106712861597358
FASYNELONGPWY	0.0487213941399663	0.0258400600529612	0.0454901974932704
FERMENTATIONPWY	0.084693731556682	0.0260944332319384	6.52408334552712e-05
FUCCATPWY	0.0444625162815506	0.0238590623257348	0.0419224518205402
FUCRHAMCATPWY	0.0618865460257974	0.0244375170715184	0.00367441721922124
GALACTARDEGPWY	0.0405272909409113	0.024103000257942	0.0814658603658481
GALACTGLUCUROCATPWY	0.0517190189220105	0.0202552927561286	0.00139060476269903
GALACTITOLCATPWY	0.0413411643519866	0.0211258788959628	0.0223537219177909
GALACTUROCATPWY	0.0399148266985376	0.0213493453383046	0.0239527131309064
GLCMANNANAUTPWY	0.0299023675586972	0.0208666119802122	0.109163391920896
GLUCARDEGPWY	0.0472319591511575	0.0243503327136274	0.0432617512660634
GLUCARGALACTSUPERPWY	0.0405272909409113	0.024103000257942	0.0814658603658481
GLUCONEOPWY	0.0757064105094408	0.0257691084304816	0.000247296084516346
GLUCOSE1PMETABPWY	0.0698536052162898	0.0250407994066292	0.00105381611136868
GLUCUROCATPWY	0.0450689357265184	0.0206921479291012	0.00628681322629288
GLUDEGIPWY	0.0992166865149412	0.0285095821121996	2.42039113941273e-05
GLUTORNPWY	0.0633341376995025	0.0247138017768291	0.00219958437223511
GLYCOCATPWY	0.0673922634615677	0.0269590658299522	0.00360000256735182
GLYCOGENSYNTHPWY	0.119175810374234	0.0294502915062609	4.64091933771726e-07
GLYCOLYSIS	0.0750897541907821	0.0257361358380562	0.000978849881689281
GLYCOLYSISED	0.114238471840516	0.0291014523035151	1.71111350266706e-06
GLYOXYLATEBYPASS	0.0636046296069509	0.0244238378100205	0.00142977543212131
GOLPDLCATPWY	0.0633481951835725	0.0246784717771052	0.00382366402151035
HEMESYN2PWY	0.0235040917790582	0.0226482609455263	0.259537338318147
HEXITOLDEGSUPERPWY	0.0145350479199592	0.0171453614376909	0.209469393363589
HISDEGPWY	0.102016370348276	0.0305658450039711	0.000263091278400296
HISTSYNPWY	0.0454801108386617	0.0250248819804521	0.0488451843309191
HSERMETANAPWY	0.0774281084071882	0.0244525489642787	0.000241931532189099
ILEUSYNPWY	0.0616292315344981	0.0250888826656264	0.00443504955957386
KETOGLUCONMETPWY	0.0466564274280619	0.0210744942359144	0.00981545022816033
LACTOSECATPWY	0.16165842592452	0.0331492983497458	1.17361953488881e-09
METHACETATEPWY	0.0515289371098112	0.0215969133048535	0.0032528265883317
METSAMPWY	0.0766733226262096	0.0182785163821029	0.000415520202146635
METSYNPWY	0.0760314929628349	0.0182398762794073	0.000413048367515323
NAGLIPASYNPWY	0.0613847007947348	0.0231203225589861	0.00055168305786546
NONMEVIPPPWY	0.105982913442309	0.0294434832280911	1.69623345231962e-05
NONOXIPENTPWY	0.0642357928234568	0.0239334660680363	0.00172841053718253
OANTIGENPWY	0.0710061636580791	0.026688297999947	0.00154733696228204
P105PWY	0.0448819341555205	0.0223473303143805	0.022471843851664
P108PWY	0.00901728715289971	0.0190472580360849	0.63641816069408
P122PWY	0.050854441865693	0.0152070695933074	0.000105357309587051
P124PWY	0.0914415013515328	0.0277451036054363	5.59451055603954e-05
P161PWY	0.0206368233185923	0.0196034147319661	0.254353746185223
P164PWY	0.0200335621660492	0.0185032021172049	0.198481509062734
P185PWY	0.0322483530769232	0.022435141707086	0.125197395721883
P41PWY	0.0890461779081305	0.0260415754035145	3.93201896276008e-05
P42PWY	0.0329254763329899	0.0195491544734091	0.0627271963590492
P441PWY	0.0591800521660957	0.0160691915147947	2.36716683735816e-05
P461PWY	0.0431926202043844	0.0212716735620633	0.014167959760504
PANTOPWY	0.11143078350559	0.0291801492056392	2.14424490315723e-05
PANTOSYNPWY	0.111442746520958	0.0277939559100777	5.91969210328447e-06
PENTOSEPPWY	0.0518186274391365	0.0221714101913197	0.00620758134727639
PEPTIDOGLYCANSYNPWY	0.0466534227650626	0.022271493252288	0.0246239168730342
PHOSLIPSYNPWY	0.0732770876976391	0.0264913921857251	0.00140574824892292
POLYAMINSYN3PWY	0.0545690170872786	0.023168945560701	0.00126338020154326
POLYAMSYNPWY	0.0316663939837284	0.0190758770706779	0.015823178403663
POLYISOPRENSYNPWY	0.098956780896364	0.0279465764065643	2.09134247260989e-05
PPGPPMETPWY	0.121863063718062	0.031685385181661	3.65546159131203e-06
PWY01061	0.0658397916189201	0.0238424186198871	0.000938030903734899
PWY01241	0.00830482072263158	0.0194181788671085	0.646017174533185
PWY01261	0.0542028012128682	0.0254856635058881	0.0258485851209693
PWY01296	0.125521286701595	0.0297941897505057	2.02361402523721e-07
PWY01297	0.0226991987005326	0.0199134172446503	0.211371910586411
PWY01298	0.0158105890497192	0.0180229030186921	0.311856075966866
PWY01319	0.112834759645508	0.02915770881005	1.39507795560156e-06
PWY01477	0.0246339123756791	0.0209273560754177	0.185297662883157
PWY01479	0.0582797607729362	0.0244271564363745	0.00681626989439121
PWY01586	0.0950604986061778	0.0283341898036438	9.24227616380113e-05
PWY0162	0.0855180002276984	0.02808201845924	0.000239970298017256
PWY0166	0.0781692313423093	0.0261916446763888	0.00036522200461786
PWY0301	0.0421810169804176	0.0244133687760949	0.0688429354239803
PWY0845	0.064903161454067	0.0250383261526107	0.0036890310263511
PWY0862	0.0473404129434539	0.0259466537606804	0.0533958780589789
PWY1042	0.133528764366451	0.0293550423867599	1.08593593006745e-08
PWY1269	0.0187354884179314	0.022068094830957	0.377096600347329
PWY1861	0.00489614955358975	0.0180264471595507	0.77282876044933
PWY1ZNC1	0.0316782997484313	0.021613458405679	0.13044075895366
PWY241	0.0882569681676296	0.0264567657678569	0.000105792342041111
PWY2941	0.0453370589016257	0.0221910117218164	0.0174734947437725
PWY2942	0.0590668718282817	0.0243623560443074	0.0051413125952624
PWY3001	2.91961812213094e-07	1.16709781616555e-08	1
PWY3841	0.0631556927032847	0.0170791912159639	0.000400142669698456
PWY4041	0.111979541006039	0.0288222338020795	4.52458397348643e-06
PWY4984	0.053754570060875	0.0226569337259931	0.00412115198507945
PWY4FS7	0.0819653902579018	0.0271003097330579	0.000318444196666268
PWY4FS8	0.0819653902581082	0.0271003097330408	0.000318444196667822
PWY4LZ257	0.0183441941131579	0.0185639775633688	0.280814040920093
PWY5005	0.0961633242114251	0.0282262988359513	5.85132730568372e-05
PWY5022	0.00574142339302402	0.0128201372076933	0.677043374490083
PWY5030	0.0357881261058826	0.0198442676564176	0.0332758008539141
PWY5097	0.096944027882872	0.0278218613297823	3.518614147624e-05
PWY5100	0.0875784100567232	0.0261442696592483	5.86603419294729e-05
PWY5103	0.0409107112842323	0.0226071576245596	0.0398618119176343
PWY5121	0.117048363696721	0.0292873990388352	1.26771224706612e-06
PWY5136	0.0362148118343878	0.0148473793598992	0.00915203301869394
PWY5154	0.0810872728673509	0.0263704960740352	0.000140403543872569
PWY5188	0.00712587441254328	0.0186901775382015	0.685686807694341
PWY5189	0.0563499864054193	0.0251798763294851	0.0154137282356671
PWY5345	0.0689958960061835	0.0253031788540813	0.00243299504146177
PWY5347	0.0759952665197946	0.0182431341144088	0.000453567918623277
PWY5384	0.0530652113849179	0.0244571861259535	0.0142262814418191
PWY5484	0.0843011428896218	0.0264803752170645	0.000221239016939156
PWY5497	0.0343036132459348	0.0213676289185525	0.0663327691661745
PWY5505	0.028575231177854	0.0197138325323081	0.0710874755066764
PWY561	0.0634495793143842	0.0247964441414935	0.00423694797170204
PWY5659	0.0601959592490322	0.0232292006488982	0.0025825935846816
PWY5667	0.112834759645556	0.0291577088100589	1.39507795560156e-06
PWY5675	0.0545648018042742	0.0241454467495076	0.00895515586606577
PWY5676	3.55006370256762e-07	1.19786174494559e-08	1
PWY5686	0.094098870785634	0.0267318823547452	5.89617423201183e-05
PWY5695	0.112360569803701	0.0307676816541199	2.16562828045941e-05
PWY5723	0.0190329414918881	0.0208806245124327	0.325060683664042
