term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0548303181764791	0.0273923168864492	2.00166778165461	P	0	0.0570608434995279	ALLANTOINDEGPWY
Quarter.Date	0.00725173301062266	0.00581952430877495	1.24610408443318	P	0.1	0.00754673721001688	ALLANTOINDEGPWY
Cage	0.00927023589376279	0.00753374993848175	1.23049423852141	P	0	0.0096473538204748	ALLANTOINDEGPWY
Batch	0.0272182279615057	0.00902245710282587	3.01672012970623	P	0	0.0283254793643017	ALLANTOINDEGPWY
vm(Mouse, kinship.mat.x2)	0.0221825811462946	0.0194250168016093	1.14195943163647	P	0	0.023084979866983	ALLANTOINDEGPWY
ide(Mouse)	0.0374318371667905	0.021368706425447	1.75171282816702	P	0	0.0389545834040097	ALLANTOINDEGPWY
units!R	0.802724769581774	0.0249284915428059	32.2010968133944	P	0	0.835380022834686	ALLANTOINDEGPWY
Cohort	0.00934540405820438	0.00824556954395219	1.13338490548041	P	0	0.00972426921917259	ANAEROFRUCATPWY
Quarter.Date	7.83068269317314e-08	NA	NA	B	NA	8.14814064796703e-08	ANAEROFRUCATPWY
Cage	0.0120696953642411	0.0091310817701648	1.32182535082295	P	0	0.012559004017835	ANAEROFRUCATPWY
Batch	0.0291120963778218	0.00898016258986607	3.24182286083263	P	0	0.0302923084918848	ANAEROFRUCATPWY
vm(Mouse, kinship.mat.x2)	0.0364554463621924	0.0252562030751255	1.44342545289782	P	0	0.0379333598336869	ANAEROFRUCATPWY
ide(Mouse)	0.100219284920736	0.025628685136973	3.91043412430689	P	0	0.104282201331534	ANAEROFRUCATPWY
units!R	0.773837209750048	0.0239946121521285	32.2504570961112	P	0	0.805208775624481	ANAEROFRUCATPWY
Cohort	0.00767030437499189	0.00680249470967979	1.12757226610955	P	0	0.00778463695899748	ANAGLYCOLYSISPWY
Quarter.Date	0.0130147191603471	0.00748004416966549	1.73992544230245	P	0.1	0.0132087149131833	ANAGLYCOLYSISPWY
Cage	0.00599483477779336	0.00720241761808561	0.832336459182823	P	0	0.00608419302452297	ANAGLYCOLYSISPWY
Batch	0.0186041207543867	0.0083846029017249	2.21884339335372	P	0.1	0.0188814314183463	ANAGLYCOLYSISPWY
vm(Mouse, kinship.mat.x2)	0.0733732519413147	0.0257167224103784	2.85313387804442	P	0	0.0744669443270687	ANAGLYCOLYSISPWY
ide(Mouse)	0.00511452143314295	0.0230124781197963	0.222249920522172	P	0.1	0.00519075784082839	ANAGLYCOLYSISPWY
units!R	0.861541296245098	0.0267085165976833	32.2571750884821	P	0	0.874383321517053	ANAGLYCOLYSISPWY
Cohort	8.32539163333974e-08	NA	NA	B	NA	8.74407742707956e-08	ARGININESYN4PWY
Quarter.Date	0.00865374728096843	0.00738548065084885	1.1717243183047	P	0.3	0.00908894615313279	ARGININESYN4PWY
Cage	0.0253004104133516	0.00957750841786127	2.64164846529066	P	0	0.026572773670527	ARGININESYN4PWY
Batch	0.0425971582892637	0.0110599160884523	3.85149018750148	P	0	0.0447393788375416	ARGININESYN4PWY
vm(Mouse, kinship.mat.x2)	0.0316791260943741	0.0211546335415269	1.49750294809822	P	0	0.0332722763794239	ARGININESYN4PWY
ide(Mouse)	0.0211623348281046	0.0215696929550958	0.981114328894746	P	0	0.0222265933453148	ARGININESYN4PWY
units!R	0.822724925023032	0.0254679599986714	32.3043119694688	P	0	0.864099944173286	ARGININESYN4PWY
Cohort	0.0343342757436571	0.0201630426351093	1.70283207574395	P	0	0.0343728486888811	ARGPOLYAMINESYN
Quarter.Date	0.0160394144817855	0.0104674205318816	1.53231776949563	P	0	0.0160574340101673	ARGPOLYAMINESYN
Cage	0.00948403467028416	0.00721997735253352	1.31358232958392	P	0	0.00949468953752444	ARGPOLYAMINESYN
Batch	0.0568081806216508	0.0137798580473767	4.12255194693139	P	0	0.0568720019428214	ARGPOLYAMINESYN
vm(Mouse, kinship.mat.x2)	0.0327596779914396	0.0193486882296888	1.69312139420247	P	0	0.0327964819500889	ARGPOLYAMINESYN
ide(Mouse)	2.40873513738555e-07	NA	NA	B	NA	2.41144123811147e-07	ARGPOLYAMINESYN
units!R	0.84945198334396	0.0262103512938321	32.4090270222305	P	0	0.850406302726393	ARGPOLYAMINESYN
Cohort	7.31393015864786e-08	NA	NA	B	NA	8.44750984155622e-08	ARGSYNBSUBPWY
Quarter.Date	0.0183528614848079	0.00990629754651777	1.85264589506088	P	0	0.0211973555462956	ARGSYNBSUBPWY
Cage	0.0132794120495715	0.00763071018574322	1.74025899638831	P	0	0.0153375765895438	ARGSYNBSUBPWY
Batch	0.036076457104703	0.0098022919223903	3.68041039690907	P	0	0.041667915857813	ARGSYNBSUBPWY
vm(Mouse, kinship.mat.x2)	0.04758792605837	0.0213554573776267	2.22837306721541	P	0	0.0549635373865327	ARGSYNBSUBPWY
ide(Mouse)	0.0277411624769745	0.0201812743806821	1.37459914342817	P	0	0.0320407411552007	ARGSYNBSUBPWY
units!R	0.72277112073626	0.0224345301537664	32.2169047349057	P	0	0.834792788989516	ARGSYNBSUBPWY
Cohort	7.04104230835073e-08	NA	NA	B	NA	8.28033044498663e-08	ARGSYNPWY
Quarter.Date	0.0189107414425062	0.00994245139260206	1.90202000450083	P	0	0.022239205680946	ARGSYNPWY
Cage	0.00786156068717018	0.00693537824146415	1.1335446191195	P	0	0.00924526759708297	ARGSYNPWY
Batch	0.0320069955486086	0.00912577639172746	3.50731753383998	P	0	0.0376405208330264	ARGSYNPWY
vm(Mouse, kinship.mat.x2)	0.0720079233154904	0.0235001503394522	3.0641473469471	P	0	0.0846819793998911	ARGSYNPWY
ide(Mouse)	0.0237421766938974	0.0204161364550044	1.16291232409341	P	0	0.0279210179259355	ARGSYNPWY
units!R	0.695804024644789	0.0216511105204535	32.1371055765233	P	0	0.818271925759814	ARGSYNPWY
Cohort	0.00203697305099795	0.00539553173573287	0.377529620946853	P	0.1	0.00227936216769412	AROPWY
Quarter.Date	0.0197758368752994	0.0109701333698283	1.80269794437411	P	0	0.0221290578125047	AROPWY
Cage	0.00779184249846185	0.00766842480262809	1.01609426955474	P	0.1	0.00871903091644931	AROPWY
Batch	0.0415919049977766	0.0107712388274644	3.86138546029877	P	0	0.0465411236971517	AROPWY
