fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	-0.00620791263677987	0.169490364403357	-0.0366269354522486	1	0.0113	0.915343174728747	0.005601	0.940342151725546	 
(Intercept)	Acutalibacter	NA	0.336040397632933	0.129045059667619	2.60405472707341	1	0.02879	0.865264822061014	0.01299	0.909258656850399	 
(Intercept)	Adlercreutzia	NA	-0.201025894986397	0.21721346246642	-0.925476223728418	1	0.07888	0.778820976325954	0.06445	0.799595957031601	 
(Intercept)	AF3328	NA	0.125944766434634	0.153605357084336	0.819924310097368	1	0.01433	0.904714480269557	0.008952	0.924620627559662	 
(Intercept)	Akkermansia	NA	-0.178038137894779	0.186631309064383	-0.953956433072865	1	0.005496	0.940902956376478	0.007881	0.929260729135003	 
(Intercept)	Alistipes	NA	-0.0994506122442659	0.208378337427596	-0.477259841267432	1	0.05014	0.822819842214396	0.0001996	0.988727872755608	 
(Intercept)	AM0715	NA	0.315625674467821	0.157012538029844	2.01019408021943	1	0.04492	0.832151200170759	0.01607	0.899124416464645	 
(Intercept)	Anaerotignum	NA	0.0684700818574932	0.174582875088101	0.392192429085273	1	0.007686	0.930139095323688	0.002676	0.958743778009518	 
(Intercept)	Anaerotruncus	NA	0.285218613945352	0.159386386131475	1.78947914478769	1	0.005711	0.939760282995308	0.002611	0.959247473377133	 
(Intercept)	AnaerovoracaceaeNOV	NA	0.0378423699071874	0.127052260581021	0.297848851599578	1	0.006896	0.933818018145941	0.01205	0.91258980738027	 
(Intercept)	Angelakisella	NA	0.23043221734672	0.137396264377708	1.67713597156653	1	0.02897	0.864848323695264	0.006825	0.934158820237803	 
(Intercept)	ASF356	NA	0.166958227894999	0.208151776423794	0.802098501216124	1	0.005118	0.942967832730824	0.0293	0.864088187023325	 
(Intercept)	Bacteroides	NA	-0.251956751719396	0.176986739705778	-1.42359112404832	1	5.198e-05	0.994247529017083	0.002209	0.962513227530156	 
(Intercept)	Bifidobacterium	NA	-0.116662304090081	0.157183078586795	-0.742206509370926	1	0.1773	0.673703919563654	0.03515	0.851281690652677	 
(Intercept)	BorkfalkiaceaeNOV	NA	-0.0780124344539078	0.16150890907324	-0.483022484032327	1	0.003951	0.949880391638143	0.01178	0.913570756591569	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.19228641694459	0.173398851402416	1.10892555163667	1	0.02318	0.878989921174268	0.01291	0.909537303377279	 
(Intercept)	CAG115	NA	0.147292753495118	0.205541894108136	0.716606967811768	1	0.01349	0.907536468774462	0.0299	0.862717325488669	 
(Intercept)	CAG145	NA	0.044554645033128	0.200271065670665	0.222471702958808	1	0.01408	0.905545380965688	0.007895	0.929198090564774	 
(Intercept)	CAG273	NA	-0.002862701730032	0.110658760559789	-0.0258696348626215	1	0.01009	0.919987876399286	2.246e-06	0.998804237925732	 
(Intercept)	CAG274NOV	NA	0.386180276718946	0.0661855129532251	5.83481580012636	1	0.06853	0.793489245518987	0.003864	0.950434555330036	 
(Intercept)	CAG303	NA	0.181173535543883	0.128724643095133	1.4074502844804	1	0.01194	0.912988097097478	0.001088	0.973686672999876	 
(Intercept)	CAG41	NA	0.280748755269296	0.0646357863823838	4.34354977300645	1	0.3217	0.570587793900191	0.2	0.654720846018577	 
(Intercept)	CAG475	NA	-0.00267097051114986	0.205316722620332	-0.0130090256510132	1	0.000411	0.983825486599871	0.007647	0.930316110986888	 
(Intercept)	CAG485	NA	-0.353784684375131	0.164369213093895	-2.15237803792997	1	0.006904	0.933779728865063	1.652e-06	0.998974478042742	 
(Intercept)	CAG510	NA	-0.0596168304592033	0.161692757901057	-0.368704394885045	1	0.0009712	0.975138684492362	0.009508	0.922322208014103	 
(Intercept)	CAG552NOV	NA	0.0361199789175478	0.216280212707872	0.167005471583916	1	0.003966	0.949785467509706	4.59e-05	0.994594410256272	 
(Intercept)	CAG56	NA	0.0707753033687217	0.155985240688505	0.45373077001597	1	0.002564	0.959615611134008	8.071e-05	0.992832001707729	 
(Intercept)	CAG582	NA	-0.0871326706349219	0.167417890179284	-0.520450177347316	1	0.001769	0.96645128049677	0.01348	0.90757059249428	 
(Intercept)	CAG776	NA	-0.129877298071626	0.153040693263567	-0.848645515790696	1	9.43e-05	0.992252009452071	0.002298	0.961766085524617	 
