feature	herit	herit.se	LRT.pval
Acetatifactor	0.0840886580476872	0.0313474648096665	0.00352806182318999
Acutalibacter	0.0487031288444107	0.0232736607472024	0.0192724743137901
Adlercreutzia	0.137333895430484	0.0314943993862975	2.16583647016932e-07
AF3328	0.0726875268893708	0.0276289807076836	0.00413749001974761
Akkermansia	0.111573598144805	0.0286781309308461	1.80402270044677e-06
Alistipes	0.0981431527953192	0.0258162640094014	4.43489103751915e-06
AM0715	0.0873020230701788	0.0323964814814192	0.00381530632305138
Anaerotignum	0.0832211354949919	0.0312397244774408	0.00215168896140339
Anaerotruncus	0.0799887650758645	0.0311302289320636	0.0036011466482917
AnaerovoracaceaeNOV	0.0364816884273952	0.0234304197671226	0.0879519135421915
Angelakisella	0.0568447437873269	0.0262467463318535	0.0178342939078691
ASF356	0.169515145942884	0.036046665551492	5.02273361790984e-08
Bacteroides	0.0992933124248634	0.0272815756420798	1.05198528429495e-05
Bifidobacterium	0.0965451863334657	0.0266238398759342	7.09228230055814e-06
BorkfalkiaceaeNOV	0.0847070085273396	0.0335578778532177	0.00467094431741
ButyricicoccaceaeNOV	0.0939360185896076	0.0284457872470475	0.000109199937990079
CAG115	0.072646513652483	0.022443933201571	0.000236230906713097
CAG145	0.119662911391759	0.0336913842990717	2.52232768751526e-05
CAG273	0.0322017616910872	0.0256640706940225	0.196491803348755
CAG274NOV	0.00799915304403055	0.0238107567410774	0.728927928815242
CAG303	0.0468668309014722	0.025845002011523	0.0427860256047919
CAG41	2.27133361022256e-07	7.55669950050623e-09	1
CAG475	0.142852905116223	0.0377312278507913	8.32402400197108e-06
CAG485	0.08899587978321	0.0294582987932868	0.000369053388354579
CAG510	0.0279505333970978	0.0096139872421405	0.00415952910182404
CAG552NOV	0.153606555325296	0.0399807131396391	2.07718190716744e-05
CAG56	0.0759822729099899	0.0291300854054833	0.00229078250324
CAG582	0.0908005894672867	0.0321547326889005	0.000895853264697433
CAG776	0.0694817634146457	0.031837330552664	0.0187651589362945
CAG81	0.0435639049025585	0.0285018706379226	0.128558335618853
CAG873	0.131965951706221	0.0309856700988132	6.18458871892713e-08
CAG95	0.0537765889633618	0.0273402525263448	0.0255931743991628
Chao1	0.00218081131434665	0.0140046281127745	0.860386606919108
Clostridium	0.0352634831327925	0.0200179361642107	0.0454059393285463
