term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0248379147066812	0.0158637665763902	1.56570096938057	P	0	0.0245044039461955	Acetatifactor
Cage	0.00233069670932345	0.00861242747345548	0.270620184205549	P	0.8	0.00229940131109186	Acetatifactor
Batch	0.0564343413849748	0.0128726350684728	4.38405509709445	P	0	0.0556765700368128	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.0852331246650057	0.0326554624313811	2.6100725060656	P	0.1	0.0840886580476872	Acetatifactor
ide(Mouse)	0.106868942933452	0.0293796966097312	3.63751009253288	P	0.1	0.105433961661837	Acetatifactor
units!R	0.737905217222259	0.0232279464088297	31.7679920658745	P	0	0.727997004996375	Acetatifactor
Cohort	0.0200788017946326	0.0131708027138624	1.52449339883434	P	0	0.0216924427077018	Acutalibacter
Cage	0.0151442865021108	0.0081623390161255	1.85538562808918	P	0	0.016361363125955	Acutalibacter
Batch	0.0461259637736577	0.0117826973403542	3.91472024115244	P	0	0.0498328952460236	Acutalibacter
vm(Mouse, kinship.mat.x2)	0.0450802375750048	0.0218196094463839	2.06604236825494	P	0	0.0487031288444107	Acutalibacter
ide(Mouse)	0.0163637833688808	0.0210867479307093	0.776022145408668	P	0	0.0176788653447229	Acutalibacter
units!R	0.782819688314051	0.0243902340833249	32.0956201420489	P	0	0.845731304731186	Acutalibacter
Cohort	0.0824608829071851	0.0419499158985864	1.96569840822884	P	0	0.0855143680112109	Adlercreutzia
Cage	0.033871748129074	0.011427729451446	2.96399632779091	P	0	0.0351260019608678	Adlercreutzia
Batch	0.0652777153307553	0.013297913080575	4.90886915377045	P	0	0.0676949163642641	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.132430076180837	0.0315918305000738	4.19190892343282	P	0	0.137333895430484	Adlercreutzia
ide(Mouse)	0.0494944695529129	0.023431252355027	2.11232710923768	P	0	0.0513272249174363	Adlercreutzia
units!R	0.600757832326253	0.0188328035651631	31.8995432755181	P	0	0.623003593315737	Adlercreutzia
Cohort	0.00430565116364315	0.00789395858536933	0.545436249389913	P	0	0.00433520097528264	AF3328
Cage	0.0400109368726542	0.0124465224890864	3.21462777315812	P	0	0.0402855331191152	AF3328
Batch	0.0425338669513337	0.0112116935056577	3.79370582417993	P	0	0.0428257781417535	AF3328
vm(Mouse, kinship.mat.x2)	0.0721920705678836	0.0280264174916597	2.57585795934736	P	0	0.0726875268893708	AF3328
ide(Mouse)	0.0398022724498157	0.0246722509106859	1.61324042114766	P	0	0.0400754366261538	AF3328
units!R	0.794338952457919	0.0247799915803484	32.0556586906939	P	0	0.799790524248324	AF3328
Cohort	0.0131047966243041	0.012247906614916	1.06996216058216	P	0	0.0134478524317315	Akkermansia
Cage	0.0217736441549472	0.00972565017413406	2.23878545548096	P	0	0.0223436320220125	Akkermansia
Batch	0.0863012593762623	0.0167453904016243	5.15373229924165	P	0	0.0885604434800748	Akkermansia
vm(Mouse, kinship.mat.x2)	0.10872734659695	0.0290520451252201	3.742502330845	P	0	0.111573598144805	Akkermansia
ide(Mouse)	0.0391790106279686	0.023291640492344	1.68210610329688	P	0	0.0402046341084778	Akkermansia
units!R	0.7054038614249	0.0220118094196214	32.0466095257076	P	0	0.723869839812898	Akkermansia
Cohort	0.160494507846027	0.0820417493679317	1.95625409114888	P	0.1	0.172725243556304	Alistipes
Cage	0.0248176928638242	0.00881501281006607	2.81538931349984	P	0	0.026708964075718	Alistipes
Batch	0.294797645460269	0.0421423596299311	6.99528094888384	P	0	0.317263162430453	Alistipes
vm(Mouse, kinship.mat.x2)	0.0911936013638195	0.0233623242582028	3.90344729214176	P	0	0.0981431527953192	Alistipes
ide(Mouse)	0.105831955914175	0.017826166250723	5.93688819153037	P	0	0.11389704611483	Alistipes
units!R	0.252054242150563	0.00802812597805499	31.3963984670342	P	0	0.271262431027376	Alistipes
Cohort	6.8038529410004e-08	NA	NA	B	0	7.51041533042013e-08	AM0715
Cage	0.0332305142789913	0.011853217181752	2.8035016797085	P	0.1	0.0366814165507206	AM0715
Batch	0.0128569842177783	0.00596447420814045	2.15559389966526	P	0	0.0141921485090144	AM0715
vm(Mouse, kinship.mat.x2)	0.079088851986045	0.0302435182545333	2.6150678409973	P	0.1	0.0873020230701788	AM0715
ide(Mouse)	0.1083812152282	0.0275235910878707	3.93775706382887	P	0.1	0.119636321866145	AM0715
units!R	0.672364694332915	0.0209657548636506	32.0696630627228	P	0	0.742188014899788	AM0715
Cohort	0.0463222343588902	0.0258921637487605	1.78904454677364	P	0	0.0457852651162749	Anaerotignum
Cage	0.0293423417457929	0.0122279813153764	2.39960636093675	P	0	0.0290022041155197	Anaerotignum
Batch	0.045153310415485	0.0111149069566132	4.06241011209002	P	0	0.0446298913872161	Anaerotignum
vm(Mouse, kinship.mat.x2)	0.0841971523419586	0.032368463370329	2.601209435822	P	0.1	0.0832211354949919	Anaerotignum
ide(Mouse)	0.124277685405985	0.0286162671627347	4.34290345065778	P	0	0.122837053374089	Anaerotignum
units!R	0.682435268160272	0.0214330376404471	31.8403429139891	P	0	0.674524450511908	Anaerotignum
Cohort	0.0122934296004549	0.0102589289020064	1.19831511826256	P	0	0.0127212663772198	Anaerotruncus
Cage	0.0231532352763713	0.0109675426855197	2.11106862678913	P	0	0.0239590157521431	Anaerotruncus
Batch	0.0335759572406257	0.00949265660717688	3.53704538466511	P	0	0.0347444699982124	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0772986134500214	0.030869038583678	2.50408231019197	P	0	0.0799887650758645	Anaerotruncus
ide(Mouse)	0.0965462875057146	0.0279610281531087	3.45288760402685	P	0	0.0999062979989241	Anaerotruncus
units!R	0.723500858495253	0.0226991809221561	31.8734345955657	P	0	0.748680184797636	Anaerotruncus
Cohort	0.0367147309120369	0.0216759174770046	1.69380285521877	P	0	0.036391229406819	AnaerovoracaceaeNOV
Cage	0.0127206916807637	0.00884012025574582	1.43897269638336	P	0	0.0126086068907104	AnaerovoracaceaeNOV
Batch	0.0801734246542472	0.0162496027926596	4.93386981068015	P	0	0.0794669991157826	AnaerovoracaceaeNOV
vm(Mouse, kinship.mat.x2)	0.0368059940722311	0.0238383928841452	1.54397967392805	P	0	0.0364816884273952	AnaerovoracaceaeNOV
ide(Mouse)	0.0636524190907548	0.0238846383931413	2.6649940452535	P	0	0.0630915637371924	AnaerovoracaceaeNOV
units!R	0.778822285518779	0.02435975019629	31.9716860494486	P	0	0.7719599124221	AnaerovoracaceaeNOV
Cohort	0.015112875929486	0.0119392118790295	1.26581855507823	P	0	0.0161337024610996	Angelakisella
Cage	0.0122232967732473	0.00846444895425516	1.44407472232466	P	0	0.0130489414558436	Angelakisella
Batch	0.07065262928587	0.0147955173523151	4.77527264532017	P	0	0.0754249888843868	Angelakisella
vm(Mouse, kinship.mat.x2)	0.0532480106269879	0.0249866273360184	2.1310603432353	P	0	0.0568447437873269	Angelakisella
ide(Mouse)	0.0613608484047965	0.0236774611176913	2.59152989840406	P	0	0.0655055778623927	Angelakisella
units!R	0.72412941485851	0.0226750468355249	31.9350791251297	P	0	0.773042045548951	Angelakisella
Cohort	6.06076844548519e-08	NA	NA	B	0	7.05560197850923e-08	ASF356
Cage	0.0205590540133367	0.00969677778681226	2.12019440533094	P	0	0.0239336815912894	ASF356
Batch	0.0237142468201287	0.00710104334249841	3.33954401858153	P	0	0.0276067776368516	ASF356
vm(Mouse, kinship.mat.x2)	0.14561366283016	0.0332711077591588	4.37657994089708	P	0	0.169515145942884	ASF356
ide(Mouse)	0.0701816585632318	0.0249355634645979	2.81452066093761	P	0	0.0817014960178299	ASF356
