term.clean	term	component	std.error	z.ratio	bound	X.ch	PVE	feature	LRT.pval
Age	Age	0.0246016178035996	0.0198451619264973	1.23967836063617	P	0.9	0.0235724755637101	Acetatifactor	0.000921637697383737
Batch	Batch	0.0515990897536158	0.0124789116882644	4.13490303021709	P	0	0.04944058118604	Acetatifactor	7.34967642301854e-14
Cage	Cage	0.00212494689786785	0.00856480343067219	0.248102237846816	P	0	0.00203605548318219	Acetatifactor	0.80308697436662
Cohort	Cohort	0.0235830138789286	0.0151804026139405	1.5535170231435	P	0	0.0225964821833116	Acetatifactor	0.00459583070441083
Diet	Diet.5mo.as.AL	0.0110765124166094	0.00979347417412079	1.1310095089523	P	0	0.0106131564336981	Acetatifactor	0.00306591704525561
Genetics	vm(Mouse, kinship.mat.x2)	0.091203266441915	0.0330703754577279	2.75785397593975	P	0	0.0873880241005136	Acetatifactor	0.00187879724077322
Mouse	ide(Mouse)	0.103225922561704	0.0293066011542336	3.52227547706574	P	0	0.0989077448707932	Acetatifactor	0.000340443916215349
Residual	units!R	0.736244270896717	0.023205260830909	31.7274723288631	P	0	0.705445480178751	Acetatifactor	NA
Age	Age	0.00851690482967741	0.00786156361314912	1.08336016202072	P	0.2	0.00845886286103345	Acutalibacter	0.0347651842630609
Batch	Batch	0.040975516521423	0.0110977640701848	3.69223172003698	P	0	0.0406962719258019	Acutalibacter	6.14237027907194e-09
Cage	Cage	0.0146886850320306	0.00807539735493522	1.81894269550139	P	0	0.0145885829159333	Acutalibacter	0.0344158736022427
Cohort	Cohort	0.0195078669719543	0.0127275961725915	1.53272202444355	P	0	0.0193749225483943	Acutalibacter	0.00652028950284134
Diet	Diet.5mo.as.AL	0.0782720946359044	0.0571947978521596	1.3685177249551	P	0	0.0777386770912204	Acutalibacter	0
Genetics	vm(Mouse, kinship.mat.x2)	0.0462092390752994	0.0219204923311985	2.10803837692696	P	0	0.0458943271138408	Acutalibacter	0.0167499421319179
Mouse	ide(Mouse)	0.0157132767838605	0.0210843956549034	0.745256209428335	P	0.1	0.015606192163729	Acutalibacter	0.456549483213096
Residual	units!R	0.782978091247024	0.0243992854633436	32.0902057735803	P	0	0.777642163380047	Acutalibacter	NA
Age	Age	0.0190552367501121	0.0149886591554381	1.27131029884008	P	0.6	0.0182397887016019	Adlercreutzia	0.0325351369728015
