term.clean	term	component	std.error	z.ratio	bound	X.ch	PVE	feature	LRT.pval
Age	Age	0.00933610121722356	0.00898756996374982	1.03877925344442	P	0.1	0.008930122119955	Acetatifactor	0.0317596726748425
Batch	Batch	0.0270118662242775	0.00954648100901587	2.82951028748363	P	0	0.0258372588790786	Acetatifactor	8.06294362577509e-05
Cage	Cage	0.00296635073558267	0.00862355064408875	0.343982526224977	P	0.4	0.002837359375507	Acetatifactor	0.727572158171727
Cohort	Cohort	0.0124341538885644	0.00973756460770357	1.27692645846247	P	0	0.0118934563903769	Acetatifactor	0.0425601480317868
Diet	Diet.5mo.as.AL	0.0101897014986957	0.00913866899760192	1.11500936311071	P	0	0.00974660370876977	Acetatifactor	0.00527651210169477
Genetics	vm(Mouse, kinship.mat.x2)	0.0893844622944175	0.0328074747142444	2.72451516225991	P	0.1	0.0854975910547208	Acetatifactor	0.00218106146991226
Mouse	ide(Mouse)	0.106700746946013	0.0292929935184878	3.64253475421248	P	0	0.102060879412967	Acetatifactor	0.000193663731896443
Residual	units!R	0.73095623090485	0.0230459440840594	31.7173481042351	P	0	0.699170698179677	Acetatifactor	NA
Time	Time	0.0564821495020319	0.0265629650902464	2.1263495739326	P	0	0.0540260308789476	Acetatifactor	1.13145193436637e-07
Age	Age	0.00609004696415765	0.00641475509974835	0.949381054998743	P	0	0.00599127421370267	Acutalibacter	0.0907213516891404
Batch	Batch	0.0262060597398211	0.00935951396639809	2.79993809869876	P	0	0.0257810310636346	Acutalibacter	0.000100417465317748
Cage	Cage	0.0134577852950481	0.00784052259709172	1.71643983272747	P	0	0.0132395172789806	Acutalibacter	0.0481968790782564
Cohort	Cohort	0.0261286962651511	0.0152728027618419	1.71079903751733	P	0	0.0257049223252947	Acutalibacter	0.000501127831811887
Diet	Diet.5mo.as.AL	0.0777710050492622	0.0568152685128896	1.36883987499977	P	0	0.0765096590991285	Acutalibacter	0
Genetics	vm(Mouse, kinship.mat.x2)	0.0474848403420921	0.0219872021739319	2.15965814870208	P	0	0.0467146971374324	Acutalibacter	0.0140372187652048
Mouse	ide(Mouse)	0.0163715262579466	0.0210533551965432	0.777620768999075	P	0	0.0161060011007252	Acutalibacter	0.437597048584506
Residual	units!R	0.776821934111179	0.024236479473318	32.0517645711038	P	0	0.76422287871842	Acutalibacter	NA
Time	Time	0.0261542067498793	0.0141537711898642	1.84786135080443	P	0	0.0257300190626812	Acutalibacter	3.47128289535092e-06
Age	Age	0.0022410615877578	0.00407304921606425	0.550217163818932	P	0.1	0.00213867116231045	Adlercreutzia	0.482607609142831
Batch	Batch	0.0501429567321067	0.0117792256663076	4.25689753746137	P	0	0.0478520073440868	Adlercreutzia	1.11022302462516e-16
Cage	Cage	0.0346397091017483	0.0114848306354071	3.01612711596773	P	0	0.0330570776507988	Adlercreutzia	4.79816936433952e-05
Cohort	Cohort	0.0990685533982482	0.0488499091777884	2.02801919319215	P	0	0.0945422738054375	Adlercreutzia	6.31012353480287e-09
Diet	Diet.5mo.as.AL	0.0613287534056129	0.045602841200353	1.34484500946266	P	0	0.0585267433280411	Adlercreutzia	1.07913677993565e-13
Genetics	vm(Mouse, kinship.mat.x2)	0.132484197015925	0.0314611997322231	4.21103448512908	P	0	0.126431211514941	Adlercreutzia	1.83499750283644e-07
Mouse	ide(Mouse)	0.0486791253335492	0.0232852451793934	2.09055670054221	P	0.1	0.0464550559993843	Adlercreutzia	0.0301979045117359
Residual	units!R	0.597624761689167	0.0187664574259924	31.8453690072283	P	0	0.57032026727389	Adlercreutzia	NA
Time	Time	0.0216666034699049	0.0122484783324408	1.76892205560912	P	0	0.0206766919211097	Adlercreutzia	0.00103364728845157
Age	Age	8.02197750665425e-08	NA	NA	B	NA	7.8391674253924e-08	AF3328	0.997724255928633
Batch	Batch	0.0381110394229966	0.0108902707843464	3.49954929291355	P	0	0.0372425400775282	AF3328	1.75336191121644e-08
Cage	Cage	0.0420115868970837	0.0126990717765215	3.30824076250646	P	0	0.0410541993192422	AF3328	2.9861859233149e-06
Cohort	Cohort	0.00173483663912001	0.00700553054333788	0.247638152226715	P	0.5	0.00169530204472474	AF3328	0.800421367563235
Diet	Diet.5mo.as.AL	0.0288943810646164	0.0228894318050758	1.26234592936505	P	0	0.0282359169706879	AF3328	1.74771072880553e-06
Genetics	vm(Mouse, kinship.mat.x2)	0.0727438807930666	0.0280316336399379	2.59506390984738	P	0	0.0710861455590733	AF3328	0.00385678585920768
Mouse	ide(Mouse)	0.0392480892498287	0.0246154679554522	1.59444822746648	P	0	0.0383536780676505	AF3328	0.102996990877811
Residual	units!R	0.792741186645055	0.024743861396554	32.0378931137828	P	0	0.774675680897877	AF3328	NA
Time	Time	0.00783500796842112	0.00653931861741225	1.19813828119016	P	0.1	0.00765645867154187	AF3328	0.0677878343717122
Age	Age	0.00928619610610339	0.00848721615455824	1.09413922504095	P	0	0.00890198584127376	Akkermansia	0.0127918060389484
Batch	Batch	0.0401029830114672	0.0110211394754932	3.63873291873685	P	0	0.0384437484285181	Akkermansia	5.34591704237641e-10
Cage	Cage	0.0225326241577167	0.00967172106527864	2.32974296980178	P	0	0.021600351632344	Akkermansia	0.00301178356481391
Cohort	Cohort	0.012538250209833	0.0108509710039724	1.1554956883806	P	0	0.012019488342371	Akkermansia	0.0822774615399945
Diet	Diet.5mo.as.AL	0.0657229623320453	0.0486375182105279	1.35128116627092	P	0	0.0630037179315974	Akkermansia	2.88657986402541e-15
Genetics	vm(Mouse, kinship.mat.x2)	0.11245679810836	0.0291251612972856	3.86115623396875	P	0	0.10780397194688	Akkermansia	6.82823368514107e-07
Mouse	ide(Mouse)	0.0363450944434075	0.0230285143437376	1.57826483727515	P	0	0.0348413400318265	Akkermansia	0.0966299533966095
Residual	units!R	0.700002625487327	0.0218631425412468	32.0174752630693	P	0	0.67104047661098	Akkermansia	NA
Time	Time	0.0441725285927562	0.0201543466182646	2.19171226085422	P	0	0.0423449192342092	Akkermansia	3.10275694026529e-10
Age	Age	0.00348243188224948	0.00409338558411986	0.850746114844263	P	2.3	0.00335336213828356	Alistipes	0.185425719895554
Batch	Batch	0.0209323482740452	0.00519345997065829	4.03052076887231	P	0.1	0.020156530419256	Alistipes	3.04489766733695e-12
Cage	Cage	0.0187767909127402	0.00743429637173634	2.52569846207983	P	0.1	0.0180808647101453	Alistipes	0.00202422628941468
Cohort	Cohort	1.12693367545515e-08	NA	NA	B	NA	1.08516601254724e-08	Alistipes	0.97579774226191
Diet	Diet.5mo.as.AL	0.00500453039051203	0.00481228556734877	1.03994875625579	P	0.4	0.00481904694732812	Alistipes	0.015213488285
Genetics	vm(Mouse, kinship.mat.x2)	0.0877950104129045	0.022252877642213	3.94533290590518	P	0	0.084541054585875	Alistipes	2.53861002208478e-06
Mouse	ide(Mouse)	0.108216453341359	0.0171120945077626	6.32397473566247	P	0	0.10420561539881	Alistipes	2.59681165459824e-13
Residual	units!R	0.237222494132239	0.00754984105246386	31.4208593907845	P	0	0.228430291552005	Alistipes	NA
Time	Time	0.557059582050634	0.194882662364696	2.85843581615369	P	0.2	0.536413223396637	Alistipes	0
Age	Age	0.0261551915462272	0.0171134914459061	1.52833754753674	P	0	0.0259862943934071	AM0715	0.000123977968042976
Batch	Batch	0.00844557267456741	0.00575245509063789	1.46816838054287	P	0.1	0.00839103538792019	AM0715	0.0840842672419344
Cage	Cage	0.0333717999322026	0.0118433621628476	2.81776403299473	P	0.1	0.0331563015297891	AM0715	0.000440106015210717
Cohort	Cohort	6.81898307277193e-08	NA	NA	B	NA	6.77494948869039e-08	AM0715	1
Diet	Diet.5mo.as.AL	0.0757474740277771	0.0559852349101616	1.35299019731412	P	0	0.0752583347043661	AM0715	9.99200722162641e-16
Genetics	vm(Mouse, kinship.mat.x2)	0.0773472637120685	0.0301215733300584	2.56783611083434	P	0.1	0.0768477937465626	AM0715	0.00467059039032203
Mouse	ide(Mouse)	0.108860425962356	0.0275318477966385	3.95398183102142	P	0.1	0.10815745974751	AM0715	2.40626798975185e-05
Residual	units!R	0.673859871626134	0.0210461554443734	32.0181932233275	P	0	0.669508421417244	AM0715	NA
Time	Time	0.00271180279057955	0.00301235111798676	0.900227989488798	P	0	0.0026942913237058	AM0715	0.173496887274961
Age	Age	0.0255948324897567	0.0178540876967364	1.43355588504448	P	0	0.0249006871841313	Anaerotignum	0.00528007854369894
Batch	Batch	0.0332356575540751	0.010003234014018	3.32249125707751	P	0	0.0323342890579239	Anaerotignum	2.13157774875405e-07
Cage	Cage	0.0320994253819631	0.0123860864790381	2.59157123085548	P	0	0.0312288720993393	Anaerotignum	0.00107699574521036
Cohort	Cohort	0.0383737411335985	0.0226446840482768	1.69460262955263	P	0	0.037333025111025	Anaerotignum	0.000832498742385668
Diet	Diet.5mo.as.AL	6.8802629133759e-08	NA	NA	B	NA	6.69366656801204e-08	Anaerotignum	0.995089509352354
Genetics	vm(Mouse, kinship.mat.x2)	0.0863653926364184	0.0324312862165354	2.66302705541121	P	0	0.0840231178084405	Anaerotignum	0.00155428206767905
Mouse	ide(Mouse)	0.123370255698459	0.0285358964483246	4.32333555463623	P	0	0.120024389540469	Anaerotignum	3.49732015803017e-06
Residual	units!R	0.679915617047698	0.0213896348847833	31.78715395144	P	0	0.661475948259712	Anaerotignum	NA
Time	Time	0.00892156143617096	0.00702356844850401	1.27023200550871	P	0	0.00867960400229264	Anaerotignum	0.0381110958507433
Age	Age	0.00160681673229259	0.00289170442325648	0.555664237108674	P	0.2	0.00156218594398753	Anaerotruncus	0.435872551439537
Batch	Batch	0.0290096368292175	0.00938693844176558	3.09042580913753	P	0	0.0282038679234605	Anaerotruncus	8.08584427769432e-06
Cage	Cage	0.0226732666277282	0.0108627244112708	2.08725415184088	P	0	0.0220434961363527	Anaerotruncus	0.0126712149853062
Cohort	Cohort	0.0108616243101508	0.00972733228029205	1.11660874710293	P	0	0.0105599328692459	Anaerotruncus	0.125602573773722
Diet	Diet.5mo.as.AL	0.0644099418164006	0.0476338500651955	1.3521884485139	P	0	0.0626208974156446	Anaerotruncus	3.33066907387547e-16
Genetics	vm(Mouse, kinship.mat.x2)	0.0767700966732892	0.030736605599519	2.4976764732437	P	0	0.0746377377900854	Anaerotruncus	0.00369896202461761
Mouse	ide(Mouse)	0.0962405516395948	0.0278955501802399	3.45003238931519	P	0	0.0935673832562531	Anaerotruncus	0.000409585914355581
