fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	-0.0782868404349778	0.107808740763758	-0.726164129924572	1	0.0002952	0.986291912396357	0.02112	0.884452526776038	 
(Intercept)	Acutalibacter	NA	0.416986566223995	0.0975595391662185	4.27417523481274	1	0.09667	0.755862963519538	0.1393	0.708977900952178	 
(Intercept)	Adlercreutzia	NA	-0.0462833809688068	0.144065273190897	-0.321266742107085	1	0.02597	0.871973604954763	0.0009741	0.975101606289125	 
(Intercept)	AF3328	NA	0.12219716454015	0.100887008303488	1.21122795288524	1	0.006492	0.935781580357421	0.0836	0.772476811260367	 
(Intercept)	Akkermansia	NA	-0.107390954657354	0.292130389051846	-0.367613088819373	1	0.01381	0.906451200303509	0.01527	0.901654288833964	 
(Intercept)	Alistipes	NA	-0.187987668680436	0.102525492347253	-1.83357001635968	1	0.007013	0.933260246182449	0.000323	0.985661030412133	 
(Intercept)	AM0715	NA	0.325830174443305	0.104940428311283	3.10490608516293	1	0.2202	0.638887570656229	0.2148	0.643030946991764	 
(Intercept)	Anaerotignum	NA	0.268079846296049	0.103622875632849	2.58707205970519	1	0.4269	0.513514004651103	0.007748	0.929858614831728	 
(Intercept)	Anaerotruncus	NA	0.412050207928427	0.196332963097447	2.09873167209273	1	0.01626	0.898533035253341	0.02113	0.884425367106924	 
(Intercept)	AnaerovoracaceaeNOV	NA	0.162468816539723	0.111600365184314	1.45580900449024	1	0.06478	0.79909450807483	0.2452	0.620475370699841	 
(Intercept)	Angelakisella	NA	0.430412317467516	0.165944871818098	2.59370664939448	1	0.07904	0.778602612552141	0.04648	0.82930563036346	 
(Intercept)	ASF356	NA	0.237382061147704	0.22053680443687	1.07638297269178	1	0.004971	0.94379146717932	0.01342	0.907775604746234	 
(Intercept)	Bacteroides	NA	-0.324886552312385	0.168497986525197	-1.92813314278863	1	0.03446	0.8527317507034	0.01793	0.893479317588599	 
(Intercept)	Bifidobacterium	NA	-0.12958471981945	0.0892084291151664	-1.45260622908356	1	0.2994	0.584258811556453	0.07142	0.78928037226119	 
(Intercept)	BorkfalkiaceaeNOV	NA	-0.0829334006806418	0.311667558231145	-0.26609571156949	1	0.0003657	0.98474275669029	2.429e-09	0.999960676350299	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.301166540467543	0.126343908044072	2.38370448666578	1	0.003785	0.950943212476643	0.003887	0.950287448459608	 
(Intercept)	CAG115	NA	-0.084168061459093	0.203728392583894	-0.413138592964813	1	0.03198	0.858071559199929	0.0005059	0.982055317272302	 
(Intercept)	CAG145	NA	-0.0996850565528904	0.125262582102655	-0.795808731383143	1	0.1958	0.65813253960852	0.02889	0.865033269239286	 
(Intercept)	CAG273	NA	-0.10261241580288	0.126688178872963	-0.809960461313246	1	0.05214	0.819380492985724	0.01092	0.916773517496204	 
(Intercept)	CAG274NOV	NA	0.390935778922185	0.130808557295623	2.9886101261608	1	0.1398	0.708479920329583	0.1161	0.73330346338498	 
(Intercept)	CAG303	NA	0.202047351817743	0.11168359837943	1.80910496034802	1	0.02466	0.875217242259696	0.003559	0.952428537022935	 
(Intercept)	CAG41	NA	0.282504847576732	0.122369250697851	2.30862611289727	1	0.1307	0.717707356245208	0.06782	0.794537709147464	 
(Intercept)	CAG475	NA	-0.0988329095629279	0.304785933635501	-0.324269917525538	1	0.004089	0.949013790546294	0.001412	0.970025274441251	 
(Intercept)	CAG485	NA	-0.456240402166069	0.0957077715794003	-4.76701520301898	1	0.01595	0.899499752177617	0.01362	0.907094021538852	 
(Intercept)	CAG510	NA	-0.167427244450837	0.154270167517837	-1.08528594442265	1	0.01955	0.888801172156532	0.0006579	0.97953685477624	 
(Intercept)	CAG552NOV	NA	-0.0591493853752381	0.108264384164754	-0.546342048048101	1	0.04875	0.825252818740462	0.01692	0.896505585694602	 
(Intercept)	CAG56	NA	0.28010358116642	0.145723042800609	1.92216396105372	1	0.002676	0.958743778009518	0.009946	0.92055897288299	 
(Intercept)	CAG582	NA	-0.158662268515156	0.311158694929572	-0.509907873701127	1	0.01292	0.909502424828052	0.01563	0.900507718118564	 
(Intercept)	CAG776	NA	-0.225575639797832	0.253272407213342	-0.890644355142169	1	0.002376	0.961123126964423	0.0005588	0.981140602492361	 
(Intercept)	CAG81	NA	0.336709855299911	0.170933849439386	1.9698254991871	1	0.09396	0.759201937568468	0.07281	0.787288516976017	 
(Intercept)	CAG873	NA	-0.32308848086448	0.263010378585735	-1.22842483479853	1	0.001694	0.967169752066984	0.0004984	0.982188807226433	 
(Intercept)	CAG95	NA	0.229243233959134	0.233954340063908	0.979863138664203	1	0.001142	0.973041826813056	0.002534	0.9598523637452	 
(Intercept)	Chao1	NA	-0.0766334467385237	0.0977180688117685	-0.78423005765843	1	0.08946	0.764864779409482	0.03938	0.84269773652977	 
(Intercept)	Clostridium	NA	-0.187213975081814	0.210396559461344	-0.88981481237677	1	0.01678	0.896932243961984	0.01902	0.890309163378854	 
(Intercept)	ClostridiumQ	NA	0.348236873122391	0.101758922240586	3.42217532826324	1	0.01015	0.919751135109054	0.01175	0.913680450044251	 
(Intercept)	COE1	NA	0.389604188414363	0.26525085912262	1.46881404909704	1	0.0003319	0.985464845095832	0.002787	0.957897599949337	 
(Intercept)	D1663	NA	0.101019277497101	0.137865901352185	0.732735770820099	1	0.03747	0.846511265313754	0.04603	0.830121273932594	 
(Intercept)	Desulfovibrio	NA	-0.0656287790247225	0.299661231165338	-0.219009909188125	1	0.01865	0.89137464095288	0.008039	0.9285570292133	 
(Intercept)	Dorea	NA	0.433403154234041	0.187657582781769	2.30954245391754	1	0.01855	0.891664452077536	0.03019	0.862059820487088	 
(Intercept)	Dubosiella	NA	-0.00783081559959089	0.0997213307838163	-0.0785269865337752	1	0.05346	0.817148409415667	0.008226	0.927733117074066	 
(Intercept)	Duncaniella	NA	-0.249959388288899	0.227050635946937	-1.10089710714273	1	9.436e-05	0.992249545025282	9.466e-05	0.992237234628443	 
(Intercept)	Emergencia	NA	0.147352834281165	0.135570378943928	1.08691024860313	1	0.001227	0.972056967434331	0.004836	0.944558716096995	 
(Intercept)	EnterococcusD	NA	-0.170761529095605	0.197219748911713	-0.865843963588295	1	4.119e-05	0.994879257046662	0.003809	0.950788124887636	 
(Intercept)	ErysipelatoclostridiaceaeNOV	NA	-0.0519558396031917	0.101991642745558	-0.509412714655529	1	0.005221	0.942397792004654	0.0007052	0.978814185193749	 
(Intercept)	Erysipelatoclostridium	NA	-0.194393992833508	0.112039742621415	-1.73504497855167	1	0.3826	0.536215034590418	0.198	0.656340054586303	 
(Intercept)	ErysipelotrichaceaeNOV	NA	0.0942340919760372	0.110722398591959	0.851084271786001	1	0.01723	0.895567185391854	0.01994	0.887704785107297	 
(Intercept)	Escherichia	NA	-0.178856777800238	0.266139755537408	-0.672040813440584	1	0.008597	0.926126000898761	0.00496	0.943853588843288	 
(Intercept)	EubacteriumF	NA	-0.0312538030588676	0.120997134248616	-0.258302010646381	1	0.02126	0.884072886855357	0.004167	0.948530461050321	 
(Intercept)	EubacteriumG	NA	0.268003485878224	0.106682400861795	2.51216211589968	1	0.01054	0.918229247916944	0.006495	0.935766776262692	 
(Intercept)	EubacteriumJ	NA	0.301800126248828	0.182744495724305	1.65148682072556	1	0.001273	0.971538215350903	0.0005328	0.981584496154556	 
(Intercept)	Evtepia	NA	0.37152861527785	0.196984956672264	1.88607608192125	1	0.01501	0.902490925531662	0.01488	0.902912002250524	 
(Intercept)	Flavonifractor	NA	0.319339704565733	0.212982582226562	1.49937004813865	1	0.001523	0.968869952315425	0.01112	0.916017623658166	 
(Intercept)	HungatellaA	NA	0.264610897489507	0.26341680638134	1.00453308626952	1	0.0005886	0.980644357692221	0.00014	0.990559522839488	 
(Intercept)	Ileibacterium	NA	-0.22778823382744	0.101179717940191	-2.25132307605451	1	0.001453	0.969593410769434	0.003943	0.949931091813958	 
(Intercept)	Kineothrix	NA	-0.268225017415579	0.227288161199639	-1.18010993621433	1	0.01918	0.889851688956778	0.01567	0.900381152827716	 
(Intercept)	Lachnospira	NA	0.162312333569153	0.239633367354692	0.677336112916646	1	0.01278	0.909991975691039	0.005463	0.941080319846041	 
(Intercept)	LachnospiraceaeNOV	NA	0.182948623431194	0.103878504729765	1.76117883008738	1	0.1339	0.714422168235672	0.09059	0.763428428557477	 
(Intercept)	Lactobacillus	NA	-0.422810189059077	0.0988679350527625	-4.27651481578368	1	0.02417	0.876453137581929	0.04874	0.825270453120125	 
