feature	herit	herit.se	LRT.pval
Acetatifactor	3.55347857275176e-07	0.10032686744141	1
Acutalibacter	9.16522413447052e-08	5.46811190241498e-09	1
Adlercreutzia	9.82715521885607e-07	0.0659586380924393	1
AF3328	8.9858319546812e-08	1.59377586732668e-08	0.998074763047415
Akkermansia	0.240746542993346	2.78075123953918e-08	0.0546578889788242
Alistipes	2.74966235795711e-07	0.0495813708326279	1
AM0715	1.44838943682485e-07	4.8590002519214e-09	1
Anaerotignum	0.0111342266889625	0.141461045519772	0.939953720791897
Anaerotruncus	0.101823726750888	1.69044300785033e-08	0.283426094141545
AnaerovoracaceaeNOV	0.00819647777236122	0.115121544585267	0.957003087892822
Angelakisella	0.0625986699297742	0.125645990434976	0.357638519945969
ASF356	0.182815976760963	0.14232311024509	0.293387545763835
Bacteroides	0.0801343447900301	0.12522236574345	0.572783509794937
Bifidobacterium	6.26378742633881e-08	0.0416980508026253	0.997134413840127
BorkfalkiaceaeNOV	0.265386479816294	0.178761940328092	0.275966780473349
ButyricicoccaceaeNOV	0.0242652872168074	1.56272476164087e-08	0.622601232053109
CAG115	0.0738742616676069	8.06943733927701e-08	0.0481400195567215
CAG145	9.82488825290851e-07	0.0751743911777887	1
CAG273	0.0351462413136396	0.13308264718577	0.796740353680261
CAG274NOV	0.0143356586603178	0.160063933764369	0.935524449246598
CAG303	5.6185937394618e-07	0.043082234088626	0.990948847989301
CAG41	5.43722694970479e-07	0.064446224116212	0.994047892200311
CAG475	0.318536786215923	0.188769703971334	0.213496658945654
CAG485	7.84845344189788e-08	0.134576892194338	1
CAG510	0.0590360216089083	6.60913512595719e-09	0.181384185010714
CAG552NOV	2.91742789913884e-07	0.0880727040995872	1
CAG56	0.0228108989741695	0.148130785476883	0.88913727390189
CAG582	0.287717386644186	3.26563263427739e-08	0.035701475286691
CAG776	0.184833332275341	2.60356673465792e-08	0.0847392211376454
CAG81	0.0334602997740758	0.147555803987099	0.847998622313484
CAG873	0.19106926960045	0.149887249890123	0.0785583267740765
CAG95	0.161497689520889	4.91782788706777e-09	0.096014737840184
Chao1	8.9244505872371e-08	0.0607334894527473	1
Clostridium	0.124268642342888	0.10868587142086	0.152450269272861
ClostridiumQ	8.24703801180394e-08	0.0481856990922156	0.995377383559372
COE1	0.210843273293043	1.41600228516225e-08	0.0566926722486759
D1663	7.49263651115911e-08	0.0334593856041559	1
Desulfovibrio	0.306056974584351	7.25512378079277e-08	0.00666575718486551
Dorea	0.0936590221569155	4.98424324368261e-09	0.0706522249070876
Dubosiella	6.89500748710681e-08	0.128036979922306	1
Duncaniella	0.142619194861973	3.80940195921706e-08	0.256829977934466
Emergencia	0.0432760535590037	0.104787675926384	0.703062904475411
EnterococcusD	0.0962697497212524	2.68249383151362e-08	0.311123601452557
ErysipelatoclostridiaceaeNOV	9.66449215497426e-08	0.0529566193266108	0.996620611595888
Erysipelatoclostridium	4.51611370801877e-07	0.0476065785515636	0.998585455186448
ErysipelotrichaceaeNOV	0.0300874410779919	0.109508888666937	0.799212944597083
Escherichia	0.204185411586985	0.150546356787767	0.38352020443515
EubacteriumF	6.30706676426424e-07	0.150695471205345	1
EubacteriumG	8.02685072913399e-08	0.0543489994448585	0.993175700457309
EubacteriumJ	0.146895774079094	0.126911657264679	0.403292265123117
Evtepia	0.10465405738814	4.72261039486339e-09	0.0764815890001329
Flavonifractor	0.119646138766214	3.17660852237827e-09	0.284121083360747
HungatellaA	0.222262534610255	5.23876911668987e-08	0.114867706272998
Ileibacterium	9.9311611847065e-07	0.0626226720362469	0.987534657829899
Kineothrix	0.145508672340135	0.12707906680397	0.170274072531346
Lachnospira	0.179463500377179	5.18290756150248e-09	0.0778714618458389
LachnospiraceaeNOV	8.6604083915388e-08	0.0951988923405545	1
Lactobacillus	3.98358587966322e-07	0.0528560364880715	0.997200859138697
Lawsonibacter	0.0295313673842891	3.41868793851389e-08	0.65528417076479
Ligilactobacillus	5.88250389733775e-08	0.0315873815981488	1
Limosilactobacillus	6.15813135657038e-07	0.0485586870997522	0.997407315626989
Mailhella	0.0981604138950739	0.131338262884906	0.572641648393805
MarseilleP3106	8.81658861998304e-08	0.046798140723129	1
MuribaculaceaeNOV	0.188367616599692	5.67127110125695e-08	0.13341920452538
Muribaculum	0.0611765513810808	0.109521692176628	0.638336990074538
Oscillibacter	0.0194745456018276	8.75875047365675e-09	0.817102719264297
OscillospiraceaeNOV	0.102384280586267	0.132087919614043	0.487020585277827
Paramuribaculum	0.12823255493155	0.136294120628578	0.0858046194476183
Parvibacter	4.26806959556251e-07	0.0773473192047123	0.998110904900822
PCoA1	0.0450001283011809	0.108546360556419	0.675028900930519
PCoA2	4.08274957020541e-07	0.10953359914968	1
PCoA3	4.87694769915127e-07	0.0815701244632081	1
Prevotella	0.132179590674568	0.135942549263473	0.30071101323398
Romboutsia	0.0508938560281879	0.102060776136086	0.575550530509417
Roseburia	4.70843576480857e-07	0.135450700140665	1
RuminiclostridiumE	8.04632899893514e-07	0.169393312341079	0.993303256362002
Schaedlerella	0.128037678231155	4.70703430906428e-09	0.138260310020232
Shannon	8.23714385439034e-08	0.0613323651341096	1
Simpson	8.87193507010223e-08	0.0509215997788285	1
Staphylococcus	8.49551305972283e-08	0.0352065721251002	0.997901408063003
TF0111	0.124528055979616	0.1237689849325	0.326517500468624
Turicibacter	0.00587417615767489	0.155617345381718	0.96780493005632
UBA11940	0.337267491971713	0.176365832240539	0.123356028543052
UBA11957	0.0758182062858606	0.159059220531164	0.646855559585753
UBA1394	3.06010051314273e-07	0.238674656551134	1
UBA1405	5.76186663475682e-08	7.14305831982471e-09	1
UBA2882	0.123128600607144	0.223266891208474	0.68748709837044
UBA3282	0.0794116269705424	0.12544418416801	0.610018088018565
UBA3700	0.357693494028826	0.162478959498036	0.0988892415837038
UBA3700NOV	0.0500175740876575	0.201931019464757	0.871308696279351
UBA3818	1.03769164568704e-06	0.0823031825369397	1
UBA7160	0.181314445334293	9.01824403661389e-09	0.175220386551606
UBA7173	0.121853833663424	0.133100525058879	0.453303579247022
UBA7182	0.208538087708556	8.89149142698802e-08	0.00464883169034069
UBA946	0.0771571501628073	0.202564672534475	0.799871640818847
UBA9475	0.177497195785874	5.00071392652003e-08	0.221251248354994
UBA9502	0.0336550904126998	0.12754157957125	0.842623353978655
UMGS1004	1.20560809782834e-06	0.0681735692092582	1
UMGS1217	7.9527098813429e-08	0.0598162052164601	0.988759004220132
UMGS1370	0.154759326359169	0.119378859726541	0.202351412605821
UMGS1815	5.6435876016577e-07	0.0766443699809579	1
UMGS1872	0.0683667764718119	0.119561464091946	0.642316315783198
