term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	8.00702421326116e-08	NA	NA	B	NA	8.20007130157103e-08	Acetatifactor
Cage	0.127929696432253	0.053768146146012	2.37928412270062	P	0	0.131014045217375	Acetatifactor
vm(Mouse, kinship.mat.x2)	3.31957244568733e-07	NA	NA	B	NA	3.39960639812777e-07	Acetatifactor
ide(Mouse)	0.00822764501935735	0.0427947533051188	0.192258264948877	P	0.2	0.00842601121288073	Acetatifactor
Batch	0.0490366386574418	0.0337272045531076	1.45391944891927	P	0	0.050218898141264	Acetatifactor
units!R	0.791263484726937	0.0618094330288408	12.8016622375055	P	0	0.810340623467128	Acetatifactor
Cohort	0.025731302342674	0.0248079229626265	1.03722114831776	P	0	0.0283669724810905	Acutalibacter
Cage	8.37552234256391e-08	NA	NA	B	NA	9.23343127534753e-08	Acutalibacter
vm(Mouse, kinship.mat.x2)	8.37552234256391e-08	NA	NA	B	NA	9.23343127534753e-08	Acutalibacter
ide(Mouse)	1.02063391033423e-07	NA	NA	B	NA	1.12517795104771e-07	Acutalibacter
Batch	0.0536761885460152	0.035778423962291	1.50023904358078	P	0	0.0591742673222349	Acutalibacter
units!R	0.827678900259781	0.0638217804407327	12.968596215024	P	0	0.912458463010254	Acutalibacter
Cohort	0.129940188832611	0.0762332276115777	1.70450855753714	P	0.1	0.139863365098262	Adlercreutzia
Cage	0.00792930451918689	0.048799413439862	0.162487701393349	P	3.1	0.00853484378394256	Adlercreutzia
vm(Mouse, kinship.mat.x2)	9.17314995992019e-07	NA	NA	B	NA	9.8736782936199e-07	Adlercreutzia
ide(Mouse)	0.175868301813837	0.0617135758140434	2.84975063418407	P	0.2	0.18929888225333	Adlercreutzia
Batch	0.0419903821929348	0.0246824610043653	1.70122347951885	P	0.2	0.045197072653415	Adlercreutzia
units!R	0.573321831144792	0.0442257089980524	12.9635418884984	P	0	0.617104848843221	Adlercreutzia
Cohort	0.0174872633284225	0.0232546279285203	0.751990673949915	P	0	0.0182531316042929	AF3328
Cage	0.0305998740864511	0.0303110190180622	1.00952970496362	P	0	0.0319400193320685	AF3328
vm(Mouse, kinship.mat.x2)	8.7997430723004e-08	NA	NA	B	NA	9.18513465292195e-08	AF3328
ide(Mouse)	2.88303747939917e-07	NA	NA	B	NA	3.0093023444126e-07	AF3328
Batch	0.0403534128594093	0.0329731079849253	1.22382800183283	P	0	0.0421207219089559	AF3328
units!R	0.869600888249871	0.0628988289439719	13.825390756074	P	0	0.907685734373102	AF3328
Cohort	0.0522706592885962	0.0465184686292181	1.1236539127121	P	0	0.0509919931893455	Akkermansia
Cage	0.0169450927043535	0.0538534585099537	0.314651893735322	P	0	0.0165305749637203	Akkermansia
vm(Mouse, kinship.mat.x2)	0.244585155716466	0.087856268455874	2.78392378842393	P	0	0.238602014289688	Akkermansia
ide(Mouse)	3.84041276542725e-07	NA	NA	B	NA	3.74646702842842e-07	Akkermansia
Batch	0.0373288118358652	0.0276271561282485	1.35116374854438	P	0	0.0364156592782077	Akkermansia
units!R	0.673945717523292	0.0521069528066149	12.9338923353379	P	0	0.657459383632335	Akkermansia
Cohort	1.26338880288264e-08	NA	NA	B	NA	1.86229993434892e-08	Alistipes
Cage	0.0791977634775063	0.0460405891750062	1.72017267582014	P	0	0.116741567907059	Alistipes
vm(Mouse, kinship.mat.x2)	4.73356339419031e-07	NA	NA	B	NA	6.97751537620361e-07	Alistipes
ide(Mouse)	0.105318656131825	0.0365296037300928	2.88310426004059	P	0	0.155245104240673	Alistipes
Batch	0.268565439015986	0.0499231381063975	5.37957847208268	P	0	0.395879240267671	Alistipes
units!R	0.225320086475304	0.0182776997884466	12.327595325629	P	0	0.33213337121006	Alistipes
Cohort	0.0149343687698561	0.0256168479710566	0.582990100371827	P	0	0.0167141452401118	AM0715
Cage	0.0934417767248631	0.0479930403204743	1.94698598173619	P	0	0.104577531982861	AM0715
vm(Mouse, kinship.mat.x2)	1.26083182065782e-07	NA	NA	B	NA	1.41108917950152e-07	AM0715
ide(Mouse)	7.67540850966556e-08	NA	NA	B	NA	8.59011147941383e-08	AM0715
Batch	0.0266475702348255	0.0252663806145066	1.05466511572797	P	0	0.0298232463698059	AM0715
units!R	0.758492833580078	0.0569882021120555	13.309646654384	P	0	0.848884849397189	AM0715
Cohort	3.30161314842969e-07	NA	NA	B	NA	3.66614772854617e-07	Anaerotignum
Cage	0.0175685745055514	0.0497131285709083	0.3533990921632	P	0.1	0.0195083392940678	Anaerotignum
vm(Mouse, kinship.mat.x2)	1.61254706181965e-07	NA	NA	B	NA	1.79059007887575e-07	Anaerotignum
ide(Mouse)	0.155662835675354	0.0602184695145875	2.58496831503906	P	0	0.172849733077203	Anaerotignum
Batch	0.094202324523972	0.0372554658023263	2.52855044206936	P	0	0.104603302249868	Anaerotignum
units!R	0.633133179475426	0.0496124394900569	12.7615812885459	P	0	0.70303807970508	Anaerotignum
Cohort	7.24489421026672e-08	NA	NA	B	NA	7.53236009836408e-08	Anaerotruncus
Cage	0.127993589972143	0.0591884295675458	2.16247653312168	P	0	0.133072172204575	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0938250734076425	0.0626333458850734	1.49800512940508	P	0	0.0975479032061378	Anaerotruncus
ide(Mouse)	3.82285536229141e-07	NA	NA	B	NA	3.97454018747927e-07	Anaerotruncus
Batch	0.0240678550740303	0.0263160184601709	0.914570534689998	P	0	0.0250228293128053	Anaerotruncus
units!R	0.715948907685247	0.054879339411893	13.0458732805026	P	0	0.744356622498862	Anaerotruncus
Cohort	0.0254202419964972	0.032463502423163	0.783040648699682	P	0	0.0260507960258444	AnaerovoracaceaeNOV
Cage	0.023341649290182	0.04323373582381	0.539894340505432	P	0.2	0.0239206434246029	AnaerovoracaceaeNOV
vm(Mouse, kinship.mat.x2)	2.17167393824724e-07	NA	NA	B	NA	2.22554273117135e-07	AnaerovoracaceaeNOV
ide(Mouse)	0.0631257150862228	0.113436205327988	0.556486484219935	P	0	0.0646915606831499	AnaerovoracaceaeNOV
Batch	0.105614609791854	0.0411767748076543	2.56490728779033	P	0.1	0.108234400656605	AnaerovoracaceaeNOV
units!R	0.758292777350795	0.0588835820224156	12.8778303103594	P	0	0.777102376655525	AnaerovoracaceaeNOV
Cohort	7.01184575345519e-08	NA	NA	B	NA	7.67890027507874e-08	Angelakisella
Cage	0.0800643186680784	0.0450916557067458	1.77559057021055	P	0	0.0876810386682201	Angelakisella
vm(Mouse, kinship.mat.x2)	0.0583983897300517	0.136067483182641	0.429186961969927	P	0.1	0.0639539754195643	Angelakisella
ide(Mouse)	7.01184575345519e-08	NA	NA	B	NA	7.67890027507874e-08	Angelakisella
Batch	0.0817498678816608	0.0354569736744529	2.30560759731625	P	0	0.0895269384177203	Angelakisella
units!R	0.692918786989281	0.05398604236454	12.8351469498423	P	0	0.75883789391649	Angelakisella
Cohort	0.00590908185827489	0.0226557561640676	0.2608203326114	P	0	0.00663532283202301	ASF356
Cage	2.68404702246627e-08	NA	NA	B	NA	3.01392313011435e-08	ASF356
vm(Mouse, kinship.mat.x2)	0.13491629146644	0.161334465117449	0.836252138488966	P	0	0.151497841906778	ASF356
ide(Mouse)	0.0697965533796553	0.129181969445355	0.540296402658421	P	0	0.0783747247616813	ASF356
Batch	0.0319991068573692	0.0257160821960583	1.24432277877359	P	0	0.0359318773080988	ASF356
units!R	0.647928202665569	0.0501092398039683	12.9303139540795	P	0	0.727560203052187	ASF356
Cohort	0.00481946884002152	0.0274144259604716	0.175800465308689	P	1	0.00507175291075701	Bacteroides
Cage	0.0842144465346448	0.0547990639369627	1.53678622378513	P	0.2	0.0886228085537261	Bacteroides
vm(Mouse, kinship.mat.x2)	0.0568806365427809	0.138892369223956	0.409530320928316	P	0.2	0.0598581593797114	Bacteroides
ide(Mouse)	0.0276950819766186	0.124808491975492	0.22190062181071	P	0	0.0291448326135339	Bacteroides
Batch	0.0892965258603945	0.0357108284682324	2.50054478405145	P	0.2	0.0939709187850923	Bacteroides
units!R	0.687350866726382	0.053386142895175	12.8750801135046	P	0	0.723331527757179	Bacteroides
Cohort	4.08118918721168e-08	NA	NA	B	NA	6.9442562734077e-08	Bifidobacterium
Cage	0.0885168435500022	0.0346034402451845	2.55803593292492	P	0	0.150613857365507	Bifidobacterium
vm(Mouse, kinship.mat.x2)	4.08118918721168e-08	NA	NA	B	NA	6.9442562734077e-08	Bifidobacterium
ide(Mouse)	0.0281143244645721	0.0271585605223637	1.03519199559275	P	0	0.0478373006199965	Bifidobacterium
Batch	0.0677680360123092	0.0243745584739338	2.78027748009387	P	0	0.115309187500939	Bifidobacterium
units!R	0.403307882191074	0.0318274695230654	12.67169172525	P	0	0.686239515628432	Bifidobacterium
Cohort	0.022685448603909	0.0365458142095747	0.620739997029964	P	0.4	0.0216718241900331	BorkfalkiaceaeNOV
Cage	2.9926105065975e-07	NA	NA	B	NA	2.85889558106651e-07	BorkfalkiaceaeNOV
vm(Mouse, kinship.mat.x2)	0.293751186724172	0.234585773316368	1.25221228283103	P	0.3	0.280625884259695	BorkfalkiaceaeNOV
ide(Mouse)	0.0594668084105474	0.182015179887646	0.326713455697789	P	1.1	0.0568097303041076	BorkfalkiaceaeNOV
Batch	0.0204486998967712	0.0241698719663029	0.846040886161097	P	0	0.0195350172180951	BorkfalkiaceaeNOV
units!R	0.650419088885451	0.0498548663039407	13.0462507896454	P	0	0.621357258138511	BorkfalkiaceaeNOV
Cohort	8.38196458954001e-08	NA	NA	B	NA	9.06571060881038e-08	ButyricicoccaceaeNOV
Cage	0.0546008257212977	0.0388973499088051	1.40371582766717	P	0	0.0590548050762571	ButyricicoccaceaeNOV
vm(Mouse, kinship.mat.x2)	0.0239045855798275	0.0475340988705465	0.502893420677414	P	0	0.0258545658091537	ButyricicoccaceaeNOV
ide(Mouse)	3.29614025616776e-07	NA	NA	B	NA	3.56501788682775e-07	ButyricicoccaceaeNOV
Batch	0.0177575277722018	0.0268620718791423	0.661063221485533	P	0	0.0192060711055246	ButyricicoccaceaeNOV
units!R	0.828315530630317	0.062064249814038	13.3460975217164	P	0	0.89588411085017	ButyricicoccaceaeNOV
Cohort	0.0824718761961461	0.0677815936374855	1.21672967202908	P	0	0.0920620063151781	CAG115
Cage	0.147567464048813	0.0563314760817057	2.61962714832422	P	0.3	0.164727146195462	CAG115
vm(Mouse, kinship.mat.x2)	0.0756891529098725	0.0427010201854487	1.77253734409992	P	0.3	0.0844905632631259	CAG115
ide(Mouse)	5.68205828111622e-07	NA	NA	B	NA	6.34278871157507e-07	CAG115
Batch	0.234971985809436	0.0523170229800674	4.49131033122737	P	0.1	0.262295384065594	CAG115
units!R	0.355128616956495	0.0286729128774676	12.3855088764131	P	0	0.396424265881768	CAG115
Cohort	0.060556461196657	0.0476098145863004	1.27193230477486	P	0.1	0.06367542688178	CAG145
Cage	0.0221745402355639	0.0629727196643503	0.352129308591974	P	1.2	0.0233166418166569	CAG145
vm(Mouse, kinship.mat.x2)	9.75321018615229e-07	NA	NA	B	NA	1.02555501064394e-06	CAG145
ide(Mouse)	0.258710047950572	0.0790293047278324	3.27359640631458	P	0.1	0.272034930977239	CAG145
