feature	herit	herit.se	LRT.pval
Acetatifactor	5.66902414179776e-07	0.120349265163884	1
Acutalibacter	9.1029371241185e-08	4.91453165617764e-09	0.999494754478047
Adlercreutzia	9.82730110638786e-07	1.02259027626428e-07	1
AF3328	8.98583208535323e-08	4.8553548257271e-09	1
Akkermansia	0.241895651940196	0.0765248638010646	0.0485070869451217
Alistipes	1.10746381249942e-07	1.81651534206732e-08	1
AM0715	2.24561171872888e-07	0.053740625218111	1
Anaerotignum	0.0145722558744611	0.15518727169616	0.92235424259982
Anaerotruncus	0.101270575959403	0.0640642790957058	0.299262343781785
AnaerovoracaceaeNOV	0.00851982169307193	0.135323170673051	0.957417703122868
Angelakisella	0.0625970860030177	0.0565847830790549	0.357633100274899
ASF356	0.188114992882502	0.169091471939891	0.285936839188346
Bacteroides	0.0752285602954127	0.140499094734616	0.600598415349772
Bifidobacterium	6.25586839726164e-08	5.90887346318436e-09	0.993889354134511
BorkfalkiaceaeNOV	0.265414119729723	0.21054519763735	0.275964747525094
ButyricicoccaceaeNOV	0.0241773434051445	0.0505681573821577	0.623722818060732
CAG115	0.0685551520282869	0.0401759450536283	0.0510735535474619
CAG145	9.78073758997945e-07	8.99259444558438e-08	1
CAG273	0.0351488152929589	0.144856420436721	0.796798657193724
CAG274NOV	0.024671083375949	0.173346068395682	0.890034212268551
CAG303	5.01093343969361e-07	4.09833474789629e-08	0.97909914412546
CAG41	5.25419973809027e-07	4.67104513927952e-08	0.996817498653566
CAG475	0.318536767968305	0.221371023180562	0.213496662915746
CAG485	7.84845863188284e-08	5.39140057080051e-09	1
CAG510	0.0596950941972116	0.0480629203972527	0.168255704465325
CAG552NOV	2.42211449350929e-07	1.95451604078022e-08	0.999673242529436
CAG56	0.00217199330300447	0.163456100118662	0.989103532866228
CAG582	0.283521087125299	0.0824151834820916	0.0263045730546685
CAG776	0.185233311073209	0.0537221363801183	0.0813974785022612
CAG81	0.033465251210799	0.165880118188948	0.847885727562529
CAG873	0.191088215425258	0.073389376389774	0.0785578487197027
CAG95	0.16145787815206	0.0526531098026968	0.09705776201998
Chao1	8.85274742958279e-08	4.34112982708967e-09	1
Clostridium	0.133658050024929	0.0662061982035563	0.121998215209859
ClostridiumQ	8.24712082876515e-08	5.54479351029148e-09	0.999816654306983
COE1	0.208416376557807	0.0775232215645708	0.0624011231231512
D1663	7.46764986675753e-08	6.70453771126037e-09	1
Desulfovibrio	0.309839772146125	0.0806336816582743	0.0101703542306001
Dorea	0.0936517820076877	0.0448386845107108	0.0706494791826725
Dubosiella	6.89489339076965e-08	5.50975186392844e-09	0.993803533318331
Duncaniella	0.142619364780263	0.0697144853474789	0.25684443222123
Emergencia	0.0429848898071228	0.120336700202335	0.702911145694806
EnterococcusD	0.0962696847971495	0.0663188225772644	0.311119533286722
ErysipelatoclostridiaceaeNOV	2.17430370912756e-07	1.44941381234838e-08	0.999727213974004
Erysipelatoclostridium	4.39757995894783e-07	3.05107799599362e-08	0.998610411810763
ErysipelotrichaceaeNOV	0.0300143956244255	0.121233856417834	0.799175816402681
Escherichia	0.204123948160746	0.18521666373594	0.383511676489032
EubacteriumF	6.23873014400732e-07	5.37564151576784e-08	0.997830495848767
EubacteriumG	8.22665237793666e-08	5.75117010786846e-09	0.999589214567403
EubacteriumJ	0.138229613620629	0.15446048646102	0.415464007094406
Evtepia	0.104654031917702	0.0467171809779486	0.0764817113093426
Flavonifractor	0.122577525007115	0.0489394168777343	0.247333072183728
HungatellaA	0.222262768428669	0.0528700369918517	0.114877614865802
Ileibacterium	9.90283482256848e-07	9.08343341395294e-08	0.995861118213525
Kineothrix	0.141210956131855	0.140136264295308	0.155767658660878
Lachnospira	0.179778639405604	0.0727366724712604	0.071187894146864
LachnospiraceaeNOV	8.66049783165234e-08	5.38429175521266e-09	1
Lactobacillus	4.37952310749785e-07	3.32593126875033e-08	1
Lawsonibacter	0.0295316394968131	0.0536695771361346	0.655235302364002
Ligilactobacillus	5.53558445747589e-08	7.13630260088987e-09	1
Limosilactobacillus	8.70960410209286e-08	6.64330940662215e-09	1
Mailhella	0.0979451082280532	0.158740294360225	0.56491628340993
MarseilleP3106	8.81659766562416e-08	5.03823304489866e-09	1
MuribaculaceaeNOV	0.204121916551534	0.177621578574165	0.15552344533805
Muribaculum	0.0527109403231287	0.13469532707117	0.693836076796545
