term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.012820233970832	0.0303027726176744	0.423071318673805	P	0.1	0.0126759545536451	Acetatifactor
Quarter.Date	0.0348560660552094	0.0271509451873422	1.28378831067212	P	0.1	0.0344637945173175	Acetatifactor
Cage	0.151610383182216	0.0594400360977322	2.55064419767404	P	0	0.149904153968711	Acetatifactor
vm(Mouse, kinship.mat.x2)	5.73354973596389e-07	NA	NA	B	NA	5.66902414179776e-07	Acetatifactor
ide(Mouse)	0.00395111121278571	0.100447132255239	0.0393352316196129	P	0.2	0.00390664525184318	Acetatifactor
Batch	0.0200286635726494	0.0311854271005201	0.6422443248281	P	0	0.0198032602052953	Acetatifactor
units!R	0.788115102957375	0.0615271372753129	12.8092275678426	P	0	0.779245624600774	Acetatifactor
Cohort	0.0356696581477082	0.0283276888191259	1.25917996259636	P	0	0.038908929509102	Acutalibacter
Quarter.Date	0.0125157739661257	0.0161898146930945	0.773064683159349	P	0.2	0.0136523698932934	Acutalibacter
Cage	3.65212603296017e-08	NA	NA	B	NA	3.98378683043065e-08	Acutalibacter
vm(Mouse, kinship.mat.x2)	8.34509351590956e-08	NA	NA	B	NA	9.1029371241185e-08	Acutalibacter
ide(Mouse)	1.35637746091869e-07	NA	NA	B	NA	1.47955426979641e-07	Acutalibacter
Batch	0.0438897775193357	0.0353108772190451	1.24295347428139	P	0	0.0478755432025278	Acutalibacter
units!R	0.82467188806981	0.0602170447875517	13.6949910275286	P	0	0.89956287857241	Acutalibacter
Cohort	0.134524805573743	0.0743835611654207	1.80852870534896	P	0	0.144162807733647	Adlercreutzia
Quarter.Date	5.7998052049948e-08	NA	NA	B	NA	6.21533106176418e-08	Adlercreutzia
Cage	0.00427771114026318	0.0488105374780962	0.0876390910914022	P	3.1	0.00458418687931713	Adlercreutzia
vm(Mouse, kinship.mat.x2)	9.17029705119222e-07	NA	NA	B	NA	9.82730110638786e-07	Adlercreutzia
ide(Mouse)	0.179123699655935	0.0625792193062426	2.86235113895175	P	0.1	0.191956980453562	Adlercreutzia
Batch	0.0420743005489911	0.0246596461554537	1.70620049792101	P	0	0.0450887051997775	Adlercreutzia
units!R	0.573143524362154	0.0442062967118315	12.9652010458672	P	0	0.614206274850275	Adlercreutzia
Cohort	0.0416071583821269	0.0322545332479836	1.28996312122198	P	0	0.0423782401052501	AF3328
Quarter.Date	8.82233282557128e-08	NA	NA	B	NA	8.98583208535323e-08	AF3328
Cage	0.030877946811808	0.0302901239113085	1.01940642112329	P	0	0.0314501901795354	AF3328
vm(Mouse, kinship.mat.x2)	8.82233282557128e-08	NA	NA	B	NA	8.98583208535323e-08	AF3328
ide(Mouse)	2.74291514674336e-07	NA	NA	B	NA	2.79374802791027e-07	AF3328
Batch	0.0374859824363643	0.032640877745451	1.14843671572492	P	0	0.0381806887574385	AF3328
units!R	0.871833234052277	0.0631387019748521	13.8082223229664	P	0	0.887990421866332	AF3328
Cohort	0.0496210259343806	0.0424572852834844	1.16872818417533	P	0	0.0484174608605584	Akkermansia
Quarter.Date	0.03932463933291	0.0265021081949392	1.48383060863133	P	0	0.03837081458724	Akkermansia
Cage	0.0160896324867547	0.0534333505374611	0.301115919644128	P	0	0.0156993761519239	Akkermansia
vm(Mouse, kinship.mat.x2)	0.247908713199711	0.0876736387341947	2.82763116461164	P	0	0.241895651940196	Akkermansia
ide(Mouse)	3.65304837979946e-07	NA	NA	B	NA	3.56444316940491e-07	Akkermansia
Batch	0.0108915011161624	0.0236549818529277	0.460431598885981	P	0.1	0.0106273262004272	Akkermansia
units!R	0.66102220176509	0.05121599001007	12.9065590967806	P	0	0.644989013815337	Akkermansia
Cohort	0.076817705497655	0.0530580949514225	1.44780368703372	P	0.7	0.102285800669983	Alistipes
Quarter.Date	0.249788716753189	0.100465846913745	2.48630479338561	P	0.4	0.332603515373256	Alistipes
Cage	0.077675901432237	0.0455530933220538	1.70517292608604	P	0.1	0.103428522360663	Alistipes
vm(Mouse, kinship.mat.x2)	8.31716899517376e-08	NA	NA	B	NA	1.10746381249942e-07	Alistipes
ide(Mouse)	0.110055620514803	0.0372657592748501	2.95326387161734	P	0.1	0.146543393735343	Alistipes
Batch	0.025758517563638	0.0135667895753765	1.8986450272944	P	0.1	0.0342984807473708	Alistipes
units!R	0.210913908076794	0.0169435732415831	12.4480181995594	P	0	0.280840176367004	Alistipes
Cohort	0.0145412185038121	0.0245288122601584	0.592821957687329	P	0	0.0162770259564236	AM0715
Quarter.Date	0.00933219020724406	0.0133104096156984	0.701119685771171	P	0	0.0104461879995663	AM0715
Cage	0.0943193360625738	0.048073065455945	1.96199961803995	P	0	0.105578379203963	AM0715
vm(Mouse, kinship.mat.x2)	2.00613618017062e-07	NA	NA	B	NA	2.24561171872888e-07	AM0715
ide(Mouse)	7.68129194394293e-08	NA	NA	B	NA	8.59821949017885e-08	AM0715
Batch	0.0160911756074118	0.0253679272027813	0.634311801621993	P	0	0.018012003805771	AM0715
units!R	0.759074241427049	0.057144080232465	13.2835149037153	P	0	0.84968609249091	AM0715
Cohort	0.0650419782051162	0.0495948321994979	1.31146684685778	P	0.2	0.066404395252739	Anaerotignum
Quarter.Date	0.0281630130283055	0.0267194265311519	1.0540276003106	P	0.8	0.0287529361844123	Anaerotignum
Cage	0.0169098139459439	0.0538783658743311	0.313851648459147	P	1.5	0.0172640193288034	Anaerotignum
vm(Mouse, kinship.mat.x2)	0.014273277324169	0.152478439502741	0.0936084955402	P	0.2	0.0145722558744611	Anaerotignum
ide(Mouse)	0.151258313920121	0.135378392166157	1.11730026852789	P	0.2	0.154426681659946	Anaerotignum
Batch	0.0737900197420523	0.0366124901755761	2.01543296804425	P	0.1	0.0753356796929837	Anaerotignum
units!R	0.630046612895284	0.0495472554635846	12.7160749268614	P	0	0.643244032006655	Anaerotignum
Cohort	7.30261733280938e-08	NA	NA	B	NA	7.55608040338733e-08	Anaerotruncus
Quarter.Date	0.00899568457636467	0.0139139653485242	0.646521990750739	P	0.9	0.0093079115123746	Anaerotruncus
Cage	0.12968575831735	0.0599154984125395	2.16447766860616	P	0	0.134186959601123	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0978735301669366	0.0639254507613896	1.53105733320932	P	0	0.101270575959403	Anaerotruncus
ide(Mouse)	3.21304793867078e-07	NA	NA	B	NA	3.32456809087577e-07	Anaerotruncus
Batch	0.00824720582060931	0.0268651464553715	0.306985328902249	P	2.4	0.00853345416359565	Anaerotruncus
units!R	0.721653174073849	0.0555356027406378	12.994424089428	P	0	0.74670069074589	Anaerotruncus
Cohort	0.0499079441542837	0.0422778832082288	1.18047405326504	P	0.5	0.0497864191326331	AnaerovoracaceaeNOV
Quarter.Date	0.00134122945415289	0.018341520518141	0.0731253143830868	P	40.3	0.00133796358253233	AnaerovoracaceaeNOV
Cage	0.0263887294845858	0.043298715660744	0.609457557386873	P	0.2	0.0263244733631147	AnaerovoracaceaeNOV
vm(Mouse, kinship.mat.x2)	0.00854061795706818	0.135862992804278	0.0628619889845326	P	1.5	0.00851982169307193	AnaerovoracaceaeNOV
ide(Mouse)	0.0554846081319934	0.113830667799586	0.487431104504115	P	0.3	0.0553495040254473	AnaerovoracaceaeNOV
Batch	0.101731124680988	0.0438682581882392	2.31901445105157	P	0.6	0.101483411068679	AnaerovoracaceaeNOV
units!R	0.759046673276654	0.0590406399025092	12.8563422505249	P	0	0.757198407134522	AnaerovoracaceaeNOV
Cohort	7.005972950696e-08	NA	NA	B	NA	7.66513206087802e-08	Angelakisella
Quarter.Date	7.005972950696e-08	NA	NA	B	NA	7.66513206087802e-08	Angelakisella
Cage	0.0819591298062051	0.0434097307522969	1.88803589393073	P	0	0.089670279628584	Angelakisella
vm(Mouse, kinship.mat.x2)	0.0572140816161356	0.0527843375774832	1.08392156162138	P	0	0.0625970860030177	Angelakisella
ide(Mouse)	7.005972950696e-08	NA	NA	B	NA	7.66513206087802e-08	Angelakisella
Batch	0.0824936602255863	0.0348662846029944	2.36600088494951	P	0	0.0902551015061372	Angelakisella
units!R	0.692338429761354	0.0536175500976385	12.9125338345485	P	0	0.757477302908299	Angelakisella
Cohort	0.00718310477229775	0.0223893003690312	0.320827567360407	P	0	0.00794794188959725	ASF356
Quarter.Date	0.0178189540192984	0.018303321033235	0.973536659655527	P	0	0.0197162669302798	ASF356
Cage	3.95516340480329e-08	NA	NA	B	NA	4.37629825844549e-08	ASF356
vm(Mouse, kinship.mat.x2)	0.170012529266684	0.16105217159491	1.0556363666695	P	0	0.188114992882502	ASF356
ide(Mouse)	0.0455723363092526	0.126347499269052	0.360690449537178	P	0	0.0504247525604808	ASF356
Batch	0.0218092323663322	0.0246771856608866	0.883781184209343	P	0	0.0241314190728258	ASF356
units!R	0.641372964596192	0.049770855440093	12.8865167963244	P	0	0.709664582901332	ASF356
Cohort	0.00166690840352998	0.0251438769007847	0.066294804500811	P	6.8	0.00174536613176923	Bacteroides
Quarter.Date	0.0138872542702436	0.0189328176453117	0.733501718043669	P	1.3	0.0145408969174441	Bacteroides
Cage	0.090587157645919	0.0542365227668926	1.67022428844232	P	0.1	0.0948508967820937	Bacteroides
vm(Mouse, kinship.mat.x2)	0.0718468847649587	0.136718964884431	0.525507816897907	P	0.1	0.0752285602954127	Bacteroides
ide(Mouse)	0.0116629465554875	0.119358615785705	0.0977134870299352	P	6.3	0.0122118959095021	Bacteroides
Batch	0.0806851508453308	0.0357222526141814	2.25868037261737	P	0.1	0.0844828242055226	Bacteroides
units!R	0.684711680392647	0.0533998863065683	12.8223434121512	P	0	0.716939559758256	Bacteroides
Cohort	0.0432062973184495	0.0358889002234252	1.20389025713995	P	0	0.0665194899213963	Bifidobacterium
Quarter.Date	0.00698965637121157	0.0119329522684827	0.585744098689864	P	0.2	0.0107611252385724	Bifidobacterium
Cage	0.105054707979039	0.0387364885884878	2.71203487479402	P	0	0.161739978251339	Bifidobacterium
vm(Mouse, kinship.mat.x2)	4.06336413999227e-08	NA	NA	B	NA	6.25586839726164e-08	Bifidobacterium
ide(Mouse)	0.0279083214471803	0.0270476819702292	1.03181934325826	P	0	0.0429670539353548	Bifidobacterium
Batch	0.0648229779417097	0.0258138625476462	2.51116925342196	P	0	0.099800068404084	Bifidobacterium
units!R	0.401546390205713	0.0317771609264421	12.6363205050071	P	0	0.618212221690569	Bifidobacterium
Cohort	0.0209616911568622	0.0363016046938858	0.577431530468755	P	1.1	0.0199913568415143	BorkfalkiaceaeNOV
Quarter.Date	6.59649210072602e-08	NA	NA	B	NA	6.29113493281638e-08	BorkfalkiaceaeNOV
Cage	0.0132327256952873	0.0836358926526953	0.158218263422348	P	8.2	0.0126201716922903	BorkfalkiaceaeNOV
vm(Mouse, kinship.mat.x2)	0.278296708450105	0.238624033945848	1.16625598791637	P	1	0.265414119729723	BorkfalkiaceaeNOV
ide(Mouse)	0.0662357903218031	0.184206207362025	0.359574149375044	P	1.8	0.0631696798742977	BorkfalkiaceaeNOV
Batch	0.0179376562209769	0.023693953369853	0.757056281025685	P	0.3	0.0171073070264449	BorkfalkiaceaeNOV
units!R	0.651873053905543	0.0499772732568342	13.0433897534897	P	0	0.62169730192438	BorkfalkiaceaeNOV
Cohort	8.37463594592324e-08	NA	NA	B	NA	8.99778518044396e-08	ButyricicoccaceaeNOV
Quarter.Date	0.000261628985746584	0.0088382152034175	0.0296020157605372	P	2.1	0.000281096566576266	ButyricicoccaceaeNOV
Cage	0.062381509942336	0.0396836113677498	1.57197159714734	P	0	0.0670232627802891	ButyricicoccaceaeNOV
