age.and.feature	herit	herit.se	LRT.pval
M10_Acetatifactor	0.316030123327598	0.112161561290236	0.000810307831096924
M10_Acutalibacter	0.214588720550031	0.120336690739068	0.040384804152501
M10_Adlercreutzia	0.0737876290001765	0.0811922185953175	0.312082421985884
M10_AF3328	0.303592813876503	0.113589075853294	0.00156852425808096
M10_Akkermansia	0.151627069147738	0.0805329211473405	0.0283562005461823
M10_Alistipes	0.0109070478136076	0.0363421332578591	0.78866812778301
M10_AM0715	3.02711503574872e-07	1.67329457525795e-08	0.994156835543394
M10_Anaerotignum	0.151726420611777	0.0909005094727037	0.0414035809204839
M10_Anaerotruncus	0.253122440901953	0.106126534765504	0.00394381717549497
M10_AnaerovoracaceaeNOV	0.128162547767835	0.103466653822752	0.170746896076346
M10_Angelakisella	0.26894981312365	0.114124871828807	0.00726253985507019
M10_ASF356	0.00918818762613116	0.103581878122476	0.935087899237055
M10_Bacteroides	0.106770704784919	0.108028665617166	0.296648860869827
M10_Bifidobacterium	2.07139644107882e-07	2.21575124767621e-08	1
M10_BorkfalkiaceaeNOV	0.0366392894666974	0.0911391594984211	0.690169999205542
M10_ButyricicoccaceaeNOV	0.0846056484791711	0.0971197314438092	0.323237333253083
M10_CAG115	0.0648115505353579	0.0785715632613019	0.402992901333074
M10_CAG145	0.12821898520754	0.114412754707261	0.242951170881841
M10_CAG273	0.143496128007445	0.100684607681784	0.119945934702851
M10_CAG274NOV	0.0467069278081895	0.0938294965325456	0.608026327858473
M10_CAG303	0.0408637314333352	0.102690533513468	0.704680235462812
M10_CAG41	0.00191277937776039	0.0908735332085302	0.985149569569207
M10_CAG475	0.0972773054918177	0.0951401977115567	0.232063146001218
M10_CAG485	0.203827890765292	0.106682611252908	0.0257844035413221
M10_CAG510	0.0639947163565404	0.0364274932109098	0.0389203111428332
M10_CAG552NOV	0.275619575336005	0.122686091098325	0.0135828507675134
M10_CAG56	0.123713139949181	0.10138118799936	0.171516791652555
M10_CAG582	0.183604312990811	0.113927130288359	0.0619694341201042
M10_CAG776	0.251522845610861	0.115792346536419	0.0139735815389179
M10_CAG81	0.0979501509198764	0.0874076105830912	0.202831358172723
M10_CAG873	0.318754422406359	0.108321109549135	9.04206938341368e-05
M10_CAG95	0.11117275383135	0.102164869406681	0.212431929703411
M10_Chao1	0.0272795565701452	0.0874195290882019	0.731198585311915
M10_Clostridium	9.930933361777e-08	6.33047031290864e-09	1
M10_ClostridiumQ	0.253746075068416	0.116189860861772	0.00878397634710093
M10_COE1	0.242856710476441	0.115265109432887	0.0157765375906465
M10_D1663	0.0138857931352831	0.0612220504220886	0.79590818832751
M10_Desulfovibrio	0.117553856157057	0.0617786312601215	0.0467698348798581
M10_Dorea	0.270547532500713	0.109986556038348	0.00415619953264401
M10_Dubosiella	0.0884847169684611	0.060093402852473	0.0759585102971621
M10_Duncaniella	0.310451989652375	0.118051393922534	0.00181853084942563
M10_Emergencia	0.157025546281905	0.0908556114664005	0.0508923857576628
M10_EnterococcusD	0.0125728360720539	0.0985433497235721	0.901273442670154
M10_ErysipelatoclostridiaceaeNOV	0.297439403501888	0.107845444598058	0.000500371357740392
M10_Erysipelatoclostridium	3.02234060600954e-07	0.0874853385934132	1
M10_ErysipelotrichaceaeNOV	0.173278764455564	0.113918132473633	0.0993614236122276
M10_Escherichia	0.00532222453578991	0.0893513208090504	0.951366236810055
M10_EubacteriumF	0.18716073155655	0.0986813690590642	0.0301568949176468
M10_EubacteriumG	0.147418978883388	0.101547029541742	0.0931545557855012
M10_EubacteriumJ	3.68898233390548e-07	2.08043339047258e-08	0.995167449350384
M10_Evtepia	0.282779021527	0.121589760496939	0.0118430828593757
M10_Flavonifractor	0.149721702649687	0.110928597997443	0.125684245330034
M10_HungatellaA	0.238863305923621	0.114858570196224	0.012949838553688
M10_Ileibacterium	0.204847969581027	0.103293704792704	0.032313512822693
M10_Kineothrix	0.219969519342286	0.104143463409754	0.0180484126022566
M10_Lachnospira	0.00614039735883018	0.0720287795092492	0.926273832140004
M10_LachnospiraceaeNOV	0.147359982430936	0.0962172999163438	0.0898959525562701
M10_Lactobacillus	0.257331122394208	0.101572053176736	0.0045173657790879
M10_Lawsonibacter	0.206793857240035	0.112524602487461	0.0425355117356364
M10_Ligilactobacillus	0.0107634979993233	0.0170870931261747	0.531333160992104
M10_Limosilactobacillus	0.173462830195121	0.092207624501563	0.0361753872943738
M10_Mailhella	0.157522278999516	0.0798901492066366	0.00867821655463508
M10_MarseilleP3106	3.44740602123288e-08	0.0798692624879946	0.998802724646621
M10_MuribaculaceaeNOV	0.10780041120574	0.0598528933402575	0.0430751254120924
M10_Muribaculum	0.172139952605029	0.0885713725224077	0.0205490579101567
M10_Oscillibacter	0.131781976105875	0.106798895881594	0.175065362917209
M10_OscillospiraceaeNOV	0.142592025390817	0.104677455896141	0.10271330169704
M10_Paramuribaculum	0.271395179975816	0.103955393604892	0.0013250003095997
M10_Parvibacter	0.337860124837725	0.0983563728834635	2.41765646163961e-05
M10_PCoA1	0.368781588604296	0.112803120340613	7.82898067795967e-05
M10_PCoA2	0.251276719264197	0.109248156089805	0.0111800909378403
M10_PCoA3	0.0280752460653024	0.0715812250092395	0.692289433692774
M10_Prevotella	0.3323036904917	0.108884372265094	9.02427995572719e-05
M10_Romboutsia	0.0710255075403884	0.0634475283107496	0.206945086863225
M10_Roseburia	4.53495091089189e-07	3.30852867270099e-08	0.996479987522262
M10_RuminiclostridiumE	0.051634696726665	0.0776877278658012	0.464924880500423
M10_Schaedlerella	0.248059540820496	0.1141777016089	0.0103647018788889
M10_Shannon	6.12962906183324e-08	3.35900951215989e-09	0.993266471689203
M10_Simpson	0.0960401180324075	0.11755287793599	0.446526794074815
M10_Staphylococcus	0.0514224277686596	0.0911202099385682	0.584500745290061
M10_TF0111	0.110455670575501	0.0945585942420463	0.163834328068656
M10_Turicibacter	0.119084984292585	0.0957526471980101	0.12405517639283
M10_UBA11940	0.154736173999879	0.103034923049907	0.112628281246073
M10_UBA11957	0.163006130564572	0.103101431394792	0.0669833093067579
M10_UBA1394	0.322271322066537	0.116795994115653	0.000791904210121208
M10_UBA1405	0.068318672927877	0.0646603605795067	0.271436216742514
M10_UBA2882	0.186221217358754	0.108813242735359	0.0488275110787711
M10_UBA3282	0.164423358780808	0.103151954276536	0.0507958600786927
M10_UBA3700	0.211083405649776	0.112430635861635	0.0220965221280204
M10_UBA3700NOV	3.82198586724488e-07	1.99544251257973e-08	1
M10_UBA3818	8.27919008574699e-08	4.77069469602146e-09	0.995882129992909
M10_UBA7160	0.0982946308113001	0.0887790211491711	0.216318529515802
M10_UBA7173	0.276512490842236	0.110116638146571	0.00217106159044844
M10_UBA7182	0.113645602737039	0.099008874812838	0.200456386534321
M10_UBA946	0.100315445180137	0.100786146105423	0.275968340430339
M10_UBA9475	0.332490283855777	0.107956757701004	0.000305831887539298
M10_UBA9502	0.224849518077034	0.114726089582407	0.0421209793403546
M10_UMGS1004	0.0393634559248359	0.0946903999822855	0.673596642554949
M10_UMGS1217	0.0845636199938573	0.0988684576872105	0.341056156287534
M10_UMGS1370	0.0926831878458932	0.0936588452746255	0.267201891000347
M10_UMGS1815	0.197627969070585	0.0975718085572327	0.01823971162361
M10_UMGS1872	0.296252401654638	0.111423983331966	0.000613070074241051
M10_UMGS268	3.81215486886623e-07	0.0980221979331842	1
M10_uniq	4.6804867163624e-07	2.53843101053995e-08	1
M10_X142	0.159741710647004	0.112082216401201	0.115255902446599
M10_X1XD4269	0.117120208232623	0.0956439792825767	0.164260932588998
M10_X1XD876	0.127147213945006	0.104614624170545	0.17266882472862
M16_Acetatifactor	0.0884727492410799	0.0844696595672794	0.267870581691908
M16_Acutalibacter	0.0245228070754531	0.0776339789078969	0.746332501967266
M16_Adlercreutzia	0.212121615278697	0.084076423538947	0.00321298722123375
M16_AF3328	0.17831572938448	0.0861252890207978	0.0158299049483991
M16_Akkermansia	0.190555810935976	0.0882148864281809	0.0159353488092018
M16_Alistipes	0.0773566445671908	0.0416312052495973	0.0302892629069149
M16_AM0715	0.102757006546278	0.0878829751934887	0.204987115306937
M16_Anaerotignum	2.70496907482349e-07	0.07289465718774	1
M16_Anaerotruncus	3.21616673818085e-07	1.54611553296863e-08	0.999139429370064
M16_AnaerovoracaceaeNOV	0.0652095307514574	0.0843775795802909	0.41771359919319
M16_Angelakisella	1.69040821700507e-07	0.0665434388280051	1
M16_ASF356	0.144452398207597	0.0832325837055584	0.0375336400389761
M16_Bacteroides	0.00757886968519569	0.0755490847145775	0.926161668231613
M16_Bifidobacterium	0.195988166556845	0.0655201663613701	0.000345467558524049
M16_BorkfalkiaceaeNOV	0.0795014455433429	0.0782500577320584	0.257253644532864
M16_ButyricicoccaceaeNOV	0.230695085124173	0.0991674751810525	0.00641269819418322
M16_CAG115	0.0328186207496299	0.0489191115242232	0.536360044375472
M16_CAG145	0.0733638824776214	0.0844551396768978	0.371844142468633
M16_CAG273	0.02577223127584	0.0753681303126721	0.719829492294511
M16_CAG274NOV	8.72220872300273e-08	4.23835223828472e-09	0.992536799456221
M16_CAG303	0.0138177348580476	0.0631828707506875	0.81476556193024
M16_CAG41	3.63037609034513e-08	0.0665768995058824	0.986930657535614
M16_CAG475	0.0757143926613398	0.0828019776304823	0.318536317952039
M16_CAG485	0.0962954075532843	0.0811712896598776	0.219866788368697
M16_CAG510	0.0376723851814974	0.0297230151787099	0.15930942427836
M16_CAG552NOV	0.186677773945742	0.0966648462423601	0.0260159405573696
M16_CAG56	0.125676383366846	0.0750888311619722	0.051726929575062
M16_CAG582	0.117957071534587	0.0897833270140214	0.147619429564867
M16_CAG776	1.23668291178786e-07	6.67482696053919e-09	0.991491178585319
M16_CAG81	4.52609369390676e-07	2.21082320127213e-08	1
M16_CAG873	0.152644211077524	0.0916834533220843	0.0687984358872078
M16_CAG95	0.0560050756961029	0.0806939145270536	0.45111309366757
M16_Chao1	2.7484933053837e-07	1.34885036679005e-08	1
M16_Clostridium	2.85277717947472e-08	1.68370266498539e-09	1
M16_ClostridiumQ	0.139546764531841	0.0863561935046336	0.0642618609327851
M16_COE1	0.0975735570776792	0.0843551458521195	0.197469941253851
M16_D1663	0.0940877093069868	0.0758821058511045	0.171908368312523
M16_Desulfovibrio	0.262428256368391	0.0792509382818424	1.58457412862134e-05
M16_Dorea	0.0529798678786427	0.0767819629970978	0.472611268472835
M16_Dubosiella	0.00654336730674697	0.056580437407952	0.911030624193891
M16_Duncaniella	0.106893694110858	0.0890638748918692	0.200572808687215
M16_Emergencia	1.35259433425936e-07	0.0800135796177427	1
M16_EnterococcusD	0.140240838106385	0.0822359987730709	0.0404761893263311
M16_ErysipelatoclostridiaceaeNOV	0.323774635593759	0.0995629925272083	0.000575865485021643
M16_Erysipelatoclostridium	0.155972475242306	0.0900594028758369	0.0646245700767165
M16_ErysipelotrichaceaeNOV	0.0676686789202078	0.072444903411078	0.281189549319789
M16_Escherichia	0.111866266587446	0.0789568993191051	0.0971284853561495
M16_EubacteriumF	4.11163267052063e-08	2.44844036429545e-09	0.999746603833859
M16_EubacteriumG	8.02993142632958e-08	0.0698271712825655	0.995043051935938
M16_EubacteriumJ	0.0875988429680818	0.0814634615322691	0.217551459574205
M16_Evtepia	0.0129288498638118	0.0758461571349335	0.863852730744479
M16_Flavonifractor	8.90978066623311e-08	4.54697537827347e-09	1
M16_HungatellaA	0.221831980344089	0.0913540845962221	0.00318542961580592
M16_Ileibacterium	0.259271405069229	0.0893392963335715	9.86612772820861e-05
M16_Kineothrix	0.203419212883719	0.0855723874260339	0.00429689609051298
M16_Lachnospira	0.143241017002659	0.0804641627686985	0.0443352800046104
M16_LachnospiraceaeNOV	0.0476126822741364	0.0787643565022606	0.523530957716416
M16_Lactobacillus	0.263160017699213	0.0895141282438008	0.000103479145189489
M16_Lawsonibacter	0.0436645066448269	0.0705994682247778	0.483971465674119
M16_Ligilactobacillus	0.0518166016704574	0.0495781697962502	0.272550423021737
M16_Limosilactobacillus	0.154645553655339	0.0797317634000679	0.0173638999823905
M16_Mailhella	0.0806477584355839	0.0766216562983945	0.24961605372967
M16_MarseilleP3106	0.0968413167343688	0.0809291255364016	0.162341915063685
M16_MuribaculaceaeNOV	0.0054487086760757	0.0487957620218897	0.910564625189319
M16_Muribaculum	0.182124770876118	0.0865690068519362	0.0186389445093857
M16_Oscillibacter	0.0790639606360635	0.0770875734203339	0.228039853975315
M16_OscillospiraceaeNOV	0.117455675706353	0.0802269961029337	0.0853187095329538
M16_Paramuribaculum	0.047133223813941	0.0848379128935424	0.587925906040874
M16_Parvibacter	0.186861989306892	0.0912122420898928	0.0179772610749501
M16_PCoA1	0.103310845043418	0.0882538704583411	0.198458174490539
M16_PCoA2	0.118120908542962	0.0840566512643956	0.112807671568904
M16_PCoA3	0.0891742159780226	0.0719491534849295	0.194558066644128
M16_Prevotella	0.118421018104322	0.0851521792690401	0.133867035881871
M16_Romboutsia	3.20291588511131e-07	2.32742657322639e-08	1
M16_Roseburia	0.0809665211934862	0.0663402561485441	0.18133058866974
M16_RuminiclostridiumE	0.0494052524314156	0.0613324886551723	0.366351350555767
M16_Schaedlerella	0.0999795943589707	0.0838236300284787	0.195832717938938
M16_Shannon	0.0970565299409756	0.0853070319873677	0.2195006159729
M16_Simpson	0.121699829580244	0.0924195817652919	0.177641068790807
M16_Staphylococcus	0.0165063992808128	0.0539072003000748	0.768030848427303
M16_TF0111	0.155698850381829	0.0898397049002963	0.0562859757436787
M16_Turicibacter	0.114346672091874	0.0681986336415091	0.0561064049763478
M16_UBA11940	0.0487264143727434	0.0718596083856129	0.453037289832286
M16_UBA11957	0.202794317913792	0.0871593662363023	0.00471343208731423
M16_UBA1394	0.0652518930252709	0.0844466402992018	0.420769906903299
M16_UBA1405	0.0347553976498093	0.050112022665502	0.46776318200836
M16_UBA2882	0.209306047923693	0.0956652153520236	0.00920760431493317
M16_UBA3282	5.33071477770862e-08	2.82137536356849e-09	1
M16_UBA3700	0.133702782959242	0.0850737293818067	0.0583817138568775
M16_UBA3700NOV	0.127768276993005	0.0882589926468745	0.120049731836389
M16_UBA3818	0.0777414071293804	0.0818353689540233	0.285413924448097
M16_UBA7160	0.0786013857265331	0.0806609199800173	0.293967692721181
M16_UBA7173	0.040067525535198	0.0774509394720478	0.585070609026616
M16_UBA7182	0.120346879359137	0.0858885563398221	0.125919948118492
M16_UBA946	0.218022053214062	0.0886904285830981	0.0036753833067753
M16_UBA9475	0.0681570770746769	0.0722978817147396	0.294397829877813
M16_UBA9502	0.0386766345349316	0.079250379482005	0.622597460873269
M16_UMGS1004	0.193966135254374	0.0904124629419951	0.0104712055458571
M16_UMGS1217	2.17319558034659e-07	1.08556565383349e-08	1
M16_UMGS1370	0.0677832681293964	0.0812114820305261	0.364411413378016
M16_UMGS1815	0.0754509034032534	0.0864992567069312	0.373830167629071
M16_UMGS1872	4.4891130621576e-08	0.0727905207476719	1
M16_UMGS268	0.153400659772941	0.0860104644065989	0.0365569369303996
M16_uniq	0.084750953789508	0.081481482455847	0.228059587483823
M16_X142	0.116359582980289	0.0871490216661117	0.160227115842379
M16_X1XD4269	0.0156569064994586	0.072786400850613	0.833549098694325
M16_X1XD876	0.0633691247435815	0.0823834326887397	0.418053478875193
M22_Acetatifactor	0.187873004011626	0.11697603262611	0.0803585444995697
M22_Acutalibacter	3.79268802198676e-08	0.0786666487001537	0.998374712549313
M22_Adlercreutzia	0.245042871628264	0.100130683729461	0.00396968554098864
M22_AF3328	0.0812958514697776	0.105277783726791	0.417092889190133
M22_Akkermansia	0.268985820160436	0.106500220758796	0.00422343317625373
M22_Alistipes	0.183780906251393	0.104297198360367	0.0450621665377482
M22_AM0715	0.0812846189241145	0.105932159653097	0.409055725951249
M22_Anaerotignum	0.0307366359858489	0.0958172624829046	0.754221061397885
M22_Anaerotruncus	0.0667523849437201	0.0875164917913438	0.372658750717422
M22_AnaerovoracaceaeNOV	1.3628081917188e-07	0.0813202040525628	1
M22_Angelakisella	0.19824127543302	0.103022346932472	0.0233842293799117
M22_ASF356	0.374866681171123	0.122739185843633	0.000487224851706825
M22_Bacteroides	0.260326244218961	0.105928835821746	0.0028475183031953
M22_Bifidobacterium	0.206542684606493	0.0757234204504003	0.000693519593860992
M22_BorkfalkiaceaeNOV	0.0702566660037145	0.108769679693227	0.523707926744392
M22_ButyricicoccaceaeNOV	6.36353301250634e-07	3.45581735639722e-08	0.999258586512425
M22_CAG115	0.171901183797677	0.0801612070589385	0.0238508272525708
M22_CAG145	0.259146523177915	0.113412019818673	0.00785958412877374
M22_CAG273	0.0183097227733083	0.103434636536763	0.867350213427325
M22_CAG274NOV	0.0616228811771813	0.0919909572305649	0.477320865306404
M22_CAG303	2.04174901653505e-07	1.08953628692304e-08	0.994433398186882
M22_CAG41	0.127605120130572	0.076120101183782	0.0474847529107286
M22_CAG475	0.0428906530541509	0.092685388869438	0.610774475619913
M22_CAG485	0.0733234946910983	0.100026160931695	0.436684487256957
M22_CAG510	1.6443917476247e-07	0.0328731602624249	1
M22_CAG552NOV	0.146725715421482	0.104284624163676	0.123080349183681
M22_CAG56	0.140744966825269	0.105043018732922	0.168505768136874
M22_CAG582	0.0436235462644812	0.101821791761926	0.666740296192748
M22_CAG776	0.146755057628608	0.114464506864411	0.196119866662319
M22_CAG81	0.0415577704460223	0.102500579403688	0.70757237676639
M22_CAG873	0.176391376303354	0.105864626479617	0.0427684175138341
M22_CAG95	0.283288966251848	0.113629752202122	0.00276499325538504
M22_Chao1	0.0471919135288277	0.0933566708911517	0.566300151722191
M22_Clostridium	0.172082057946825	0.0937896382260376	0.0412277149207334
M22_ClostridiumQ	0.188666065095331	0.115119319448324	0.0679154975933136
M22_COE1	0.148435172289431	0.103724880120862	0.0927616466025092
M22_D1663	0.213288950512919	0.101977038263303	0.0205163487376441
M22_Desulfovibrio	0.266192039079122	0.111566770987147	0.00398247589514378
M22_Dorea	0.0929104648503096	0.0962323254118614	0.296413903580268
M22_Dubosiella	0.195868596804708	0.0813648305074345	0.00389895264444373
M22_Duncaniella	0.19364629550545	0.100711488236484	0.0166145004647255
M22_Emergencia	0.0371518660658398	0.0841505259635398	0.64428879522433
M22_EnterococcusD	0.237123024306556	0.1093214470436	0.0160919663381308
M22_ErysipelatoclostridiaceaeNOV	0.208990726857989	0.108780545573952	0.0242420056699176
M22_Erysipelatoclostridium	0.0344162293043615	0.102928780669533	0.744840542876782
M22_ErysipelotrichaceaeNOV	0.0265201822526473	0.0922547543952457	0.760928204671381
M22_Escherichia	0.251548231955505	0.106925459107511	0.00777466614673505
M22_EubacteriumF	0.205014146256057	0.11304772038311	0.028708170930156
M22_EubacteriumG	0.0209082593481872	0.091353920824853	0.808843606956863
M22_EubacteriumJ	0.173987056027314	0.103015795331704	0.0333321684184997
M22_Evtepia	5.932988712066e-08	0.0810214528878625	1
M22_Flavonifractor	0.155151849992345	0.103500708487702	0.0956502300796496
M22_HungatellaA	0.210584701874052	0.117981607088453	0.0423765092751334
M22_Ileibacterium	0.25727986471223	0.102426143593632	0.00107323527478875
M22_Kineothrix	0.220386542401148	0.108078243683735	0.01557808445334
M22_Lachnospira	0.0763288217007479	0.0900541618094759	0.342742096305475
M22_LachnospiraceaeNOV	0.119878986274245	0.104320575933612	0.182995411788926
