feature	herit	herit.se	LRT.pval
Acetatifactor	0.0855111776375063	0.0317274308681037	0.00352370137051172
Acutalibacter	0.0487965520171417	0.0232740572210698	0.0194528049789057
Adlercreutzia	0.13790525010681	0.0314985928993259	2.25223306449251e-07
AF3328	0.0688410953647904	0.0274805754645785	0.00716161075410493
Akkermansia	0.112179905974525	0.0285705571537873	1.63833436339633e-06
Alistipes	0.126098354941025	0.0304029184881002	2.19291525282994e-06
AM0715	0.0878369872690054	0.0323906198120657	0.00371065401191395
Anaerotignum	0.0890266040011141	0.0324229680354977	0.00165881402956847
Anaerotruncus	0.0799615372670542	0.0310576960702228	0.00358716784936408
AnaerovoracaceaeNOV	0.0376889183961366	0.0238992286108203	0.0843680790797361
Angelakisella	0.0566932267456692	0.0261879479823897	0.0181712724530809
ASF356	0.169259865652176	0.0358700902465129	5.75328659158103e-08
Bacteroides	0.0988705259543446	0.0271121349128715	1.14432324459512e-05
Bifidobacterium	0.101175156916637	0.0277448755559479	7.45106404809182e-06
BorkfalkiaceaeNOV	0.085468816605138	0.033526287774445	0.00425728845606166
ButyricicoccaceaeNOV	0.0924327616691627	0.0283585622788753	0.000160305024260787
CAG115	0.0791518832173965	0.0239249697042544	0.000242082999675985
CAG145	0.12217091621052	0.0342292340901677	2.5999497649476e-05
CAG273	0.0308486461308275	0.0256932141512439	0.219065684096647
CAG274NOV	0.00824629364934379	0.0238696012681339	0.721724052202725
CAG303	0.0463681269257944	0.0258515841794063	0.0460297878443345
CAG41	2.26503265605615e-07	8.48914350480242e-09	1
CAG475	0.144053331360545	0.0378791226452413	9.04893467346124e-06
CAG485	0.0881867631568302	0.0296445729875104	0.000498790899095103
CAG510	0.0329966325271694	0.0109033593373781	0.00388935869107809
CAG552NOV	0.155044882585928	0.0399186666092703	1.79769128186846e-05
CAG56	0.0757961841036942	0.0290782229262006	0.00239125668390028
CAG582	0.0885249252816454	0.0318808300914475	0.00105687800786802
CAG776	0.0663474739832494	0.0316633355775319	0.024183081028347
CAG81	0.0422533689444879	0.0285105145315706	0.142381967023938
CAG873	0.131329522709041	0.0307054587843414	6.57306507001465e-08
CAG95	0.0545048629529204	0.0273447645767023	0.0237492802379431
Chao1	0.00152010984718882	0.0140562876330403	0.902487632197083
Clostridium	0.0352928624527235	0.0201682568288709	0.0475926314324744
ClostridiumQ	0.118390122530486	0.0323023959494818	2.0974059203982e-05
COE1	0.120319494831436	0.0304337113635519	2.5685006085352e-06
D1663	0.0254219407284738	0.018372215000566	0.128471171165989
Desulfovibrio	0.102258867745013	0.0300557864382154	4.40907136400881e-05
Dorea	0.116060077684394	0.0305944679378097	1.26056662216323e-05
Dubosiella	0.0167514455937223	0.0198892460972092	0.345889182130626
Duncaniella	0.141660577619874	0.031379051055678	3.36504101250412e-08
Emergencia	0.0413442510873032	0.0227294396981786	0.0487573890515459
EnterococcusD	0.156913570576051	0.0330187169322271	1.6868884400445e-08
ErysipelatoclostridiaceaeNOV	0.17890359760906	0.0346215806333446	5.7307114609273e-10
Erysipelatoclostridium	0.12810056243849	0.0324411887816416	1.5199870780247e-05
ErysipelotrichaceaeNOV	0.0259259426170245	0.0191128189035469	0.10033278903638
Escherichia	0.116666114981964	0.0307343337345764	4.87498173185053e-06
EubacteriumF	0.0636255967240827	0.0279083398861923	0.0109702399599305
EubacteriumG	0.0622511358505229	0.0275533730945634	0.0135437588728148
EubacteriumJ	0.0719542240063111	0.029019147874943	0.00601202242714338
Evtepia	0.0507281630704341	0.0228371878032986	0.0139367120918219
Flavonifractor	0.0658966424272693	0.0295280564313187	0.019047705095965
HungatellaA	0.107679780502342	0.0307043518157419	3.60654387254744e-05
Ileibacterium	0.157426277427434	0.0304524039572643	3.46543904683472e-11
Kineothrix	0.0905962538774488	0.0314994683763861	0.000863251651594954
Lachnospira	0.0792630257040369	0.0269001424132823	0.000295920248366666
LachnospiraceaeNOV	0.0349501050794757	0.0247752229232904	0.127209253891783
Lactobacillus	0.20280654950377	0.0359605149520647	5.51558798633778e-13
Lawsonibacter	0.0306811970017809	0.0239998351313431	0.183904863856907
Ligilactobacillus	0.00220201606023899	0.00692254625881309	0.721333340535987
Limosilactobacillus	0.117997360036094	0.0307020912584185	1.88750428953277e-06
Mailhella	0.108750586771463	0.0260731537904517	4.04821677291167e-08
MarseilleP3106	0.0380070697941777	0.0216783632328652	0.041054759135829
MuribaculaceaeNOV	0.0993705024513491	0.0325303181354868	0.000592891899895087
Muribaculum	0.13932170549267	0.0343731391912758	3.43410051728554e-06
Oscillibacter	0.0405665209367943	0.0235545285504095	0.0540612690136383
OscillospiraceaeNOV	0.0870795452741804	0.0291273948519951	0.000322247770556783
Paramuribaculum	0.123673758073885	0.0300083979304283	4.28339384406229e-07
Parvibacter	0.178908155815658	0.0349120344674023	1.17270315680429e-09
PCoA1	0.115963471331569	0.0304122841832239	3.02027869703014e-06
PCoA2	0.0919744276166126	0.0255177380085972	4.4490625371596e-06
PCoA3	0.12262807995818	0.0327247113777538	3.15678375144568e-05
Prevotella	0.143372997910944	0.0319417020703294	4.38677471015225e-08
Romboutsia	0.0630858066993478	0.0219565369803155	0.000363717976025524
Roseburia	0.00816981508507771	0.0184309190396519	0.637852783321076
RuminiclostridiumE	0.0454210723001979	0.0230115381982077	0.0194041781665443
Schaedlerella	0.0849700502114813	0.0292006851771814	0.00104839370840637
Shannon	0.0275042987919883	0.0231625606243422	0.190624492040885
Simpson	0.00785662647979438	0.0203261081129419	0.685057037945689
Staphylococcus	0.0110404165753618	0.0108473471156333	0.249702894414495
TF0111	0.132855572788977	0.0286687484347432	4.54189585941123e-09
Turicibacter	0.0751818337723599	0.0280421138813641	0.00255029257609585
UBA11940	0.100696192891286	0.0344493989944514	0.0008548510565759
UBA11957	0.141476168004254	0.0338010187651909	1.47520662907574e-07
UBA1394	0.131607338839541	0.0362781108505514	3.4834638008574e-05
UBA1405	0.0674715113354396	0.022322947105792	0.00050957682634567
UBA2882	0.153048044383506	0.0379122176713381	3.19135813209304e-06
UBA3282	0.05887605717948	0.0284016623369676	0.0152166939618988
UBA3700	0.0977505904071305	0.0370202540145986	0.00186612431209199
UBA3700NOV	0.022818192908061	0.028432506588301	0.403472215547856
UBA3818	0.0286194754731373	0.0305604317519418	0.345964415672981
UBA7160	0.0356946607046159	0.0226778185773965	0.0709462725125483
UBA7173	0.150690108925626	0.0352093312611238	3.33463526791533e-07
UBA7182	0.148557347997898	0.0339697525976586	4.99682776156085e-07
UBA946	0.105958280283976	0.0346804396058781	0.000797122259327709
UBA9475	0.111720531725696	0.0299411377128828	4.13258252696114e-06
UBA9502	0.0683669090232345	0.0299328579636188	0.0131382770615148
