fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	0.00610869962294113	0.164991346451648	0.0370243637276536	1	0.01641	0.89806863140249	0.01492	0.902782242044072	 
(Intercept)	Acutalibacter	NA	0.341233626442241	0.128420743268556	2.65715349216323	1	0.02962	0.863355281240538	0.01756	0.894577631492176	 
(Intercept)	Adlercreutzia	NA	-0.194648623937314	0.216209583832464	-0.900277501519745	1	0.07932	0.778221049065213	0.0521	0.819448593461757	 
(Intercept)	AF3328	NA	0.134682776005408	0.14800715476118	0.909974765900525	1	0.01592	0.899593810037724	0.01306	0.909015553305082	 
(Intercept)	Akkermansia	NA	-0.180435155665118	0.187656162898801	-0.961520010203039	1	0.005515	0.940801080832345	0.007161	0.932561358173131	 
(Intercept)	Alistipes	NA	-0.112682943729582	0.175199155201159	-0.64317058835245	1	0.004051	0.949250935482134	0.002755	0.958139781959462	 
(Intercept)	AM0715	NA	0.316538331632697	0.15755182911346	2.00910604093809	1	0.04494	0.832114394441307	0.01623	0.898626176908787	 
(Intercept)	Anaerotignum	NA	0.0811545172168232	0.166411325441697	0.487674243333011	1	0.00442	0.946993227666564	1.562e-06	0.99900280414828	 
(Intercept)	Anaerotruncus	NA	0.288674550837529	0.159257961257835	1.81262241810424	1	0.005829	0.93914232788917	0.003329	0.953989595489111	 
(Intercept)	AnaerovoracaceaeNOV	NA	0.0502692855572878	0.121213841460164	0.414715720182901	1	0.00647	0.935890249079958	0.001832	0.965859474015925	 
(Intercept)	Angelakisella	NA	0.233120336336927	0.137593588431477	1.69426743640037	1	0.02873	0.865403952380023	0.008085	0.928353467403324	 
(Intercept)	ASF356	NA	0.167620159254946	0.208057805757168	0.805642252377599	1	0.005097	0.94308476013911	0.0297	0.863172692499973	 
(Intercept)	Bacteroides	NA	-0.25639358309792	0.176376935754118	-1.45366842893422	1	5.977e-05	0.993831531332094	0.001351	0.970679595588521	 
(Intercept)	Bifidobacterium	NA	-0.131644758297506	0.148127833012398	-0.888723986710101	1	0.1917	0.661505472711888	0.07608	0.782681688281883	 
(Intercept)	BorkfalkiaceaeNOV	NA	-0.0732343600473216	0.162065580723391	-0.451881020759837	1	0.003869	0.950402538267384	0.01013	0.919829970143936	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.20067158267373	0.168707629885425	1.18946358745015	1	0.02717	0.869075233006585	0.01784	0.893745405271947	 
(Intercept)	CAG115	NA	0.128928376073324	0.187788335020044	0.686562219424131	1	0.01976	0.888209438356213	0.0108	0.917230416119373	 
(Intercept)	CAG145	NA	0.0340091957287032	0.194419474410919	0.174926898818903	1	0.009564	0.922094517610689	0.00275	0.958177750049732	 
(Intercept)	CAG273	NA	-0.0105541220019525	0.107148809204861	-0.098499666774399	1	0.009717	0.921475843774971	0.00171	0.96701516189272	 
(Intercept)	CAG274NOV	NA	0.385101041129847	0.0668916296553197	5.75708863895531	1	0.06763	0.794819276939227	0.0005829	0.980738287376928	 
