term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.00709176475702404	0.00857821076425497	0.82671840922528	P	0.1	0.00712178397449798	Acetatifactor
Cage	0.00220677951981438	0.00858944147311202	0.256917696770201	P	0.9	0.00221612074820986	Acetatifactor
Batch	0.0562477506299936	0.0128010482013066	4.39399569046638	P	0	0.0564858455917462	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.0851507372412314	0.0326001419793619	2.61197442928738	P	0.1	0.0855111776375063	Acetatifactor
ide(Mouse)	0.107227616980505	0.0293639434379312	3.65167632226102	P	0.1	0.107681508115312	Acetatifactor
units!R	0.737860224776421	0.0232206289257138	31.7760654604552	P	0	0.740983563932728	Acetatifactor
Cohort	0.0180216173531024	0.0129185091054632	1.39502300195625	P	0	0.019511389679934	Acutalibacter
Cage	0.0151885939461653	0.00817087621483769	1.85886966670527	P	0	0.0164441719834265	Acutalibacter
Batch	0.0461991603641513	0.0118069938043279	3.91286394570791	P	0	0.0500182532504798	Acutalibacter
vm(Mouse, kinship.mat.x2)	0.0450707408866973	0.0218340049041916	2.06424524884323	P	0	0.0487965520171417	Acutalibacter
ide(Mouse)	0.0163939709775691	0.0210987097350776	0.777012963513755	P	0.1	0.0177491925323681	Acutalibacter
units!R	0.782771932913485	0.0243901422952454	32.0937829487808	P	0	0.84748044053665	Acutalibacter
Cohort	0.0774594979213929	0.041735772363881	1.85594978921315	P	0	0.080755204547167	Adlercreutzia
Cage	0.0338581085117895	0.01142312432419	2.96399719996835	P	0	0.0352986857883388	Adlercreutzia
Batch	0.0652948722244159	0.0133057967787457	4.9072500737961	P	0	0.0680730046522488	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.13227718874464	0.031580626601109	4.18855491423324	P	0	0.13790525010681	Adlercreutzia
ide(Mouse)	0.0494413704240914	0.0234258945550318	2.11054354009596	P	0	0.0515449762628407	Adlercreutzia
units!R	0.600857888209402	0.018836729006098	31.8982073806385	P	0	0.626422878642595	Adlercreutzia
Cohort	8.04425740189312e-08	NA	NA	B	NA	8.17815604559155e-08	AF3328
Cage	0.0378438549376714	0.0118100103575943	3.20438795494674	P	0	0.0384737752143748	AF3328
Batch	0.0408708629752989	0.0107725347920464	3.79398755857116	P	0	0.0415511685455668	AF3328
vm(Mouse, kinship.mat.x2)	0.0677139795151205	0.0276976240187812	2.44475769723804	P	0	0.0688410953647904	AF3328
ide(Mouse)	0.0422555920917405	0.0247595910066428	1.70663530267538	P	0	0.0429589468188563	AF3328
units!R	0.794942911914833	0.024796429981803	32.0587646083813	P	0	0.808174932274851	AF3328
Cohort	0.0148481243200622	0.0134980105049084	1.10002317116755	P	0	0.0152074671052337	Akkermansia
