fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	0.0158967725746718	0.17499932337746	0.0908390516481234	1	0.02496	0.874466773647366	0.09396	0.759201937568468	 
(Intercept)	Acutalibacter	NA	0.326796139045857	0.139721832075294	2.33890533921536	1	0.09554	0.75724891678002	0.0002068	0.988526382693957	 
(Intercept)	Adlercreutzia	NA	-0.220629572938344	0.22069326916576	-0.99971138119592	1	0.1105	0.739575609467101	0.166	0.683691480283632	 
(Intercept)	AF3328	NA	0.124196473930468	0.155125808473424	0.800617738290434	1	0.005531	0.940715427682806	0.01281	0.90988684419326	 
(Intercept)	Akkermansia	NA	-0.225035559914362	0.194366413011178	-1.15779036320138	1	0.02709	0.869266387306397	0.06228	0.802927935278324	 
(Intercept)	Alistipes	NA	-0.0270399775999272	0.227817154334566	-0.118691578247953	1	0.06855	0.793459795556851	3.753e-05	0.995112051435786	 
(Intercept)	AM0715	NA	0.320210542874134	0.157178732124948	2.03723836262774	1	0.01997	0.887620902424416	0.03552	0.850510187210492	 
(Intercept)	Anaerotignum	NA	0.0768109060593167	0.175478914275351	0.437721571144381	1	0.03688	0.847709571068749	0.007937	0.929010509969396	 
(Intercept)	Anaerotruncus	NA	0.292764289464592	0.159366944313669	1.83704525882337	1	0.01286	0.909711901722235	0.01839	0.892129809796833	 
(Intercept)	AnaerovoracaceaeNOV	NA	0.0498987960794788	0.130883469134145	0.381245977124403	1	0.001192	0.972458225623605	0.001203	0.972331487841662	 
(Intercept)	Angelakisella	NA	0.236335916156357	0.139813641711996	1.6903637818346	1	0.002671	0.958782304502749	0.02854	0.865845520459252	 
(Intercept)	ASF356	NA	0.170088594794302	0.209294587558571	0.812675553526686	1	0.08198	0.774631894326244	0.02336	0.878524622100747	 
(Intercept)	Bacteroides	NA	-0.187055819374727	0.201991627707751	-0.926057290084152	1	0.5904	0.442264482876072	0.04697	0.8284221704953	 
(Intercept)	Bifidobacterium	NA	-0.114587775401787	0.160896504554787	-0.712183124915364	1	0.2353	0.627621504133874	0.01923	0.889709127312817	 
(Intercept)	BorkfalkiaceaeNOV	NA	-0.0818658203168699	0.163916050351352	-0.49943748730763	1	0.01109	0.916130567022111	5.409e-05	0.994131938766815	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.19399827829488	0.173641348590307	1.11723549644044	1	0.01287	0.909676954587082	0.01319	0.908565820002882	 
(Intercept)	CAG115	NA	0.191633115855012	0.222304818353437	0.862028620316901	1	0.7207	0.395914392430529	0.372	0.541916110060683	 
(Intercept)	CAG145	NA	0.0387981383729763	0.200172056687231	0.193823948332601	1	0.002954	0.956655746125967	0.00383	0.950652825098175	 
(Intercept)	CAG273	NA	-0.00601717993566784	0.111303021747586	-0.0540612450694616	1	0.0005526	0.981245499374128	0.000379	0.984467826460672	 
(Intercept)	CAG274NOV	NA	0.390238260766675	0.0725010638442395	5.38251771870629	1	0.006282	0.936826562138828	0.1251	0.723567632259917	 
(Intercept)	CAG303	NA	0.141253615861159	0.138968481016827	1.01644354768515	1	0.4241	0.514898281494034	0.1173	0.731981509352312	 
(Intercept)	CAG41	NA	0.282028680989926	0.0827769658389382	3.40709131014392	1	0.4862	0.485627311979476	1.072	0.300494129802672	 
(Intercept)	CAG475	NA	-0.00267113918489991	0.205316871323148	-0.0130098377580273	1	0.0004112	0.983821552213046	0.007648	0.930311566449406	 
(Intercept)	CAG485	NA	-0.3640154084675	0.165747249488976	-2.19620783807765	1	0.0002911	0.986387431001509	0.01651	0.897760226400462	 
(Intercept)	CAG510	NA	-0.0530404822711544	0.184383693336941	-0.287663628552167	1	0.7322	0.392171011052438	0.1655	0.68414246443986	 
(Intercept)	CAG552NOV	NA	0.0504122453607188	0.220113040929387	0.229028889646257	1	3.779e-06	0.998448941300501	0.03377	0.854196907726443	 
(Intercept)	CAG56	NA	0.0553106975328335	0.161571091158166	0.342330407849314	1	0.2037	0.651750743238256	0.1228	0.72601728384579	 
(Intercept)	CAG582	NA	-0.0517669607450845	0.177944314214446	-0.290916632956861	1	2.852e-05	0.995738987995526	0.09628	0.756340292975966	 
(Intercept)	CAG776	NA	-0.129649919925422	0.156377690114416	-0.829081947882473	1	0.0006735	0.979295720866751	0.01167	0.913973660497643	 
(Intercept)	CAG81	NA	0.213588312720068	0.12984954258715	1.64489075944735	1	0.007195	0.932401833126982	0.01424	0.905012751282051	 
(Intercept)	CAG873	NA	-0.29921079255556	0.199728452649837	-1.49808797187316	1	0.0002818	0.986606620987493	0.0007026	0.978853267057514	 
(Intercept)	CAG95	NA	0.152389924277856	0.133701059218171	1.139780979814	1	0.004254	0.94799669125438	0.0002193	0.988184733982721	 
(Intercept)	Chao1	NA	-0.063707867505886	0.0719048542283184	-0.886002317779483	1	0.004349	0.947420062510046	0.002284	0.961882639899687	 
