feature	herit	herit.se	LRT.pval
Acetatifactor	0.084089253334413	0.0310237432426111	0.00321636895089628
Acutalibacter	0.0500315086061057	0.0230089992625539	0.0149873996742375
Adlercreutzia	0.134718672455003	0.0309473239428696	2.18320847733544e-07
AF3328	0.0729861884966958	0.0274965633991941	0.00393192581248025
Akkermansia	0.115950137594637	0.0288267732263822	7.92887932088426e-07
Alistipes	0.0905722007366138	0.0277650533162998	6.59838744143659e-06
AM0715	0.0868785752112792	0.03232481237989	0.00404210860698762
Anaerotignum	0.0854552417307317	0.0314133660033921	0.00176353148894781
Anaerotruncus	0.0801154955175082	0.0310756666562154	0.00357580190584861
AnaerovoracaceaeNOV	0.0366822184143874	0.0232424108731591	0.083454739379753
Angelakisella	0.056386947764445	0.0260180542610515	0.0179075909232012
ASF356	0.170138108306478	0.0358354649094398	4.32452771370606e-08
Bacteroides	0.0848443910785866	0.0240980783092167	1.14689064414364e-05
Bifidobacterium	0.0970772774788925	0.0265301625073728	5.84393164315689e-06
BorkfalkiaceaeNOV	0.0841784387440468	0.0333522237483515	0.00483486312315362
ButyricicoccaceaeNOV	0.0938707309852919	0.0282319266271363	0.000109531738497037
CAG115	0.0721788521533956	0.0222305234836742	0.000175898850811151
CAG145	0.119858804804923	0.0335749550834808	2.51013238323772e-05
CAG273	0.0323781384305407	0.0256522086691635	0.193965555400034
CAG274NOV	0.00845742834399729	0.0236843112636087	0.711617281959612
CAG303	0.0466183022327058	0.0254039609936138	0.0397522117167131
CAG41	2.15118005310111e-07	8.89398755021724e-09	1
CAG475	0.142852944400761	0.0376133538345864	8.3240082316971e-06
CAG485	0.0889945295008979	0.0292808034963227	0.000350875199245371
CAG510	0.0279234632850769	0.00945928215435339	0.00357939647026906
CAG552NOV	0.152456560542667	0.03940982597306	1.6963245342061e-05
CAG56	0.0744186274582076	0.0290520969165396	0.00285814489760083
CAG582	0.087339349065631	0.0307076798387501	0.000725853585536007
CAG776	0.0700215043199702	0.0316076771048254	0.0171226232333785
CAG81	0.0438941425473981	0.0285348798952333	0.126806557803605
CAG873	0.131973869661378	0.0306947532099557	5.79161588687427e-08
CAG95	0.0536098794794467	0.0272305491041083	0.0256110735119937
Chao1	0.00235131969735247	0.0140299616859377	0.849776734603463
Clostridium	0.0341069447104889	0.0194167041462326	0.0467000121828556
ClostridiumQ	0.118409535255764	0.032252483996846	2.02396380777348e-05
COE1	0.118082370711967	0.0303272695874163	3.74623537735541e-06
D1663	0.0251734280971754	0.0184341749298429	0.133630833255304
Desulfovibrio	0.0966786103325785	0.0295258081925766	6.8032272720786e-05
Dorea	0.113824995579905	0.0301746542256884	1.33646420047429e-05
Dubosiella	0.0184239937795086	0.0193850276559581	0.28731746210403
Duncaniella	0.138965117368629	0.0310291162996168	4.07503356614214e-08
Emergencia	0.0406188040967841	0.0226353949976888	0.0523244678914697
EnterococcusD	0.15631192305285	0.032934931040154	1.69278377981641e-08
ErysipelatoclostridiaceaeNOV	0.181079582680723	0.0346005355382807	2.47432407896042e-10
Erysipelatoclostridium	0.128005086342931	0.0323167457021906	1.41127694546217e-05
ErysipelotrichaceaeNOV	0.0256865487623065	0.0189665299759259	0.101196372986177
Escherichia	0.116568188093269	0.0307137846643267	5.13160279191904e-06
EubacteriumF	0.0584980032932862	0.0271591787592404	0.0164003594923051
EubacteriumG	0.0645476963802833	0.0276979893663785	0.0106977091969908
EubacteriumJ	0.0745748942264988	0.0289857218499278	0.00427785224825972
Evtepia	0.0505520827459407	0.0226587107341998	0.0135550217555901
