term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0178250452076592	0.0123727702225532	1.44066727879319	P	0	0.0175109838684629	Acetatifactor
Quarter.Date	0.0401778717638049	0.0196081333962106	2.04904112757462	P	0	0.039469973631419	Acetatifactor
Cage	0.00259428897682858	0.00858614388124183	0.302148323241627	P	0.3	0.00254857992751998	Acetatifactor
Batch	0.0306937634695566	0.00993102411676926	3.09069468653569	P	0	0.0301529668349382	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.0855974029456855	0.0325366776928314	2.63079727296633	P	0	0.084089253334413	Acetatifactor
ide(Mouse)	0.108324800626245	0.0293275405828944	3.69362034706133	P	0	0.106416214613895	Acetatifactor
units!R	0.732721932287879	0.0230942645991231	31.727441640021	P	0	0.719812027789352	Acetatifactor
Cohort	0.0293490775334664	0.0169437211294192	1.73215064797708	P	0	0.031244494287832	Acutalibacter
Quarter.Date	0.025359939937304	0.0136232645882517	1.86151709621596	P	0	0.0269977309374491	Acutalibacter
Cage	0.014302083139088	0.00799688145042604	1.78845756658379	P	0	0.0152257376550858	Acutalibacter
Batch	0.0307878843268502	0.0100008796237581	3.07851763895952	P	0	0.0327762218382435	Acutalibacter
vm(Mouse, kinship.mat.x2)	0.0469963959624317	0.0219533523372052	2.14073892864121	P	0	0.0500315086061057	Acutalibacter
ide(Mouse)	0.0165246707188911	0.0210435843501686	0.785259319131093	P	0	0.0175918639792328	Acutalibacter
units!R	0.776015924285289	0.0242137824597443	32.0485213566044	P	0	0.826132442696051	Acutalibacter
Cohort	0.0908384613318739	0.0454439002637958	1.99891428342569	P	0	0.0931721204175113	Adlercreutzia
Quarter.Date	0.0180372045447272	0.0106956143477058	1.68641126711868	P	0	0.0185005841049723	Adlercreutzia
Cage	0.0349319689661835	0.0115152220410459	3.0335471466958	P	0	0.0358293785607748	Adlercreutzia
Batch	0.0528803660854395	0.012066483321445	4.38241736856822	P	0	0.0542388737589266	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.131344407142903	0.0313715752560109	4.18673292848874	P	0	0.134718672455003	Adlercreutzia
ide(Mouse)	0.0492852635527063	0.0232857454170649	2.11654223087862	P	0	0.050551412289612	Adlercreutzia
units!R	0.597635575386323	0.0187632061649393	31.8514634510096	P	0	0.6129889584132	Adlercreutzia
Cohort	0.00378735790925489	0.00782067009479335	0.484275370696987	P	0	0.00381032871011344	AF3328
Quarter.Date	0.00623833708541856	0.00574365153047707	1.08612736206516	P	0.1	0.0062761733824655	AF3328
Cage	0.0408746277636602	0.0125489532625082	3.25721412046206	P	0	0.0411225375089293	AF3328
Batch	0.0379458093156187	0.0108954208629883	3.48273001959202	P	0	0.0381759554095686	AF3328
vm(Mouse, kinship.mat.x2)	0.0725461867727154	0.0280319630666753	2.58798096302285	P	0	0.0729861884966958	AF3328
ide(Mouse)	0.0395803495417795	0.0246453093197203	1.60599930105599	P	0	0.0398204093272606	AF3328
units!R	0.792998770139264	0.0247572019401118	32.031033719301	P	0	0.797808407164967	AF3328
Cohort	0.012977389025988	0.0111926809963487	1.15945313104354	P	0	0.0134163383367798	Akkermansia
Quarter.Date	0.0363623247037413	0.0170841937311279	2.12841912682646	P	0	0.0375922498709326	Akkermansia
Cage	0.0231851736815963	0.00979382713437948	2.36732518998716	P	0	0.023969392755845	Akkermansia
Batch	0.0432834897343663	0.0113824831869432	3.80264033985279	P	0	0.0447475175098701	Akkermansia
vm(Mouse, kinship.mat.x2)	0.112156536709972	0.0291846306213653	3.84300004221623	P	0	0.115950137594637	Akkermansia
ide(Mouse)	0.0366306033272747	0.0231139925779965	1.58478043997234	P	0	0.0378696027941317	Akkermansia
units!R	0.702686963343924	0.0219326178267483	32.038444698879	P	0	0.726454761137803	Akkermansia
Cohort	6.15588235283522e-08	NA	NA	B	NA	6.5777945910149e-08	Alistipes
Quarter.Date	0.460577876238691	0.166047141116964	2.77377781478489	P	0	0.492144990663873	Alistipes
Cage	0.0206832558538908	0.0077945308857228	2.65356006116753	P	0	0.0221008460984703	Alistipes
Batch	0.0222521355821269	0.00532518249007387	4.17866159959866	P	0	0.023777253800705	Alistipes
vm(Mouse, kinship.mat.x2)	0.0847627277588709	0.0222052686462071	3.81723495938652	P	0	0.0905722007366138	Alistipes
ide(Mouse)	0.110315113160829	0.017256985203329	6.39249045305717	P	0	0.11787589707953	Alistipes
units!R	0.237266930560949	0.00754807693534402	31.4340901124022	P	0	0.253528745842862	Alistipes
Cohort	6.7978461741539e-08	NA	NA	B	NA	7.50361973801546e-08	AM0715
Quarter.Date	0.00258925081689254	0.00285361003209048	0.907359726022451	P	0	0.00285807490175014	AM0715
Cage	0.0332995817638971	0.0118590727300915	2.80794144042999	P	0.1	0.0367568480647973	AM0715
Batch	0.0104009662110256	0.00587804957805505	1.76945874186844	P	0	0.0114808269201822	AM0715
vm(Mouse, kinship.mat.x2)	0.0787069721995445	0.0302454200876724	2.60227736865273	P	0.1	0.0868785752112792	AM0715
ide(Mouse)	0.109174315818022	0.0275560620123761	3.96189832092079	P	0.1	0.12050913334449	AM0715
units!R	0.671771098617414	0.0209599857733667	32.0501695889037	P	0	0.741516466521304	AM0715
Cohort	0.033699204587707	0.0210092703465728	1.60401594304794	P	0.6	0.0335223296037101	Anaerotignum
Quarter.Date	0.0136880526803136	0.00896923606332437	1.52611131914396	P	0.7	0.0136162090232184	Anaerotignum
Cage	0.0303588589125302	0.0123400887929176	2.46018156125053	P	0	0.0301995161995489	Anaerotignum
Batch	0.0381350531786452	0.0104879796677969	3.63607237871923	P	0	0.037934896023507	Anaerotignum
vm(Mouse, kinship.mat.x2)	0.085906132068374	0.0324793587799286	2.64494544521186	P	0.1	0.0854552417307317	Anaerotignum
ide(Mouse)	0.124009485298315	0.0285939384106376	4.33691517123016	P	0.1	0.123358604187144	Anaerotignum
units!R	0.679479546574571	0.021365836811582	31.8021499727191	P	0	0.67591320323214	Anaerotignum
Cohort	0.00923812861570071	0.009150323166367	1.00959588505644	P	0.1	0.00958769518197968	Anaerotruncus
Quarter.Date	0.0044570445884614	0.00490264810440709	0.909109626786158	P	0.2	0.00462569711943967	Anaerotruncus
Cage	0.0234126411076415	0.0109799055920437	2.13231715986765	P	0	0.0242985647508359	Anaerotruncus
Batch	0.0290982977623715	0.00938481554988909	3.10057215378255	P	0	0.0301993640558271	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0771944912362674	0.0308108983393083	2.50542812436544	P	0	0.0801154955175082	Anaerotruncus
ide(Mouse)	0.0960547454185714	0.0279173737351332	3.44067985512868	P	0	0.0996894131015591	Anaerotruncus
units!R	0.72408473471711	0.0227326607719196	31.8521770056734	P	0	0.75148377027285	Anaerotruncus
Cohort	0.0352921435410367	0.0212831330783108	1.65822125018812	P	0	0.0347853313469756	AnaerovoracaceaeNOV
Quarter.Date	0.0143023409998884	0.0111091100975959	1.28744254708427	P	0.4	0.0140969524885917	AnaerovoracaceaeNOV
Cage	0.0120913549329388	0.00874621741276278	1.38246676961113	P	0	0.0119177172473839	AnaerovoracaceaeNOV
Batch	0.0763718718274597	0.0162575480822852	4.69762546239536	P	0	0.0752751349324502	AnaerovoracaceaeNOV
vm(Mouse, kinship.mat.x2)	0.0372166677031461	0.0238169855376753	1.56261033304464	P	0	0.0366822184143874	AnaerovoracaceaeNOV
ide(Mouse)	0.0640042067280933	0.0238327034733998	2.6855621645916	P	0	0.0630850754658256	AnaerovoracaceaeNOV
units!R	0.775291124384778	0.0242939729283398	31.9128998238231	P	0	0.764157570104386	AnaerovoracaceaeNOV
Cohort	0.0126237307606505	0.0111302791903514	1.13417916520851	P	0	0.0134147582337885	Angelakisella
