fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	-0.00620791263682297	0.169490364403658	-0.0366269354524379	1	0.0113	0.915343174728747	0.005601	0.940342151725546	 
(Intercept)	Acutalibacter	NA	0.336040397633038	0.129045059667351	2.60405472707963	1	0.02879	0.865264822061014	0.01299	0.909258656850399	 
(Intercept)	Adlercreutzia	NA	-0.201025894986288	0.217213462466356	-0.92547622372819	1	0.07888	0.778820976325954	0.06445	0.799595957031601	 
(Intercept)	AF3328	NA	0.125944766434462	0.153605357083953	0.81992431009829	1	0.01433	0.904714480269557	0.008952	0.924620627559662	 
(Intercept)	Akkermansia	NA	-0.178038137895225	0.186631309064646	-0.953956433073916	1	0.005496	0.940902956376478	0.007881	0.929260729135003	 
(Intercept)	Alistipes	NA	-0.0994506122433385	0.208378337426356	-0.47725984126582	1	0.05014	0.822819842214396	0.0001996	0.988727872755608	 
(Intercept)	AM0715	NA	0.315625674468076	0.157012538029809	2.01019408022151	1	0.04492	0.832151200170759	0.01607	0.899124416464645	 
(Intercept)	Anaerotignum	NA	0.0684700818574718	0.174582875088214	0.392192429084897	1	0.007686	0.930139095323688	0.002676	0.958743778009518	 
(Intercept)	Anaerotruncus	NA	0.28521861394475	0.159386386131162	1.78947914478742	1	0.005711	0.939760282995308	0.002611	0.959247473377133	 
(Intercept)	AnaerovoracaceaeNOV	NA	0.0378423699072103	0.127052260581814	0.297848851597899	1	0.006896	0.933818018145941	0.01205	0.91258980738027	 
(Intercept)	Angelakisella	NA	0.230432217347452	0.137396264377482	1.67713597157462	1	0.02897	0.864848323695264	0.006825	0.934158820237803	 
(Intercept)	ASF356	NA	0.166958227895648	0.208151776424087	0.80209850121811	1	0.005118	0.942967832730824	0.0293	0.864088187023325	 
(Intercept)	Bacteroides	NA	-0.25195675171976	0.176986739705743	-1.42359112405066	1	5.198e-05	0.994247529017083	0.002209	0.962513227530156	 
(Intercept)	Bifidobacterium	NA	-0.116662304089281	0.157183078586236	-0.742206509368478	1	0.1773	0.673703919563654	0.03515	0.851281690652677	 
(Intercept)	BorkfalkiaceaeNOV	NA	-0.0780124344535476	0.161508909072118	-0.483022484033455	1	0.003951	0.949880391638143	0.01178	0.913570756591569	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.192286416944693	0.173398851402744	1.10892555163517	1	0.02318	0.878989921174268	0.01291	0.909537303377279	 
(Intercept)	CAG115	NA	0.147292753494046	0.205541894107537	0.716606967808639	1	0.01349	0.907536468774462	0.0299	0.862717325488669	 
(Intercept)	CAG145	NA	0.044554645033042	0.200271065670732	0.222471702958303	1	0.01408	0.905545380965688	0.007895	0.929198090564774	 
(Intercept)	CAG273	NA	-0.00286270172996914	0.110658760559224	-0.0258696348621855	1	0.01009	0.919987876399286	2.246e-06	0.998804237925732	 
(Intercept)	CAG274NOV	NA	0.386180276718534	0.0661855129518312	5.83481580024302	1	0.06853	0.793489245518987	0.003864	0.950434555330036	 
(Intercept)	CAG303	NA	0.181173535543566	0.128724643095095	1.40745028447835	1	0.01194	0.912988097097478	0.001088	0.973686672999876	 
(Intercept)	CAG41	NA	0.2807487552693	0.0646357863823839	4.3435497730065	1	0.3217	0.570587793900191	0.2	0.654720846018577	 
(Intercept)	CAG475	NA	-0.00267097051117711	0.205316722620996	-0.0130090256511038	1	0.000411	0.983825486599871	0.007647	0.930316110986888	 
(Intercept)	CAG485	NA	-0.353784684375959	0.164369213094031	-2.15237803793323	1	0.006904	0.933779728865063	1.652e-06	0.998974478042742	 
(Intercept)	CAG510	NA	-0.0596168304592165	0.161692757901042	-0.368704394885161	1	0.0009712	0.975138684492362	0.009508	0.922322208014103	 
(Intercept)	CAG552NOV	NA	0.0361199789176109	0.216280212707978	0.167005471584126	1	0.003966	0.949785467509706	4.59e-05	0.994594410256272	 
(Intercept)	CAG56	NA	0.0707753033686934	0.155985240688606	0.453730770015495	1	0.002564	0.959615611134008	8.071e-05	0.992832001707729	 
(Intercept)	CAG582	NA	-0.0871326706350829	0.167417890179473	-0.520450177347692	1	0.001769	0.96645128049677	0.01348	0.90757059249428	 
