feature	herit	herit.se	LRT.pval
Acetatifactor	0.0840886580477953	0.0312528965913293	0.00352806182312737
Acutalibacter	0.0487031288441486	0.0232113194122891	0.0192724743134842
Adlercreutzia	0.137333895430706	0.0313618046367721	2.16583647016932e-07
AF3328	0.0726875268896062	0.0275177110246197	0.00413749001980457
Akkermansia	0.111573598144572	0.0285204375957603	1.80402270044677e-06
Alistipes	0.0981431527951569	0.0258120797695835	4.43489103763017e-06
AM0715	0.0873020230698535	0.0323159848039195	0.00381530632311244
Anaerotignum	0.0832211354951746	0.0311611824975397	0.00215168896138684
Anaerotruncus	0.079988765075803	0.031047823404941	0.0036011466482404
AnaerovoracaceaeNOV	0.0364816884271685	0.0233985860327507	0.087951913542712
Angelakisella	0.0568447437868005	0.0261927113643715	0.0178342939079107
ASF356	0.169515145942731	0.0358409262198782	5.02273361790984e-08
Bacteroides	0.0992933124246817	0.0271235708030139	1.05198528429495e-05
Bifidobacterium	0.0965451863331923	0.0265740866770996	7.09228230055814e-06
BorkfalkiaceaeNOV	0.0847070085271736	0.0335017254162867	0.00467094431737247
ButyricicoccaceaeNOV	0.0939360185895319	0.0282494944305435	0.000109199937992854
CAG115	0.0726465136523726	0.0224307413555356	0.000236230906713986
CAG145	0.119662911391738	0.0335404374005264	2.52232768754856e-05
CAG273	0.0322017616907861	0.0256507598881719	0.196491803350585
CAG274NOV	0.00799915304392915	0.0238102943548888	0.728927928779747
CAG303	0.0468668309011833	0.0258122066401823	0.0427860256057929
CAG41	2.27133361020838e-07	8.40257654524309e-09	1
CAG475	0.142852905116025	0.0376133456451668	8.32402400174903e-06
CAG485	0.0889958797833399	0.0293678402448111	0.000369053388363016
CAG510	0.0279505333971113	0.00955779815249403	0.00415952910173434
CAG552NOV	0.153606555325143	0.0398527526814014	2.07718190718964e-05
CAG56	0.0759822729099617	0.0290601923475341	0.00229078250322867
CAG582	0.0908005894673947	0.0320804813442128	0.000895853264667568
CAG776	0.0694817634141814	0.0317815341780447	0.0187651589363481
CAG81	0.0435639049023036	0.028467540495154	0.128558335619604
CAG873	0.131965951706345	0.0307429805164075	6.18458871892713e-08
CAG95	0.0537765889633951	0.0272945078405136	0.0255931743985977
Chao1	0.00218081131492215	0.014006128541998	0.860386606900827
Clostridium	0.035263483133022	0.0199939424116484	0.0454059393267578
ClostridiumQ	0.117972899435913	0.0322671906168818	2.24491819328376e-05
COE1	0.119350813074294	0.0303561663744521	3.00534888042492e-06
D1663	0.0257742498819161	0.018566247308377	0.127321602303238
Desulfovibrio	0.096164101921869	0.0286807058323537	5.34447922186931e-05
Dorea	0.114024006671239	0.03023021593457	1.33056737063875e-05
Dubosiella	0.0176033632588819	0.0194661668434952	0.310893275335164
Duncaniella	0.139528351208352	0.0312553573791962	4.77127589659787e-08
Emergencia	0.0412786487710258	0.0227310408788763	0.0490312546953394
EnterococcusD	0.15631186605726	0.0329348271187927	1.69278918660254e-08
ErysipelatoclostridiaceaeNOV	0.179770010878104	0.0346059331807547	4.13605927285232e-10
Erysipelatoclostridium	0.126722428920463	0.0321239393282422	1.45814910903486e-05
ErysipelotrichaceaeNOV	0.0261093451354001	0.0190707774765913	0.097453439779728
Escherichia	0.117592862583295	0.0307556739841324	4.32050943977025e-06
EubacteriumF	0.0594608245646181	0.0272795620148107	0.0154778764978198
EubacteriumG	0.0619524254903231	0.0275187056795408	0.0136888098482021
EubacteriumJ	0.0737443043222377	0.0289922259860815	0.00482359341751581
Evtepia	0.050733135656158	0.0228390255446115	0.0139132020784434
Flavonifractor	0.0665219097138793	0.0294018794673483	0.0170939120955442
HungatellaA	0.109296807358824	0.0307275321623453	2.60885925128518e-05
Ileibacterium	0.157281027375446	0.0303576292569265	2.97093460943643e-11
Kineothrix	0.0909019282215137	0.0316391130623767	0.00101783207310435
Lachnospira	0.0767726414831338	0.0260529141465828	0.000273857405995281
LachnospiraceaeNOV	0.0348008356746692	0.024824762676712	0.129803866072614
Lactobacillus	0.203816948474366	0.0360148803359132	4.88720175439994e-13
Lawsonibacter	0.0303490175190446	0.0240047439123821	0.189132386199545
Ligilactobacillus	0.00229392615830612	0.00673270556621	0.70237403580985
Limosilactobacillus	0.118248455215615	0.030760074806198	1.90151570600428e-06
Mailhella	0.107946928933819	0.0259043965460101	4.15021905730839e-08
MarseilleP3106	0.0374324601880045	0.0216102513117317	0.0438656941680994
MuribaculaceaeNOV	0.0902151443878001	0.0300411524415162	0.000615900732604757
Muribaculum	0.132206345412792	0.0332494550812258	4.66657932207681e-06
Oscillibacter	0.0400570454156338	0.0235278269644229	0.0572607568390797
OscillospiraceaeNOV	0.0877119239059949	0.028975715494859	0.000260871304316734
Paramuribaculum	0.12330217521386	0.0299757480066705	4.5954374172652e-07
Parvibacter	0.179970487985229	0.0349874451875879	1.19241794216407e-09
PCoA1	0.121090846661238	0.030580654700589	1.22613301256624e-06
PCoA2	0.0920859843508565	0.0255438010816629	4.43556728169092e-06
PCoA3	0.112070364961633	0.0307364218928013	4.25649460663591e-05
Prevotella	0.143674692420168	0.0319426633207492	4.17438368316425e-08
Romboutsia	0.0632504849795355	0.02200228346496	0.00036211137946518
Roseburia	0.00795965899508387	0.0184014803534595	0.646533347535344
