term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0248379147066822	0.0158637665763915	1.5657009693805	P	0	0.0245044039461945	Acetatifactor
Cage	0.00233069670932135	0.00861242747345543	0.270620184205307	P	0.8	0.0022994013110896	Acetatifactor
Batch	0.0564343413849779	0.0128726350684725	4.38405509709478	P	0	0.0556765700368115	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.085233124665122	0.0326554624313568	2.61007250607109	P	0.1	0.0840886580477953	Acetatifactor
ide(Mouse)	0.106868942933399	0.0293796966097309	3.63751009253112	P	0.1	0.105433961661777	Acetatifactor
units!R	0.737905217222273	0.0232279464088304	31.7679920658741	P	0	0.727997004996332	Acetatifactor
Cohort	0.0200788017946304	0.0131708027138613	1.52449339883429	P	0	0.0216924427077013	Acutalibacter
Cage	0.01514428650211	0.00816233901612538	1.85538562808911	P	0	0.0163613631259556	Acutalibacter
Batch	0.0461259637736612	0.011782697340355	3.91472024115247	P	0	0.0498328952460318	Acutalibacter
vm(Mouse, kinship.mat.x2)	0.0450802375747582	0.0218196094463489	2.06604236824695	P	0	0.0487031288441486	Acutalibacter
ide(Mouse)	0.0163637833690259	0.0210867479307095	0.776022145415544	P	0	0.0176788653448813	Acutalibacter
units!R	0.782819688314069	0.0243902340833257	32.0956201420486	P	0	0.845731304731281	Acutalibacter
Cohort	0.0824608829072054	0.0419499158986261	1.96569840822746	P	0	0.08551436801122	Adlercreutzia
Cage	0.0338717481290735	0.011427729451446	2.96399632779087	P	0	0.0351260019608625	Adlercreutzia
Batch	0.065277715330758	0.0132979130805754	4.90886915377052	P	0	0.0676949163642574	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.132430076181069	0.0315918305000784	4.19190892343958	P	0	0.137333895430706	Adlercreutzia
ide(Mouse)	0.0494944695527988	0.0234312523550271	2.11232710923281	P	0	0.0513272249173107	Adlercreutzia
units!R	0.600757832326246	0.0188328035651629	31.8995432755181	P	0	0.623003593315643	Adlercreutzia
Cohort	0.00430565116364257	0.0078939585853657	0.545436249390091	P	0	0.00433520097528147	AF3328
Cage	0.0400109368726575	0.0124465224890869	3.21462777315826	P	0	0.040285533119113	AF3328
Batch	0.0425338669513364	0.0112116935056575	3.79370582418021	P	0	0.0428257781417503	AF3328
vm(Mouse, kinship.mat.x2)	0.0721920705681271	0.0280264174916257	2.57585795935917	P	0	0.0726875268896062	AF3328
ide(Mouse)	0.0398022724496766	0.0246722509106907	1.61324042114171	P	0	0.0400754366260083	AF3328
units!R	0.794338952457944	0.0247799915803496	32.0556586906935	P	0	0.799790524248241	AF3328
Cohort	0.0131047966243057	0.0122479066149125	1.0699621605826	P	0	0.0134478524317349	Akkermansia
Cage	0.0217736441549501	0.00972565017413504	2.23878545548103	P	0	0.0223436320220184	Akkermansia
Batch	0.0863012593762558	0.0167453904016252	5.153732299241	P	0	0.0885604434800797	Akkermansia
vm(Mouse, kinship.mat.x2)	0.108727346596709	0.0290520451252178	3.74250233083698	P	0	0.111573598144572	Akkermansia
ide(Mouse)	0.0391790106280898	0.0232916404923436	1.68210610330211	P	0	0.0402046341086074	Akkermansia
units!R	0.705403861424895	0.0220118094196212	32.0466095257077	P	0	0.723869839812987	Akkermansia
Cohort	0.160494507845907	0.0820417493679893	1.95625409114604	P	0.1	0.172725243556216	Alistipes
Cage	0.0248176928638253	0.00881501281006557	2.81538931350012	P	0	0.0267089640757256	Alistipes
Batch	0.294797645460244	0.0421423596299193	6.99528094888522	P	0	0.317263162430504	Alistipes
vm(Mouse, kinship.mat.x2)	0.0911936013636466	0.0233623242581941	3.90344729213581	P	0	0.0981431527951569	Alistipes
ide(Mouse)	0.105831955914259	0.0178261662507231	5.93688819153506	P	0	0.113897046114948	Alistipes
units!R	0.25205424215057	0.00802812597805522	31.3963984670342	P	0	0.271262431027449	Alistipes
Cohort	6.80385294100049e-08	NA	NA	B	NA	7.51041533042126e-08	AM0715
Cage	0.0332305142789788	0.0118532171817516	2.80350167970753	P	0.1	0.0366814165507118	AM0715
Batch	0.0128569842177766	0.00596447420814032	2.15559389966502	P	0	0.0141921485090145	AM0715
vm(Mouse, kinship.mat.x2)	0.0790888519857394	0.0302435182545233	2.61506784098806	P	0.1	0.0873020230698535	AM0715
ide(Mouse)	0.108381215228387	0.0275235910878714	3.93775706383557	P	0.1	0.119636321866367	AM0715
units!R	0.672364694332924	0.0209657548636509	32.0696630627227	P	0	0.7421880148999	AM0715
Cohort	0.0463222343588791	0.0258921637487556	1.78904454677355	P	0	0.0457852651162613	Anaerotignum
Cage	0.0293423417457938	0.012227981315376	2.3996063609369	P	0	0.0290022041155188	Anaerotignum
Batch	0.0451533104154877	0.0111149069566133	4.06241011209023	P	0	0.0446298913872162	Anaerotignum
vm(Mouse, kinship.mat.x2)	0.0841971523421486	0.0323684633703497	2.6012094358262	P	0.1	0.0832211354951746	Anaerotignum
ide(Mouse)	0.124277685405881	0.0286162671627353	4.34290345065404	P	0	0.122837053373979	Anaerotignum
units!R	0.682435268160254	0.0214330376404465	31.8403429139892	P	0	0.67452445051185	Anaerotignum
Cohort	0.0122934296004561	0.0102589289020054	1.19831511826278	P	0	0.0127212663772211	Anaerotruncus
Cage	0.0231532352763683	0.0109675426855196	2.11106862678888	P	0	0.0239590157521403	Anaerotruncus
Batch	0.0335759572406256	0.00949265660717648	3.53704538466524	P	0	0.0347444699982126	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0772986134499611	0.030869038583657	2.50408231019172	P	0	0.079988765075803	Anaerotruncus
ide(Mouse)	0.0965462875057524	0.0279610281531078	3.45288760402831	P	0	0.0999062979989643	Anaerotruncus
units!R	0.723500858495267	0.0226991809221567	31.8734345955654	P	0	0.748680184797659	Anaerotruncus
Cohort	0.0367147309120357	0.0216759174769994	1.69380285521913	P	0	0.0363912294068221	AnaerovoracaceaeNOV
Cage	0.0127206916807542	0.00884012025574551	1.43897269638233	P	0	0.0126086068907025	AnaerovoracaceaeNOV
Batch	0.0801734246542436	0.0162496027926596	4.93386981067995	P	0	0.0794669991157882	AnaerovoracaceaeNOV
vm(Mouse, kinship.mat.x2)	0.0368059940719982	0.023838392884239	1.5439796739122	P	0	0.0364816884271685	AnaerovoracaceaeNOV
ide(Mouse)	0.063652419090915	0.0238846383931421	2.66499404526012	P	0	0.0630915637373586	AnaerovoracaceaeNOV
units!R	0.778822285518748	0.0243597501962887	31.9716860494491	P	0	0.77195991242216	AnaerovoracaceaeNOV
Cohort	0.0151128759294892	0.0119392118790291	1.26581855507854	P	0	0.0161337024611058	Angelakisella
Cage	0.012223296773246	0.00846444895425499	1.44407472232454	P	0	0.0130489414558445	Angelakisella
Batch	0.0706526292858678	0.0147955173523153	4.77527264531996	P	0	0.0754249888843975	Angelakisella
vm(Mouse, kinship.mat.x2)	0.0532480106264855	0.0249866273359626	2.13106034321995	P	0	0.0568447437868005	Angelakisella
ide(Mouse)	0.0613608484051118	0.0236774611176922	2.59152989841727	P	0	0.0655055778627406	Angelakisella
units!R	0.724129414858535	0.0226750468355261	31.9350791251291	P	0	0.773042045549111	Angelakisella
Cohort	6.0607684454853e-08	NA	NA	B	NA	7.05560197850981e-08	ASF356
Cage	0.020559054013336	0.00969677778681161	2.12019440533101	P	0	0.0239336815912902	ASF356
Batch	0.0237142468201298	0.00710104334249777	3.33954401858198	P	0	0.0276067776368547	ASF356
vm(Mouse, kinship.mat.x2)	0.145613662830018	0.0332711077591578	4.37657994089297	P	0	0.169515145942731	ASF356
ide(Mouse)	0.0701816585633067	0.0249355634645972	2.81452066094069	P	0	0.0817014960179223	ASF356
units!R	0.598932216584936	0.0187363952712198	31.9662457967532	P	0	0.697242828255182	ASF356
Cohort	0.0173803413442985	0.0141536063617921	1.2279797035487	P	0	0.0181312852461391	Bacteroides
Cage	0.0372605785447242	0.0113671608490589	3.27791425136815	P	0.1	0.0388704781251138	Bacteroides
Batch	0.0658958085171882	0.0139633274419207	4.71920527476538	P	0	0.0687429364637905	Bacteroides
vm(Mouse, kinship.mat.x2)	0.0951808787804782	0.0270492506751714	3.51879909441799	P	0	0.0992933124246817	Bacteroides
ide(Mouse)	0.0163507268068957	0.0219229274418472	0.745827711662487	P	0.3	0.0170571846573526	Bacteroides
units!R	0.726514640591709	0.0225729732834918	32.1851548516662	P	0	0.757904803082922	Bacteroides
Cohort	0.0292594042579241	0.0207793714223067	1.40809862162212	P	0.2	0.041696380289244	Bifidobacterium
Cage	0.0707030312350616	0.0142444956249512	4.96353350070291	P	0	0.100755998037145	Bifidobacterium
Batch	0.0845380707744811	0.0150153748760392	5.63010057840001	P	0.1	0.120471747027356	Bifidobacterium
vm(Mouse, kinship.mat.x2)	0.0677481982005087	0.0191878903655146	3.53077888761909	P	0	0.0965451863331923	Bifidobacterium
ide(Mouse)	0.0326589484931246	0.014849086684507	2.19939105933025	P	0	0.0465409317364129	Bifidobacterium
units!R	0.416817630024001	0.0129988698868581	32.0656821440613	P	0	0.59398975657665	Bifidobacterium
Cohort	3.87363483412456e-08	NA	NA	B	NA	4.01875644067387e-08	BorkfalkiaceaeNOV
Cage	0.0462175772508184	0.0147747753872316	3.12814076962279	P	0	0.0479490695955198	BorkfalkiaceaeNOV
Batch	0.0419822020625553	0.0105239918625403	3.98918990159897	P	0	0.0435550205833213	BorkfalkiaceaeNOV
vm(Mouse, kinship.mat.x2)	0.0816481475723187	0.0332372388237408	2.45652618754837	P	0	0.0847070085271736	BorkfalkiaceaeNOV
ide(Mouse)	0.15396766757905	0.0297665821658127	5.1725007164539	P	0	0.159735902384995	BorkfalkiaceaeNOV
units!R	0.640073293960425	0.0201387250474871	31.7832083436827	P	0	0.664052958721425	BorkfalkiaceaeNOV
Cohort	0.0203063182915317	0.0125808831953461	1.61406142766221	P	0	0.0205559221266206	ButyricicoccaceaeNOV
Cage	0.0152208384558714	0.00929110456538896	1.63821624746015	P	0	0.0154079319307844	ButyricicoccaceaeNOV
Batch	0.0174046524972785	0.00746110305841365	2.33271841455826	P	0	0.017618589260671	ButyricicoccaceaeNOV
vm(Mouse, kinship.mat.x2)	0.0927953842580485	0.0289496089794819	3.20541062657591	P	0	0.0939360185895319	ButyricicoccaceaeNOV
ide(Mouse)	0.0346959716377971	0.0248666669730146	1.39528034358	P	0	0.0351224520789384	ButyricicoccaceaeNOV
units!R	0.807434162127434	0.0252246065582989	32.0097822045826	P	0	0.817359086013454	ButyricicoccaceaeNOV
Cohort	0.184248520601884	0.0902116291238459	2.04240320667462	P	0.2	0.16868235436466	CAG115
Cage	0.0535327485073926	0.0131388773244766	4.07437767971742	P	0.1	0.0490100545954988	CAG115
Batch	0.222182364869047	0.0353462580322711	6.28588080430452	P	0.2	0.203411372216118	CAG115
vm(Mouse, kinship.mat.x2)	0.0793504022264137	0.0241297510351301	3.28848822811677	P	0	0.0726465136523726	CAG115
ide(Mouse)	0.0406922931973313	0.0197070307084137	2.06486171353852	P	0	0.0372544202721413	CAG115
units!R	0.512274610687093	0.0161479765648644	31.7237648091295	P	0	0.468995284899209	CAG115
Cohort	0.0415309409666546	0.0220065543092478	1.88720780105053	P	0	0.0408753270896169	CAG145
Cage	0.0085647743408632	0.00985555256891735	0.869030354307577	P	0	0.00842956948441473	CAG145
Batch	0.0199729763959196	0.00758032197393048	2.63484538844244	P	0	0.0196576798920088	CAG145
vm(Mouse, kinship.mat.x2)	0.121582227293558	0.0356963812512685	3.40600988200273	P	0	0.119662911391738	CAG145
ide(Mouse)	0.12386011203105	0.0295826286660433	4.18692041972674	P	0	0.121904837087384	CAG145
units!R	0.70052832385223	0.0219103761872687	31.972446199225	P	0	0.689469675054837	CAG145
Cohort	0.0040715967893182	0.00847751562596937	0.480281838330747	P	0	0.00415337247522092	CAG273
Cage	0.0540939030830765	0.0144297142511067	3.74878546738566	P	0	0.0551803480963397	CAG273
Batch	0.0473253779878632	0.0118131210015336	4.00617059469037	P	0	0.0482758810572526	CAG273
vm(Mouse, kinship.mat.x2)	0.0315677417069657	0.0253678022440495	1.24440191559639	P	0	0.0322017616907861	CAG273
ide(Mouse)	0.0937975261324921	0.0261261432802364	3.59017881538784	P	0	0.095681395639312	CAG273
units!R	0.749454869892893	0.0233862633472371	32.0467985314737	P	0	0.764507241041089	CAG273
Cohort	6.28875744534551e-08	NA	NA	B	NA	7.52962066690049e-08	CAG274NOV
Cage	0.0399047482697367	0.0119379051998751	3.34269267527391	P	0	0.0477785349316749	CAG274NOV
Batch	0.0505120945244531	0.0111485131336712	4.53083688549412	P	0	0.0604788647304646	CAG274NOV
vm(Mouse, kinship.mat.x2)	0.0066809120255689	0.0199212414385549	0.335366249446629	P	0	0.00799915304392915	CAG274NOV
ide(Mouse)	0.116642252123708	0.0227590094631787	5.12510231661974	P	0	0.13965746331567	CAG274NOV
units!R	0.621462355835673	0.0194071396900013	32.0223570171886	P	0	0.744085908682054	CAG274NOV
Cohort	0.00444687987318737	0.0099066731215551	0.448877218277424	P	0	0.00459166423980377	CAG303
Cage	0.059185864586337	0.0153989608248977	3.84349731513329	P	0	0.0611128759203838	CAG303
Batch	0.0707444371047082	0.0150060368111712	4.71439847808735	P	0	0.0730477798551156	CAG303
vm(Mouse, kinship.mat.x2)	0.0453890258891087	0.025365977365937	1.78936633248202	P	0	0.0468668309011833	CAG303
ide(Mouse)	0.0967910522200193	0.0253212087958902	3.82252889268577	P	0	0.0999424373685831	CAG303
