fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor_MGBC107450	NA	0.260039314600516	0.155539929702782	1.67184924859757	1	0.06071	0.80537725548971	0.03667	0.848138482759309	 
(Intercept)	Acetatifactor_MGBC108232	NA	0.147752115019321	0.127386746930227	1.15987038353565	1	0.02945	0.863744127131902	0.02235	0.881159769083043	 
(Intercept)	Acetatifactor_MGBC113998	NA	0.143826697360139	0.107413731591421	1.33899730722721	1	0.01965	0.888518992109077	0.00774	0.92989474215681	 
(Intercept)	Acetatifactor_MGBC130773	NA	-0.207598103340281	0.184037688833947	-1.12801950869744	1	0.01089	0.916887503255981	0.003281	0.954322140754321	 
(Intercept)	Acetatifactor_MGBC130908	NA	0.173520714530818	0.194561700291412	0.891854431118362	1	0.0006256	0.980045394283917	0.001573	0.968363343639462	 
(Intercept)	Acetatifactor_MGBC140221	NA	0.123657152152699	0.170191127909826	0.726578134074164	1	0.005943	0.938551267615096	5.84e-05	0.993902634095544	 
(Intercept)	Acetatifactor_MGBC146413	NA	-0.0415586638438331	0.0660681903161063	-0.629026822817361	1	0.01905	0.890223237987988	0.00524	0.942293258272887	 
(Intercept)	Acetatifactor_MGBC159247	NA	-0.283369994379608	0.117904091673857	-2.40339406679337	1	0.0003464	0.985150770124038	0.0001672	0.989683174240213	 
(Intercept)	Acetatifactor_MGBC162151	NA	-0.00391604011491056	0.150084341472948	-0.0260922630334252	1	0.01269	0.910308122217203	0.009519	0.922277429799056	 
(Intercept)	Acetatifactor_MGBC165152	NA	-0.206285170305226	0.0726667563918824	-2.83878324213009	1	0.158	0.691004582796257	0.1368	0.711483200045736	 
(Intercept)	Acetatifactor_sp003612485	NA	-0.064052390893214	0.134489974214173	-0.476261455677071	1	0.001345	0.970744747014369	0.005958	0.93847392256109	 
(Intercept)	Acutalibacter_MGBC101916	NA	0.313737999313489	0.0880341252851059	3.56382253242617	1	0.04011	0.841265661209162	0.018	0.893272830142212	 
(Intercept)	Acutalibacter_MGBC115182	NA	-0.120078674310759	0.16508630802558	-0.727369069833175	1	0.02554	0.873028863714895	0.01448	0.904219465481289	 
