term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0126376563225036	0.0174367743465664	0.724770308505607	P	0.1	0.0134720450816424	Acetatifactor_MGBC107450
Cage	0.123519657643119	0.022565856819058	5.47374108741133	P	0	0.131674920869147	Acetatifactor_MGBC107450
Batch	0.113431641648214	0.020015384567682	5.66722269385555	P	0	0.120920853595954	Acetatifactor_MGBC107450
vm(Mouse, kinship.mat.x2)	0.065899652764923	0.0216100575151267	3.04948992934398	P	0	0.0702506121592128	Acetatifactor_MGBC107450
ide(Mouse)	0.0186670141348534	0.0184169458607781	1.01357816198004	P	0	0.0198994852800824	Acetatifactor_MGBC107450
units!R	0.603909552143813	0.0189751697878833	31.8263055822269	P	0	0.643782083013961	Acetatifactor_MGBC107450
Cohort	0.00446898819357642	0.00697577576636006	0.640643900156258	P	0	0.00448107523855628	Acetatifactor_MGBC108232
Cage	0.0150054478395796	0.0106352199106611	1.41092031623509	P	0	0.0150460323108567	Acetatifactor_MGBC108232
Batch	0.0345261932101308	0.0102788077243985	3.35896867962389	P	0	0.0346195744481734	Acetatifactor_MGBC108232
vm(Mouse, kinship.mat.x2)	0.0475175788996515	0.0299107033409788	1.58864799526631	P	0	0.0476460972775518	Acetatifactor_MGBC108232
ide(Mouse)	0.127923801957324	0.0294041931650634	4.35052923367803	P	0	0.128269790955567	Acetatifactor_MGBC108232
units!R	0.76786063617627	0.0241706927125517	31.768251134049	P	0	0.769937429769295	Acetatifactor_MGBC108232
Cohort	8.08731287629158e-08	NA	NA	B	NA	8.32297927574813e-08	Acetatifactor_MGBC113998
Cage	0.0403969300426495	0.0121798143107377	3.3167114877142	P	0	0.0415741070849967	Acetatifactor_MGBC113998
Batch	0.035977128294476	0.0102865634171913	3.49748762879834	P	0	0.0370255111649843	Acetatifactor_MGBC113998
vm(Mouse, kinship.mat.x2)	0.0315425618262646	0.0232952563933318	1.35403368366847	P	0	0.0324617202771542	Acetatifactor_MGBC113998
ide(Mouse)	0.0645704456440948	0.0243646329263243	2.6501710836091	P	0	0.0664520452148075	Acetatifactor_MGBC113998
units!R	0.799197704182436	0.0250339936338841	31.9244989780896	P	0	0.822486533028264	Acetatifactor_MGBC113998
Cohort	0.0107297660745461	0.0139370866087971	0.769871521625865	P	0	0.0106314139943631	Acetatifactor_MGBC130773
Cage	0.0749325861647921	0.017999951958795	4.16293256428272	P	0	0.0742457328194726	Acetatifactor_MGBC130773
Batch	0.0738872755349897	0.0153274151930496	4.82059594552478	P	0	0.0732100038034877	Acetatifactor_MGBC130773
vm(Mouse, kinship.mat.x2)	0.103480277458771	0.0325597694336543	3.17816370504799	P	0.2	0.102531747875249	Acetatifactor_MGBC130773
ide(Mouse)	0.0737565007329295	0.0264583258694359	2.78764805819144	P	0.1	0.0730804277203678	Acetatifactor_MGBC130773
units!R	0.672464675803069	0.0212107852242894	31.7039029292042	P	0	0.66630067378706	Acetatifactor_MGBC130773
Cohort	0.00381887936595286	0.00744973390652521	0.512619566533499	P	0	0.00382756695291158	Acetatifactor_MGBC130908
Cage	0.0150003106569807	0.0101799864766416	1.47350988052877	P	0	0.0150344349355327	Acetatifactor_MGBC130908
Batch	0.0476951354596882	0.0118580356856219	4.02217843867002	P	0	0.0478036373517637	Acetatifactor_MGBC130908
vm(Mouse, kinship.mat.x2)	0.123354679862395	0.0355086838845802	3.47392993396644	P	0	0.123635300014376	Acetatifactor_MGBC130908
ide(Mouse)	0.0877058199646968	0.0289461709284931	3.02996276023381	P	0	0.0879053423545691	Acetatifactor_MGBC130908
units!R	0.720155433346608	0.0227493800399289	31.6560465420427	P	0	0.721793718390847	Acetatifactor_MGBC130908
Cohort	0.00370187036389974	0.00638469451919132	0.579803834431316	P	0	0.00383039749239097	Acetatifactor_MGBC140221
Cage	1.47762775482607e-07	NA	NA	B	NA	1.52893026778243e-07	Acetatifactor_MGBC140221
Batch	0.0384007050312302	0.00973845474035688	3.94320311127954	P	0	0.0397339587285594	Acetatifactor_MGBC140221
vm(Mouse, kinship.mat.x2)	0.0929443529332565	0.0360750693683343	2.57641508556157	P	0	0.0961713354090562	Acetatifactor_MGBC140221
ide(Mouse)	0.17193052084207	0.031056308323226	5.53609009328031	P	0	0.177899864436413	Acetatifactor_MGBC140221
units!R	0.659467888490527	0.0207273950538805	31.8162454460028	P	0	0.682364291040554	Acetatifactor_MGBC140221
Cohort	6.33074053993055e-08	NA	NA	B	NA	7.45514882412836e-08	Acetatifactor_MGBC146413
Cage	0.0858844694509407	0.0158494487784939	5.41876696478412	P	0	0.101138484099854	Acetatifactor_MGBC146413
Batch	0.135894305847517	0.0228238974624793	5.95403594284967	P	0	0.160030610645744	Acetatifactor_MGBC146413
vm(Mouse, kinship.mat.x2)	0.00178688477730035	0.00872756517779315	0.204740353225547	P	0	0.00210425492283557	Acetatifactor_MGBC146413
ide(Mouse)	5.22937787172425e-08	NA	NA	B	NA	6.15817218308169e-08	Acetatifactor_MGBC146413
