term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0185048753840063	0.0184005025646138	1.00567228090787	P	0	0.0198489830030023	Acetatifactor_MGBC107450
Quarter.Date	0.0474530470747388	0.0213019125597854	2.22764256221399	P	0	0.050899814523541	Acetatifactor_MGBC107450
Cage	0.126696016828449	0.0228190587390239	5.55220170461197	P	0	0.135898623059602	Acetatifactor_MGBC107450
Batch	0.057177177829473	0.0130986453980731	4.3651214375102	P	0	0.0613302606662107	Acetatifactor_MGBC107450
vm(Mouse, kinship.mat.x2)	0.0640238377985246	0.0213051450946753	3.00508809088213	P	0	0.0686742300003947	Acetatifactor_MGBC107450
ide(Mouse)	0.0195425776066434	0.0182474842426115	1.07097380366591	P	0	0.0209620590627906	Acetatifactor_MGBC107450
units!R	0.5988857678975	0.0188471862864931	31.7758714109328	P	0	0.642386029684459	Acetatifactor_MGBC107450
Cohort	0.0141079751093879	0.0108664986688324	1.29829998966022	P	0	0.014033511217754	Acetatifactor_MGBC108232
Quarter.Date	0.00870512022456697	0.00607444294680797	1.43307300781241	P	0.1	0.00865917336656386	Acetatifactor_MGBC108232
Cage	0.0167311526785328	0.0107889513115005	1.55076727992074	P	0	0.0166428432840021	Acetatifactor_MGBC108232
Batch	0.0238843521061027	0.00909135057855744	2.62715114764527	P	0.1	0.0237582871114323	Acetatifactor_MGBC108232
vm(Mouse, kinship.mat.x2)	0.0470377674898371	0.029904946876663	1.57290924755142	P	0	0.0467894954880858	Acetatifactor_MGBC108232
ide(Mouse)	0.127004526947355	0.0293800800854472	4.32281078124984	P	0	0.126334179058427	Acetatifactor_MGBC108232
units!R	0.767835253740142	0.0241934113511998	31.7373702531646	P	0	0.763782510473735	Acetatifactor_MGBC108232
Cohort	0.000854905381681639	0.00578298013266589	0.147831284574643	P	0.1	0.000879705049583032	Acetatifactor_MGBC113998
Quarter.Date	0.00945754242759888	0.00638217722520479	1.48186772223258	P	0.1	0.00973189315271237	Acetatifactor_MGBC113998
Cage	0.0408710882916659	0.0124950755348058	3.27097568780734	P	0	0.04205670419504	Acetatifactor_MGBC113998
Batch	0.0259718466433534	0.00944031713177004	2.75116251719435	P	0	0.0267252553659352	Acetatifactor_MGBC113998
vm(Mouse, kinship.mat.x2)	0.0322443078715845	0.0234359128581438	1.37585030575755	P	0	0.0331796723505782	Acetatifactor_MGBC113998
ide(Mouse)	0.0657531659454331	0.0244375747464522	2.69065840729465	P	0	0.067660577822645	Acetatifactor_MGBC113998
units!R	0.796656253875019	0.0249757441867298	31.8971978540004	P	0	0.819766192063506	Acetatifactor_MGBC113998
Cohort	0.0163259914753274	0.0158019086182928	1.03316579469571	P	0.5	0.016079031494267	Acetatifactor_MGBC130773
Quarter.Date	0.000286933640637617	0.00417290462610704	0.0687611307582894	P	65	0.000282593253313235	Acetatifactor_MGBC130773
Cage	0.075075738716245	0.0180139989685675	4.16763311951135	P	0	0.0739400831550202	Acetatifactor_MGBC130773
Batch	0.073988457866301	0.015660644744972	4.72448351081177	P	0.2	0.0728692493832531	Acetatifactor_MGBC130773
vm(Mouse, kinship.mat.x2)	0.104007586730354	0.0326105215815901	3.18938740277831	P	0.1	0.102434284938062	Acetatifactor_MGBC130773
ide(Mouse)	0.0733443449567633	0.0264560215282029	2.77231196227203	P	0.1	0.0722348798398185	Acetatifactor_MGBC130773
units!R	0.67233007947934	0.0212226651634644	31.679813741621	P	0	0.662159877936266	Acetatifactor_MGBC130773
Cohort	0.00446740310110978	0.0074050638119913	0.603290290878459	P	0.1	0.00447645451085885	Acetatifactor_MGBC130908
Quarter.Date	0.00306422822163323	0.00447826893193863	0.684243905000751	P	0.1	0.00307043665740026	Acetatifactor_MGBC130908
Cage	0.0147950168826992	0.0101463295533696	1.45816443324432	P	0	0.0148249930807316	Acetatifactor_MGBC130908
Batch	0.0446271516775392	0.0117775181886743	3.78918129971171	P	0	0.0447175707927668	Acetatifactor_MGBC130908
vm(Mouse, kinship.mat.x2)	0.123541600562967	0.0354948785442797	3.48054721215202	P	0	0.123791908319497	Acetatifactor_MGBC130908
ide(Mouse)	0.0878539723859159	0.0289350251567759	3.03625007788675	P	0	0.0880319734044385	Acetatifactor_MGBC130908
units!R	0.719628622984442	0.0227454374203546	31.6383725529259	P	0	0.721086663234307	Acetatifactor_MGBC130908
Cohort	0.00328589724557711	0.00594334162386352	0.55287033011592	P	0	0.00339647254928466	Acetatifactor_MGBC140221
Quarter.Date	0.0101484419744571	0.00691482858122703	1.46763464274574	P	0	0.0104899520612362	Acetatifactor_MGBC140221
Cage	3.96880836863019e-07	NA	NA	B	NA	4.10236464197654e-07	Acetatifactor_MGBC140221
Batch	0.0312313319911674	0.00918153426176359	3.40153737934955	P	0	0.03228231251856	Acetatifactor_MGBC140221
vm(Mouse, kinship.mat.x2)	0.0946859597139182	0.0359962588719795	2.63043890340572	P	0	0.0978722823435439	Acetatifactor_MGBC140221
ide(Mouse)	0.169844214718476	0.030884811613183	5.49927960855617	P	0	0.175559723823559	Acetatifactor_MGBC140221
units!R	0.658247833026587	0.0207152371690757	31.7760220486028	P	0	0.680398846467352	Acetatifactor_MGBC140221
Cohort	6.3140572666868e-08	NA	NA	B	NA	7.2444236827756e-08	Acetatifactor_MGBC146413
Quarter.Date	0.0398020484770932	0.0233044686824973	1.70791486471375	P	0.7	0.0456668177736912	Acetatifactor_MGBC146413
Cage	0.0869652930965561	0.0160207076190398	5.42830536356599	P	0	0.0997794923736575	Acetatifactor_MGBC146413
Batch	0.120344460615965	0.021842235589261	5.50971351463374	P	0.1	0.138077027773717	Acetatifactor_MGBC146413
vm(Mouse, kinship.mat.x2)	0.00308453948677257	0.00890307126277709	0.346457912750709	P	0.2	0.00353904153298206	Acetatifactor_MGBC146413
ide(Mouse)	8.90458353070233e-08	NA	NA	B	NA	1.02166599209391e-07	Acetatifactor_MGBC146413
units!R	0.621378326049954	0.0179562476764232	34.6051322774876	P	0	0.712937445935116	Acetatifactor_MGBC146413
Cohort	0.0132317120482938	0.0116972519219338	1.13118124980131	P	0.1	0.0136989103751102	Acetatifactor_MGBC159247
Quarter.Date	0.0117541120347229	0.00790325796884625	1.48724893974818	P	0	0.0121691378043127	Acetatifactor_MGBC159247
Cage	0.0536397385407207	0.0141539307451527	3.78974148641292	P	0	0.0555337032828207	Acetatifactor_MGBC159247
Batch	0.0253441386182204	0.00912072881312787	2.77874050829595	P	0	0.0262390144372993	Acetatifactor_MGBC159247
vm(Mouse, kinship.mat.x2)	0.0417771219767241	0.0253064791111138	1.65084687574641	P	0	0.0432522297644002	Acetatifactor_MGBC159247
ide(Mouse)	0.0520984697372999	0.0242662415171895	2.14695257608785	P	0	0.0539380138418056	Acetatifactor_MGBC159247
units!R	0.768049926880979	0.0239930705514131	32.0113228206944	P	0	0.795168990494251	Acetatifactor_MGBC159247
Cohort	0.0376416060928802	0.0243596467525377	1.54524433277994	P	0.1	0.0383979028288778	Acetatifactor_MGBC162151
Quarter.Date	0.0305289697724602	0.016060142569621	1.90091524032969	P	0	0.0311423591197508	Acetatifactor_MGBC162151
Cage	0.0644086637231217	0.0144910911325935	4.44470765753816	P	0	0.0657027653091053	Acetatifactor_MGBC162151
Batch	0.0576442088411884	0.013847356082651	4.16283140962985	P	0	0.0588023987146009	Acetatifactor_MGBC162151
vm(Mouse, kinship.mat.x2)	0.0614348860133487	0.0236552830862092	2.59708944464776	P	0	0.0626692383322597	Acetatifactor_MGBC162151
ide(Mouse)	0.0091910907646657	0.0206304804078094	0.445510263599413	P	0.1	0.00937575854766155	Acetatifactor_MGBC162151
units!R	0.719454271601816	0.0224412264285902	32.0594898808752	P	0	0.733909577147744	Acetatifactor_MGBC162151
Cohort	0.0299789240137383	0.0195018154078736	1.53723760515315	P	0	0.0315007906942392	Acetatifactor_MGBC165152
Quarter.Date	7.4814469609431e-08	NA	NA	B	NA	7.86123927258764e-08	Acetatifactor_MGBC165152
Cage	0.0483107786884424	0.0131131454694031	3.68414876515827	P	0	0.0507632537793195	Acetatifactor_MGBC165152
Batch	0.0634917031666881	0.0142388077236786	4.45906036508265	P	0	0.0667148311046139	Acetatifactor_MGBC165152
vm(Mouse, kinship.mat.x2)	0.00481826363895038	0.0189949123597587	0.253660745977329	P	0.1	0.00506286063938399	Acetatifactor_MGBC165152
ide(Mouse)	0.0657629136308847	0.0221335845847923	2.97118224926249	P	0	0.0691013385530612	Acetatifactor_MGBC165152
units!R	0.739325326793851	0.0230633847138686	32.0562370166455	P	0	0.776856846616989	Acetatifactor_MGBC165152
Cohort	0.0245233322826207	0.0168416129148602	1.45611542116507	P	0.1	0.024399868664974	Acetatifactor_sp003612485
Quarter.Date	0.0101722721858268	0.00824674605392121	1.23348919917208	P	0.3	0.0101210595076607	Acetatifactor_sp003612485
Cage	0.0316852313446143	0.0121924757540403	2.59875286888428	P	0	0.0315257108829292	Acetatifactor_sp003612485
Batch	0.038964710335707	0.0109115133703597	3.57097214778216	P	0	0.0387685410695093	Acetatifactor_sp003612485
vm(Mouse, kinship.mat.x2)	0.0530394824980942	0.0290284662610891	1.82715414658991	P	0	0.0527724532741756	Acetatifactor_sp003612485
ide(Mouse)	0.123477668978251	0.0282270603096008	4.37444309198052	P	0	0.122856016115787	Acetatifactor_sp003612485
units!R	0.723197313940604	0.0227938939530065	31.7276773960429	P	0	0.719556350484964	Acetatifactor_sp003612485
Cohort	0.0425578735426628	0.0244380796125825	1.74145735742472	P	0	0.0459146335650342	Acutalibacter_MGBC101916
Quarter.Date	0.0242034320639174	0.0136788699646334	1.76940289121069	P	0.1	0.0261124821736437	Acutalibacter_MGBC101916
Cage	0.027807345754481	0.00969932860776782	2.86693511262328	P	0	0.0300006552125611	Acutalibacter_MGBC101916
Batch	0.0620277073313959	0.0143226777140755	4.33073399888336	P	0	0.0669201540378944	Acutalibacter_MGBC101916
vm(Mouse, kinship.mat.x2)	0.0147659806557533	0.0178295786994064	0.828173279060425	P	0.3	0.0159306500677871	Acutalibacter_MGBC101916
ide(Mouse)	0.0444976985316885	0.0198335945322037	2.2435518916875	P	0.1	0.0480074626031703	Acutalibacter_MGBC101916
units!R	0.711031243575788	0.0222377710738345	31.9740337831071	P	0	0.767113962339909	Acutalibacter_MGBC101916
Cohort	0.0422069743908961	0.0271848665214014	1.55259082687305	P	0	0.0409538685607354	Acutalibacter_MGBC115182
Quarter.Date	0.0512463624545635	0.0243967523075221	2.1005403427719	P	0	0.049724881313281	Acutalibacter_MGBC115182
Cage	0.0670437588343784	0.0159673872932924	4.19879330305605	P	0	0.0650532601956186	Acutalibacter_MGBC115182
Batch	0.055029316428349	0.0134962789769998	4.07736951215438	P	0	0.0533955211079956	Acutalibacter_MGBC115182
vm(Mouse, kinship.mat.x2)	0.0861427932778775	0.0284233496012547	3.03070519436861	P	0	0.0835852530125388	Acutalibacter_MGBC115182
ide(Mouse)	0.0529101182447891	0.0239288551849526	2.21114289989356	P	0	0.0513392409524965	Acutalibacter_MGBC115182
units!R	0.676018660740325	0.0213179261003631	31.7112770518898	P	0	0.655947974857334	Acutalibacter_MGBC115182
Cohort	0.0455813460805047	0.025803515265716	1.76647815660475	P	0.1	0.0478243289777427	Acutalibacter_muris
Quarter.Date	0.0129447713403213	0.00803693500719482	1.61066019928404	P	0.1	0.0135817621978032	Acutalibacter_muris
