fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	0.186349720970535	0.128311341994144	1.45232461974437	1	0.1476	0.700839516215286	0.05839	0.809058947828313	 
(Intercept)	Adlercreutzia	NA	-0.11311165135321	0.194794032870649	-0.580673081645784	1	0.07102	0.789857410103351	0.0516	0.820302180697496	 
(Intercept)	Akkermansia	NA	-0.126005719261985	0.19117280399269	-0.659119480544961	1	0.02481	0.874841426716479	0.02138	0.883748496025558	 
(Intercept)	Anaerotruncus	NA	-0.0139910977261682	0.148221539843371	-0.0943931478579495	1	0.0001248	0.991086704169524	0.0003692	0.984669928347917	 
(Intercept)	Bacteria_unclassified	NA	0.379804446663875	0.122634197679098	3.09705166953288	1	0.01189	0.913169751521159	6.67e-05	0.993483743808917	 
(Intercept)	Barnesiella	NA	-0.0141009228872154	0.134156573471282	-0.105107953508025	1	0.01433	0.904714480269557	0.01453	0.904055039044424	 
(Intercept)	Bifidobacterium	NA	-0.165076120840766	0.139056712012243	-1.18711364918676	1	0.1749	0.675793238994518	0.07116	0.789655249324429	 
(Intercept)	Blautia	NA	-0.152358661321999	0.151298634040758	-1.00700619201199	1	0.0007085	0.978764684967957	0.0001792	0.989319389110199	 
(Intercept)	Candidatus_Metalachnospira	NA	0.0406881265117224	0.177704328267491	0.228965309446353	1	0.01227	0.911798710034432	0.0105	0.918384014785638	 
(Intercept)	Candidatus_Metaruminococcus	NA	-0.0416684872962925	0.189165650094265	-0.220275125402145	1	0.05616	0.812671521034794	0.04661	0.829070769911815	 
(Intercept)	Clostridiaceae_unclassified	NA	-0.00484773526951297	0.134659166690519	-0.0360000391258496	1	0.002058	0.963816230837507	0.007721	0.929980620033918	 
(Intercept)	Clostridium	NA	0.124614333746884	0.151732154752475	0.821278350328387	1	0.004666	0.945540356079881	0.01061	0.917959118311271	 
(Intercept)	Desulfovibrio	NA	0.0835130099517209	0.115456821040355	0.723326774453033	1	0.01457	0.903923704439588	0.00227	0.961999552859593	 
(Intercept)	Dorea	NA	0.050938290845524	0.119348974406857	0.426801244825757	1	0.006115	0.937670182668513	0.0004418	0.983230468113786	 
(Intercept)	Dubosiella	NA	-0.104762907199003	0.10656096933328	-0.983126447276826	1	0.08027	0.776931848172421	0.02294	0.879613204822848	 
(Intercept)	Duncaniella	NA	-0.21475422031847	0.128909015815156	-1.66593638901415	1	0.001093	0.973626301672928	0.008636	0.925959107769764	 
(Intercept)	Enterococcus	NA	-0.0811212033772407	0.155740674451173	-0.520873584650317	1	0.01351	0.907468259768639	0.003176	0.955058199195	 
(Intercept)	Enterorhabdus	NA	-0.0590413532327781	0.153996622793746	-0.383393818394672	1	0.02242	0.880975195794463	0.03011	0.862240875061857	 
(Intercept)	Erysipelatoclostridium	NA	-0.187543342371827	0.19919648288885	-0.941499265709801	1	0.002455	0.960482620291276	0.003367	0.953728032867796	 
(Intercept)	Escherichia	NA	-0.107200342233095	0.159150518386788	-0.673578341558163	1	0.0793	0.778248279472664	0.04434	0.833222314172429	 
(Intercept)	Eubacteriales_unclassified	NA	-0.0902246479068718	0.199451206159127	-0.452364513829454	1	0.001314	0.971083705317766	0.0007047	0.97882169533044	 
(Intercept)	GGB14001	NA	-0.311738106275726	0.180158683856224	-1.73035292889079	1	0.002423	0.960740802827014	1.597e-05	0.996811463714562	 
(Intercept)	GGB1559	NA	-0.121204011019715	0.161684532847584	-0.749632688328764	1	0.05094	0.821435602419184	0.03331	0.855182292531043	 
(Intercept)	GGB20145	NA	-0.128494343453443	0.12939231207066	-0.993060108418756	1	0.01738	0.895116203793348	0.025	0.874367061162892	 
(Intercept)	GGB20146	NA	0.098093454974476	0.0859194740436078	1.14169058954771	1	0.01606	0.899155639939629	0.01145	0.914785272687515	 
(Intercept)	GGB20149	NA	-0.0541736775860665	0.10573540375391	-0.512351356903608	1	0.001834	0.965840854824615	0.01848	0.891867793549429	 
(Intercept)	GGB2126	NA	-0.251201114482142	0.12968571688021	-1.93699908151161	1	0.07454	0.784837729578772	0.03063	0.861068408913688	 
(Intercept)	GGB24102	NA	-0.07512418953917	0.171949929242113	-0.43689572813602	1	0.003821	0.950710765012762	0.01311	0.908842311765374	 
(Intercept)	GGB25041	NA	0.101784017646598	0.0636523475092182	1.59906148994516	1	0.009326	0.923066914942839	0.01679	0.896901708493921	 
(Intercept)	GGB25052	NA	-0.262136072637692	0.155629633641977	-1.68435834810696	1	0.01854	0.891693476905576	0.01933	0.889424569625812	 
(Intercept)	GGB27860	NA	-0.069898960106997	0.259615829389404	-0.269239977667748	1	0.0005473	0.981335637012045	0.0003653	0.98475110208756	 
(Intercept)	GGB27861	NA	-0.100689315304663	0.0719561850435567	-1.3993142527458	1	0.2262	0.63435589950397	0.005483	0.940972762748918	 
(Intercept)	GGB27875	NA	0.0533303714579001	0.150285599127028	0.354860158043638	1	0.002367	0.961196769077544	0.001093	0.973626301672928	 
(Intercept)	GGB27876	NA	-0.0904942811639283	0.160748107140978	-0.562957056063893	1	0.004323	0.947577242666232	0.006599	0.935255678462874	 
(Intercept)	GGB27879	NA	-0.0731058486569167	0.131478638196507	-0.556028337832745	1	0.02786	0.867438385256911	0.000557	0.981170996179248	 
(Intercept)	GGB27903	NA	-0.0980511057877328	0.220441883882663	-0.444793448780013	1	0.004834	0.944570163103186	0.004809	0.944713451947387	 
(Intercept)	GGB27905	NA	-0.186508917997581	0.176404283386207	-1.05728111822121	1	0.04148	0.83861420551192	0.02355	0.878035459028169	 
(Intercept)	GGB27918	NA	-0.295854345425158	0.164049489008946	-1.80344569929763	1	0.00705	0.933084833372312	0.003379	0.953645742145217	 
(Intercept)	GGB27929	NA	-0.1126819989149	0.117987859436034	-0.95503045358654	1	0.001771	0.966432332247252	0.0001135	0.991499787618079	 
(Intercept)	GGB28310	NA	-0.102678501599683	0.176813173965877	-0.580717484430763	1	0.09255	0.760960048822227	0.06163	0.803937963344638	 
(Intercept)	GGB28330	NA	0.198306085489444	0.156836561044485	1.26441235493041	1	0.003929	0.950019941528582	0.0002797	0.986656613996084	 
(Intercept)	GGB28356	NA	-0.232720901083186	0.150746413487843	-1.54379063288265	1	0.008876	0.924940334957101	0.03147	0.859195889754309	 
(Intercept)	GGB28381	NA	-0.233918659917264	0.183029026777467	-1.27804132511544	1	0.006139	0.937548236793213	0.003684	0.951601346319184	 
(Intercept)	GGB28382	NA	-0.0560281231079035	0.158593254719753	-0.353281879528291	1	0.004201	0.948321201397913	1.462e-05	0.996949207362963	 
(Intercept)	GGB28392	NA	-0.0315202016081424	0.139260292577877	-0.226340193781481	1	0.004831	0.944587338074896	0.01597	0.899437096855143	 
(Intercept)	GGB28394	NA	-0.209642273102166	0.133016213898542	-1.57606555590337	1	0.004988	0.943695596679213	0.0001698	0.989603273628613	 
(Intercept)	GGB28396	NA	0.0950753051946007	0.129440869143365	0.73450762362618	1	0.0134	0.907844045338401	0.003442	0.953216101213798	 
(Intercept)	GGB28404	NA	0.43168979888137	0.176818496533024	2.44142896442253	1	0.0428	0.836102319968296	0.01398	0.905879834161771	 
(Intercept)	GGB28411	NA	0.0696575249996508	0.159950129935657	0.435495269854871	1	0.01197	0.912879289149192	0.01291	0.909537303377279	 
(Intercept)	GGB28418	NA	0.104079803508969	0.10624978471476	0.979576606092736	1	0.0003555	0.984957011181978	0.007718	0.929994189428415	 
(Intercept)	GGB28420	NA	-0.0889702583362732	0.186752291991707	-0.476407852280732	1	1.033e-05	0.997435578114998	1.737e-05	0.996674639655621	 
(Intercept)	GGB28422	NA	0.0725069213617312	0.122066522800875	0.593995140502288	1	0.001721	0.966909301029181	0.000237	0.987717208489996	 
(Intercept)	GGB28430	NA	-0.00270681977395531	0.146751195976974	-0.0184449588702502	1	0.01553	0.900824852808473	0.0008826	0.976299465409968	 
(Intercept)	GGB28431	NA	0.0259796919386969	0.15720485103547	0.165260116132391	1	0.009091	0.924039422030898	2.62e-05	0.995915971061583	 
(Intercept)	GGB28433	NA	-0.183767526184384	0.0816006771076925	-2.25203432983598	1	0.08129	0.775556795152665	0.07572	0.783183580572169	 
(Intercept)	GGB28436	NA	-0.192437805993625	0.195357659705425	-0.985053804820335	1	0.001773	0.966413394712836	0.001848	0.965710804265102	 
(Intercept)	GGB28437	NA	-0.0479238308296171	0.134617299790281	-0.356000535624151	1	0.001503	0.969074924262971	0.003793	0.950891461918286	 
(Intercept)	GGB28439	NA	0.0629965838573746	0.129139453539521	0.487818262589252	1	0.005871	0.938923898126393	0.01366	0.906958314897727	 
(Intercept)	GGB28456	NA	0.0270923769890924	0.19392435295412	0.139705903752594	1	0.001811	0.966055593636874	0.007698	0.930084720055659	 
(Intercept)	GGB28632	NA	-0.0743106776908883	0.176620467552782	-0.420736501949758	1	0.000102	0.991941897925897	0.0001854	0.98913620637616	 
(Intercept)	GGB28645	NA	0.0327762342950412	0.0873641753453642	0.375167901093001	1	0.1078	0.742662841564689	0.07495	0.784261397745258	 
(Intercept)	GGB28763	NA	0.0232931024846424	0.101940292995569	0.228497503785426	1	0.0002792	0.986668544735902	0.03263	0.856651915946023	 
(Intercept)	GGB28766	NA	-0.0630242825806123	0.153614852049098	-0.410274669017476	1	0.006616	0.935172520145901	0.001974	0.964561872071786	 
(Intercept)	GGB28769	NA	0.331365357777046	0.146965969262131	2.25470807589488	1	0.0008856	0.976259231818503	0.003128	0.955398746074197	 
(Intercept)	GGB28776	NA	0.269324970394285	0.0485437601139312	5.54808629908734	1	0.493	0.482592116501234	0.08686	0.768207626041592	 
(Intercept)	GGB28778	NA	0.122741904315504	0.138107618785314	0.888741007882444	1	0.008273	0.92752752650099	0.001568	0.968413638106198	 
(Intercept)	GGB28782	NA	0.178863624878264	0.0961745645906623	1.85978096848728	1	0.004343	0.94745629287921	0.0003311	0.985482371240055	 
(Intercept)	GGB28784	NA	0.0812618576714308	0.0839957227969975	0.967452329302839	1	0.02175	0.88275410239973	0.0008653	0.976532826487326	 
(Intercept)	GGB28790	NA	0.164235333251811	0.0725184680697969	2.26473804016019	1	0.01473	0.903400186384983	0.0009058	0.975990082951223	 
(Intercept)	GGB28791	NA	0.421665558189094	0.0987423888253852	4.27036010780296	1	0.01018	0.91963302952099	0.0007705	0.977855258490661	 
(Intercept)	GGB28792	NA	0.17631591832929	0.143837454085149	1.22579977135104	1	0.001427	0.969866556177921	1.634e-05	0.996774738704775	 
(Intercept)	GGB28793	NA	0.149013619463634	0.131033176710205	1.13722053608755	1	0.01803	0.893184460658465	0.002987	0.956414552475977	 
(Intercept)	GGB28798	NA	0.0548730149648859	0.161744657982853	0.339257046564734	1	3.137e-05	0.995531157483968	0.002559	0.959654973094327	 
(Intercept)	GGB28802	NA	0.224994766498935	0.0991787287126703	2.26857885172903	1	0.06346	0.801108555833945	0.0003426	0.985232433229998	 
(Intercept)	GGB28804	NA	0.0125227815012318	0.0988357077934833	0.126703008262946	1	0.0008122	0.977264067655655	0.05702	0.811269503117559	 
(Intercept)	GGB28807	NA	0.208426774987834	0.147919870297936	1.40905190471048	1	0.002674	0.958759184272504	2.332e-07	0.999614695290224	 
(Intercept)	GGB28815	NA	-0.245628870022894	0.0817982792837971	-3.00286108917635	1	4.607e-05	0.994584409310055	1.011e-05	0.997463032477818	 
(Intercept)	GGB28818	NA	0.0420974363290848	0.123363963886686	0.341245814440209	1	0.05134	0.820747765243174	0.04793	0.826705190286155	 
(Intercept)	GGB28828	NA	0.267579982971459	0.113948063156354	2.34826266949617	1	0.002791	0.957867425440869	0.004694	0.945377452957386	 
(Intercept)	GGB28829	NA	-0.0754867971326509	0.1564437465032	-0.482517191130469	1	0.003534	0.952595715612041	0.002385	0.961049624524185	 
(Intercept)	GGB28836	NA	-0.0305155100448873	0.18966210239582	-0.160894083000315	1	6.148e-06	0.99802163442722	0.0002524	0.987324460068322	 
(Intercept)	GGB28841	NA	-0.191925617100882	0.13682057266932	-1.40275408410067	1	0.0005634	0.981063151527161	0.0002674	0.986953278008602	 
(Intercept)	GGB28844	NA	-0.00375981455696625	0.0678471947570373	-0.0554159176430249	1	0.05535	0.814002432309359	0.00972	0.921463762261099	 
(Intercept)	GGB28846	NA	0.114622145187602	0.114056035977948	1.00496343051729	1	0.01537	0.901334432782536	0.006769	0.934428882830989	 
(Intercept)	GGB28849	NA	0.145864146971819	0.146918048841799	0.992826600419153	1	0.007833	0.929475916768733	0.00168	0.967305619436904	 
(Intercept)	GGB28851	NA	0.322378212936271	0.142212601460704	2.26687515469824	1	0.03325	0.855311338083829	0.005469	0.941048031961458	 
(Intercept)	GGB28853	NA	0.212297508359761	0.136588514823038	1.55428520937364	1	0.03832	0.844801973370948	0.01906	0.890194611514364	 
(Intercept)	GGB28854	NA	0.039302068596505	0.139632954025737	0.281466999468197	1	0.02689	0.869745545119375	0.01079	0.917268606558296	 
(Intercept)	GGB28859	NA	0.203323264370145	0.141611939585906	1.43577769617937	1	0.04061	0.840292594602507	0.02138	0.883748496025558	 
(Intercept)	GGB28862	NA	-0.0153637519728043	0.145040725236474	-0.105927159063465	1	0.006815	0.934206963660606	0.005783	0.939382470639414	 
(Intercept)	GGB28864	NA	-0.0269670402229344	0.0695968754585523	-0.387474869313556	1	0.01026	0.919318938011007	0.0916	0.762152856738397	 
(Intercept)	GGB28866	NA	0.0890691759414722	0.145167537017727	0.61356125323388	1	0.006463	0.935924864475473	0.0001147	0.991454972430924	 
(Intercept)	GGB28869	NA	0.12509304386759	0.0911789948421755	1.37195024011963	1	0.02932	0.864042260076697	0.006369	0.936391540458304	 
(Intercept)	GGB28870	NA	-0.169856398751009	0.153856383309735	-1.10399318570399	1	0.01304	0.909084943972762	0.002452	0.96050675297043	 
(Intercept)	GGB28875	NA	-0.174529578178153	0.0642571367445552	-2.71611196857354	1	0.08318	0.773033349263063	0.0971	0.755337899541473	 
