feature	herit	herit.se	LRT.pval
Acetatifactor	0.0195279692883327	0.0206271867075707	0.36924670778956
Adlercreutzia	0.104629265169911	0.0279758929174418	8.25954894267955e-06
Akkermansia	0.118793630637126	0.0307465092450166	2.07710837529795e-06
Anaerotruncus	0.066049851386476	0.0330696797671593	0.0283490096066462
Bacteria_unclassified	0.0613012976632541	0.027567715915069	0.00799978893776254
Barnesiella	0.0520288860351549	0.0309117713340231	0.0640577855458854
Bifidobacterium	0.08451125683593	0.0259818689186817	6.04434773804341e-05
Blautia	0.0676719238985446	0.0265396324654984	0.0020903240150274
Candidatus_Metalachnospira	0.0999343545168908	0.0306265976174812	0.000387700833841986
Candidatus_Metaruminococcus	0.110529121797249	0.0331728991072602	0.000235675818429759
Clostridiaceae_unclassified	0.0532001465235	0.0252156637203012	0.0164484871152126
Clostridium	0.0736336072929086	0.0255876434859325	0.000544741258136083
Desulfovibrio	0.036199363026541	0.0266347297690811	0.142695854419947
Dorea	0.0399386836967925	0.023921260634858	0.0631110336281477
Dubosiella	0.0378681557723928	0.0214735482033527	0.0373118915314474
Duncaniella	0.0518544927038472	0.0256588241407103	0.0295791626998954
Enterococcus	0.0786901629364511	0.0187253775252111	0.000505332545344794
Enterorhabdus	0.0565434540642397	0.0231456045783873	0.00449845783368308
Erysipelatoclostridium	0.128719720392503	0.0299891649226713	9.26363979303346e-07
Escherichia	0.0842169493378277	0.0275787855930213	0.000417591327786737
Eubacteriales_unclassified	0.12393124091085	0.0350475430963865	6.85447797356131e-05
GGB14001	0.114036689818428	0.0327024209544915	3.78119421702294e-05
GGB1559	0.0870421917474866	0.0290797385423584	0.000320545051264665
GGB20145	0.0518283375905144	0.0289966964117866	0.0467263054879549
GGB20146	0.0169011655026018	0.0302718504163055	0.568692755949224
GGB20149	0.0301081150676814	0.0277316392929566	0.267798334927927
GGB2126	0.050723008783322	0.024178824009535	0.0442795782857096
GGB24102	0.0956928617918151	0.0337148154516518	0.000876513596349882
GGB25041	1.83726080627776e-07	6.53273589491886e-09	1
GGB25052	0.0689511438659001	0.0278560553679739	0.0058023926214088
GGB27860	0.220625612972957	0.041171562218868	4.5065662312993e-10
GGB27861	3.08016003359836e-08	2.65939962295899e-09	1
GGB27875	0.0924511976546098	0.0312256020312176	0.000494589060574535
GGB27876	0.0816995005995756	0.0357868971026773	0.00758466306759098
GGB27879	0.0545232402872657	0.030589760357056	0.0505572346497967
GGB27903	0.155526809788266	0.0385238957727882	7.93668421650295e-07
GGB27905	0.0975081932087669	0.0303375160935184	0.000234618480692617
GGB27918	0.089173119612664	0.0310336419991162	0.00103711393149652
GGB27929	0.0444489303573809	0.0249478970346064	0.0478975501315659
GGB28310	0.109347047590574	0.0308264939634329	2.17432308305954e-05
GGB28330	0.0733624658459053	0.0287880174933532	0.00404951537926612
GGB28356	0.0761663362164283	0.0378839496884699	0.0280396176069652
GGB28381	0.109354821199773	0.0325450446205762	0.000371425533835623
GGB28382	0.0808127919130469	0.0375576038407018	0.0122501340706718
GGB28392	0.0617344903470753	0.0319704480739363	0.0378052409397793
GGB28394	0.0430584751672051	0.0207500063278083	0.0149943762323427
GGB28396	0.0345407195462375	0.0276003012864012	0.210365173623096
GGB28404	0.117862360678939	0.0366480425297142	0.000247278381932503
GGB28411	0.0775286854659791	0.030784618658526	0.00355337580952342
GGB28418	0.0295135608479418	0.0330109216371159	0.341958109434031
GGB28420	0.109985435994961	0.0348949918277959	0.000269243592539214
GGB28422	0.0424974434387257	0.0304618407200195	0.13113882331865
GGB28430	0.0683407055529541	0.0347502639110783	0.0231204185688481
GGB28431	0.0820245121736427	0.0396476739733093	0.0227375150600428
GGB28433	6.73658189684225e-08	3.06884779695952e-09	0.997898309244955
GGB28436	0.121408791630796	0.0300120237732437	1.41756835303486e-06
GGB28437	0.0527632600302272	0.0274624127481297	0.0418839264830542
GGB28439	0.0477711311872702	0.0317862447141676	0.114869323999508
GGB28456	0.132977305754118	0.036618892158886	1.63130297130554e-05
GGB28632	0.0990950448435159	0.0317881073447258	0.00032452683719264
GGB28645	0.000188316071494313	0.0210966199207327	0.993775884082896
GGB28763	0.0322393682739559	0.0240830208800792	0.148822642217717
GGB28766	0.0683813467243793	0.0267526505590116	0.0036001010538067
GGB28769	0.0623657429520897	0.0259573337036887	0.00668103325906633
GGB28776	5.88949265307288e-08	0.0201246756962643	0.999159163083006
GGB28778	0.0573620991056857	0.0254370527448512	0.0118277104218553
GGB28782	0.0257544426271371	0.0238492513338478	0.252477197511579
GGB28784	0.0140939264700281	0.0254096618928125	0.57352241627734
GGB28790	0.00796768419469569	0.0217308330632816	0.713313939111141
GGB28791	0.0313339531250989	0.0253320914425605	0.184823117010593
GGB28792	0.0638712033160515	0.0287083270055061	0.0190289436104617
GGB28793	0.0470122102020773	0.0257086281876334	0.0470599058245508
GGB28798	0.0854627841422639	0.0322194888165066	0.00453690040381793
GGB28802	0.032060666444519	0.0313797150890995	0.296328554634272
GGB28804	9.1126914220111e-08	7.32739521471289e-09	1
GGB28807	0.0766807117331515	0.0273833924109517	0.00166978345992375
GGB28815	0.0167194236598359	0.0160948437547831	0.243361657568614
GGB28818	0.0376722200638947	0.0259597465683002	0.124999125199726
GGB28828	0.0417854827526464	0.0305022868189323	0.160729596242436
GGB28829	0.0790559439419788	0.0275114547270583	0.00140849634749995
GGB28836	0.117107176249431	0.0393571965741928	0.00125117259400298
GGB28841	0.0551441590251981	0.0256280887823953	0.0105719512795075
GGB28844	0.00584009158252901	0.0210218712497156	0.772001170006472
GGB28846	0.0308693619378355	0.0224026704663619	0.127876632942256
GGB28849	0.0714265510752816	0.027321493941079	0.00227089093293453
GGB28851	0.0783616905662044	0.0286189985922696	0.00168310993200105
GGB28853	0.0575901210501808	0.0273263209644078	0.0281462538649568
GGB28854	0.0552498448739049	0.0290615673459996	0.0391697243124699
GGB28859	0.0549572745717235	0.0214738960359266	0.00224293751150895
GGB28862	0.0585522479116381	0.0229660702246532	0.00571841117137484
GGB28864	5.18619117449476e-08	3.26702893265115e-09	0.993779795439232
GGB28866	0.0704015302351849	0.0327323861253289	0.0209458312975368
GGB28869	0.0227605136291044	0.0219530793299842	0.264173988510155
GGB28870	0.0617327632751552	0.0253716674920427	0.0105227605312279
GGB28875	0.00525085122063631	0.0203327144031128	0.793628153124457
GGB28879	0.0313311349929401	0.029836967716232	0.280643482149644
GGB28881	0.055820158576432	0.0279249934845885	0.0353093737258927
GGB28883	0.0268380561855764	0.0258374385455058	0.276652236676048
GGB28887	0.047459736648604	0.0245772080732695	0.0463185660742826
GGB28888	0.0505684131282788	0.028681545954868	0.0428091716594668
GGB28889	0.0204654654647722	0.0224315009256755	0.308212084030163
GGB28892	0.032050773649055	0.0254953967437682	0.20966355704793
GGB28893	0.0324199091464171	0.0238050263864448	0.122808341718545
GGB28894	5.01935033108955e-08	4.09396801781092e-09	0.993401439424283
GGB28895	0.0125012763399952	0.0274431493939503	0.654645295947645
GGB28898	4.73477861864551e-07	1.17605374566025e-08	1
GGB28901	0.0306335916436972	0.0320948468783124	0.332157470085577
GGB28904	0.0871719298966966	0.02926257501536	0.00039578364671955
GGB28909	0.0257491790802693	0.0233419266795217	0.237344361501295
GGB28912	3.53259905350279e-08	3.4764782130987e-09	1
GGB28916	0.048971490757803	0.0250049859125771	0.0421075713579155
GGB28924	0.0632926770537246	0.0254058141834349	0.00698715275836648
GGB28926	0.014473913415883	0.0261231293870047	0.584255499567868
GGB28927	0.0665508419482102	0.0278380294155418	0.00749390288484475
GGB28932	0.0365717874661848	0.0213826639290603	0.0665287579899283
GGB28933	0.136663760182566	0.0385153091992694	5.66500226141242e-05
GGB28934	0.0138650292056524	0.0233052900679311	0.568880294992575
GGB28944	0.0657338843685814	0.0269797888744498	0.00694586897740379
GGB28946	0.154213669406708	0.0398783578458047	1.34596552473498e-05
GGB28948	0.0850486995612856	0.0263018809382852	5.24419019444222e-05
GGB28949	0.0765339176072526	0.0261253313390755	0.000271727945015288
GGB28950	0.0196477746246321	0.0172185622550891	0.205342229999646
GGB28951	0.0585769674620095	0.0265656816197251	0.0149831477561886
GGB28954	0.00744819759003423	0.0288579979194931	0.80897919816936
GGB28955	0.0145467046772898	0.0228016047104685	0.531985622739405
GGB28956	0.0788794400904445	0.02676593629619	0.0001574034182239
GGB28957	2.04467982958898e-07	2.05713507747651e-08	1
GGB28958	0.0270445569428651	0.025713336524564	0.317455376876089
GGB28960	0.0863801969683352	0.0343912813619839	0.00543952088884958
GGB28961	0.119366863615337	0.0353203292378915	7.8876394157823e-05
GGB28963	0.0226094871722558	0.029155491776679	0.434320663118442
GGB28967	0.0411679900718983	0.0227400491811087	0.0436185865385009
GGB28980	0.0510344199661349	0.0285503140543208	0.0322579551921715
GGB28981	0.111694136070019	0.0320645058559978	2.12578111177253e-05
GGB28988	0.0699552482168131	0.0303569453341068	0.0121975150347334
GGB28989	0.0104476401529103	0.0219367367595782	0.617125110637652
GGB28991	6.32555305930668e-08	4.16430168146522e-09	1
GGB29001	0.00389635469325257	0.0136425418665135	0.768487430048468
GGB29002	0.0660853140690187	0.027604607049462	0.00269111205612493
GGB29003	0.0402444864588584	0.0244707207805727	0.0686883999327755
GGB29004	0.0595457844521163	0.0278625586984004	0.0169144386577608
GGB29005	0.0403874839140973	0.0238312765482997	0.0568531225076284
GGB29011	5.13402828912061e-07	1.2847197303756e-08	1
GGB29531	0.000941888140934589	0.0185731266461631	0.95800532103463
GGB29546	0.0360242196901256	0.0230733379931136	0.0724898412324436
GGB30141	0.0287743520727868	0.0284247857105331	0.315514449459916
GGB30145	0.0403539654797588	0.0215121963251417	0.0280983715592226
GGB30295	0.065905621609686	0.0262812892274654	0.00240642453968276
GGB30296	0.111224704733907	0.030682083221698	5.43577422129626e-06
GGB30297	0.0718253065613162	0.0253976066942006	0.00110020714014958
GGB30300	0.00243690384189705	0.0195997190007836	0.892643742967676
GGB30301	0.0717027667865092	0.0256693693985997	0.000868129736224299
GGB30302	0.0446297230943642	0.0242509911973038	0.0381422772062389
GGB30303	0.0319639463083909	0.0274491262870668	0.225054842815934
GGB30408	0.114018592569104	0.0341702630355404	0.000245043113856647
GGB30413	0.146081715353288	0.0347486843480369	7.56482139152581e-08
GGB30414	0.065742151010162	0.0269234105703536	0.00589238219232691
GGB30449	0.0451395165391911	0.0327680195323966	0.149057470826832
GGB30450	0.192135494233857	0.0351951001560042	7.37544580964311e-10
GGB30451	0.0628247196181069	0.0292310073269251	0.016982041793588
GGB30454	0.0879438290462838	0.0335452762853072	0.0035504982577309
GGB30455	0.116037979307282	0.0387233114062259	0.000760168415029017
GGB30457	0.075663403816783	0.0365286561173655	0.0250276804792662
GGB30461	0.0839108499416387	0.0320705971426938	0.00246616086436713
GGB30463	0.0324414541894844	0.0212853464425408	0.068359188721149
GGB30466	0.0174204599055891	0.0224709881409352	0.426071922902791
GGB30468	0.0445000571135119	0.0227027582930422	0.0254430998390577
GGB30473	0.0204948428559108	0.0203181854903258	0.268183379377369
GGB30861	4.03015700505944e-07	1.48910874328185e-08	0.994799441969376
GGB31171	0.0100565491349996	0.0193518561138047	0.579285276353561
GGB31173	0.0277576995786752	0.0210747705814602	0.160833472785391
GGB31184	0.132257898193817	0.0314700408202569	4.93038612159324e-07
GGB31256	0.0183965359903333	0.0249508596664155	0.472889397432092
