term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0881012426753083	0.049968287717534	1.76314311935875	P	0	0.0925645402494097	Acetatifactor
Cage	0.145471517052887	0.025501449444929	5.70444112861259	P	0	0.15284125043515	Acetatifactor
Batch	0.0557681633125062	0.0121719752979032	4.5816855479581	P	0.1	0.0585934345625627	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.0185863653251207	0.0197149602361802	0.942754390699282	P	0.1	0.0195279692883327	Acetatifactor
ide(Mouse)	0.0606757948076808	0.0201044114399843	3.01803387723188	P	0	0.0637496916058209	Acetatifactor
units!R	0.583178694577725	0.0182687095748944	31.9222708197821	P	0	0.612723113858724	Acetatifactor
Cohort	0.0798769489664128	0.0422410396968647	1.89097970929777	P	0	0.0825951840295285	Adlercreutzia
Cage	0.0140962054535408	0.00865596469851891	1.62849618089971	P	0	0.014575903293988	Adlercreutzia
Batch	0.0747274462392267	0.0145823875520434	5.1245000842647	P	0	0.0772704422746659	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.101185881145109	0.0279084523567542	3.62563569816226	P	0	0.104629265169911	Adlercreutzia
ide(Mouse)	0.0456480491763528	0.0225327203685415	2.02585610746243	P	0	0.0472014651422802	Adlercreutzia
units!R	0.651555135383634	0.0203197547779791	32.0651081916469	P	0	0.673727740089626	Adlercreutzia
Cohort	0.00876020836717222	0.0109117374232307	0.80282433744438	P	0	0.00899105954024213	Akkermansia
Cage	0.024311940793612	0.0108030983165664	2.25046001445067	P	0	0.0249526150580328	Akkermansia
Batch	0.0801100744981155	0.015645917155549	5.12019037948847	P	0	0.0822211549539081	Akkermansia
vm(Mouse, kinship.mat.x2)	0.115743528603759	0.0314009897562373	3.68598345154928	P	0	0.118793630637126	Akkermansia
ide(Mouse)	0.0821406183711079	0.0257342018620901	3.19188521218962	P	0	0.0843052082202166	Akkermansia
units!R	0.663257993248302	0.0208229479047276	31.8522620468025	P	0	0.680736331590475	Akkermansia
Cohort	0.00891641486437234	0.00906294673061963	0.983831763486789	P	0	0.0088722131170993	Anaerotruncus
Cage	0.0209431270063925	0.0121574559945786	1.72265702756661	P	0	0.0208393046942721	Anaerotruncus
Batch	0.0219405310444715	0.00781149615301055	2.80874887661765	P	0	0.0218317642561361	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0663789145863646	0.0339389365502047	1.95583366285424	P	0	0.066049851386476	Anaerotruncus
ide(Mouse)	0.185637659745296	0.0324143294531181	5.72702452518074	P	0	0.184717389766248	Anaerotruncus
units!R	0.701165395755187	0.0220536758769122	31.7935839661647	P	0	0.697689476779769	Anaerotruncus
Cohort	6.07561941579253e-08	NA	NA	B	NA	7.99370397218954e-08	Bacteria_unclassified
Cage	0.0150379233740867	0.00788070158215978	1.90819601748775	P	0	0.0197854242641428	Bacteria_unclassified
Batch	0.0232844240819755	0.00708264293422598	3.2875332412222	P	0	0.0306353608638526	Bacteria_unclassified
vm(Mouse, kinship.mat.x2)	0.0465920874217874	0.0213879775574403	2.17842417763242	P	0	0.0613012976632541	Bacteria_unclassified
ide(Mouse)	0.0747362869798743	0.0204423146778878	3.65596010811416	P	0	0.0983306743251279	Bacteria_unclassified
units!R	0.6003998068162	0.0187792986175019	31.9713648014862	P	0	0.789947162946583	Bacteria_unclassified
Cohort	0.00215754810671617	0.00829560809019803	0.260083176936178	P	0.4	0.00214444404502698	Barnesiella
Cage	0.00858704993101549	0.0107290605252619	0.800354319075466	P	0	0.00853489571407179	Barnesiella
Batch	0.0881516696019639	0.0168440151138102	5.23341192740259	P	0	0.087616272540423	Barnesiella
vm(Mouse, kinship.mat.x2)	0.0523468191301244	0.0316004695557017	1.65652029435365	P	0	0.0520288860351549	Barnesiella
ide(Mouse)	0.210534896654365	0.0320139355214288	6.57635161767106	P	0	0.209256194100806	Barnesiella
units!R	0.644332720056083	0.020304269412054	31.7338539486461	P	0	0.640419307564518	Barnesiella
Cohort	4.53652907651769e-08	NA	NA	B	NA	6.63430884623598e-08	Bifidobacterium
Cage	0.0645295147401181	0.0132061894469999	4.88630842372003	P	0	0.0943692244142528	Bifidobacterium
Batch	0.0790208324906432	0.0140063051256136	5.64180430041728	P	0	0.11556161091158	Bifidobacterium
vm(Mouse, kinship.mat.x2)	0.0577886533194439	0.0182907797241279	3.15944176197219	P	0	0.08451125683593	Bifidobacterium
ide(Mouse)	0.0341541470513561	0.0150820334185901	2.26455850503937	P	0	0.0499476926294474	Bifidobacterium
units!R	0.448305101876102	0.0139473228120633	32.1427350550999	P	0	0.655610148865701	Bifidobacterium
Cohort	0.011874339214502	0.0111016030150231	1.06960582164876	P	0	0.0117453194932955	Blautia
Cage	7.79753094774842e-08	NA	NA	B	NA	7.71280747380981e-08	Blautia
Batch	0.0705993936198974	0.0150236457167862	4.69921848203697	P	0	0.0698323013280528	Blautia
vm(Mouse, kinship.mat.x2)	0.0684152849250273	0.0274558285644696	2.49183100646116	P	0	0.0676719238985446	Blautia
ide(Mouse)	0.0895345662103884	0.0252540843661174	3.54534992884217	P	0	0.0885617352543123	Blautia
units!R	0.770561115546899	0.0240215238506946	32.0779447772052	P	0	0.76218864289772	Blautia
Cohort	0.00939928276980422	0.00946233918068494	0.993336065250184	P	0	0.00940483752366784	Candidatus_Metalachnospira
Cage	0.0114798342051921	0.0091093147652592	1.26023026989621	P	0	0.0114866185157578	Candidatus_Metalachnospira
Batch	0.0525028779961461	0.0123455346862535	4.25278283447756	P	0	0.0525339059555705	Candidatus_Metalachnospira
vm(Mouse, kinship.mat.x2)	0.0998753305581607	0.0317961024282565	3.14111865702771	P	0.1	0.0999343545168908	Candidatus_Metalachnospira
ide(Mouse)	0.0531964314347962	0.0263635738459463	2.01780046004558	P	0.1	0.0532278692679032	Candidatus_Metalachnospira
units!R	0.77295561572845	0.0240849910149187	32.0928338835446	P	0	0.77341241422021	Candidatus_Metalachnospira
Cohort	0.0175617380295726	0.0138109324649827	1.27158235507269	P	0	0.0173976756259679	Candidatus_Metaruminococcus
Cage	0.0158799515337666	0.0103518151839186	1.53402579659999	P	0	0.0157316004415588	Candidatus_Metaruminococcus
Batch	0.0522945515534967	0.0123199446115773	4.24470670950537	P	0	0.0518060139264778	Candidatus_Metaruminococcus
vm(Mouse, kinship.mat.x2)	0.111571426170559	0.0349087776693422	3.19608515735983	P	0	0.110529121797249	Candidatus_Metaruminococcus
ide(Mouse)	0.111840495707102	0.0290853510810979	3.84525170059871	P	0	0.11079567767627	Candidatus_Metaruminococcus
units!R	0.700281970497576	0.0219955538027207	31.8374330002527	P	0	0.693739910532476	Candidatus_Metaruminococcus
Cohort	0.00292762183082333	0.00803583509856393	0.364320794903634	P	0.1	0.00294353087054089	Clostridiaceae_unclassified
Cage	0.0409289768300262	0.0128252570288229	3.1912792654404	P	0	0.0411513896810073	Clostridiaceae_unclassified
Batch	0.0492268526680401	0.0120320492972873	4.09131075278577	P	0	0.0494943571476218	Clostridiaceae_unclassified
vm(Mouse, kinship.mat.x2)	0.0529126131898112	0.0255063140117044	2.07449077767687	P	0.1	0.0532001465235	Clostridiaceae_unclassified
ide(Mouse)	0.063967157001391	0.0245330537329944	2.60738665873307	P	0.1	0.0643147620201268	Clostridiaceae_unclassified
units!R	0.784632031454225	0.0244246137351412	32.1246444247889	P	0	0.788895813757203	Clostridiaceae_unclassified
Cohort	0.0249348957584339	0.0179026557133812	1.39280429438167	P	0	0.0286920831695687	Clostridium
Cage	0.0693174734733691	0.0153799263048005	4.50700946803193	P	0	0.0797622229212476	Clostridium
Batch	0.0346071997312935	0.00944719781892645	3.66322378281968	P	0	0.0398218088648033	Clostridium
vm(Mouse, kinship.mat.x2)	0.0639913913296291	0.0227444655365612	2.81349285727398	P	0	0.0736336072929086	Clostridium
ide(Mouse)	0.033070729688638	0.0200525690972074	1.64920163238553	P	0	0.0380538236813677	Clostridium
units!R	0.643129734799124	0.0200316780292383	32.1056345784117	P	0	0.740036454070104	Clostridium
Cohort	0.00791465275643274	0.0089575106882125	0.883577260683362	P	0	0.00796100541599714	Desulfovibrio
Cage	0.0217840894477002	0.0110756490068471	1.9668454132334	P	0	0.0219116693318927	Desulfovibrio
Batch	0.0380137313162225	0.0104948849164575	3.62211988209719	P	0	0.0382363611144839	Desulfovibrio
vm(Mouse, kinship.mat.x2)	0.0359885935743	0.0267453758080816	1.34560059400719	P	0	0.036199363026541	Desulfovibrio
