fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	0.192238707588103	0.141961932301643	1.35415674097498	1	0.001441	0.96971917112846	0.03479	0.852036387583543	 
(Intercept)	Adlercreutzia	NA	-0.127567992226562	0.197244530043644	-0.646750468559683	1	0.08497	0.770671895122667	0.0914	0.76240483357008	 
(Intercept)	Akkermansia	NA	-0.178343839975333	0.198784650811726	-0.897171080599411	1	0.04973	0.823533761467289	0.05225	0.819193358269818	 
(Intercept)	Anaerotruncus	NA	-0.00975109670216239	0.149314658022883	-0.0653056895503722	1	0.0001159	0.991410391093672	0.00102	0.974521941977191	 
(Intercept)	Bacteria_unclassified	NA	0.371674711864139	0.122288961712185	3.03931529600276	1	0.01001	0.920304640209254	0.0005882	0.980650934360878	 
(Intercept)	Barnesiella	NA	0.042470136166002	0.150006926093	0.283121168283067	1	0.118	0.731213855758329	0.07604	0.782737390909387	 
(Intercept)	Bifidobacterium	NA	-0.135988656950723	0.15279378557968	-0.890014318545739	1	0.4868	0.485358234227837	0.001538	0.968717106476842	 
(Intercept)	Blautia	NA	-0.159753995212652	0.152673606258783	-1.04637598552475	1	0.004678	0.945470480492325	0.0002755	0.986757166398791	 
(Intercept)	Candidatus_Metalachnospira	NA	0.0461162252207224	0.181797328733046	0.253668332434302	1	0.04186	0.837886870410388	0.02815	0.866756658170698	 
(Intercept)	Candidatus_Metaruminococcus	NA	-0.0224166284790583	0.19202933008484	-0.116735440722281	1	0.09744	0.754923634973318	0.1269	0.72166813022515	 
(Intercept)	Clostridiaceae_unclassified	NA	0.00228617819999054	0.137974637710816	0.0165695539261512	1	0.005208	0.942469425287155	0.005356	0.941659143075842	 
(Intercept)	Clostridium	NA	0.133959860441843	0.155405131936586	0.862004097113772	1	0.004627	0.945768077396726	0.02045	0.886287419800372	 
(Intercept)	Desulfovibrio	NA	0.0824561022654429	0.121884205700363	0.676511790774196	1	0.04968	0.823621035841145	0.01734	0.895236271328047	 
(Intercept)	Dorea	NA	0.070207704226078	0.127695147716983	0.549807142098169	1	0.1975	0.656746386615022	0.003387	0.953590963092115	 
(Intercept)	Dubosiella	NA	-0.0656935119002687	0.127647265033006	-0.514648801000806	1	1.254	0.262789871887542	0.0481	0.826403025137768	 
(Intercept)	Duncaniella	NA	-0.198208854224828	0.132800223954374	-1.4925340358833	1	0.08765	0.767186225712983	1.52e-06	0.99901630209733	 
(Intercept)	Enterococcus	NA	-0.0669875356552919	0.157610755388545	-0.425018809726233	1	0.04573	0.830667355476683	0.001948	0.964795874939714	 
(Intercept)	Enterorhabdus	NA	-0.0728463516333907	0.155810354518068	-0.467532160225869	1	0.05439	0.815593187175037	0.06816	0.794034900223932	 
