feature	herit	herit.se	LRT.pval
Acetatifactor	0.0181594769964137	0.0198950792021797	0.38949793119152
Adlercreutzia	0.102956315420686	0.0276734133758323	8.70627531956991e-06
Akkermansia	0.122107948671291	0.0308342177629692	9.63571450074419e-07
Anaerotruncus	0.0661050023225312	0.0329965067992066	0.0276559737358828
Bacteria_unclassified	0.059482907992257	0.0274181453727494	0.00992845987891355
Barnesiella	0.0544824263314225	0.0306705074107962	0.0488549739982108
Bifidobacterium	0.0816887058541414	0.0249792977246814	5.05327475311956e-05
Blautia	0.067787479496753	0.0264920431813619	0.00200371525481835
Candidatus_Metalachnospira	0.0931567871896255	0.029773148992885	0.000662141487904888
Candidatus_Metaruminococcus	0.107663130216874	0.032826458629183	0.000299550372307889
Clostridiaceae_unclassified	0.0536733038450937	0.0252119774562584	0.0155608233832712
Clostridium	0.0715948079599782	0.0251046875860023	0.000593785621775811
Desulfovibrio	0.0370875666313643	0.0265222597349079	0.131508338254234
Dorea	0.0402978679638469	0.0236197217581047	0.0567127999524575
Dubosiella	0.03851774201707	0.0207590185788465	0.027897743109942
Duncaniella	0.0502892624659891	0.0255081593571574	0.0342214460904298
Enterococcus	0.0784221264479134	0.0186502201629641	0.000558229260157805
Enterorhabdus	0.0543548017094846	0.0228510026556731	0.0057625614727288
Erysipelatoclostridium	0.129988676399107	0.0301102413231387	8.44663890386954e-07
Escherichia	0.083221313367377	0.0275048882229296	0.000476311491385384
Eubacteriales_unclassified	0.123505982175667	0.0348841000670961	6.77051355805203e-05
GGB14001	0.110153100267985	0.0319919499565667	4.58311820217272e-05
GGB1559	0.0819457459173046	0.0279318067145595	0.00038895907065184
GGB20145	0.0562663563422855	0.029123314157644	0.0309712694559614
GGB20146	0.01667764522076	0.0302390805129175	0.573296886001693
GGB20149	0.0305073439268183	0.0270256978147057	0.24616094256435
GGB2126	0.0374971386943863	0.020539333618362	0.0807312065320526
GGB24102	0.0935305959478116	0.0324158961818501	0.000650507488472285
GGB25041	2.09526518165461e-07	7.86385773789135e-09	1
GGB25052	0.0672036266571923	0.0277148387486707	0.00696536813806747
GGB27860	0.218442757957814	0.0410891107793915	6.10429595759854e-10
GGB27861	2.51217010533074e-08	3.600504711644e-09	1
GGB27875	0.0807606636701126	0.0280493663045607	0.00053612416069615
GGB27876	0.0763892273108964	0.0350738457017977	0.0107360981406942
GGB27879	0.0582417185940475	0.0310969113975321	0.0390704459330382
GGB27903	0.156000332121344	0.0385067266840148	7.46566218068345e-07
GGB27905	0.0977683384051792	0.0302178653595842	0.000203042402196929
GGB27918	0.0902854609455897	0.0309488658158141	0.000845915944080122
GGB27929	0.040311011418228	0.0234192804555342	0.0543072784400609
GGB28310	0.104424079286316	0.0304430982733533	2.98830294075403e-05
GGB28330	0.0687616033723699	0.0273957126798815	0.00441359034354505
GGB28356	0.0771499566620787	0.0377890329474385	0.0253306315395269
GGB28381	0.100062578018037	0.0312435757586672	0.000662790223343812
GGB28382	0.0797390929584238	0.037352742955578	0.0127225670727406
GGB28392	0.0610299637682405	0.0318824089075491	0.0401927618097455
GGB28394	0.0433640338034099	0.0207399610900621	0.014122288938977
GGB28396	0.0329709710199755	0.0269200180886149	0.220921029273647
GGB28404	0.116291937777171	0.0365094485495701	0.000270857512000955
