term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.122364498744352	0.0622345988754701	1.9661812071642	P	0	0.124327837835806	Acetatifactor
Quarter.Date	0.0206681944179922	0.0108390823947439	1.90682141396164	P	0	0.0209998157172009	Acetatifactor
Cage	0.147903031775621	0.0257494310056223	5.74393398220438	P	0	0.150276136777557	Acetatifactor
Batch	0.0344025800499189	0.00963279966029178	3.5713999318114	P	0.1	0.0349545696461825	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.0178727092725632	0.0196484341587898	0.90962511964689	P	0	0.0181594769964137	Acetatifactor
ide(Mouse)	0.0617472018190193	0.020094870857742	3.07278420728092	P	0	0.0627379360300298	Acetatifactor
units!R	0.579250154904617	0.0181666371529797	31.8853814289788	P	0	0.58854422699681	Acetatifactor
Cohort	0.0875957266279017	0.0435909694053049	2.00949251239275	P	0	0.0897535622162615	Adlercreutzia
Quarter.Date	0.00791298130954447	0.00680900819983389	1.16213420182656	P	0	0.00810790991322275	Adlercreutzia
Cage	0.0147733414968442	0.00873297535665017	1.69167332936469	P	0	0.0151372684059308	Adlercreutzia
Batch	0.0693850169027772	0.0143076175614078	4.84951576354198	P	0	0.0710942493566361	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.100481062116245	0.0278055738783812	3.61370215035804	P	0	0.102956315420686	Adlercreutzia
ide(Mouse)	0.0460222074249295	0.0224871763648711	2.04659787774975	P	0	0.0471559197743714	Adlercreutzia
units!R	0.649787881989918	0.0202908024680429	32.0237646102615	P	0	0.665794774912891	Adlercreutzia
Cohort	0.00962706315363972	0.00969694262498878	0.99279365939848	P	0	0.00994910336486168	Akkermansia
Quarter.Date	0.0408840374288735	0.0183997285455282	2.22199133686729	P	0	0.0422516719648766	Akkermansia
Cage	0.0264746358521383	0.0109187061234573	2.42470449820619	P	0.1	0.0273602535307368	Akkermansia
Batch	0.0338341998664303	0.00977227171330243	3.46226556721441	P	0	0.0349660063891072	Akkermansia
vm(Mouse, kinship.mat.x2)	0.118155464900657	0.0312929126667866	3.77578994192073	P	0.1	0.122107948671291	Akkermansia
ide(Mouse)	0.078453268901614	0.025401497486595	3.0885292862366	P	0.1	0.0810776525672158	Akkermansia
units!R	0.660202562640762	0.0207265997046103	31.8529122986782	P	0	0.682287363511911	Akkermansia
Cohort	0.0119979853475875	0.0100439720916015	1.19454586673134	P	0	0.0118991071561391	Anaerotruncus
Quarter.Date	7.09325703945834e-08	NA	NA	B	NA	7.03479985625454e-08	Anaerotruncus
Cage	0.0206079024017852	0.012124658889144	1.69966863317177	P	0	0.0204380678787381	Anaerotruncus
Batch	0.0220655787559679	0.00784110918209602	2.81408895648989	P	0	0.0218837311826092	Anaerotruncus
vm(Mouse, kinship.mat.x2)	0.0666543160642746	0.033971912649752	1.96204190065705	P	0	0.0661050023225312	Anaerotruncus
ide(Mouse)	0.186019916326787	0.0324306727414856	5.73592530163054	P	0	0.184486882874343	Anaerotruncus
units!R	0.700963945358137	0.0220455125782122	31.7962189752353	P	0	0.69518713823764	Anaerotruncus
Cohort	0.00313026898221665	0.00504552552562144	0.620404944206699	P	0	0.00410323021066274	Bacteria_unclassified
Quarter.Date	6.0753700833795e-08	NA	NA	B	NA	7.9637380074049e-08	Bacteria_unclassified
Cage	0.0153360475408877	0.00806837790296398	1.90075969734312	P	0	0.0201028518441791	Bacteria_unclassified
Batch	0.0231133259567407	0.00720499281086413	3.20795961404556	P	0	0.0302974913253093	Bacteria_unclassified
vm(Mouse, kinship.mat.x2)	0.0453782732873121	0.0213320797443929	2.12723156068454	P	0	0.059482907992257	Bacteria_unclassified
ide(Mouse)	0.0755460563951861	0.0204710759438406	3.69038034944698	P	0	0.0990275476830267	Bacteria_unclassified
units!R	0.60037516749593	0.0187855736694835	31.9593736161073	P	0	0.786985891307185	Bacteria_unclassified
Cohort	0.0198976936473151	0.0148878956072245	1.33650142184363	P	0	0.0194956729231192	Barnesiella
Quarter.Date	0.0371695972123107	0.0179167827258552	2.07456873150961	P	0	0.0364186082457387	Barnesiella
Cage	0.00954057524920111	0.0107380499597425	0.888483037885765	P	0	0.0093478137644324	Barnesiella
Batch	0.0500799058026503	0.0122153493813662	4.09975222477419	P	0	0.0490680719511847	Barnesiella
vm(Mouse, kinship.mat.x2)	0.0556059097103283	0.0318264413078199	1.74716077027015	P	0	0.0544824263314225	Barnesiella
ide(Mouse)	0.208880432783841	0.0318682759484744	6.55449429148803	P	0	0.204660131459147	Barnesiella
units!R	0.639446908822496	0.0201787820640032	31.6890735424117	P	0	0.626527275324955	Barnesiella
Cohort	0.0284311210615767	0.020487136451179	1.38775475671421	P	0	0.0394032965205896	Bifidobacterium
Quarter.Date	0.0204847449439778	0.0120710506961946	1.69701424172095	P	0.1	0.0283902445291562	Bifidobacterium
Cage	0.0687856975246847	0.0140786977905008	4.88579970592849	P	0	0.0953315639601595	Bifidobacterium
Batch	0.0648596511982211	0.0130428214234157	4.97282367768823	P	0	0.0898903726958345	Bifidobacterium
vm(Mouse, kinship.mat.x2)	0.0589418066655676	0.0184357980298552	3.19713888002658	P	0	0.0816887058541414	Bifidobacterium
ide(Mouse)	0.0332894562139642	0.0150710717770549	2.20883137618959	P	0	0.04613656673499	Bifidobacterium
units!R	0.44674920981708	0.0139335784523909	32.0627763602551	P	0	0.619159249705129	Bifidobacterium
Cohort	0.0116276703211398	0.010504820322373	1.10688902468664	P	0	0.011519089828776	Blautia
Quarter.Date	0.00685929638245601	0.00585993009668119	1.17054235618626	P	0.1	0.00679524350187836	Blautia
Cage	7.78022155651501e-08	NA	NA	B	NA	7.70756897315359e-08	Blautia
Batch	0.0645586285617991	0.0144948068002427	4.45391438820132	P	0	0.06395577283215	Blautia
vm(Mouse, kinship.mat.x2)	0.0684264534095591	0.0273696477778752	2.50008527566339	P	0	0.067787479496753	Blautia
ide(Mouse)	0.0891034269359041	0.025184007952945	3.53809556852067	P	0	0.0882713691202975	Blautia
units!R	0.768850581288345	0.0239880284165788	32.0514286516757	P	0	0.761670968144455	Blautia
Cohort	0.0335585781693312	0.0198669393526335	1.68916699113408	P	0.1	0.0328236922162086	Candidatus_Metalachnospira
Quarter.Date	0.0123190053261906	0.00859050932785378	1.43402502180489	P	0.1	0.0120492363292749	Candidatus_Metalachnospira
Cage	0.011246305691571	0.00907407884659927	1.2393881386413	P	0	0.0110000273172145	Candidatus_Metalachnospira
Batch	0.0423631845797751	0.0115146233678129	3.6790768769905	P	0	0.0414354900535014	Candidatus_Metalachnospira
vm(Mouse, kinship.mat.x2)	0.0952424640200305	0.0314749390636395	3.02597770967749	P	0	0.0931567871896255	Candidatus_Metalachnospira
ide(Mouse)	0.0569222914185412	0.0264548362004069	2.15167808968198	P	0	0.0556757728034806	Candidatus_Metalachnospira
units!R	0.770737058317693	0.0240310705005598	32.0725228740742	P	0	0.753858994090695	Candidatus_Metalachnospira
Cohort	0.0257995962163209	0.0168192479710171	1.53393280488989	P	0	0.0253779299652443	Candidatus_Metaruminococcus
Quarter.Date	0.0167832304485872	0.00989167166096594	1.69670314824707	P	0	0.0165089268585282	Candidatus_Metaruminococcus
Cage	0.0158026287161996	0.0102939859967259	1.53513213649462	P	0	0.0155443519915546	Candidatus_Metaruminococcus
Batch	0.0392510431674909	0.0108883955767983	3.60485095261689	P	0	0.0386095276924227	Candidatus_Metaruminococcus
