fixef	feature	fixef.value	solution	std.error	z.ratio	Df	Wald(inc)	Pr(chisq)(inc)	Wald(con)	Pr(chisq)(con)	Margin
(Intercept)	Acetatifactor	NA	0.0983953561663614	0.278869971316962	0.352835967607735	1	0.0004112	0.983821552213046	0.001784	0.966309428999041	 
(Intercept)	Acutalibacter	NA	0.301156105779356	0.210969941180743	1.42748347984488	1	0.0006477	0.979696068949447	0.001335	0.970853656936078	 
(Intercept)	Adlercreutzia	NA	-0.168035206446676	0.229753428173569	-0.73137192242343	1	0.005561	0.940555163125621	0.001696	0.967150388419639	 
(Intercept)	AF3328	NA	0.165846253215415	0.270728492458291	0.61259253397928	1	0.001837	0.965812945097601	0.004294	0.947753120072719	 
(Intercept)	Akkermansia	NA	-0.195369924420322	0.310295597532617	-0.629625189573582	1	0.09532	0.757519791203794	0.07296	0.78707479187573	 
(Intercept)	Alistipes	NA	-0.0893272225235621	0.227826945871565	-0.392083658857103	1	0.0004939	0.982269383923459	0.001318	0.971039745440398	 
(Intercept)	AM0715	NA	0.429153054546489	0.366793908088545	1.17001140172396	1	0.02182	0.882566948486086	0.03336	0.855074846279642	 
(Intercept)	Anaerotignum	NA	0.0940787586032343	0.142212916885046	0.661534554412386	1	0.00217	0.962845375090318	0.01761	0.894428527091781	 
(Intercept)	Anaerotruncus	NA	0.240113856284403	0.133848430947084	1.79392357897218	1	0.003248	0.954552183309024	3.742e-05	0.99511921986349	 
(Intercept)	AnaerovoracaceaeNOV	NA	0.0230755911444878	0.139769420916372	0.16509756564202	1	0.0003087	0.98598200075571	0.0001273	0.990997874792295	 
(Intercept)	Angelakisella	NA	0.315284540191757	0.338311398963148	0.9319359062628	1	7.542e-06	0.997808796163628	0.001115	0.973362295626795	 
(Intercept)	ASF356	NA	0.337745299003499	0.188281069995468	1.79383566819346	1	0.0382	0.845042083738507	0.0007587	0.978025439905392	 
(Intercept)	Bacteroides	NA	-0.565407263206808	0.27628732037568	-2.04644665719006	1	0.001129	0.973195647610463	7.673e-05	0.993010966748445	 
(Intercept)	Bifidobacterium	NA	-0.289615840964788	0.173787395985243	-1.66649508339132	1	0.006172	0.937380952147961	0.02697	0.869553663125404	 
(Intercept)	BorkfalkiaceaeNOV	NA	-0.0268874162930116	0.183074948385877	-0.146865622686614	1	0.002332	0.961484497798135	0.001064	0.973978407827383	 
(Intercept)	ButyricicoccaceaeNOV	NA	0.384353608756372	0.158715136273762	2.42165692434914	1	6.482e-05	0.993576231476441	0.0009658	0.975207874619432	 
(Intercept)	CAG115	NA	0.499627708101071	0.159192463027373	3.13851358663355	1	0.08982	0.764406113146928	0.1466	0.701805927658038	 
(Intercept)	CAG145	NA	-0.0260175038005506	0.137258747887932	-0.18955078784336	1	0.003045	0.955993852483638	0.0005617	0.981091737724701	 
(Intercept)	CAG273	NA	-0.0741266077436119	0.152687463697485	-0.485479331102627	1	0.04933	0.824233251459687	0.04068	0.840156863732247	 
(Intercept)	CAG274NOV	NA	0.600094774944301	0.120618870943411	4.97513175385169	1	0.08742	0.767483077145788	0.03664	0.84819985969271	 
(Intercept)	CAG303	NA	0.493115723271136	0.132851138453864	3.71179147585841	1	0.01517	0.901975209991845	0.0007871	0.977618043441545	 
(Intercept)	CAG41	NA	0.196232350766848	0.171483862959292	1.1443196308998	1	0.005758	0.939513385985866	0.003393	0.953549921388425	 
(Intercept)	CAG475	NA	-0.0318579751210676	0.130698465699904	-0.243751714685132	1	0.06803	0.794226992196567	0.01711	0.895929410388213	 
(Intercept)	CAG485	NA	-0.540811401993926	0.27173282382769	-1.9902321492705	1	0.001175	0.97265525031903	0.001256	0.971728817346233	 
(Intercept)	CAG510	NA	-0.07861511009883	0.265748453424411	-0.295825277949139	1	0.003192	0.954945257977377	0.001897	0.965259470390733	 
(Intercept)	CAG552NOV	NA	-0.00836103201127956	0.249166472469792	-0.0335560074692361	1	0.03596	0.849598120231142	0.02347	0.878241175357409	 
(Intercept)	CAG56	NA	0.149616961675062	0.20667047118643	0.723939713381201	1	0.006087	0.937812757562185	0.01115	0.915904834235258	 
(Intercept)	CAG582	NA	-0.185170450308085	0.317399349652142	-0.583398959421388	1	0.009479	0.922440385167992	0.005884	0.938856448292734	 
(Intercept)	CAG776	NA	-0.164566142571708	0.15879589554083	-1.03633750740991	1	0.0002387	0.987673238491145	0.001344	0.970755619722141	 
(Intercept)	CAG81	NA	0.194723807378075	0.175633543904216	1.10869372131026	1	0.06686	0.795964712304435	0.06016	0.806243232513258	 
(Intercept)	CAG873	NA	-0.52264146349686	0.295581077880798	-1.76818308954009	1	0.007779	0.929718798669899	0.006049	0.938006780806081	 
(Intercept)	CAG95	NA	0.308088481354097	0.116969358496242	2.6339246903196	1	0.0143	0.904813798104067	0.0007025	0.978854771650006	 
(Intercept)	Chao1	NA	-0.0587940931561547	0.131370041422131	-0.447545669619087	1	0.03276	0.856369744322116	0.06772	0.794685850152055	 
(Intercept)	Clostridium	NA	-0.187041376554586	0.168782833117047	-1.10817772815128	1	0.005328	0.941811568189998	0.0163	0.898408982107308	 
(Intercept)	ClostridiumQ	NA	0.0972210707620825	0.30993244803904	0.313684712191981	1	0.004987	0.943701231571129	0.0004147	0.983752854753153	 
(Intercept)	COE1	NA	0.524447349379321	0.226942745725609	2.3109236107217	1	3.592e-05	0.995218043452001	5.349e-07	0.999416452353682	 
(Intercept)	D1663	NA	0.0772783277293165	0.20214786361185	0.382286146133609	1	0.001326	0.970952025615918	0.003251	0.954531222046293	 
(Intercept)	Desulfovibrio	NA	0.122085540536241	0.325746913680673	0.3747864842579	1	0.001289	0.971359985913135	0.002504	0.960090525582001	 
(Intercept)	Dorea	NA	0.239416941541854	0.176421384537785	1.35707438284261	1	0.01373	0.90672131202295	0.009921	0.920658545972137	 
(Intercept)	Dubosiella	NA	0.0638140075361425	0.191486930846635	0.333255158741106	1	0.1142	0.735412242957137	0.101	0.750632879252889	 
(Intercept)	Duncaniella	NA	-0.375815455891926	0.246315031730412	-1.52575120264382	1	0.01475	0.903334949893704	0.006823	0.934168446080068	 
(Intercept)	Emergencia	NA	0.225586049436511	0.19131426225298	1.17913869452248	1	0.01549	0.900951996933001	0.009525	0.92225301632653	 
(Intercept)	EnterococcusD	NA	-0.169367242197622	0.278642970580788	-0.607828870918946	1	0.001866	0.965544319440329	5.849e-05	0.99389793768305	 
(Intercept)	ErysipelatoclostridiaceaeNOV	NA	-0.174060794976593	0.324017389709264	-0.537195843509432	1	0.01762	0.894398732070645	0.007874	0.929292069448275	 
(Intercept)	Erysipelatoclostridium	NA	-0.372612492331238	0.289355750167098	-1.28773142443536	1	0.001631	0.967785677722452	0.0001701	0.989594093814771	 
(Intercept)	ErysipelotrichaceaeNOV	NA	0.0721936886082917	0.262059101771974	0.275486285803993	1	0.02726	0.868860529619916	0.02712	0.869194670514229	 
(Intercept)	Escherichia	NA	-0.241389399952336	0.308403781630875	-0.782705707030703	1	0.002173	0.962819719625091	0.0002548	0.98726434368706	 
(Intercept)	EubacteriumF	NA	-0.0850584903324217	0.135237222363917	-0.628957685211348	1	0.02498	0.874416907176615	0.03057	0.861203167346186	 
(Intercept)	EubacteriumG	NA	0.28633186008913	0.182435805591285	1.56949376884166	1	0.007805	0.929601749838409	0.0004319	0.983419393884295	 
(Intercept)	EubacteriumJ	NA	0.532257607158742	0.113893789953232	4.67328032000079	1	0.0008278	0.977046820253393	0.0007494	0.978160501311829	 
(Intercept)	Evtepia	NA	0.280537963811118	0.14361452725335	1.95340937422174	1	0.01525	0.901718387523595	0.01203	0.912662086424815	 
(Intercept)	Flavonifractor	NA	0.293347563266039	0.184370930812935	1.59107274651486	1	0.007698	0.930084720055659	0.004105	0.948914271175441	 
(Intercept)	HungatellaA	NA	0.196415881295891	0.189360132115615	1.03726100685211	1	0.0004734	0.982641191043443	2.687e-05	0.995864081713576	 
(Intercept)	Ileibacterium	NA	-0.392753983466018	0.236809153044293	-1.6585253501268	1	0.008346	0.927209369013648	0.006888	0.933856329796073	 
(Intercept)	Kineothrix	NA	-0.396055078667922	0.198723173478144	-1.99299896300962	1	0.001402	0.970131556064092	0.006184	0.937320232971068	 
(Intercept)	Lachnospira	NA	0.29287893567093	0.159203664005228	1.83964946724663	1	0.08987	0.764342488772649	0.102	0.749442629744496	 
(Intercept)	LachnospiraceaeNOV	NA	0.145778088370814	0.141062316017645	1.03343041916722	1	0.00513	0.942901125307827	0.0003763	0.984523244068338	 
(Intercept)	Lactobacillus	NA	-0.433502681969044	0.283362821930602	-1.52985024293417	1	0.0002105	0.988424203715592	0.001607	0.968023443479286	 
(Intercept)	Lawsonibacter	NA	0.30680009508813	0.232219775560223	1.32116265442073	1	0.0002964	0.98626408143436	0.0007166	0.978643671296062	 
(Intercept)	Ligilactobacillus	NA	-0.596859066738585	0.202089601924523	-2.95343778727171	1	0.02345	0.878292660484999	0.002033	0.964036527637142	 
(Intercept)	Limosilactobacillus	NA	-0.419337891262292	0.261444784351877	-1.60392525061011	1	0.003647	0.951844707111689	0.0004153	0.983741107206454	 
(Intercept)	Mailhella	NA	-0.0259738701328627	0.258057899033705	-0.100651327590132	1	0.0282	0.866639484502005	0.01777	0.893952835011709	 
(Intercept)	MarseilleP3106	NA	-0.132471253374378	0.155002423063988	-0.854639887272544	1	0.01717	0.895748136950068	0.01743	0.894966316878015	 
(Intercept)	MuribaculaceaeNOV	NA	-0.273589022983857	0.294605737266279	-0.92866155806251	1	0.005812	0.939230964889697	0.003131	0.95537738543262	 
(Intercept)	Muribaculum	NA	-0.407124574954147	0.238754086347266	-1.70520463621295	1	3.932e-07	0.999499681239922	1.627e-05	0.996781654536441	 
(Intercept)	Oscillibacter	NA	0.208457260960944	0.267594616226861	0.779003942232598	1	0.01179	0.913534223518793	0.002201	0.9625811192992	 
(Intercept)	OscillospiraceaeNOV	NA	0.304656256722827	0.259595154180613	1.17358221760512	1	0.03814	0.845162285756952	0.01573	0.900191612128405	 
(Intercept)	Paramuribaculum	NA	-0.706550220531434	0.202557875267737	-3.48813996788587	1	0.01994	0.887704785107297	0.009149	0.923798231191121	 
(Intercept)	Parvibacter	NA	-0.266769662326704	0.240466390263923	-1.10938440101301	1	0.0629	0.80196972809395	0.04568	0.830758550999115	 
(Intercept)	PCoA1	NA	-0.607817960190808	0.270477489894368	-2.24720349345221	1	0.003294	0.954231836777033	0.0004341	0.983377224707389	 
(Intercept)	PCoA2	NA	-0.514760136350543	0.181921084011036	-2.82957931538775	1	0.002418	0.960781297880766	0.001817	0.965999443745761	 
(Intercept)	PCoA3	NA	-0.0359892677804881	0.202543532962312	-0.177686580529751	1	0.01776	0.893982501752943	0.01348	0.90757059249428	 
(Intercept)	Prevotella	NA	-0.372034264422593	0.315044166397555	-1.18089558259943	1	6.937e-05	0.99335460366526	0.0002487	0.98741770240325	 
(Intercept)	Romboutsia	NA	-0.275567700144726	0.164729389170981	-1.67285085880274	1	0.007879	0.929269682078288	0.005044	0.943380943723528	 
(Intercept)	Roseburia	NA	0.155233507544158	0.142474984076414	1.08954921841508	1	7.014e-06	0.99788688839773	0.001836	0.96582224580138	 
(Intercept)	RuminiclostridiumE	NA	0.391956764810697	0.156042699628033	2.51185583013511	1	0.004761	0.944989619500896	0.004706	0.945307786796304	 
(Intercept)	Schaedlerella	NA	0.487018518036687	0.123193020787962	3.95329633871822	1	0.7465	0.387586618937838	0.4788	0.488966370648603	 
(Intercept)	Shannon	NA	-0.222956884897445	0.197042905697877	-1.13151439838845	1	0.01015	0.919751135109054	0.01068	0.917689887765474	 
(Intercept)	Simpson	NA	-0.333980326755677	0.164552303530123	-2.02963021234485	1	0.003174	0.955072336894929	0.004151	0.948629232783455	 
