term	component	std.error	z.ratio	bound	%ch	PVE	feature
Cohort	0.0192840784526206	0.0277368062995002	0.695252302820753	P	0.1	0.0188206723037318	Acetatifactor
Batch	0.00388025792588204	0.0340575316411279	0.113932447212241	P	1.5	0.00378701336734396	Acetatifactor
Cage	0.0587644158176134	0.0481226486884063	1.2211384331339	P	0.3	0.0573522772136014	Acetatifactor
vm(Mouse, kinship.mat.x2)	0.213191114917865	0.131708748884828	1.61865568326284	P	0.1	0.208068024707247	Acetatifactor
units!R	0.729502321796717	0.109747458866923	6.64709989031538	P	0	0.711972012408076	Acetatifactor
Cohort	0.0305984720164969	0.0328141370577527	0.932478338913614	P	0	0.0321956695405793	Acutalibacter
Batch	4.30055632871615e-07	NA	NA	B	NA	4.525039365539e-07	Acutalibacter
Cage	0.133933626639689	0.0517808132993636	2.58654930476604	P	0	0.140924774980199	Acutalibacter
vm(Mouse, kinship.mat.x2)	0.0847341379037258	0.116266306571741	0.728793580893889	P	0.1	0.0891571416142417	Acutalibacter
units!R	0.70112425406187	0.103583219965816	6.76870495330474	P	0	0.737721961361043	Acutalibacter
Cohort	0.0793262236600303	0.0649591028866656	1.221171785553	P	0	0.0852113462745709	Adlercreutzia
Batch	1.6764424993665e-07	NA	NA	B	NA	1.80081586809362e-07	Adlercreutzia
Cage	0.207776876184534	0.0583557344063164	3.56052200008033	P	0	0.223191607106969	Adlercreutzia
vm(Mouse, kinship.mat.x2)	0.0885677902221239	0.0895642140184189	0.988874755311424	P	0	0.0951385341842967	Adlercreutzia
units!R	0.555263930740278	0.0797540921500813	6.96219987929123	P	0	0.596458332352577	Adlercreutzia
Cohort	0.00477890396539152	0.0167192423883102	0.285832566715634	P	0.1	0.00473558528523026	AF3328
Batch	7.68764625570258e-08	NA	NA	B	NA	7.61796109530693e-08	AF3328
Cage	0.0374307354490634	0.0402253608017905	0.930525785300035	P	0	0.037091442157367	AF3328
vm(Mouse, kinship.mat.x2)	0.207235583562215	0.138147291938467	1.5001060147782	P	0.1	0.205357083381551	AF3328
units!R	0.759702181936789	0.11743601481036	6.46907324949324	P	0	0.752815812996241	AF3328
Cohort	0.0408376898519189	0.0959782688935986	0.425488918717543	P	1.2	0.0365637119038822	Akkermansia
Batch	0.225010823562466	0.123696407722381	1.81905705837045	P	0.8	0.201461712399157	Akkermansia
Cage	0.191633737220176	0.0599537664675919	3.19635860282046	P	0.3	0.17157779453711	Akkermansia
vm(Mouse, kinship.mat.x2)	0.21440880592446	0.0992565955390731	2.16014668607142	P	0	0.191969277349046	Akkermansia
units!R	0.445000192318337	0.0783849527780711	5.67711246287604	P	0	0.398427503810804	Akkermansia
Cohort	0.0446658709197538	0.0365162280623925	1.22317866027774	P	0	0.0436580743862571	Alistipes
Batch	4.47967966290036e-08	NA	NA	B	NA	4.37860460172988e-08	Alistipes
Cage	0.023472538835404	0.0388038200643838	0.604902785253051	P	0	0.0229429276852445	Alistipes
vm(Mouse, kinship.mat.x2)	0.120782268312011	0.127856391953318	0.944671333726586	P	0.1	0.11805705667265	Alistipes
units!R	0.834163129267954	0.113841509469467	7.32740749095287	P	0	0.815341897469803	Alistipes
Cohort	0.00463760252379256	0.0188525701058311	0.245993119121628	P	0	0.00439130192928313	AM0715
