feature	herit	herit.se	LRT.pval
Acetatifactor	0.133333372860185	0.118174604791538	0.199984632881836
Acutalibacter	7.9567850076917e-08	6.61341022684275e-09	1
Adlercreutzia	0.247288344157921	0.10508896438061	0.00705619343162822
AF3328	8.73102777694522e-08	5.62783080418784e-09	0.996346445098005
Akkermansia	0.0569295413760812	0.119824132057421	0.636768085027921
Alistipes	0.339140669883868	0.131497589621226	0.0115544408389004
AM0715	5.86322146091405e-07	2.67876210529871e-08	0.993717290968274
Anaerotignum	0.229453397399646	0.130850963523444	0.0625333653633373
Anaerotruncus	0.130391163499972	0.113919957548692	0.188365018248687
AnaerovoracaceaeNOV	0.0636983187647363	0.112853154423796	0.533210655015749
Angelakisella	0.0383036638436251	0.10653850046428	0.693992889595026
ASF356	0.118428246817511	0.133180711055897	0.396103334867568
Bacteroides	0.174764524566876	0.121695106699255	0.130916614860071
Bifidobacterium	0.291394170969492	0.104969683195651	0.00234746706627853
BorkfalkiaceaeNOV	2.82731869463059e-07	2.15132798360678e-08	0.994057927608098
ButyricicoccaceaeNOV	0.22352536971363	0.129621195767632	0.0663548937072399
CAG115	0.0323158907023296	0.0914119837715538	0.715078972156857
CAG145	7.58916712175034e-07	4.11739621128302e-08	1
CAG273	8.64578243195743e-08	5.84082767439807e-09	0.993466602181733
CAG274NOV	0.174446794047108	0.134285824006418	0.218618457544925
CAG303	5.54682144950031e-07	3.69270874515258e-08	1
CAG41	0.0214790135565094	0.0989666628601169	0.815979201785446
CAG475	0.196666100043757	0.120840963456494	0.0744337182846775
CAG485	0.152396388867753	0.116720842538482	0.154803702657371
CAG510	0.031560404821107	0.06045615307839	0.576008325806839
CAG552NOV	0.120609139145073	0.116818592240512	0.28807712577619
CAG56	0.0741057869356645	0.114892178020854	0.483389308938882
CAG582	0.162742436805736	0.129879066039136	0.212502669238259
CAG776	0.0395352263422291	0.136223170655224	0.790856513626622
CAG81	0.00814526418425068	0.116645037146807	0.946529879120005
CAG873	0.274510146442929	0.120260801125265	0.0102418950346472
CAG95	0.0673656592936707	0.115599164127265	0.525198230659147
Chao1	4.25092571748183e-08	1.14346885311578e-08	1
Clostridium	2.63787571990082e-07	3.21726702725857e-08	1
ClostridiumQ	8.91467448669779e-08	5.41930083219243e-09	0.992407681389457
COE1	0.281177449542556	0.121403157242645	0.0138869140293441
D1663	0.181428087194139	0.101972409855066	0.0428025820650646
Desulfovibrio	0.269518105119938	0.126619809634739	0.0236240351350315
Dorea	0.0400743213736236	0.106385735615952	0.689932340028665
Dubosiella	0.0783972219345345	0.104209424751991	0.426174571575178
Duncaniella	0.290558327525156	0.120676502446513	0.00831612898258105
Emergencia	8.61914279228693e-08	0.123867278512445	0.997403352134239
EnterococcusD	5.5160370215419e-07	4.75908505182421e-08	0.994375721082522
ErysipelatoclostridiaceaeNOV	0.355666369616748	0.127771307529867	0.0052732416695086
Erysipelatoclostridium	0.128708221803074	0.120440754442638	0.262620782648587
ErysipelotrichaceaeNOV	0.101586232413158	0.0969518137712329	0.248885347323641
Escherichia	0.0270421114768228	0.119273134587004	0.818454884618448
EubacteriumF	0.00233146775735982	0.11603120313813	0.982707550953603
EubacteriumG	0.173366275548141	0.109496437354531	0.0757142660655918
EubacteriumJ	0.201604481946267	0.128552757808373	0.08923872212687
Evtepia	0.155631895327006	0.114094533120569	0.124127142574923
Flavonifractor	6.94842512596154e-07	0.109999387727758	1
HungatellaA	0.0794479603992668	0.107103775111231	0.419650103247182
Ileibacterium	0.236939332249119	0.117491459114619	0.0189809163907062
Kineothrix	0.0446317671972946	0.123887136226224	0.722766531716945
Lachnospira	0.0151155711741047	0.0997788422502512	0.871265085305092
LachnospiraceaeNOV	0.0358285968634423	0.111531368583368	0.72844070268605
Lactobacillus	0.240792919716783	0.115442655119287	0.0133146255047938
Lawsonibacter	0.104385767326183	0.108807484766486	0.266970506761933
Ligilactobacillus	0.0425978271560381	0.0742288269403827	0.541441185896488
Limosilactobacillus	0.246962303339418	0.110142255489471	0.00911868550109796
Mailhella	0.242606552072903	0.102377677623781	0.00615780035572278
MarseilleP3106	0.205123802481573	0.117221662262388	0.0676571369772079
MuribaculaceaeNOV	0.112658814872968	0.120278727423148	0.305017306770651
Muribaculum	0.321132498250779	0.115156875283296	0.00131829060780042
Oscillibacter	0.063997565193939	0.109464028682925	0.497356342048579
OscillospiraceaeNOV	0.174714651121144	0.105052610720214	0.0528849312337887
Paramuribaculum	0.0375701149263177	0.112826412267528	0.73515128974749
Parvibacter	0.251481651328456	0.11385692753206	0.0116725179122039
PCoA1	0.259406332883256	0.119152835393744	0.0131582560920801
PCoA2	0.18219808846095	0.125433329579857	0.12081254118336
PCoA3	0.27938557119321	0.135069733952598	0.0464465425115113
Prevotella	0.201023751133165	0.122133928927039	0.0716249452654488
Romboutsia	2.35985858596304e-07	3.27571653547523e-08	1
Roseburia	0.181645700383889	0.113243713484261	0.0839258992356152
RuminiclostridiumE	0.202366499473632	0.11361327531193	0.059272638732676
