"feature"	"prop"	"LRT.pval"
"Acetatifactor"	0.0828564699202325	0.00367582410046452
"Acutalibacter"	0.0486975538984701	0.0192724780313795
"Adlercreutzia"	0.137327786302568	2.16583619594424e-07
"AF3328"	0.0726850244898388	0.00413748886924514
"Akkermansia"	0.111571995404408	1.80402276350744e-06
"Alistipes"	0.0981441974481679	4.43488453605312e-06
"AM0715"	0.0872985608324911	0.00381527977711604
"Anaerotignum"	0.0832181361722478	0.00215168151481726
"Anaerotruncus"	0.0799942513576968	0.00360114907175479
"AnaerovoracaceaeNOV"	0.0364805174554578	0.0879519114435798
"Angelakisella"	0.0568522305577098	0.0178342965393294
"ASF356"	0.16949878288414	5.02271197966309e-08
"Bacteroides"	0.0992983136456306	1.05197758993869e-05
"Bifidobacterium"	0.0965419885250878	7.09227032691384e-06
"BorkfalkiaceaeNOV"	0.0847161804171533	0.00467094457500716
"ButyricicoccaceaeNOV"	0.0939391048285395	0.000109199945007354
"CAG115"	0.0726348514347861	0.000236227692746338
"CAG145"	0.119662621118561	2.52232773181316e-05
"CAG273"	0.0321993148656749	0.196491665289421
"CAG274NOV"	0.00799746721838606	0.728927919197124
"CAG303"	0.0468682101895535	0.0427858026315109
"CAG41"	0	0.999604872622914
"CAG475"	0.142855097786615	8.32403168793405e-06
"CAG485"	0.0889860884929057	0.00036904239388591
"CAG510"	0.0279502953074727	0.00415950959811662
"CAG552NOV"	0.153614718505747	2.07718700118154e-05
"CAG56"	0.0759663341201681	0.00229078176970232
"CAG582"	0.0907999668976186	0.000895850589086145
"CAG776"	0.0694791991096466	0.0187651650664655
"CAG81"	0.0435626528786496	0.128558209633051
"CAG873"	0.131968624851425	6.18450536338244e-08
"CAG95"	0.0537743215824882	0.0255931140184134
"Chao1"	0.00217052066623673	0.860335281010873
"Clostridium"	0.0352685909852563	0.0454050523087107
"ClostridiumQ"	0.117970627974166	2.24491655639314e-05
"COE1"	0.11935229347976	3.00537576447546e-06
"D1663"	0.0257729639199566	0.12732081303883
"Desulfovibrio"	0.0961629273371548	5.34444363449182e-05
"Dorea"	0.114028475119177	1.33056683612187e-05
"Dubosiella"	0.0176120448703857	0.310889214304865
"Duncaniella"	0.139531627628673	4.77128553333372e-08
"Emergencia"	0.041282413622918	0.0490318086953971
"EnterococcusD"	0.156311404062256	1.69279830153357e-08
"ErysipelatoclostridiaceaeNOV"	0.179781344370403	4.13591605408214e-10
"Erysipelatoclostridium"	0.12673521302121	1.45810671644542e-05
"ErysipelotrichaceaeNOV"	0.026120415315445	0.097450303578705
"Escherichia"	0.117593772475431	4.32051357368568e-06
"EubacteriumF"	0.059462022627999	0.015477876373884
"EubacteriumG"	0.0619536770640186	0.0136888248312592
"EubacteriumJ"	0.0737444077786815	0.00482359527224896
"Evtepia"	0.0507348396524677	0.0139132009603273
"Flavonifractor"	0.0665184980359567	0.017093881336852
"HungatellaA"	0.109300979510712	2.60885887414242e-05
"Ileibacterium"	0.157285156630381	2.97093460943643e-11
"Kineothrix"	0.0909010537554294	0.00101783232000063
"Lachnospira"	0.0767609510737913	0.000273857510991959
"LachnospiraceaeNOV"	0.0348007200341423	0.129803823352357
"Lactobacillus"	0.203816050651302	4.88720175439994e-13
"Lawsonibacter"	0.0303493648841067	0.189132325289394
"Ligilactobacillus"	0.0022948217621731	0.702403938901473
"Limosilactobacillus"	0.118255194403048	1.90151001300265e-06
"Mailhella"	0.107942036821663	4.15018515109722e-08
"MarseilleP3106"	0.0374594478146256	0.0438656999505185
"MuribaculaceaeNOV"	0.0902087558849693	0.000615900572274786
"Muribaculum"	0.132211696400437	4.66655450648279e-06
"Oscillibacter"	0.04005927855987	0.0572607605050026
"OscillospiraceaeNOV"	0.0877045712196903	0.000260870792450074
"Paramuribaculum"	0.123301500616327	4.59545700604025e-07
"Parvibacter"	0.179977237720311	1.19237753004597e-09
"PCoA1"	0.12109118181991	1.22618516196216e-06
"PCoA2"	0.0920882109153479	4.43545758121999e-06
"PCoA3"	0.112069497249333	4.25649537856287e-05
"Prevotella"	0.143678104119772	4.17434889987689e-08
"Romboutsia"	0.0632511889122241	0.000362106673167162
"Roseburia"	0.00795444614303425	0.646523240824809
"RuminiclostridiumE"	0.0428303439277556	0.0219473971467309
"Schaedlerella"	0.0849426241150379	0.00104206823143516
"Shannon"	0.0272020404084286	0.195557088096419
"Simpson"	0.00748383749795301	0.700719469997586
"Staphylococcus"	0.0110148512392616	0.251341048854155
"TF0111"	0.133455858471658	3.0970628284166e-09
"Turicibacter"	0.0753114530718827	0.00227483910269988
"UBA11940"	0.0997564654895158	0.000953513757076307
"UBA11957"	0.14283423154703	1.027323665026e-07
"UBA1394"	0.131701861472119	3.41329625390685e-05
"UBA1405"	0.0557531724455817	0.000639085720038346
"UBA2882"	0.152646966577724	3.11377304629268e-06
"UBA3282"	0.057810642093771	0.0166319408605213
"UBA3700"	0.0966641839234254	0.00205279061359376
"UBA3700NOV"	0.0225301708218111	0.411735953400087
"UBA3818"	0.0280650731477453	0.355710828146828
"UBA7160"	0.0343902530333061	0.0764381960574584
"UBA7173"	0.149628787844074	3.96586240625219e-07
"UBA7182"	0.145245192315143	5.22995584062436e-07
"UBA946"	0.105930360912194	0.000754837815922227
"UBA9475"	0.106295467390955	4.76883284872276e-06
"UBA9502"	0.0674345716493437	0.0143141816390091
"UMGS1004"	0.106309532836588	0.000388714408288249
"UMGS1217"	0.0110139882189852	0.607580890359751
"UMGS1370"	0.0741900359171676	0.00530690325858163
"UMGS1815"	0.0963525185994975	0.00238800955758645
"UMGS1872"	0.134014747172393	1.35251345234622e-07
"UMGS268"	0.107360031311528	0.000145258216004529
"uniq"	0.0531890994686616	0.0429109644167809
"X142"	0.117283306357766	9.81952599612423e-05
"X1XD4269"	0.0384194652367189	0.0777643027268931
"X1XD876"	0.119191804620659	8.96812215965825e-05
