feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Barnesiella	Age	Age	-0.880888562156904	0.0401467936902231	141	92	5.38077416689832e-47	1.43666670256185e-44
GGB46159	Age	Age	0.851674083770619	0.0444272351460876	141	55	1.17595460976018e-40	1.56989940402984e-38
GGB27929	Age	Age	0.834005910469632	0.0460774282688366	141	60	3.66636821735364e-38	3.26306771344474e-36
Duncaniella	Age	Age	0.795136836332921	0.0495829204926626	141	39	2.99015355593629e-33	1.99592749858747e-31
Erysipelotrichaceae_unclassified	Age	Age	0.788642243130782	0.0519951700179485	141	67	3.89900836009438e-31	1.7907680786819e-29
Muribaculum	Age	Age	0.787387021794169	0.0519212655202258	141	55	4.02419792962224e-31	1.7907680786819e-29
Bacteroides	Age	Age	-0.7754185712704	0.052613682409752	141	76	4.6932285495442e-30	1.79013146104043e-28
GGB24132	Age	Age	0.772317600115602	0.0535836510653289	141	39	2.9569720457045e-29	9.86889420253878e-28
Parabacteroides	Age	Age	0.74043800225887	0.0550073242091371	141	35	7.57414377483831e-27	2.24699598653537e-25
GGB27851	Age	Age	0.744839546847472	0.0565948652532749	141	31	3.39380244300625e-26	9.06145252282669e-25
Faecalibaculum	Age	Age	0.732678059446527	0.0570164160603072	141	35	2.65713209095058e-25	6.44958425712549e-24
GGB31851	Age	Age	0.719960109775845	0.0579558794254257	141	63	3.30048450175399e-24	7.34357801640263e-23
GGB14001	Age	Age	0.717295683993995	0.0582172059383925	141	54	5.98575316226671e-24	1.22938161101939e-22
Enterorhabdus	Age	Age	0.668071192314685	0.0596566558688337	141	28	4.49985613688055e-21	8.58186848962218e-20
Atopobiaceae_unclassified	Age	Age	0.666111241871127	0.0596357888880592	141	94	5.3399122301477e-21	9.5050437696629e-20
GGB45564	Age	Age	-0.66478044673217	0.0616125390301713	141	90	4.98188053522812e-20	8.31351314316192e-19
GGB27918	Age	Age	-0.625636890016471	0.0618896825979328	141	85	2.71211336177796e-18	4.02296815330397e-17
GGB28645	Age	Age	-0.631042604248673	0.0624180688018374	141	93	2.6937216304757e-18	4.02296815330397e-17
GGB27878	Age	Age	-0.640728685161994	0.0651211793510846	141	75	1.1630083065744e-17	1.63433272555455e-16
Candidatus_Metalachnospira	Age	Age	-0.619525658432685	0.0658538590112486	141	51	1.59018387581227e-16	2.12289547420938e-15
GGB75109	Age	Age	-0.556961718127586	0.0637473156031917	141	76	7.48862875890718e-15	9.52125656489627e-14
Adlercreutzia	Age	Age	0.576192890255375	0.0666886456092267	141	86	1.29551893653428e-14	1.50392850458544e-13
GGB80032	Age	Age	0.564054828440991	0.0652302797771482	141	23	1.2462276917439e-14	1.50392850458544e-13
Erysipelatoclostridium	Age	Age	-0.569516720576912	0.0696851741818782	141	31	1.77300160481104e-13	1.97246428535228e-12
GGB28955	Age	Age	-0.55246075865993	0.0678482420587247	141	61	2.11943145132063e-13	2.26355279001044e-12
GGB30620	Age	Age	0.56633016811697	0.0699059049327364	141	18	2.49596856853651e-13	2.5631677223048e-12
GGB24146	Age	Age	0.393952844890515	0.0494112908677006	141	71	5.447782022632e-13	5.38725111126942e-12
GGB28964	Age	Age	-0.54513498170805	0.0686230812516603	141	79	6.37650347396834e-13	6.08045152696267e-12
GGB79872	Age	Age	0.454868171046549	0.0579307930600194	141	76	1.06153670523648e-12	9.77345863097034e-12
Akkermansia	Age	Age	-0.52137654095751	0.0675252389374641	141	88	2.17163877041061e-12	1.93275850566544e-11
Bifidobacterium	Age	Age	0.530249349516213	0.071912998361661	141	88	1.35949395484901e-11	1.17091898691834e-10
Eggerthellaceae_unclassified	Age	Age	0.448586975672615	0.0608296360051953	141	82	1.42334961320593e-11	1.18760733351869e-10
GGB28695	Age	Age	-0.509024816119202	0.0694651400241394	141	92	1.82651674070309e-11	1.47781809020523e-10
GGB79680	Age	Age	-0.503106223885328	0.0693873115348074	141	87	2.75800633419463e-11	2.16584615067637e-10
GGB28948	Age	Age	-0.517824086356384	0.0725391481376049	141	90	4.96031476893108e-11	3.78401155229886e-10
Anaerotruncus	Age	Age	-0.492888500453874	0.0695706589777646	141	87	6.66037901765444e-11	4.93978110476038e-10
GGB68806	Age	Age	0.371240865954068	0.0537763242139382	141	73	1.72800126188345e-10	1.24696307276454e-09
Desulfovibrio	Age	Age	-0.455374937832361	0.0679016679817294	141	98	4.80276330020411e-10	3.37457316093289e-09
Blautia	Age	Age	-0.475052891294085	0.0742275006123004	141	33	2.28192499180762e-09	1.56224095592984e-08
GGB28859	Age	Age	-0.476295022674894	0.0745800256484288	141	88	2.37629232912066e-09	1.58617512968804e-08
GGB30087	Age	Age	-0.433835759866849	0.0681588289671063	141	72	2.7309255324817e-09	1.77843199310393e-08
GGB28632	Age	Age	-0.437977534505398	0.0689478227444963	141	53	2.91197676502139e-09	1.85118522919217e-08
GGB28381	Age	Age	0.378605167176666	0.0602766357557412	141	38	4.15998822711528e-09	2.58306245730181e-08
GGB28961	Age	Age	0.442268168596092	0.0709782038186431	141	30	5.33595912976019e-09	3.2379570173772e-08
GGB28960	Age	Age	-0.445820032863065	0.0723225878703305	141	77	7.42797252647625e-09	4.40726369904257e-08
Emergencia	Age	Age	0.393377169840423	0.0647710440246806	141	20	1.16352555655225e-08	6.75350703477068e-08
GGB28946	Age	Age	-0.448729280183798	0.0745992587733805	141	90	1.54411920110483e-08	8.77191120627638e-08
GGB42343	Age	Age	-0.4390958866979	0.0732053807468537	141	31	1.67972114162432e-08	9.3434488502853e-08
GGB27959	Age	Age	0.405467494957383	0.0676814702137481	141	15	1.74172687367193e-08	9.49063418919193e-08
GGB80168	Age	Age	-0.41210749410797	0.068929030606352	141	76	1.84739112635872e-08	9.86506861475558e-08
GGB28934	Age	Age	-0.431682738405836	0.0725973575732054	141	92	2.16184369673948e-08	1.13178875888126e-07
GGB27873	Age	Age	0.432372929470683	0.0740951158110902	141	82	3.69172469176086e-08	1.89555863980798e-07
Zoogloea	Age	Age	-0.386097858491357	0.0672843164105566	141	90	5.87568048286275e-08	2.96001262061199e-07
Clostridium	Age	Age	-0.428548948642624	0.0760757051302953	141	86	9.64581265833947e-08	4.76931848106785e-07
GGB28988	Age	Age	-0.428847600113206	0.0766234244795432	141	15	1.12302972609603e-07	5.45179885213893e-07
GGB25158	Age	Age	0.423496812479969	0.0768372310188394	141	97	1.67372350530126e-07	7.9800745699185e-07
GGB27921	Age	Age	0.376202295854857	0.0690036016420697	141	15	2.25081790906963e-07	1.05433049424841e-06
GGB28853	Age	Age	-0.406070641353495	0.075182173533166	141	90	2.84184274758676e-07	1.30822760966494e-06
Paramuribaculum	Age	Age	0.370332948233364	0.0686376223070527	141	15	2.91914649776376e-07	1.32103748288631e-06
GGB5213	Age	Age	-0.403771569529001	0.075131449510421	141	82	3.21610258846126e-07	1.43116565186526e-06
GGB79857	Age	Age	-0.413387958028803	0.0772322665337075	141	77	3.49142708580336e-07	1.52821480640901e-06
GGB31256	Age	Age	0.362777310254936	0.0691111301010361	141	88	5.68394600103661e-07	2.44776384238189e-06
GGB31793	Age	Age	-0.395198661991327	0.076017382283551	141	91	7.12753604175195e-07	3.02071765579011e-06
GGB30466	Age	Age	0.402246915164442	0.0776543447639885	141	72	7.63850701066184e-07	3.18668964351049e-06
Lactobacillus	Age	Age	-0.393870014143258	0.076643513230791	141	80	9.31040452532557e-07	3.82442770501835e-06
GGB75085	Age	Age	-0.394721105680784	0.0769944119347362	141	69	9.8379452834543e-07	3.97989604648833e-06
Olsenella	Age	Age	0.357750662476335	0.0703179969919888	141	15	1.17121139151341e-06	4.66736479901614e-06
GGB75064	Age	Age	-0.385779043081921	0.0761833177729123	141	86	1.30036459196796e-06	5.10584332434478e-06
GGB28386	Age	Age	0.331716520920946	0.0669251806851592	141	39	2.08422082070488e-06	8.06502839316238e-06
GGB28392	Age	Age	-0.367250579122553	0.0750174006958061	141	77	2.71557224176097e-06	1.03579684078597e-05
Muribaculaceae_unclassified	Age	Age	0.266838225441983	0.0557121441546653	141	70	4.28265544897932e-06	1.61051972517955e-05
GGB30310	Age	Age	0.352663413588682	0.0737625056609984	141	31	4.44003775168693e-06	1.6465139995839e-05
GGB3661	Age	Age	-0.35189965836889	0.0736767580910889	141	66	4.53210505208187e-06	1.65763294370666e-05
GGB31173	Age	Age	-0.374113336907814	0.0786595986151721	141	17	4.88020019728755e-06	1.7608289901024e-05
GGB25041	Age	Age	-0.358329314450126	0.0764393702818197	141	92	6.59025910638646e-06	2.34613224187358e-05
Longicatena	Age	Age	-0.365344076239037	0.0780515942495185	141	93	6.78281634439502e-06	2.38291047888614e-05
GGB28924	Age	Age	-0.364944718729234	0.0782267754968123	141	88	7.23908602441326e-06	2.51017658249135e-05
GGB30454	Age	Age	-0.322180196139495	0.0736648583425734	141	85	2.40110176463272e-05	8.21915604047353e-05
GGB20145	Age	Age	0.339736715268521	0.0787684828687732	141	77	3.0567664173207e-05	0.000103310966256282
GGB29546	Age	Age	-0.326496761560275	0.0768503659911533	141	86	3.95043932834217e-05	0.00013184591258342
GGB31768	Age	Age	-0.316354777816187	0.07531680254859	141	75	4.77308320053871e-05	0.000157334964758498
GGB31823	Age	Age	-0.333405139240946	0.0797379474447157	141	87	5.13661108262192e-05	0.000167253068178055
GGB75053	Age	Age	-0.319052276214856	0.0770023599071299	141	88	5.95641218038159e-05	0.000191609885802637
GGB28925	Age	Age	0.330415572663694	0.0800303420143019	141	99	6.29772006202132e-05	0.00020017753054282
GGB28989	Age	Age	-0.227856283769343	0.0553602450691719	141	84	6.62658403720237e-05	0.000208152698580357
GGB30145	Age	Age	0.325182834089846	0.079359987951087	141	83	7.10614057871127e-05	0.000220620876106501
GGB28828	Age	Age	0.324882221091677	0.0802178482812097	141	103	8.47376000461317e-05	0.00026005677255537
GGB28963	Age	Age	-0.298056220392648	0.0738010551390954	141	75	8.90794997428098e-05	0.000270275300356025
GGB28418	Age	Age	-0.292576750138766	0.0745290180519169	141	79	0.000136374105493104	0.000406648716705119
GGB29011	Age	Age	0.303439324405604	0.0773235726185986	141	100	0.000137072601136557	0.000406648716705119
GGB31439	Age	Age	-0.266978412250263	0.0697157648504612	141	93	0.000194653781104318	0.000571127028075306
GGB28383	Age	Age	-0.299008125115077	0.0788644954831999	141	89	0.000223703358351606	0.000649226050868247
GGB28394	Age	Age	-0.28856897813932	0.0764869584883366	141	53	0.000239413940834013	0.000687349701104102
GGB29004	Age	Age	-0.301965073390911	0.0808594612774046	141	72	0.000273650913938253	0.00077728504278206
GGB31853	Age	Age	-0.298722028159627	0.0801810303369126	141	15	0.000283808728111241	0.000797651899007382
GGB80167	Age	Age	0.299393774034894	0.0805801327925789	141	93	0.000294268494085879	0.000818434249176351
GGB28898	Age	Age	0.277177359332913	0.075155550216276	141	15	0.000324843874524521	0.000894157881423165
GGB28833	Age	Age	0.266045654925	0.072848283087673	141	48	0.000369266647595407	0.00100606321334667
GGB70394	Age	Age	-0.293564416816805	0.0810817126335525	141	64	0.000410830415258549	0.00110799718054578
GGB3171	Age	Age	-0.287661019830136	0.0810113826669577	141	64	0.000526474899979679	0.00140568798294574
GGB28420	Age	Age	-0.228706017403221	0.0644997099685801	141	56	0.000536115132613908	0.0014172548555239
Lachnospiraceae_unclassified	Age	Age	-0.278400532347166	0.078991224341801	141	76	0.000577293512569417	0.00151115066525524
GGB42344	Age	Age	0.193112009203012	0.0549723387295984	141	34	0.000600897480973631	0.00155766628563068
GGB15004	Age	Age	-0.27783598837315	0.0795516641851631	141	79	0.000644440222314624	0.00165447633998081
GGB30301	Age	Age	0.27524795900431	0.0789451617313826	141	86	0.000657762533697726	0.00167259615711708
GGB54153	Age	Age	0.203446725363212	0.0595905183354081	141	69	0.000842092013533183	0.00212111856239019
GGB30408	Age	Age	0.252092361537752	0.0741688727574955	141	38	0.000886326916420163	0.0022116755764877
GGB28456	Age	Age	-0.255441064621519	0.0781409939064953	141	88	0.0013647356637463	0.00337392983537281
GGB28887	Age	Age	-0.260210439415351	0.0799709129602268	141	66	0.00143400597100679	0.00351265682806249
Dubosiella	Age	Age	-0.258408455291511	0.0806733366896974	141	96	0.00169033139976504	0.00410289530670241
GGB30413	Age	Age	0.257932810353352	0.0811081030986102	141	83	0.00182036469178035	0.00437871506941759
GGB75055	Age	Age	-0.224649999265768	0.0725367011258583	141	83	0.0023712962791135	0.00565300095110092
GGB42328	Age	Age	-0.228259702884083	0.0738093112019452	141	81	0.00240508170267453	0.00568280366915132
GGB28933	Age	Age	-0.253315548049849	0.0820524149516463	141	93	0.00243929163571142	0.00571307777837675
GGB28437	Age	Age	0.220198793137793	0.0717392590755964	141	79	0.00258614800135063	0.00600436101183147
GGB28382	Age	Age	-0.241295409739706	0.0803762286161768	141	90	0.00318732645437854	0.00733634623550923
GGB20146	Age	Age	0.235241569655132	0.0803251726749886	141	85	0.00398844243146178	0.00910183016410508
GGB45536	Age	Age	0.239032633665794	0.082027944827952	141	89	0.004166961791429	0.00942863388399613
GGB28868	Age	Age	-0.236944811158913	0.0818396367879073	141	91	0.00440971254180048	0.00989406091311536
