feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY621	Age	Age	-0.85213338636562	0.0434623791827486	141	90	1.30381428757758e-41	3.05092543293155e-39
PWY7345	Age	Age	-0.840328491314765	0.0447442215472633	141	87	9.79183690595224e-40	1.14564491799641e-37
PWY6749	Age	Age	-0.840661383276475	0.0453416765138868	141	85	3.38685475637528e-39	2.64174670997272e-37
PWY0845	Age	Age	-0.818433903687498	0.0487369938479902	141	83	2.93127240261297e-35	1.71479435552859e-33
PYRIDOXSYNPWY	Age	Age	-0.814073020749645	0.0492596349183032	141	82	1.29789074024008e-34	6.07412866432358e-33
PWY6902	Age	Age	-0.787569300787323	0.0522676149411443	141	85	5.07420926509674e-31	1.97894161338773e-29
PWY1269	Age	Age	-0.778368977786147	0.0530746881964443	141	84	6.96995370625893e-30	2.32995595323513e-28
PWY7761	Age	Age	-0.742308341787666	0.0551491408902521	141	91	7.56075785703994e-27	2.21152167318418e-25
PWY6151	Age	Age	0.739930968196777	0.056581866103729	141	78	7.05218929070045e-26	1.83356921558212e-24
ARGININESYN4PWY	Age	Age	-0.718747119263801	0.0585220717777949	141	83	7.52208830560214e-24	1.7601686635109e-22
PWY7282	Age	Age	-0.719308714407981	0.0589228842071218	141	94	9.52604980873217e-24	2.02645059567575e-22
PWY5659	Age	Age	-0.708739811417792	0.0590322094826776	141	74	3.80187787518153e-23	7.41366185660397e-22
PWY8004	Age	Age	-0.685023031643101	0.0600832433857258	141	82	1.35986890021138e-21	2.44776402038048e-20
COLANSYNPWY	Age	Age	-0.672946842990414	0.0617566369847564	141	76	2.63706813731111e-20	4.40767102950571e-19
GLYCOLYSISED	Age	Age	-0.67315760174298	0.062437285379952	141	78	5.18659721302204e-20	8.09109165231438e-19
PWY5130	Age	Age	0.665642492376594	0.0624341356689846	141	29	1.05348751042361e-19	1.54072548399453e-18
PWYI9	Age	Age	0.647535500400008	0.0640439139753722	141	90	2.64998933715939e-18	3.64763238173705e-17
