feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ligilactobacillus	Age	Age	0.695315356384145	0.0459114629247218	573	283	1.05968088420465e-29	2.68099263703776e-27
GGB27861	Age	Age	0.581484247289386	0.0477496843650528	573	302	1.47860276419781e-25	1.87043249671023e-23
Paramuribaculum	Age	Age	0.708603491438705	0.0553476295254202	573	166	4.80969027485518e-24	4.05617213179454e-22
GGB28456	Age	Age	-0.25644098304407	0.0348823611037608	573	407	8.50890448539574e-13	5.38188208701281e-11
Uniqueness	Age	Age	0.291840093037551	0.037691659180245	573	279	3.94492042194137e-11	1.99612973350233e-09
GGB46159	Age	Age	-0.436672412652781	0.0597561505918245	573	384	8.75496654791899e-11	3.69167756103917e-09
GGB28895	Age	Age	-0.286500202782645	0.0393149251385088	573	364	1.78836019376496e-10	6.46364470032192e-09
GGB28431	Age	Age	-0.269455524926965	0.0336420181505564	573	381	2.63293389905487e-10	7.51823827617461e-09
GGB28864	Age	Age	0.47947777779783	0.0697667374254854	573	63	2.67447211405421e-10	7.51823827617461e-09
GGB28310	Age	Age	0.398654883906022	0.0571434108181872	573	280	3.08556236267131e-10	7.80647277755842e-09
GGB27879	Age	Age	-0.321942379406914	0.0460430750299108	573	350	4.66616754438699e-10	9.83783657274923e-09
GGB28404	Age	Age	-0.276106179592016	0.0382969201307187	573	416	4.40055655568769e-10	9.83783657274923e-09
GGB30461	Age	Age	-0.311685069859762	0.0438401479585014	573	326	5.11838598720211e-10	9.96116657509334e-09
GGB31312	Age	Age	-0.279424916551012	0.0389828126511669	573	391	7.28876043237613e-10	1.3171831352794e-08
GGB27875	Age	Age	-0.377457005707421	0.0554938080218183	573	347	8.4347122973615e-10	1.42265480748831e-08
GGB27929	Age	Age	0.363188447446602	0.0537845445978218	573	302	9.40284763868212e-10	1.48682528286661e-08
Bifidobacterium	Age	Age	0.344896043092674	0.050544153709134	573	60	1.71545301638991e-09	2.55299772439205e-08
GGB31851	Age	Age	-0.274643069329842	0.0410881050765285	573	385	2.5362299007336e-09	3.56481202714223e-08
GGB28960	Age	Age	-0.29273759936232	0.0430419432455236	573	364	2.87787627718189e-09	3.83211946382641e-08
GGB28382	Age	Age	-0.191063190065505	0.0325816830114269	573	372	8.62099363339138e-09	1.09055569462401e-07
GGB20146	Age	Age	-0.285085588886292	0.0454076492249332	573	363	1.3510628709356e-08	1.62770907784146e-07
Turicibacter	Age	Age	0.274221348070942	0.0430810337507369	573	58	1.56932516787645e-08	1.80472394305792e-07
GGB80032	Age	Age	0.399840199717661	0.0662184002697782	573	59	2.27877999618294e-08	2.50665799580123e-07
GGB28862	Age	Age	-0.309698835989773	0.0502986860960257	573	322	3.00812259082039e-08	3.17106256448983e-07
GGB14001	Age	Age	-0.289985471477295	0.0472500470251836	573	326	1.00939998387852e-07	1.02151278368506e-06
GGB28802	Age	Age	-0.262272316486365	0.0448247695760003	573	419	1.07989663403745e-07	1.05082249389029e-06
GGB79857	Age	Age	-0.263166187464478	0.0451048158745958	573	345	1.29916381119062e-07	1.2173646082638e-06
GGB30141	Age	Age	-0.244729043861139	0.0427663224927274	573	396	2.15916726430721e-07	1.95096184953473e-06
