feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY1042	Age	Age	-0.400366231859243	0.0413074312501846	573	349	3.35683335947353e-15	8.82847173541538e-13
PWY2941	Age	Age	0.338391366971823	0.0426743926859606	573	324	5.71064782617239e-12	7.5095018914167e-10
PWY7234	Age	Age	0.338787360454327	0.0435631661823386	573	338	1.75619614457124e-11	1.53959862007412e-09
UDPNAGSYNPWY	Age	Age	0.293494106867814	0.0385037290339902	573	293	2.19784835909438e-10	1.44508529610456e-08
OANTIGENPWY	Age	Age	0.275671906624172	0.0391851621707427	573	303	1.48675263191679e-09	7.82031884388232e-08
VALSYNPWY	Age	Age	-0.277566842223487	0.0413570098216048	573	325	2.91727676311092e-09	1.27873964783029e-07
PWY7851	Age	Age	0.255180540333268	0.0419379492038615	573	275	5.50461089466189e-08	2.06816095042297e-06
COAPWY1	Age	Age	0.251721957535336	0.0427802057132827	573	277	1.14568034361076e-07	3.76642412962039e-06
PWY8187	Age	Age	-0.283318774227179	0.049818093403267	573	320	1.35746868173142e-07	3.96682514772626e-06
DAPLYSINESYNPWY	Age	Age	0.238991637300849	0.0445885619786687	573	144	9.66356516060445e-07	2.11793136436581e-05
PWY6609	Age	Age	-0.230259163382276	0.0406836164208862	573	326	8.2248908453746e-07	2.11793136436581e-05
PWY7199	Age	Age	-0.220170006125452	0.0399781327663966	573	357	9.12198958990598e-07	2.11793136436581e-05
TRNACHARGINGPWY	Age	Age	-0.210263581994456	0.0396459187246521	573	300	1.14820228308858e-06	2.32290154194075e-05
PWY7315	Age	Age	-0.233157938980635	0.0459449802491295	573	337	2.68691464184343e-06	5.0475610771773e-05
PWY66399	Age	Age	0.239778353869187	0.0491152150426616	573	363	4.01003541821311e-06	7.03092876660032e-05
PENTOSEPPWY	Age	Age	0.221193260009715	0.0461110540912417	573	366	5.83693772315167e-06	9.26899613100702e-05
PWY8004	Age	Age	0.204215262768534	0.0424685542767894	573	364	5.99136632042279e-06	9.26899613100702e-05
PWY6700	Age	Age	-0.186274260930229	0.0397950190344825	573	311	1.38912051740084e-05	0.000192283524250747
PWY01296	Age	Age	-0.223966177664177	0.0476367477794791	573	311	1.3499120032025e-05	0.000192283524250747
PWY7221	Age	Age	0.218953829435365	0.0485177786640666	573	315	2.2064077932573e-05	0.000290142624813335
PPGPPMETPWY	Age	Age	0.263190322761691	0.0596203867320479	573	289	2.39537443049126e-05	0.000299992131056763
PWY7242	Age	Age	-0.207794939672476	0.0465496397142901	573	341	2.56796704268866e-05	0.000306988787375963
PWY5384	Age	Age	0.178718087745879	0.0410315932129222	573	292	3.41716139837571e-05	0.000374463936572005
PWY01061	Age	Age	0.164846185293691	0.0393580739989105	573	283	3.28983997315056e-05	0.000374463936572005
CALVINPWY	Age	Age	-0.215277832442324	0.0511439637408471	573	367	5.55794214509198e-05	0.000584695513663676
P461PWY	Age	Age	-0.190218951250101	0.0453537768353984	573	332	6.57351281775776e-05	0.000664936104257804
PWY6507	Age	Age	-0.207585778430473	0.0499476627105148	573	354	6.99984641833277e-05	0.000681836891859822
